year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,PC_coal_1,PC_coal_2,PC_oil_1,PC_oil_2,PC_cement_1,PC_cement_2,PC_gas_1,PC_gas_2,PC_landuse_1,PC_landuse_2,PC_flaring_1,PC_flaring_2,PC_growth_1,PC_growth_2,PC_energy_1,PC_ghg_1,PC_ghg_2,PC_methane_1,PC_no_1
1949,AFG,7356890,,0.0,0.0,0.015,,,6.25,,,0.85,,,0.002,,,0.015,0.002,,,,0.0,0.015,6.25,0.015,,0.0,519.503,0.0,,,,,,0.0,0.0,0.176,2.486,6.235,0.848,7.899,1.074,2.17,0.295,0.0,0.0,,,,0.0,0.0,0.059,0.0,0.0,0.0,0.001,0.0,,0.0,0.125,0.0,,,0.0,0.114,0.0,,0.128,0.0,0.0,0.001,0,18.288,1.297,,,-2.043003386,0.238700906,-2.6195528648136737,0.0614475419053954,-2.4133491613442177,1.922142803510493,-2.3520269714947712,0.989621744483949,1.8825777620901247,-1.108471847011013,-3.3144120580447926e-16,5.161636777843274e-16,3.3589229962928256e-16,-5.373657782439233e-17,-5.435356891749264e-16,-2.176309122073245,0.4564659232018901,-1.7202078876077591,-2.6195528648136737
1950,AFG,7776182,9421400064.0,0.0,0.0,0.084,0.07,475.0,7.316,1.066,17.059,0.941,0.777,,0.011,0.009,,0.021,0.003,,,,0.0,0.099,13.566,0.036,,0.0,526.735,0.063,,,,,,0.0,0.0,0.187,2.501,7.232,0.93,8.101,1.042,2.238,0.288,0.063,0.008,,,,0.0,0.001,0.06,0.001,0.0,0.0,0.002,0.0,,0.0,0.125,0.0,,,0.0,0.117,0.004,,0.128,0.0,0.0,0.001,0,19.447,1.453,,,-1.970330704,0.296718952,-2.44820604173902,0.2061424759821002,-2.413349161344216,1.9221428035104944,-2.3520269714947686,0.9896217444839472,2.0336977281249315,-1.0090152977744744,-1.4967125781945857e-15,1.1054837954337229e-15,4.190721975306978,-0.8786027161309478,1.5339553262387222e-16,-2.0398466573222427,0.569678132807505,-1.5809143082215211,-2.4482060417390197
1951,AFG,7879343,9692279808.0,0.0,0.0,0.092,0.007,8.696,8.264,0.948,12.956,1.049,0.853,,0.012,0.009,,0.026,0.003,,,,0.0,0.191,21.83,0.061,,0.0,534.907,0.129,,,,,,0.0,0.0,0.187,2.596,8.172,1.037,8.233,1.045,2.3,0.292,0.066,0.008,,,,0.0,0.001,0.064,0.001,0.0,0.0,0.003,0.0,,0.0,0.125,0.0,,,0.0,0.125,0.004,,0.128,0.0,0.0,0.001,0,20.458,1.473,,,-1.967750146,0.296656892,-2.446809827646232,0.2054029562743847,-2.4133491613442173,1.922142803510495,-2.352026971494769,0.9896217444839484,2.21929228504829,-0.8845594984828243,-6.014202089153999e-16,2.089794645659544e-15,0.0043005014014703,-0.0663878914114539,1.7073768598934282e-16,-2.0173244089717928,0.7558194256065771,-1.5631011963388757,-2.446809827646232
1952,AFG,7987783,10017325056.0,0.0,0.0,0.092,0.0,0.0,9.192,0.928,11.232,1.151,0.918,,0.011,0.009,,0.032,0.004,,,,0.0,0.282,31.022,0.093,,0.0,544.008,0.189,,,,,,0.0,0.0,0.186,2.674,9.101,1.139,8.373,1.048,2.373,0.297,0.06,0.007,,,,0.0,0.001,0.071,0.001,0.0,0.0,0.005,0.0,,0.0,0.125,0.001,,,0.0,0.14,0.003,,0.128,0.0,0.0,0.001,0,21.356,1.484,,,-1.951478773,0.311406675,-2.4006306717014763,0.0877987190839917,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,2.423554864518348,-0.7164863548152646,-7.438410885212677e-17,5.807583900090406e-16,-0.0855481415310852,-0.0607759489265858,1.7073768598934282e-16,-1.9996768048536744,0.9152435870186548,-1.5436518106369297,-2.4006306717014763
1953,AFG,8096703,10630519808.0,0.0,0.0,0.106,0.015,16.0,10.269,1.077,11.711,1.268,0.966,,0.013,0.01,,0.038,0.005,,,,0.0,0.388,41.291,0.131,,0.0,554.17,0.257,,,,,,0.0,0.0,0.187,2.762,10.162,1.255,8.528,1.053,2.455,0.303,0.068,0.008,,,,0.0,0.002,0.078,0.001,0.0,0.0,0.006,0.0,,0.0,0.125,0.001,,,0.0,0.154,0.004,,0.128,0.0,0.0,0.001,0,22.361,1.517,,,-1.935030184,0.325957908,-2.365848378882112,0.1128137338660809,-2.4133491613442164,1.9221428035104933,-2.352026971494769,0.9896217444839484,2.644511360064534,-0.543086747278986,-7.200430749851747e-17,1.1834178447772837e-15,0.1147981192935841,-0.0911975034751706,1.7073768598934282e-16,-1.968106027257804,1.0932980344124483,-1.5272580156143467,-2.3658483788821116
1954,AFG,8207953,10866360320.0,0.0,0.0,0.106,0.0,0.0,11.137,0.869,8.459,1.357,1.025,,0.013,0.01,,0.043,0.005,,,,0.0,0.495,52.428,0.174,,0.0,565.201,0.321,,,,,,0.0,0.0,0.187,2.833,11.031,1.344,8.691,1.059,2.541,0.31,0.064,0.008,,,,0.0,0.002,0.081,0.001,0.0,0.0,0.007,0.0,,0.0,0.126,0.001,,,0.0,0.158,0.003,,0.128,0.0,0.0,0.001,0,23.256,1.534,,,-1.931917976,0.325300199,-2.3911345460961373,0.0960915135079104,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,2.801891402276487,-0.4827230927486269,-3.4999284077331375e-17,5.654192537200729e-16,-0.1049320779801007,-0.0756534721402592,1.7073768598934282e-16,-1.9420385850055888,1.2448633554983242,-1.5122897488177405,-2.3911345460961373
1955,AFG,8326981,11078185984.0,0.0,0.0,0.154,0.048,44.828,12.247,1.11,9.967,1.471,1.106,,0.018,0.014,,0.062,0.007,,,,0.0,0.649,64.675,0.236,,0.0,577.294,0.413,,,,,,0.0,0.0,0.196,2.933,12.093,1.452,8.897,1.068,2.627,0.316,0.092,0.011,,,,0.0,0.002,0.084,0.001,0.0,0.0,0.009,0.0,,0.0,0.127,0.001,,,0.0,0.17,0.004,,0.128,0.0,0.0,0.001,0,24.423,1.633,,,-1.896855283,0.355937272,-2.337796656686882,0.14189551260762,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,3.023973551151394,-0.3635300498886675,-3.4999284077331375e-17,5.654192537200729e-16,0.4081776389643968,-0.1538347746127497,1.7073768598934282e-16,-1.861241916490572,1.4453380614493063,-1.4977119163782195,-2.337796656686882
1956,AFG,8454302,11581236224.0,0.0,0.0,0.183,0.029,19.048,13.193,0.945,7.718,1.56,1.139,,0.022,0.016,,0.062,0.007,,,,0.0,0.832,77.868,0.298,,0.0,590.304,0.534,,,,,,0.0,0.0,0.203,3.016,13.009,1.539,9.11,1.078,2.711,0.321,0.121,0.014,,,,0.0,0.002,0.087,0.001,0.0,0.0,0.011,0.0,,0.0,0.128,0.001,,,0.0,0.18,0.005,,0.128,0.0,0.0,0.001,0,25.502,1.712,,,-1.895024047,0.353885591,-2.2839097304829195,0.1873535402172486,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,3.199152937153017,-0.2571834291197363,-3.4999284077331375e-17,5.654192537200729e-16,0.1125314826751187,-0.1162152604724217,1.7073768598934282e-16,-1.7895882184766183,1.6218276538552554,-1.484764146392087,-2.2839097304829195
1957,AFG,8588340,11578973184.0,0.0,0.0,0.293,0.11,60.0,14.253,1.06,8.038,1.66,1.231,,0.034,0.025,,0.077,0.009,,,,0.0,1.125,92.121,0.375,,0.0,604.264,0.75,,,,,,0.0,0.0,0.228,3.114,13.96,1.625,9.416,1.096,2.787,0.324,0.216,0.025,,,,0.0,0.004,0.092,0.002,0.0,0.0,0.012,0.0,,0.0,0.128,0.002,,,0.0,0.191,0.008,,0.128,0.0,0.0,0.001,0,26.746,1.956,,,-1.804265833,0.42631836,-2.029140045301371,0.2552505934551412,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,3.3497713527735726,-0.0853665192465789,-3.4999284077331375e-17,5.654192537200729e-16,0.5839179248712932,-0.1897917804887081,1.7073768598934282e-16,-1.6124180751851158,1.8189527906590943,-1.477289109618791,-2.029140045301371
1958,AFG,8723412,12238841856.0,0.0,0.0,0.33,0.037,12.5,15.313,1.061,7.441,1.755,1.251,,0.038,0.027,,0.092,0.011,,,,0.0,1.455,107.434,0.467,,0.0,619.247,0.988,,,,,,0.0,0.0,0.234,3.212,14.984,1.718,9.649,1.106,2.852,0.327,0.238,0.027,,,,0.0,0.004,0.098,0.002,0.0,0.001,0.014,0.0,,0.0,0.13,0.002,,,0.0,0.208,0.009,,0.128,0.0,0.0,0.001,0,28.019,2.044,,,-1.769790784,0.455350498,-1.9823820144255733,0.2886794249106619,-2.4133491613442164,1.922142803510494,-2.352026971494769,0.989621744483948,3.5868948967044134,0.0219430029923328,-3.4999284077331375e-17,5.654192537200729e-16,0.098069025523356,-0.1099152276409161,1.7073768598934282e-16,-1.5388938607866465,2.0284963167455,-1.4602506550844048,-1.9823820144255733
