year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,AIA,8422.0,,0.0,0.0,0.048,,,,,,,,,5.656,,,,,,,,0.0,0.048,,,,,,0.048,,,,,,,,,,,,,,0.0,0.0,0.048,5.656,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1991,AIA,8728.0,,0.0,0.0,0.048,0.0,0.0,,,,,,,5.457,,,,,,,,0.0,0.095,,,,,,0.095,,,,,,,,,,,,,,0.0,0.0,0.048,5.457,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1992,AIA,9005.0,,0.0,0.0,0.048,0.0,0.0,,,,,,,5.29,,,,,,,,0.0,0.143,,,,,,0.143,,,,,,,,,,,,,,0.0,0.0,0.048,5.29,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1993,AIA,9252.0,,0.0,0.0,0.055,0.007,15.385,,,,,,,5.94,,,,,,,,0.0,0.198,,,,,,0.198,,,,,,,,,,,,,,0.0,0.0,0.055,5.94,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1994,AIA,9489.0,,0.0,0.0,0.055,0.0,0.0,,,,,,,5.792,,,,,,,,0.0,0.253,,,0.0,,,0.253,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.055,5.792,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1995,AIA,9738.0,,0.0,0.0,0.059,0.004,6.667,,,,,,,6.02,,,,,,,,0.0,0.311,,,0.0,,,0.311,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.059,6.02,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1996,AIA,10000.0,,0.0,0.0,0.062,0.004,6.25,,,,,,,6.229,,,,,,,,0.0,0.374,,,0.0,,,0.374,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.062,6.229,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1997,AIA,10278.0,,0.0,0.0,0.062,0.0,0.0,,,,,,,6.06,,,,,,,,0.0,0.436,,,0.0,,,0.436,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.062,6.06,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1998,AIA,10557.0,,0.0,0.0,0.066,0.004,5.882,,,,,,,6.247,,,,,,,,0.0,0.502,,,0.0,,,0.502,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.066,6.247,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1999,AIA,10864.0,,0.0,0.0,0.066,0.0,0.0,,,,,,,6.071,,,,,,,,0.0,0.568,,,0.0,,,0.568,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.066,6.071,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
