year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1946,BGD,38192621.0,,0.0,0.0,0.117,,,19.996,,,0.524,,,0.003,,,0.117,0.003,,,,0.0,0.117,19.996,0.117,,0.0,1914.62,0.0,,,,,,0.0,0.0,0.306,1.659,19.878,0.52,42.301,1.108,5.847,0.153,0.0,0.0,,,,0.0,0.003,0.195,0.004,0.0,0.0,0.003,0.0,,0.0,0.48,0.0,,,0.0,0.352,0.0,,0.52,0.001,0.001,0.002,0.0,63.371,11.704,,
1947,BGD,38515003.0,,0.0,0.0,0.121,0.004,3.414,20.707,0.711,3.556,0.538,,,0.003,,,0.086,0.002,,,,0.0,0.239,40.702,0.203,,0.0,1935.205,0.036,,,,,,0.0,0.0,0.219,1.586,20.585,0.534,39.474,1.025,5.95,0.154,0.036,0.001,,,,0.0,0.002,0.192,0.002,0.0,0.0,0.007,0.0,,0.0,0.478,0.0,,,0.0,0.365,0.003,,0.515,0.001,0.001,0.002,0.0,61.101,8.445,,
1948,BGD,38840107.0,,0.002,0.0,0.134,0.013,10.365,20.764,0.058,0.279,0.535,,,0.003,,,0.079,0.002,,,,0.002,0.373,61.466,0.283,,0.0,1955.835,0.089,,,,,,0.0,0.0,0.217,1.585,20.63,0.531,39.897,1.027,6.045,0.156,0.053,0.001,,,,0.003,0.002,0.189,0.002,0.0,0.0,0.01,0.0,,0.0,0.477,0.0,,,0.0,0.372,0.004,,0.511,0.001,0.001,0.002,0.0,61.567,8.441,,
1949,BGD,39243938.0,,0.002,0.0,0.19,0.056,41.883,20.258,-0.507,-2.439,0.516,,,0.005,,,0.092,0.002,,,,0.004,0.563,81.724,0.375,,0.0,1975.902,0.185,,,,,,0.0,0.0,0.22,1.61,20.067,0.511,40.464,1.031,6.125,0.156,0.096,0.002,,,,0.004,0.004,0.19,0.003,0.0,0.0,0.013,0.0,,0.0,0.475,0.001,,,0.0,0.366,0.007,,0.508,0.001,0.001,0.002,0.0,63.195,8.62,,
1950,BGD,41206858.0,39301173248.0,0.002,0.0,0.993,0.803,422.027,29.152,8.894,43.905,0.707,0.742,,0.024,0.025,,0.498,0.012,,,,0.006,1.556,110.876,0.873,,0.0,2004.061,0.678,,,,,,0.0,0.0,0.232,1.656,28.159,0.683,41.067,0.997,6.185,0.15,0.493,0.012,,,,0.003,0.017,0.24,0.013,0.001,0.001,0.017,0.0,,0.0,0.475,0.002,,,0.0,0.454,0.032,,0.504,0.001,0.001,0.002,0.0,68.248,9.576,,
1951,BGD,42022310.0,39781163008.0,0.002,0.0,1.226,0.233,23.485,33.407,4.255,14.596,0.795,0.84,,0.029,0.031,,0.654,0.016,,,,0.008,2.783,144.283,1.527,,0.0,2036.242,1.247,,,,,,0.0,0.0,0.236,1.716,32.18,0.766,42.149,1.003,6.236,0.148,0.57,0.014,,,,0.003,0.019,0.258,0.016,0.001,0.001,0.022,0.001,,0.0,0.475,0.004,,,0.0,0.491,0.033,,0.501,0.001,0.001,0.002,0.0,72.106,9.9,,
1952,BGD,42893013.0,40974782464.0,0.002,0.0,1.295,0.069,5.607,37.076,3.669,10.982,0.864,0.905,,0.03,0.032,,0.67,0.016,,,,0.01,4.078,181.358,2.197,,0.0,2072.022,1.87,,,,,,0.0,0.0,0.235,1.764,35.781,0.834,43.232,1.008,6.293,0.147,0.623,0.015,,,,0.003,0.02,0.286,0.017,0.001,0.002,0.027,0.001,,0.0,0.476,0.006,,,0.0,0.552,0.034,,0.498,0.001,0.001,0.002,0.0,75.679,10.075,,
1953,BGD,43791389.0,41553350656.0,0.003,0.0,1.318,0.023,1.77,40.011,2.935,7.917,0.914,0.963,,0.03,0.032,,0.609,0.014,,,,0.013,5.396,221.369,2.806,,0.0,2110.715,2.576,,,,,,0.0,0.0,0.233,1.778,38.693,0.884,44.354,1.013,6.355,0.145,0.706,0.016,,,,0.003,0.02,0.302,0.015,0.001,0.002,0.032,0.001,,0.0,0.478,0.008,,,0.0,0.587,0.036,,0.495,0.001,0.001,0.002,0.0,77.849,10.212,,
1954,BGD,44741297.0,42373087232.0,0.003,0.0,1.339,0.021,1.565,43.885,3.874,9.683,0.981,1.036,,0.03,0.032,,0.547,0.012,,,,0.016,6.734,265.254,3.354,,0.0,2153.261,3.365,,,,,,0.0,0.0,0.232,1.801,42.546,0.951,45.559,1.018,6.422,0.144,0.788,0.018,,,,0.003,0.02,0.319,0.013,0.001,0.003,0.038,0.002,,0.0,0.48,0.009,,,0.0,0.61,0.038,,0.493,0.001,0.001,0.002,0.0,80.598,10.367,,
1955,BGD,45767687.0,40166608896.0,0.003,0.0,1.379,0.041,3.04,47.439,3.554,8.099,1.037,1.181,,0.03,0.034,,0.517,0.011,,,,0.019,8.114,312.693,3.871,,0.008,2199.321,4.216,,,,,,0.008,0.0,0.231,1.827,46.06,1.006,46.864,1.024,6.491,0.142,0.851,0.019,,,,0.003,0.019,0.326,0.012,0.001,0.003,0.044,0.002,,0.0,0.483,0.011,,,0.001,0.647,0.037,,0.491,0.001,0.001,0.002,0.0,83.634,10.554,,
1956,BGD,46854418.0,44305391616.0,0.003,0.0,1.634,0.255,18.488,51.394,3.955,8.336,1.097,1.16,,0.035,0.037,,0.66,0.014,,,,0.022,9.748,364.086,4.531,,0.049,2249.08,5.146,,,,,,0.041,0.001,0.234,1.874,49.759,1.062,48.273,1.03,6.561,0.14,0.93,0.02,,,,0.003,0.021,0.339,0.014,0.001,0.004,0.05,0.002,,0.001,0.486,0.013,,,0.007,0.689,0.037,,0.489,0.001,0.001,0.002,0.0,87.82,10.956,,
1957,BGD,48004665.0,43387748352.0,0.005,0.0,1.689,0.054,3.33,54.198,2.804,5.457,1.129,1.249,,0.035,0.039,,0.607,0.013,,,,0.026,11.437,418.284,5.138,,0.11,2301.589,6.163,,,,,,0.061,0.001,0.232,1.837,52.509,1.094,49.79,1.037,6.631,0.138,1.016,0.021,,,,0.004,0.021,0.349,0.013,0.002,0.004,0.056,0.002,,0.001,0.489,0.014,,,0.009,0.717,0.039,,0.487,0.001,0.001,0.002,0.0,88.175,11.159,,
1958,BGD,49184052.0,42582511616.0,0.005,0.0,1.896,0.207,12.284,57.474,3.276,6.044,1.169,1.35,,0.039,0.045,,0.655,0.013,,,,0.031,13.333,475.758,5.793,,0.184,2357.167,7.324,,,,,,0.075,0.002,0.235,1.843,55.578,1.13,51.427,1.046,6.7,0.136,1.162,0.024,,,,0.003,0.023,0.368,0.014,0.002,0.005,0.062,0.002,,0.002,0.494,0.016,,,0.011,0.773,0.043,,0.486,0.001,0.001,0.002,0.0,90.654,11.535,,
1959,BGD,50441766.0,44798771200.0,0.004,0.0,1.84,-0.056,-2.961,57.473,-0.0,-0.001,1.139,1.283,,0.036,0.041,,0.539,0.011,,,,0.035,15.173,533.231,6.332,,0.272,2412.8,8.533,,,,,,0.088,0.002,0.231,1.926,55.633,1.103,53.151,1.054,6.766,0.134,1.209,0.024,,,,0.003,0.021,0.346,0.011,0.002,0.005,0.068,0.003,,0.003,0.497,0.018,,,0.012,0.718,0.042,,0.485,0.001,0.001,0.002,0.0,97.135,11.649,,
