year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1970,BTN,308535.0,,0.0,0.0,0.004,,,13.255,,,42.961,,,0.012,,,0.0,0.0,,,,0.0,0.004,13.255,0.0,,,469.889,0.004,,,,,,,,0.525,33.117,13.251,42.949,0.503,1.63,0.079,0.257,0.004,0.012,,,,0.0,0.0,0.064,0.0,0.0,0.0,0.001,0.0,,,0.085,0.0,,,,0.233,0.0,,0.027,0.0,0.0,0.0,0.0,10.218,0.162,,
1971,BTN,319218.0,,0.0,0.0,0.004,0.0,0.0,13.115,-0.14,-1.056,41.085,,,0.011,,,0.0,0.0,,,,0.0,0.007,26.37,0.0,,,483.0,0.007,,,,,,,,0.51,31.511,13.111,41.073,0.512,1.605,0.08,0.252,0.004,0.011,,,,0.0,0.0,0.064,0.0,0.0,0.0,0.003,0.0,,,0.087,0.0,,,,0.256,0.0,,0.027,0.0,0.0,0.0,0.0,10.059,0.163,,
1972,BTN,330265.0,,0.0,0.0,0.004,0.0,0.0,13.826,0.711,5.424,41.864,,,0.011,,,0.0,0.0,,,,0.0,0.011,40.196,0.0,,,496.823,0.011,,,,,,,,0.501,33.361,13.823,41.853,0.523,1.585,0.082,0.248,0.004,0.011,,,,0.0,0.0,0.064,0.0,0.0,0.0,0.004,0.0,,,0.089,0.0,,,,0.256,0.0,,0.027,0.0,0.0,0.0,0.0,11.018,0.165,,
1973,BTN,341712.0,,0.0,0.0,0.004,0.0,0.0,14.767,0.941,6.806,43.216,,,0.011,,,0.0,0.0,,,,0.0,0.015,54.963,0.0,,,511.587,0.015,,,,,,,,0.494,34.137,14.764,43.205,0.534,1.563,0.083,0.244,0.004,0.011,,,,0.0,0.0,0.066,0.0,0.0,0.0,0.005,0.0,,,0.09,0.0,,,,0.282,0.0,,0.027,0.0,0.0,0.0,0.0,11.665,0.169,,
1974,BTN,353547.0,,0.0,0.0,0.004,0.0,0.0,13.985,-0.782,-5.298,39.556,,,0.01,,,0.0,0.0,,,,0.0,0.018,68.948,0.0,,,525.568,0.018,,,,,,,,0.492,31.641,13.981,39.546,0.547,1.548,0.086,0.242,0.004,0.01,,,,0.0,0.0,0.063,0.0,0.0,0.0,0.007,0.0,,,0.092,0.0,,,,0.272,0.0,,0.027,0.0,0.0,0.0,0.0,11.187,0.174,,
1975,BTN,365800.0,,0.0,0.0,0.004,0.0,0.0,13.835,-0.15,-1.071,37.822,,,0.01,,,0.0,0.0,,,,0.0,0.022,82.784,0.0,,,539.399,0.022,,,,,,,,0.479,29.498,13.832,37.812,0.558,1.527,0.088,0.239,0.004,0.01,,,,0.0,0.0,0.063,0.0,0.0,0.0,0.008,0.0,,,0.094,0.0,,,,0.273,0.0,,0.027,0.0,0.0,0.0,0.0,10.79,0.175,,
1976,BTN,378499.0,,0.0,0.0,0.004,0.0,0.0,12.957,-0.878,-6.347,34.233,,,0.01,,,0.0,0.0,,,,0.0,0.026,95.741,0.0,,,552.353,0.026,,,,,,,,0.477,26.985,12.953,34.223,0.574,1.518,0.09,0.238,0.004,0.01,,,,0.0,0.0,0.056,0.0,0.0,0.0,0.009,0.0,,,0.095,0.0,,,,0.255,0.0,,0.027,0.0,0.0,0.0,0.0,10.214,0.181,,
1977,BTN,391649.0,,0.0,0.0,0.007,0.004,100.0,13.539,0.582,4.49,34.569,,,0.019,,,0.0,0.0,,,,0.0,0.033,109.28,0.0,,,565.884,0.033,,,,,,,,0.485,28.037,13.531,34.55,0.589,1.503,0.092,0.235,0.007,0.019,,,,0.0,0.0,0.056,0.0,0.0,0.0,0.01,0.0,,,0.096,0.0,,,,0.245,0.0,,0.027,0.0,0.0,0.0,0.0,10.981,0.19,,
1978,BTN,405254.0,,0.0,0.0,0.011,0.004,50.0,13.127,-0.412,-3.044,32.391,,,0.027,,,0.0,0.0,,,,0.0,0.044,122.406,0.0,,,579.0,0.044,,,,,,,,0.508,25.589,13.116,32.364,0.61,1.505,0.095,0.235,0.011,0.027,,,,0.0,0.0,0.054,0.0,0.0,0.0,0.011,0.0,,,0.098,0.0,,,,0.242,0.0,,0.027,0.0,0.0,0.0,0.0,10.37,0.206,,
1979,BTN,419207.0,,0.0,0.0,0.022,0.011,100.0,14.302,1.176,8.955,34.117,,,0.052,,,0.004,0.009,,,,0.0,0.066,136.709,0.004,,,593.28,0.062,,,,,,,,0.538,27.07,14.28,34.065,0.626,1.493,0.098,0.233,0.018,0.044,,,,0.0,0.0,0.059,0.0,0.0,0.0,0.012,0.0,,,0.099,0.0,,,,0.305,0.0,,0.027,0.0,0.0,0.0,0.0,11.348,0.226,,
