year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,BDI,2254942.0,1405700608.0,0.0,0.0,0.009,,,4.973,,,2.205,3.537,,0.004,0.006,,0.001,0.0,,,,0.0,0.009,4.973,0.001,0.0,0.0,202.237,0.008,,,,0.0,0.0,0.0,0.0,0.319,3.543,4.964,2.201,1.062,0.471,0.623,0.276,0.008,0.003,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.048,0.0,,0.0,0.0,0.08,0.0,,0.032,0.0,0.0,0.0,0.0,7.989,0.719,,
1951,BDI,2305751.0,1485475456.0,0.0,0.0,0.009,0.0,0.0,4.653,-0.32,-6.43,2.018,3.132,,0.004,0.006,,0.0,0.0,,,,0.0,0.018,9.626,0.001,0.0,0.0,206.881,0.016,,,,0.0,0.0,0.0,0.0,0.32,3.48,4.644,2.014,1.083,0.47,0.621,0.269,0.009,0.004,,,,0.0,0.0,0.036,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.048,0.0,,0.0,0.0,0.071,0.001,,0.032,0.0,0.0,0.0,0.0,8.024,0.739,,
1952,BDI,2355807.0,1530956928.0,0.0,0.0,0.016,0.008,85.706,4.649,-0.004,-0.092,1.973,3.036,,0.007,0.011,,0.001,0.0,,,,0.0,0.034,14.274,0.002,0.0,0.0,211.513,0.032,,,,0.0,0.0,0.0,0.0,0.325,3.444,4.632,1.966,1.102,0.468,0.608,0.258,0.015,0.006,,,,0.0,0.0,0.036,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.049,0.0,,0.0,0.0,0.072,0.001,,0.033,0.0,0.0,0.0,0.0,8.114,0.765,,
1953,BDI,2405190.0,1595031040.0,0.0,0.0,0.015,-0.001,-7.691,4.608,-0.04,-0.863,1.916,2.889,,0.006,0.009,,0.0,0.0,,,,0.0,0.049,18.883,0.002,0.0,0.0,216.106,0.047,,,,0.0,0.0,0.0,0.0,0.325,3.43,4.593,1.91,1.12,0.466,0.588,0.244,0.015,0.006,,,,0.0,0.0,0.035,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.049,0.0,,0.0,0.0,0.07,0.001,,0.033,0.0,0.0,0.0,0.0,8.25,0.782,,
1954,BDI,2454594.0,1683704192.0,0.0,0.0,0.006,-0.009,-58.335,4.541,-0.068,-1.469,1.85,2.697,,0.003,0.004,,0.0,0.0,,,,0.0,0.055,23.423,0.002,0.0,0.0,220.641,0.053,,,,0.0,0.0,0.0,0.0,0.322,3.385,4.534,1.847,1.138,0.464,0.563,0.229,0.006,0.003,,,,0.0,0.0,0.033,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.049,0.0,,0.0,0.0,0.065,0.0,,0.033,0.0,0.0,0.0,0.0,8.309,0.791,,
1955,BDI,2504658.0,1736391808.0,0.0,0.0,0.008,0.001,19.997,4.53,-0.01,-0.229,1.809,2.609,,0.003,0.004,,0.0,0.0,,,,0.0,0.063,27.954,0.002,0.0,0.0,225.164,0.061,,,,0.0,0.0,0.0,0.0,0.324,3.366,4.523,1.806,1.156,0.461,0.535,0.214,0.008,0.003,,,,0.0,0.0,0.031,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.049,0.0,,0.0,0.0,0.063,0.0,,0.033,0.0,0.0,0.0,0.0,8.431,0.81,,
1956,BDI,2555314.0,1800938880.0,0.0,0.0,0.009,0.001,16.678,4.559,0.029,0.642,1.784,2.532,,0.003,0.005,,0.0,0.0,,,,0.0,0.072,32.513,0.002,0.0,0.0,229.714,0.069,,,,0.0,0.0,0.0,0.0,0.325,3.366,4.551,1.781,1.174,0.46,0.508,0.199,0.009,0.003,,,,0.0,0.0,0.03,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.05,0.0,,0.0,0.0,0.063,0.0,,0.033,0.0,0.0,0.0,0.0,8.6,0.83,,
1957,BDI,2606481.0,1869930112.0,0.0,0.0,0.01,0.001,14.282,4.403,-0.156,-3.425,1.689,2.355,,0.004,0.005,,0.0,0.0,,,,0.0,0.082,36.917,0.002,0.0,0.0,234.108,0.079,,,,0.0,0.0,0.0,0.0,0.326,3.351,4.393,1.686,1.194,0.458,0.483,0.185,0.01,0.004,,,,0.0,0.0,0.028,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.05,0.0,,0.0,0.0,0.06,0.0,,0.034,0.0,0.0,0.0,0.0,8.734,0.851,,
1958,BDI,2657416.0,1921836288.0,0.0,0.0,0.01,0.0,0.0,5.389,0.986,22.39,2.028,2.804,,0.004,0.005,,0.0,0.0,,,,0.0,0.092,42.306,0.002,0.0,0.0,239.487,0.089,,,,0.0,0.0,0.0,0.0,0.327,3.366,5.379,2.024,1.213,0.457,0.462,0.174,0.01,0.004,,,,0.0,0.0,0.035,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.05,0.0,,0.0,0.0,0.075,0.0,,0.034,0.0,0.0,0.0,0.0,8.945,0.87,,
1959,BDI,2709604.0,2034099456.0,0.0,0.0,0.039,0.029,287.493,7.381,1.992,36.965,2.724,3.629,,0.014,0.019,,0.001,0.0,,,,0.0,0.131,49.687,0.004,0.0,0.0,246.829,0.127,,,,0.0,0.0,0.0,0.0,0.339,3.496,7.342,2.71,1.233,0.455,0.45,0.166,0.038,0.014,,,,0.0,0.0,0.044,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.051,0.0,,0.0,0.0,0.095,0.001,,0.034,0.0,0.0,0.0,0.0,9.473,0.918,,
1960,BDI,2764264.0,2063691904.0,0.0,0.0,0.036,-0.003,-6.45,10.391,3.009,40.769,3.759,5.035,,0.013,0.018,,0.0,0.0,,,,0.0,0.167,60.078,0.004,0.0,0.0,257.183,0.164,,,,0.0,0.0,0.0,0.0,0.338,3.622,10.354,3.746,1.253,0.453,0.448,0.162,0.036,0.013,,,,0.0,0.0,0.065,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.052,0.0,,0.0,0.0,0.154,0.001,,0.034,0.0,0.0,0.0,0.0,10.012,0.934,,
1961,BDI,2835122.0,1779904128.0,0.0,0.0,0.048,0.011,31.034,9.226,-1.165,-11.208,3.254,5.183,,0.017,0.027,,0.003,0.001,,,,0.0,0.215,69.304,0.006,0.0,0.0,266.362,0.209,,,,0.0,0.0,0.0,0.0,0.34,3.582,9.178,3.237,1.335,0.471,0.524,0.185,0.045,0.016,,,,0.0,0.001,0.057,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.053,0.0,,0.0,0.0,0.135,0.001,,0.034,0.0,0.0,0.0,0.0,10.154,0.963,,
1962,BDI,2907944.0,1945978112.0,0.0,0.0,0.044,-0.004,-7.895,8.856,-0.37,-4.006,3.046,4.551,,0.015,0.023,,,,,,,0.0,0.259,78.16,,,,275.174,0.253,,,,,,,,0.335,3.502,8.812,3.03,1.36,0.468,0.53,0.182,0.044,0.015,,,,0.0,0.0,0.055,,0.0,0.0,0.009,,,,0.054,0.0,,,,0.139,0.001,,0.034,0.0,0.0,0.0,0.0,10.183,0.975,,
1963,BDI,2969842.0,2024692224.0,0.0,0.0,0.048,0.004,8.333,8.355,-0.502,-5.667,2.813,4.126,,0.016,0.024,,,,,,,0.0,0.306,86.514,,,,283.481,0.3,,,,,,,,0.334,3.424,8.307,2.797,1.374,0.462,0.532,0.179,0.048,0.016,,,,0.0,0.0,0.051,,0.0,0.0,0.01,,,,0.055,0.0,,,,0.135,0.001,,0.034,0.0,0.0,0.0,0.0,10.17,0.991,,
1964,BDI,3055655.0,2146734720.0,0.0,0.0,0.048,0.0,0.0,7.673,-0.682,-8.159,2.511,3.574,,0.016,0.022,,,,,,,0.0,0.354,94.187,,,,291.106,0.348,,,,,,,,0.329,3.191,7.625,2.495,1.402,0.459,0.542,0.177,0.048,0.016,,,,0.0,0.0,0.046,,0.0,0.0,0.011,,,,0.056,0.001,,,,0.13,0.001,,0.034,0.0,0.0,0.0,0.0,9.749,1.006,,
1965,BDI,3141371.0,2228968960.0,0.0,0.0,0.037,-0.011,-23.077,6.27,-1.403,-18.285,1.996,2.813,,0.012,0.016,,,,,,,0.0,0.391,100.457,,,,297.339,0.385,,,,,,,,0.322,2.938,6.233,1.984,1.459,0.464,0.565,0.18,0.037,0.012,,,,0.0,0.0,0.037,,0.0,0.0,0.011,,,,0.057,0.001,,,,0.111,0.001,,0.034,0.0,0.0,0.0,0.0,9.23,1.011,,
1966,BDI,3217962.0,2329584640.0,0.0,0.0,0.048,0.011,30.0,7.143,0.873,13.929,2.22,3.066,,0.015,0.02,,,,,,,0.0,0.438,107.6,,,,304.435,0.432,,,,,,,,0.323,2.953,7.096,2.205,1.487,0.462,0.577,0.179,0.048,0.015,,,,0.0,0.0,0.042,,0.0,0.0,0.012,,,,0.058,0.001,,,,0.136,0.001,,0.034,0.0,0.0,0.0,0.0,9.501,1.039,,
1967,BDI,3300698.0,2544875520.0,0.0,0.0,0.048,0.0,0.0,6.447,-0.696,-9.748,1.953,2.533,,0.014,0.019,,,,,,,0.0,0.486,114.047,,,,310.834,0.48,,,,,,,,0.32,2.838,6.399,1.939,1.563,0.473,0.607,0.184,0.048,0.014,,,,0.0,0.0,0.037,,0.0,0.0,0.012,,,,0.058,0.001,,,,0.118,0.001,,0.034,0.0,0.0,0.0,0.0,9.367,1.057,,
1968,BDI,3380389.0,2516573440.0,0.0,0.0,0.055,0.007,15.385,12.617,6.17,95.701,3.732,5.013,,0.016,0.022,,,,,,,0.0,0.541,126.664,,,,323.396,0.535,,,,,,,,0.32,3.431,12.562,3.716,1.598,0.473,0.622,0.184,0.055,0.016,,,,0.0,0.0,0.069,,0.0,0.0,0.014,,,,0.06,0.001,,,,0.236,0.001,,0.035,0.0,0.0,0.0,0.0,11.598,1.083,,
1969,BDI,3454598.0,2480923136.0,0.0,0.0,0.073,0.018,33.333,7.796,-4.821,-38.212,2.257,3.142,,0.021,0.03,,,,,,,0.0,0.614,134.46,,,,331.118,0.608,,,,,,,,0.323,2.785,7.722,2.235,1.682,0.487,0.659,0.191,0.073,0.021,,,,0.0,0.001,0.04,,0.0,0.0,0.014,,,,0.061,0.001,,,,0.132,0.001,,0.034,0.0,0.0,0.0,0.0,9.622,1.117,,
1970,BDI,3530430.0,3145068288.0,0.0,0.0,0.062,-0.011,-15.0,5.758,-2.038,-26.14,1.631,1.831,,0.018,0.02,,0.0,0.0,,,,0.0,0.676,140.218,0.006,,,336.814,0.67,,,,,,,,0.336,2.549,5.696,1.613,1.775,0.503,0.683,0.194,0.062,0.018,,,,0.0,0.0,0.028,0.0,0.0,0.0,0.014,0.0,,,0.061,0.001,,,,0.1,0.001,,0.034,0.0,0.0,0.0,0.0,8.999,1.186,,
1971,BDI,3617296.0,3244323584.0,0.0,0.0,0.073,0.011,17.647,4.083,-1.675,-29.083,1.129,1.259,,0.02,0.023,,0.0,0.0,,,,0.0,0.75,144.301,0.006,,,340.824,0.744,,,,,,,,0.329,2.262,4.01,1.109,1.774,0.49,0.686,0.19,0.073,0.02,,,,0.0,0.0,0.02,0.0,0.0,0.0,0.015,0.0,,,0.061,0.001,,,,0.078,0.001,,0.034,0.0,0.0,0.0,0.0,8.182,1.19,,
1972,BDI,3617133.0,3056965376.0,0.0,0.0,0.073,0.0,0.0,5.729,1.646,40.305,1.584,1.874,,0.02,0.024,,0.0,0.0,,,,0.0,0.823,150.03,0.006,,,346.48,0.817,,,,,,,,0.335,2.52,5.656,1.564,1.851,0.512,0.713,0.197,0.073,0.02,,,,0.0,0.0,0.027,0.0,0.0,0.0,0.015,0.0,,,0.062,0.001,,,,0.105,0.001,,0.034,0.0,0.0,0.0,0.0,9.116,1.213,,
1973,BDI,3611994.0,3260400896.0,0.0,0.0,0.073,0.0,0.0,4.658,-1.071,-18.696,1.29,1.429,,0.02,0.022,,0.0,0.0,,,,0.0,0.896,154.688,0.006,,,351.064,0.89,,,,,,,,0.336,2.436,4.585,1.269,1.886,0.522,0.735,0.204,0.073,0.02,,,,0.0,0.0,0.021,0.0,0.0,0.0,0.015,0.0,,,0.062,0.001,,,,0.087,0.001,,0.034,0.0,0.0,0.0,0.0,8.798,1.213,,
1974,BDI,3703605.0,3249841920.0,0.0,0.0,0.092,0.018,25.0,3.917,-0.741,-15.906,1.058,1.205,,0.025,0.028,,0.0,0.0,,,,0.0,0.988,158.605,0.006,,,354.89,0.982,,,,,,,,0.334,2.285,3.825,1.033,1.909,0.515,0.736,0.199,0.092,0.025,,,,0.0,0.001,0.018,0.0,0.0,0.0,0.015,0.0,,,0.062,0.001,,,,0.074,0.001,,0.034,0.0,0.0,0.0,0.0,8.463,1.238,,
