year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,CMR,4330088.0,5229722624.0,0.0,0.0,0.139,,,49.557,,,11.445,9.476,,0.032,0.027,,0.021,0.005,,,,0.0,0.139,49.557,0.021,,,1150.784,0.118,,,,,,,,0.34,12.609,49.418,11.413,3.2,0.739,2.568,0.593,0.118,0.027,,,,0.0,0.002,0.408,0.001,0.0,0.0,0.008,0.0,,,0.273,0.0,,,,0.796,0.008,,0.146,0.0,0.0,0.001,0.0,54.599,1.473,,
1951,CMR,4395365.0,5417063424.0,0.0,0.0,0.183,0.044,31.579,57.644,8.087,16.318,13.115,10.641,,0.042,0.034,,0.04,0.009,,,,0.0,0.322,107.201,0.062,,,1208.245,0.261,,,,,,,,0.353,14.396,57.461,13.073,3.28,0.746,2.554,0.581,0.143,0.033,,,,0.0,0.003,0.445,0.001,0.0,0.0,0.016,0.0,,,0.282,0.001,,,,0.876,0.008,,0.15,0.0,0.001,0.001,0.0,63.278,1.553,,
1952,CMR,4464717.0,5620173312.0,0.0,0.0,0.282,0.099,54.0,45.507,-12.137,-21.056,10.192,8.097,,0.063,0.05,,0.063,0.014,,,,0.0,0.605,152.708,0.125,,,1253.469,0.48,,,,,,,,0.378,11.809,45.224,10.129,3.362,0.753,2.495,0.559,0.219,0.049,,,,0.0,0.004,0.352,0.002,0.0,0.0,0.023,0.0,,,0.288,0.002,,,,0.698,0.012,,0.153,0.0,0.001,0.001,0.0,52.726,1.689,,
1953,CMR,4538445.0,5824486912.0,0.0,0.0,0.202,-0.081,-28.571,44.645,-0.862,-1.894,9.837,7.665,,0.044,0.035,,0.025,0.006,,,,0.0,0.806,197.353,0.15,,,1297.912,0.656,,,,,,,,0.363,11.501,44.443,9.793,3.445,0.759,2.402,0.529,0.176,0.039,,,,0.0,0.003,0.337,0.001,0.0,0.0,0.029,0.0,,,0.294,0.002,,,,0.674,0.009,,0.155,0.0,0.001,0.001,0.0,52.196,1.646,,
1954,CMR,4616888.0,6040445952.0,0.0,0.0,0.231,0.029,14.545,49.04,4.395,9.845,10.622,8.119,,0.05,0.038,,0.0,0.0,,,,0.0,1.037,246.393,0.15,,,1346.721,0.887,,,,,,,,0.371,12.436,48.809,10.572,3.531,0.765,2.287,0.495,0.231,0.05,,,,0.0,0.003,0.356,0.0,0.0,0.0,0.035,0.0,,,0.3,0.003,,,,0.699,0.011,,0.158,0.0,0.001,0.001,0.0,57.416,1.715,,
1955,CMR,4700266.0,6263419904.0,0.004,0.001,0.234,0.004,1.574,53.615,4.575,9.328,11.407,8.56,,0.05,0.037,,0.0,0.0,,,,0.004,1.271,300.007,0.15,,,1400.102,1.118,,,,,,,,0.374,12.915,53.38,11.357,3.619,0.77,2.161,0.46,0.231,0.049,,,,0.003,0.003,0.368,0.0,0.0,0.0,0.042,0.0,,,0.307,0.003,,,,0.749,0.01,,0.161,0.0,0.001,0.001,0.0,60.702,1.758,,
1956,CMR,4788342.0,6493817344.0,0.007,0.002,0.238,0.004,1.55,49.414,-4.2,-7.834,10.32,7.609,,0.05,0.037,,0.004,0.001,,,,0.011,1.509,349.422,0.154,,,1449.278,1.345,,,,,,,,0.376,11.822,49.176,10.27,3.711,0.775,2.035,0.425,0.227,0.047,,,,0.006,0.003,0.326,0.0,0.001,0.001,0.048,0.0,,,0.313,0.003,,,,0.681,0.009,,0.163,0.0,0.001,0.001,0.0,56.609,1.803,,
1957,CMR,4878935.0,6732063232.0,0.004,0.001,0.256,0.018,7.707,52.244,2.829,5.726,10.708,7.76,,0.053,0.038,,0.004,0.001,,,,0.014,1.766,401.665,0.157,,,1501.265,1.594,,,,,,,,0.382,11.98,51.987,10.655,3.805,0.78,1.92,0.394,0.249,0.051,,,,0.003,0.003,0.337,0.0,0.001,0.001,0.054,0.0,,,0.319,0.004,,,,0.71,0.01,,0.165,0.0,0.001,0.001,0.0,58.449,1.863,,
1958,CMR,4972220.0,6978685952.0,0.004,0.001,0.278,0.022,8.572,56.662,4.418,8.457,11.396,8.119,,0.056,0.04,,0.004,0.001,,,,0.018,2.044,458.327,0.161,,,1557.649,1.865,,,,,,,,0.388,12.368,56.384,11.34,3.904,0.785,1.827,0.368,0.271,0.055,,,,0.003,0.003,0.363,0.0,0.001,0.001,0.06,0.0,,,0.326,0.004,,,,0.784,0.01,,0.167,0.0,0.001,0.001,0.0,61.495,1.928,,
1959,CMR,5070072.0,7234105344.0,0.004,0.001,0.278,-0.0,-0.0,66.642,9.98,17.614,13.144,9.212,,0.055,0.038,,0.0,0.0,,,,0.022,2.323,524.97,0.161,,,1624.013,2.14,,,,,,,,0.389,13.966,66.364,13.089,4.006,0.79,1.768,0.349,0.275,0.054,,,,0.003,0.003,0.401,0.0,0.001,0.001,0.067,0.0,,,0.335,0.004,,,,0.857,0.009,,0.17,0.0,0.001,0.001,0.0,70.807,1.971,,
1960,CMR,5159059.0,7437215744.0,0.0,0.0,0.271,-0.007,-2.621,46.811,-19.832,-29.758,9.074,6.294,,0.053,0.036,,0.004,0.001,,,,0.022,2.594,571.781,0.165,,,1670.552,2.408,,,,,,,,0.389,11.06,46.54,9.021,4.111,0.797,1.754,0.34,0.267,0.052,,,,0.0,0.003,0.291,0.0,0.001,0.001,0.072,0.0,,,0.34,0.005,,,,0.694,0.009,,0.171,0.0,0.001,0.001,0.0,57.06,2.006,,
1961,CMR,5239280.0,7528596992.0,0.0,0.0,0.282,0.011,4.054,42.559,-4.252,-9.083,8.123,5.653,,0.054,0.037,,0.004,0.001,,,,0.022,2.876,614.34,0.168,,,1712.829,2.686,,,,,,,,0.394,10.148,42.277,8.069,4.289,0.819,1.993,0.38,0.278,0.053,,,,0.0,0.003,0.262,0.0,0.001,0.001,0.076,0.0,,,0.343,0.005,,,,0.62,0.008,,0.172,0.0,0.001,0.001,0.0,53.17,2.062,,
1962,CMR,5338627.0,7757674496.0,0.0,0.0,0.289,0.007,2.597,41.292,-1.267,-2.977,7.735,5.323,,0.054,0.037,,0.0,0.0,,,,0.022,3.166,655.632,0.168,,,1753.832,2.976,,,,,,,,0.396,10.036,41.002,7.68,4.35,0.815,2.007,0.376,0.289,0.054,,,,0.0,0.003,0.257,0.0,0.001,0.001,0.079,0.0,,,0.347,0.005,,,,0.648,0.008,,0.173,0.0,0.001,0.001,0.0,53.58,2.117,,
1963,CMR,5456615.0,8048988160.0,0.0,0.0,0.3,0.011,3.797,36.565,-4.727,-11.447,6.701,4.543,,0.055,0.037,,0.0,0.0,,,,0.022,3.466,692.197,0.168,,,1790.097,3.276,,,,,,,,0.399,8.961,36.265,6.646,4.518,0.828,2.075,0.38,0.3,0.055,,,,0.0,0.003,0.223,0.0,0.001,0.001,0.082,0.0,,,0.35,0.005,,,,0.589,0.008,,0.174,0.0,0.001,0.001,0.0,48.896,2.176,,
1964,CMR,5578260.0,8333998080.0,0.0,0.0,0.337,0.037,12.195,51.079,14.513,39.691,9.157,6.129,,0.06,0.04,,0.0,0.0,,,,0.022,3.803,743.276,0.168,,,1840.838,3.613,,,,,,,,0.406,11.354,50.741,9.096,4.351,0.78,1.989,0.357,0.337,0.06,,,,0.0,0.003,0.306,0.0,0.001,0.001,0.086,0.0,,,0.356,0.005,,,,0.866,0.008,,0.175,0.0,0.001,0.001,0.0,63.337,2.263,,
1965,CMR,5704687.0,8502576640.0,0.0,0.0,0.311,-0.026,-7.609,40.133,-10.945,-21.428,7.035,4.72,,0.055,0.037,,0.0,0.0,,,,0.022,4.114,783.409,0.168,,,1880.66,3.925,,,,,,,,0.401,9.293,39.822,6.981,4.528,0.794,2.059,0.361,0.311,0.055,,,,0.0,0.003,0.237,0.0,0.001,0.001,0.089,0.0,,,0.36,0.006,,,,0.708,0.007,,0.175,0.0,0.001,0.001,0.0,53.011,2.288,,
1966,CMR,5837300.0,8896456704.0,0.0,0.0,0.344,0.033,10.588,33.095,-7.039,-17.538,5.67,3.72,,0.059,0.039,,0.0,0.0,,,,0.022,4.459,816.504,0.168,,,1913.41,4.269,,,,,,,,0.407,7.838,32.75,5.611,4.758,0.815,2.183,0.374,0.344,0.059,,,,0.0,0.003,0.194,0.0,0.001,0.001,0.091,0.0,,,0.362,0.006,,,,0.627,0.007,,0.175,0.0,0.001,0.001,0.0,45.751,2.374,,
1967,CMR,5977314.0,9142134784.0,0.0,0.0,0.458,0.114,32.979,47.004,13.909,42.028,7.864,5.141,,0.077,0.05,,0.004,0.001,,,,0.022,4.917,863.507,0.172,,,1959.956,4.723,,,,,,,,0.425,9.951,46.546,7.787,4.811,0.805,2.194,0.367,0.454,0.076,,,,0.0,0.004,0.266,0.0,0.001,0.001,0.095,0.0,,,0.367,0.006,,,,0.862,0.009,,0.176,0.0,0.001,0.001,0.0,59.478,2.543,,
1968,CMR,6125861.0,9741293568.0,0.0,0.0,0.506,0.048,10.4,35.411,-11.593,-24.664,5.781,3.635,,0.083,0.052,,0.004,0.001,,,,0.022,5.423,898.918,0.176,,,1994.861,5.225,,,,,,,,0.432,8.013,34.905,5.698,4.933,0.805,2.268,0.37,0.502,0.082,,,,0.0,0.004,0.194,0.0,0.001,0.001,0.097,0.0,,,0.37,0.006,,,,0.655,0.009,,0.176,0.0,0.001,0.001,0.0,49.087,2.648,,
1969,CMR,6283472.0,10221153280.0,0.0,0.0,0.572,0.066,13.043,34.935,-0.476,-1.343,5.56,3.418,,0.091,0.056,,0.004,0.001,,,,0.022,5.994,933.854,0.179,,,2029.225,5.793,,,,,,,,0.441,8.284,34.364,5.469,5.183,0.825,2.377,0.378,0.568,0.09,,,,0.0,0.004,0.178,0.0,0.001,0.001,0.098,0.0,,,0.373,0.006,,,,0.589,0.009,,0.176,0.0,0.001,0.001,0.0,52.055,2.773,,
