year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,CPV,184986.0,146876000.0,0.0,0.0,0.103,,,0.254,,,1.374,1.731,,0.555,0.698,,0.096,0.516,,,,0.0,0.103,0.254,0.096,,,3.692,0.007,,,,,,,,0.703,1.189,0.152,0.819,0.042,0.23,0.026,0.143,0.007,0.038,,,,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.22,0.13,,
1951,CPV,187206.0,153868992.0,0.0,0.0,0.077,-0.026,-25.0,0.247,-0.007,-2.811,1.32,1.605,,0.411,0.5,,0.07,0.374,,,,0.0,0.18,0.501,0.165,,,3.862,0.014,,,,,,,,0.567,1.065,0.17,0.909,0.045,0.241,0.026,0.141,0.007,0.037,,,,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.003,0.0,,0.0,0.0,0.0,0.0,0.0,0.199,0.106,,
1952,CPV,189445.0,159804992.0,0.0,0.0,0.037,-0.04,-52.381,0.177,-0.07,-28.493,0.932,1.105,,0.193,0.229,,0.029,0.155,,,,0.0,0.216,0.678,0.195,,,4.002,0.021,,,,,,,,0.355,0.809,0.14,0.739,0.047,0.25,0.026,0.136,0.007,0.039,,,,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.153,0.067,,
1953,CPV,191559.0,167040000.0,0.0,0.0,0.018,-0.018,-50.0,0.124,-0.053,-30.035,0.645,0.74,,0.096,0.11,,0.012,0.064,,,,0.0,0.234,0.801,0.207,,,4.107,0.028,,,,,,,,0.262,0.677,0.105,0.55,0.049,0.256,0.025,0.13,0.006,0.032,,,,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.13,0.05,,
1954,CPV,193556.0,168920000.0,0.0,0.0,0.022,0.004,20.0,0.096,-0.028,-22.68,0.494,0.566,,0.114,0.13,,0.011,0.057,,,,0.0,0.256,0.897,0.218,,,4.181,0.038,,,,,,,,0.284,0.669,0.074,0.38,0.05,0.261,0.024,0.124,0.011,0.057,,,,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.129,0.055,,
1955,CPV,195622.0,174746000.0,0.0,0.0,0.022,0.0,0.0,0.072,-0.023,-24.156,0.37,0.415,,0.112,0.126,,0.007,0.037,,,,0.0,0.278,0.969,0.225,,,4.231,0.053,,,,,,,,0.286,0.658,0.05,0.258,0.052,0.264,0.023,0.116,0.015,0.075,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.129,0.056,,
1956,CPV,197858.0,182178000.0,0.0,0.0,0.029,0.007,33.333,0.067,-0.006,-8.19,0.336,0.365,,0.148,0.161,,0.015,0.074,,,,0.0,0.308,1.036,0.24,,,4.268,0.068,,,,,,,,0.324,0.696,0.037,0.188,0.053,0.266,0.022,0.109,0.015,0.074,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.138,0.064,,
1957,CPV,200300.0,182160000.0,0.0,0.0,0.018,-0.011,-37.5,0.053,-0.014,-20.43,0.264,0.291,,0.091,0.101,,0.004,0.018,,,,0.0,0.326,1.089,0.244,,,4.303,0.082,,,,,,,,0.27,0.665,0.035,0.173,0.054,0.268,0.021,0.103,0.015,0.073,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.133,0.054,,
1958,CPV,203100.0,185740000.0,0.0,0.0,0.015,-0.004,-20.0,0.058,0.005,8.789,0.284,0.31,,0.072,0.079,,,,,,,0.0,0.341,1.147,,,,4.346,0.097,,,,,,,,0.253,0.691,0.043,0.211,0.055,0.27,0.02,0.097,0.015,0.072,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.14,0.051,,
1959,CPV,206365.0,207616992.0,0.004,0.018,0.018,0.004,24.795,0.08,0.023,39.07,0.388,0.386,,0.089,0.088,,,,,,,0.004,0.359,1.227,,,,4.408,0.112,,,,,,,,0.272,0.819,0.062,0.3,0.056,0.273,0.019,0.093,0.015,0.071,,,,0.003,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.169,0.056,,
