year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,CAF,1438061.0,1646819968.0,,,0.047,,,18.286,,,12.716,11.104,,0.033,0.029,,0.005,0.003,,,,,0.047,18.286,0.005,0.0,,394.259,0.042,,,,0.0,0.0,,,0.307,17.247,18.239,12.683,3.067,2.133,5.886,4.093,0.042,0.029,,,,,0.001,0.151,0.0,,0.0,0.003,0.0,0.0,,0.093,0.0,,0.0,,0.294,0.003,,0.066,0.0,0.0,0.0,0.0,24.802,0.441,,
1951,CAF,1461254.0,1707224960.0,,,0.063,0.016,33.334,13.942,-4.344,-23.758,9.541,8.166,,0.043,0.037,,0.002,0.001,,,,,0.11,32.228,0.007,0.0,,408.138,0.103,,,,0.0,0.0,,,0.317,15.109,13.879,9.498,3.245,2.221,5.842,3.998,0.061,0.042,,,,,0.001,0.108,0.0,,0.0,0.005,0.0,0.0,,0.095,0.0,,0.0,,0.212,0.004,,0.068,0.0,0.0,0.0,0.0,22.078,0.464,,
1952,CAF,1484829.0,1768748032.0,,,0.081,0.019,29.687,12.368,-1.574,-11.287,8.33,6.993,,0.055,0.046,,0.007,0.004,,,,,0.191,44.596,0.013,0.0,,420.424,0.178,,,,0.0,0.0,,,0.329,14.224,12.287,8.275,3.427,2.308,5.689,3.832,0.075,0.05,,,,,0.001,0.096,0.0,,0.0,0.007,0.0,0.0,,0.097,0.001,,0.0,,0.19,0.004,,0.07,0.0,0.0,0.0,0.0,21.12,0.489,,
1953,CAF,1508951.0,1832600064.0,,,0.069,-0.013,-15.662,11.208,-1.16,-9.378,7.428,6.116,,0.045,0.037,,0.003,0.002,,,,,0.26,55.804,0.016,0.0,,431.564,0.243,,,,0.0,0.0,,,0.32,13.656,11.14,7.382,3.614,2.395,5.454,3.615,0.066,0.044,,,,,0.001,0.085,0.0,,0.0,0.008,0.0,0.0,,0.098,0.001,,0.0,,0.169,0.003,,0.071,0.0,0.0,0.0,0.0,20.606,0.484,,
1954,CAF,1533762.0,1900368000.0,,,0.072,0.004,5.714,10.605,-0.603,-5.379,6.915,5.581,,0.047,0.038,,0.001,0.001,,,,,0.332,66.409,0.017,0.0,,442.097,0.315,,,,0.0,0.0,,,0.323,13.262,10.533,6.867,3.807,2.482,5.165,3.368,0.072,0.047,,,,,0.001,0.077,0.0,,0.0,0.009,0.0,0.0,,0.099,0.001,,0.0,,0.151,0.003,,0.073,0.0,0.0,0.0,0.0,20.341,0.495,,
1955,CAF,1559372.0,1970776064.0,,,0.072,-0.001,-1.352,10.54,-0.066,-0.618,6.759,5.348,,0.046,0.036,,0.002,0.001,,,,,0.404,76.949,0.019,0.0,,452.565,0.384,,,,0.0,0.0,,,0.322,13.072,10.468,6.713,4.006,2.569,4.849,3.109,0.07,0.045,,,,,0.001,0.072,0.0,,0.0,0.011,0.0,0.0,,0.099,0.001,,0.0,,0.147,0.003,,0.074,0.0,0.0,0.0,0.0,20.384,0.502,,
1956,CAF,1585852.0,2044039936.0,,,0.093,0.022,30.138,10.843,0.304,2.882,6.838,5.305,,0.059,0.046,,0.0,0.0,,,,,0.497,87.792,0.019,0.0,,463.315,0.478,,,,0.0,0.0,,,0.335,12.877,10.75,6.779,4.212,2.656,4.532,2.858,0.093,0.059,,,,,0.001,0.072,0.0,,0.0,0.012,0.0,0.0,,0.1,0.001,,0.0,,0.149,0.004,,0.076,0.0,0.0,0.0,0.0,20.421,0.531,,
1957,CAF,1613283.0,2118624000.0,,,0.1,0.007,7.368,11.26,0.417,3.844,6.98,5.315,,0.062,0.047,,0.0,0.0,,,,,0.597,99.053,0.019,0.0,,474.476,0.577,,,,0.0,0.0,,,0.339,12.846,11.16,6.918,4.427,2.744,4.243,2.63,0.1,0.062,,,,,0.001,0.073,0.0,,0.0,0.013,0.0,0.0,,0.101,0.001,,0.0,,0.152,0.004,,0.077,0.0,0.0,0.0,0.0,20.723,0.546,,
1958,CAF,1641677.0,2199047936.0,,,0.115,0.015,14.707,11.826,0.565,5.02,7.203,5.378,,0.07,0.052,,0.0,0.0,,,,,0.711,110.878,0.019,0.0,,486.187,0.692,,,,0.0,0.0,,,0.347,12.836,11.711,7.134,4.651,2.833,4.009,2.442,0.115,0.07,,,,,0.001,0.076,0.0,,0.0,0.015,0.0,0.0,,0.102,0.002,,0.0,,0.163,0.004,,0.078,0.0,0.0,0.0,0.0,21.073,0.57,,
1959,CAF,1671337.0,2278221056.0,0.0,0.0,0.099,-0.016,-13.675,11.997,0.172,1.452,7.178,5.266,,0.059,0.043,,,,,,,0.0,0.81,122.876,,,,498.085,0.791,,,,,,,,0.337,12.858,11.898,7.119,4.885,2.923,3.857,2.308,0.099,0.059,,,,0.0,0.001,0.072,,0.0,0.0,0.016,,,,0.103,0.002,,,,0.154,0.003,,0.079,0.0,0.0,0.0,0.0,21.49,0.563,,
1960,CAF,1702348.0,2298789120.0,0.0,0.0,0.088,-0.011,-11.111,9.179,-2.818,-23.487,5.392,3.993,,0.052,0.038,,,,,,,0.0,0.898,132.055,,,,507.177,0.879,,,,,,,,0.329,11.453,9.092,5.341,5.129,3.013,3.814,2.241,0.088,0.052,,,,0.0,0.001,0.057,,0.0,0.0,0.017,,,,0.103,0.002,,,,0.136,0.003,,0.08,0.0,0.0,0.0,0.0,19.497,0.561,,
1961,CAF,1734583.0,2387514880.0,0.0,0.0,0.088,0.0,0.0,8.018,-1.161,-12.653,4.622,3.358,,0.051,0.037,,,,,,,0.0,0.986,140.073,,,,515.107,0.967,,,,,,,,0.328,10.667,7.93,4.572,5.02,2.894,4.069,2.346,0.088,0.051,,,,0.0,0.001,0.049,,0.0,0.0,0.017,,,,0.103,0.002,,,,0.116,0.003,,0.081,0.0,0.0,0.0,0.0,18.504,0.569,,
1962,CAF,1768125.0,2322575104.0,0.0,0.0,0.073,-0.015,-16.667,7.269,-0.749,-9.342,4.111,3.13,,0.041,0.032,,,,,,,0.0,1.059,147.342,,,,522.302,1.04,,,,,,,,0.318,10.325,7.196,4.07,5.04,2.85,4.081,2.308,0.073,0.041,,,,0.0,0.001,0.045,,0.0,0.0,0.018,,,,0.103,0.002,,,,0.114,0.002,,0.082,0.0,0.0,0.0,0.0,18.257,0.563,,
1963,CAF,1803068.0,2317075968.0,0.0,0.0,0.073,0.0,0.0,7.278,0.009,0.128,4.037,3.141,,0.041,0.032,,,,,,,0.0,1.132,154.62,,,,529.507,1.113,,,,,,,,0.317,10.146,7.205,3.996,5.07,2.812,4.097,2.272,0.073,0.041,,,,0.0,0.001,0.044,,0.0,0.0,0.018,,,,0.104,0.002,,,,0.117,0.002,,0.082,0.0,0.0,0.0,0.0,18.295,0.572,,
