year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,CYP,493884.0,1425190016.0,0.0,0.0,0.267,,,3.426,,,6.936,2.404,,0.542,0.188,,0.004,0.008,,,,0.0,0.267,3.426,0.004,,,118.175,0.264,,,,,,,,0.954,3.454,3.158,6.395,0.351,0.712,0.128,0.26,0.264,0.534,,,,0.0,0.005,0.028,0.0,0.0,0.0,0.001,0.0,,,0.028,0.001,,,,0.051,0.017,,0.007,0.0,0.0,0.0,0.0,1.706,0.471,,
1951,CYP,501060.0,1396563968.0,0.0,0.0,0.282,0.015,5.479,3.28,-0.145,-4.239,6.547,2.349,,0.563,0.202,,0.004,0.007,,,,0.0,0.55,6.706,0.007,,,121.173,0.542,,,,,,,,0.984,3.319,2.998,5.984,0.354,0.707,0.132,0.263,0.278,0.556,,,,0.0,0.004,0.025,0.0,0.0,0.0,0.001,0.0,,,0.028,0.002,,,,0.046,0.016,,0.007,0.0,0.0,0.0,0.0,1.663,0.493,,
1952,CYP,508693.0,1532636032.0,0.0,0.0,0.315,0.033,11.688,3.301,0.02,0.622,6.489,2.154,,0.619,0.206,,0.011,0.022,,,,0.0,0.865,10.007,0.018,,,124.159,0.846,,,,,,,,1.047,3.328,2.986,5.869,0.357,0.701,0.135,0.266,0.304,0.598,,,,0.0,0.005,0.025,0.0,0.0,0.0,0.001,0.0,,,0.029,0.003,,,,0.046,0.017,,0.007,0.0,0.0,0.0,0.0,1.693,0.532,,
1953,CYP,516735.0,1686109952.0,0.0,0.0,0.366,0.051,16.279,3.428,0.127,3.85,6.634,2.033,,0.709,0.217,,0.007,0.014,,,,0.0,1.231,13.435,0.026,,,127.221,1.205,,,,,,,,1.142,3.427,3.061,5.925,0.359,0.695,0.14,0.27,0.359,0.695,,,,0.0,0.006,0.026,0.0,0.0,0.0,0.002,0.0,,,0.029,0.004,,,,0.046,0.019,,0.007,0.0,0.0,0.0,0.0,1.771,0.59,,
1954,CYP,525118.0,1719101056.0,0.0,0.0,0.443,0.077,21.0,3.628,0.2,5.849,6.91,2.111,,0.844,0.258,,0.004,0.007,,,,0.0,1.674,17.063,0.029,,,130.406,1.645,,,,,,,,1.283,3.612,3.185,6.065,0.362,0.689,0.144,0.274,0.44,0.837,,,,0.0,0.007,0.026,0.0,0.0,0.001,0.002,0.0,,,0.029,0.005,,,,0.046,0.021,,0.007,0.0,0.0,0.0,0.0,1.897,0.674,,
1955,CYP,533873.0,1780800000.0,0.0,0.0,0.451,0.007,1.653,3.755,0.127,3.498,7.034,2.109,,0.844,0.253,,0.0,0.0,,,,0.0,2.125,20.818,0.029,,,133.71,2.096,,,,,,,,1.288,3.649,3.305,6.19,0.364,0.682,0.148,0.278,0.451,0.844,,,,0.0,0.006,0.026,0.0,0.0,0.001,0.003,0.0,,,0.029,0.006,,,,0.046,0.02,,0.008,0.0,0.0,0.0,0.0,1.948,0.687,,
1956,CYP,543081.0,1976768000.0,0.018,0.033,0.674,0.223,49.56,4.076,0.321,8.553,7.506,2.062,,1.241,0.341,,0.015,0.027,,,,0.018,2.799,24.895,0.044,,,137.113,2.737,,,,,,,,1.69,4.052,3.402,6.265,0.367,0.676,0.153,0.281,0.641,1.181,,,,0.016,0.009,0.027,0.0,0.001,0.001,0.003,0.0,,,0.03,0.007,,,,0.047,0.026,,0.008,0.0,0.0,0.0,0.0,2.201,0.918,,
1957,CYP,552830.0,2101008000.0,0.033,0.059,0.817,0.143,21.183,4.223,0.147,3.601,7.639,2.01,,1.477,0.389,,0.004,0.007,,,,0.051,3.616,29.118,0.048,,,140.519,3.517,,,,,,,,1.93,4.248,3.406,6.162,0.37,0.669,0.157,0.284,0.78,1.412,,,,0.027,0.01,0.027,0.0,0.003,0.001,0.004,0.0,,,0.03,0.008,,,,0.047,0.03,,0.008,0.0,0.0,0.0,0.0,2.348,1.067,,
1958,CYP,563293.0,2042279936.0,0.04,0.071,0.765,-0.051,-6.287,4.022,-0.202,-4.773,7.14,1.969,,1.359,0.375,,0.004,0.006,,,,0.091,4.381,33.14,0.051,,,143.776,4.239,,,,,,,,1.813,3.992,3.256,5.781,0.371,0.659,0.16,0.285,0.722,1.282,,,,0.031,0.009,0.026,0.0,0.005,0.002,0.004,0.0,,,0.03,0.009,,,,0.045,0.027,,0.008,0.0,0.0,0.0,0.0,2.249,1.021,,
1959,CYP,574569.0,2162537984.0,0.04,0.07,0.831,0.066,8.616,3.808,-0.214,-5.322,6.627,1.761,,1.447,0.384,,0.004,0.006,,,,0.131,5.213,36.948,0.055,,,146.752,5.027,,,,,,,,1.901,3.864,2.976,5.18,0.371,0.646,0.163,0.284,0.788,1.371,,,,0.028,0.009,0.023,0.0,0.007,0.002,0.005,0.0,,,0.03,0.01,,,,0.038,0.027,,0.008,0.0,0.0,0.0,0.0,2.22,1.092,,
