year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1939,ERI,700891.0,,0.015,0.021,0.015,,,1.573,,,2.244,,,0.021,,,,,,,,0.015,0.015,1.573,,,,45.632,,,,,,,,,0.407,1.617,1.559,2.224,0.251,0.358,0.291,0.415,,,,,,0.041,0.0,0.016,,0.003,0.0,0.0,,,,0.013,,,,,0.029,,,0.006,0.0,0.0,0.0,0.0,1.133,0.285,,
1940,ERI,708488.0,,0.007,0.01,0.007,-0.007,-49.997,2.992,1.419,90.21,4.223,,,0.01,,,,,,,,0.022,0.022,4.565,,,,48.617,,,,,,,,,0.401,2.511,2.985,4.213,0.257,0.363,0.29,0.41,,,,,,0.023,0.0,0.029,,0.005,0.0,0.001,,,,0.013,,,,,0.055,,,0.006,0.0,0.0,0.0,0.0,1.779,0.284,,
1941,ERI,717163.0,,0.004,0.005,0.004,-0.004,-50.007,3.848,0.856,28.615,5.366,,,0.005,,,,,,,,0.025,0.025,8.414,,,,52.462,,,,,,,,,0.402,2.992,3.845,5.361,0.264,0.368,0.319,0.444,,,,,,0.008,0.0,0.036,,0.005,0.0,0.002,,,,0.014,,,,,0.067,,,0.007,0.0,0.0,0.0,0.0,2.146,0.288,,
1942,ERI,726941.0,,0.011,0.015,0.011,0.007,200.028,4.343,0.494,12.842,5.974,,,0.015,,,,,,,,0.036,0.036,12.757,,,,56.794,,,,,,,,,0.417,3.321,4.332,5.959,0.271,0.373,0.394,0.542,,,,,,0.028,0.0,0.04,,0.006,0.0,0.002,,,,0.015,,,,,0.075,,,0.007,0.0,0.0,0.0,0.0,2.414,0.303,,
1943,ERI,737845.0,,0.015,0.02,0.015,0.004,33.33,4.684,0.341,7.86,6.348,,,0.02,,,,,,,,0.051,0.051,17.441,,,,61.464,,,,,,,,,0.426,3.546,4.67,6.329,0.278,0.377,0.506,0.685,,,,,,0.042,0.0,0.043,,0.009,0.0,0.003,,,,0.016,,,,,0.082,,,0.007,0.0,0.0,0.0,0.0,2.616,0.314,,
1944,ERI,748913.0,,0.018,0.024,0.018,0.004,24.998,4.916,0.232,4.953,6.564,,,0.024,,,,,,,,0.069,0.069,22.357,,,,66.361,,,,,,,,,0.435,3.753,4.898,6.54,0.285,0.381,0.641,0.856,,,,,,0.08,0.0,0.045,,0.011,0.0,0.004,,,,0.017,,,,,0.086,,,0.007,0.0,0.0,0.0,0.0,2.811,0.325,,
1994,ERI,1913920.0,,0.018,0.01,0.707,,,-2.214,,,-1.157,,-0.57,0.37,,0.182,,,,,,0.087,0.776,20.143,,0.0,,146.921,0.689,,1901.463,,0.0,0.0,,,0.997,2.077,-2.921,-1.526,3.124,1.632,1.037,0.542,0.689,0.36,,,3.884,0.003,0.003,-0.008,,0.001,0.0,0.001,,0.0,,0.022,0.0,,0.0,,-0.05,0.007,,0.018,0.0,0.0,0.0,0.0,3.975,1.908,,
1995,ERI,2025272.0,,0.02,0.01,0.79,0.083,11.682,-3.182,-0.969,43.75,-1.571,,-0.715,0.39,,0.178,,,,,,0.108,1.566,16.961,,0.0,,142.949,1.458,,2062.443,,0.0,0.0,,,0.997,1.885,-3.972,-1.961,3.177,1.569,1.054,0.52,0.769,0.38,,,4.449,0.003,0.003,-0.011,,0.001,0.0,0.001,,0.0,,0.021,0.0,,0.0,,-0.073,0.008,,0.018,0.0,0.0,0.0,0.0,3.817,2.018,,
1996,ERI,2128465.0,,0.019,0.009,0.862,0.072,9.12,-1.427,1.755,-55.146,-0.671,,-0.314,0.405,,0.19,,,,,,0.127,2.428,15.533,,0.0,,140.659,2.301,,2008.545,,0.0,0.0,,,1.002,2.447,-2.289,-1.076,3.51,1.649,1.219,0.573,0.843,0.396,,,4.548,0.003,0.004,-0.005,,0.001,0.0,0.001,,0.0,,0.021,0.001,,0.0,,-0.038,0.009,,0.018,0.0,0.0,0.0,0.0,5.209,2.132,,
1997,ERI,2152146.0,,0.024,0.011,0.768,-0.094,-10.869,4.501,5.928,-415.302,2.091,,0.979,0.357,,0.167,,,,,,0.151,3.196,20.034,,0.0,,144.392,3.045,,2006.214,,0.0,0.0,,,0.962,3.905,3.733,1.734,3.885,1.805,1.39,0.646,0.744,0.346,,,4.597,0.004,0.003,0.014,,0.001,0.0,0.001,,0.0,,0.021,0.001,,0.0,,0.05,0.008,,0.018,0.0,0.0,0.0,0.0,8.404,2.07,,
1998,ERI,2180424.0,,0.018,0.008,0.586,-0.182,-23.692,1.462,-3.039,-67.516,0.671,,0.299,0.269,,0.12,,,,,,0.17,3.782,21.496,,0.0,,145.268,3.613,,2101.843,,0.0,0.0,,,0.746,3.137,0.876,0.402,3.801,1.743,1.435,0.658,0.568,0.26,,,4.882,0.003,0.002,0.005,,0.001,0.0,0.001,,0.0,,0.021,0.001,,0.0,,0.014,0.006,,0.018,0.0,0.0,0.0,0.0,6.84,1.626,,
1999,ERI,2212783.0,,0.018,0.008,0.615,0.029,4.996,4.103,2.641,180.658,1.854,,0.81,0.278,,0.121,,,,,,0.188,4.398,25.599,,0.0,,148.756,4.21,,2150.386,,0.0,0.0,,,0.762,3.754,3.488,1.576,3.9,1.762,1.473,0.666,0.597,0.27,,,5.067,0.003,0.002,0.013,,0.001,0.0,0.001,,0.0,,0.021,0.001,,0.0,,0.058,0.006,,0.018,0.0,0.0,0.0,0.0,8.308,1.686,,
2000,ERI,2247036.0,,0.018,0.008,0.604,-0.011,-1.791,1.991,-2.112,-51.469,0.886,,0.766,0.269,,0.233,,,,,,0.206,5.002,27.59,,0.0,,150.142,4.796,,1086.235,,0.0,0.0,,,0.761,3.305,1.387,0.617,4.036,1.796,1.54,0.685,0.586,0.261,,,2.599,0.003,0.002,0.006,,0.001,0.0,0.002,,0.0,,0.021,0.001,,0.0,,0.026,0.006,,0.018,0.0,0.0,0.0,0.0,7.426,1.709,,
2001,ERI,2312083.0,,0.018,0.008,0.637,0.033,5.444,1.058,-0.934,-46.887,0.457,,0.371,0.276,,0.224,,,,,,0.224,5.639,28.648,,0.0,,150.563,5.415,,1156.577,,0.0,0.0,,,0.776,2.922,0.42,0.182,3.868,1.673,1.405,0.608,0.619,0.268,,,2.847,0.002,0.002,0.003,,0.001,0.001,0.002,,0.0,,0.021,0.001,,0.0,,0.009,0.006,,0.018,0.0,0.0,0.0,0.0,6.755,1.794,,
2002,ERI,2392981.0,,0.018,0.008,0.509,-0.128,-20.133,2.845,1.787,169.002,1.189,,1.096,0.213,,0.196,,,,,,0.242,6.148,31.493,,0.0,,152.899,5.906,,1019.168,,0.0,0.0,,,0.713,3.097,2.336,0.976,3.876,1.62,1.382,0.577,0.491,0.205,,,2.596,0.002,0.002,0.009,,0.001,0.001,0.002,,0.0,,0.021,0.002,,0.0,,0.046,0.005,,0.018,0.0,0.0,0.0,0.0,7.411,1.706,,
2003,ERI,2493905.0,,0.018,0.007,0.78,0.271,53.252,2.126,-0.719,-25.283,0.852,,0.683,0.313,,0.251,,,,,,0.26,6.929,33.619,,0.0,,154.245,6.668,,1172.767,,0.0,0.0,,,0.809,2.963,1.346,0.54,4.005,1.606,1.417,0.568,0.762,0.306,,,3.112,0.002,0.003,0.006,,0.001,0.001,0.002,,0.0,,0.021,0.002,,0.0,,0.022,0.007,,0.018,0.0,0.0,0.0,0.0,7.39,2.018,,
2004,ERI,2598288.0,,0.018,0.007,0.633,-0.147,-18.797,2.607,0.481,22.62,1.003,,0.769,0.244,,0.187,,,,,,0.278,7.562,36.226,,0.0,,156.218,7.284,,1226.452,,0.0,0.0,,,0.725,2.967,1.973,0.759,4.082,1.571,1.411,0.543,0.616,0.237,,,3.389,0.002,0.002,0.008,,0.001,0.001,0.002,,0.0,,0.021,0.002,,0.0,,0.037,0.006,,0.018,0.0,0.0,0.0,0.0,7.71,1.885,,
2005,ERI,2661217.0,,0.018,0.007,0.586,-0.048,-7.531,4.666,2.059,78.998,1.753,,1.376,0.22,,0.173,,,,,,0.296,8.148,40.892,,0.0,,160.298,7.852,,1197.504,,0.0,0.0,,,0.705,3.261,4.08,1.533,4.163,1.564,1.45,0.545,0.568,0.213,,,3.391,0.002,0.002,0.014,,0.001,0.001,0.002,,0.0,,0.022,0.002,,0.0,,0.083,0.005,,0.018,0.0,0.0,0.0,0.0,8.679,1.877,,
2006,ERI,2703500.0,,0.018,0.007,0.454,-0.132,-22.547,2.771,-1.894,-40.601,1.025,,1.188,0.168,,0.195,,,,,,0.313,8.601,43.663,,0.0,,162.616,8.288,,809.802,,0.0,0.0,,,0.659,2.792,2.318,0.857,4.095,1.515,1.399,0.518,0.436,0.161,,,2.332,0.002,0.001,0.008,,0.001,0.001,0.002,,0.0,,0.022,0.002,,0.0,,0.043,0.004,,0.018,0.0,0.0,0.0,0.0,7.549,1.78,,
2007,ERI,2743228.0,,0.017,0.006,0.424,-0.03,-6.514,1.941,-0.831,-29.975,0.707,,0.81,0.155,,0.177,,,,,,0.331,9.026,45.604,,0.0,,164.132,8.695,,818.482,,0.0,0.0,,,0.653,2.73,1.517,0.553,4.331,1.579,1.503,0.548,0.407,0.148,,,2.395,0.002,0.001,0.005,,0.001,0.001,0.002,,0.0,,0.022,0.002,,0.0,,0.033,0.004,,0.018,0.0,0.0,0.0,0.0,7.49,1.79,,
