year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GMB,306745.0,266122000.0,0.0,0.0,0.015,,,2.014,,,6.565,7.567,,0.048,0.055,,,,,,,0.0,0.015,2.014,,,,99.871,0.015,,,,,,,,0.258,4.482,1.999,6.517,0.346,1.128,0.18,0.586,0.015,0.048,,,,0.0,0.0,0.017,,0.0,0.0,0.0,,,,0.024,0.0,,,,0.032,0.001,,0.006,0.0,0.0,0.0,0.0,1.375,0.079,,
1951,GMB,314501.0,282169984.0,0.0,0.0,0.015,0.0,0.0,1.836,-0.178,-8.829,5.837,6.506,,0.047,0.052,,,,,,,0.0,0.029,3.85,,,,101.692,0.029,,,,,,,,0.255,4.133,1.821,5.791,0.349,1.11,0.179,0.568,0.015,0.047,,,,0.0,0.0,0.014,,0.0,0.0,0.001,,,,0.024,0.0,,,,0.028,0.001,,0.006,0.0,0.0,0.0,0.0,1.3,0.08,,
1952,GMB,322645.0,290248000.0,0.0,0.0,0.011,-0.004,-25.0,1.204,-0.632,-34.445,3.73,4.147,,0.034,0.038,,,,,,,0.0,0.04,5.053,,,,102.884,0.04,,,,,,,,0.241,3.475,1.193,3.696,0.355,1.1,0.174,0.54,0.011,0.034,,,,0.0,0.0,0.009,,0.0,0.0,0.001,,,,0.024,0.0,,,,0.018,0.001,,0.006,0.0,0.0,0.0,0.0,1.121,0.078,,
1953,GMB,331094.0,301476000.0,0.0,0.0,0.011,0.0,0.0,1.013,-0.19,-15.825,3.06,3.36,,0.033,0.036,,,,,,,0.0,0.051,6.066,,,,103.886,0.051,,,,,,,,0.24,3.19,1.002,3.027,0.364,1.1,0.167,0.505,0.011,0.033,,,,0.0,0.0,0.008,,0.0,0.0,0.001,,,,0.024,0.0,,,,0.015,0.001,,0.006,0.0,0.0,0.0,0.0,1.056,0.08,,
1954,GMB,339817.0,319332000.0,0.0,0.0,0.015,0.004,33.333,1.051,0.038,3.761,3.093,3.292,,0.043,0.046,,,,,,,0.0,0.066,7.117,,,,104.923,0.066,,,,,,,,0.251,3.159,1.037,3.05,0.377,1.109,0.159,0.467,0.015,0.043,,,,0.0,0.0,0.008,,0.0,0.0,0.001,,,,0.023,0.0,,,,0.015,0.001,,0.006,0.0,0.0,0.0,0.0,1.074,0.085,,
1955,GMB,348800.0,328644000.0,0.0,0.0,0.015,0.0,0.0,0.99,-0.062,-5.856,2.837,3.011,,0.042,0.045,,,,,,,0.0,0.081,8.107,,,,105.898,0.081,,,,,,,,0.252,3.05,0.975,2.795,0.392,1.123,0.15,0.429,0.015,0.042,,,,0.0,0.0,0.007,,0.0,0.0,0.001,,,,0.023,0.0,,,,0.014,0.001,,0.006,0.0,0.0,0.0,0.0,1.064,0.088,,
1956,GMB,358040.0,342089984.0,0.0,0.0,0.018,0.004,25.0,0.91,-0.08,-8.071,2.541,2.659,,0.051,0.054,,,,,,,0.0,0.099,9.017,,,,106.789,0.099,,,,,,,,0.263,2.891,0.891,2.49,0.409,1.141,0.14,0.392,0.018,0.051,,,,0.0,0.0,0.006,,0.0,0.0,0.001,,,,0.023,0.0,,,,0.012,0.001,,0.006,0.0,0.0,0.0,0.0,1.035,0.094,,
1957,GMB,367554.0,354331008.0,0.0,0.0,0.022,0.004,20.0,0.814,-0.096,-10.56,2.214,2.296,,0.06,0.062,,,,,,,0.0,0.121,9.83,,,,107.581,0.121,,,,,,,,0.273,2.729,0.792,2.154,0.427,1.16,0.132,0.359,0.022,0.06,,,,0.0,0.0,0.005,,0.0,0.0,0.001,,,,0.023,0.0,,,,0.011,0.001,,0.006,0.0,0.0,0.0,0.0,1.003,0.101,,
1958,GMB,377379.0,364204000.0,0.0,0.0,0.026,0.004,16.667,0.679,-0.135,-16.576,1.799,1.864,,0.068,0.07,,,,,,,0.0,0.147,10.509,,,,108.234,0.147,,,,,,,,0.283,2.545,0.653,1.731,0.444,1.178,0.125,0.331,0.026,0.068,,,,0.0,0.0,0.004,,0.0,0.0,0.001,,,,0.023,0.0,,,,0.009,0.001,,0.006,0.0,0.0,0.0,0.0,0.961,0.107,,
1959,GMB,387548.0,386118016.0,0.0,0.0,0.018,-0.007,-28.571,0.503,-0.176,-25.937,1.297,1.302,,0.047,0.047,,,,,,,0.0,0.165,11.012,,,,108.719,0.165,,,,,,,,0.264,2.319,0.484,1.25,0.461,1.19,0.121,0.311,0.018,0.047,,,,0.0,0.0,0.003,,0.0,0.0,0.001,,,,0.022,0.0,,,,0.006,0.001,,0.006,0.0,0.0,0.0,0.0,0.899,0.102,,
