year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GNB,543632.0,264849824.0,0.0,0.0,0.007,,,4.349,,,8.0,16.422,,0.013,0.028,,,,,,,0.0,0.007,4.349,,,,102.269,0.007,,,,,,,,0.252,6.41,4.342,7.987,0.498,0.916,0.474,0.873,0.007,0.013,,,,0.0,0.0,0.036,,0.0,0.0,0.001,,,,0.024,0.0,,,,0.07,0.0,,0.01,0.0,0.0,0.0,0.0,3.485,0.137,,
1951,GNB,549746.0,282127584.0,0.0,0.0,0.004,-0.004,-50.0,3.409,-0.94,-21.608,6.202,12.085,,0.007,0.013,,,,,,,0.0,0.011,7.759,,,,105.675,0.011,,,,,,,,0.252,5.224,3.406,6.195,0.519,0.944,0.471,0.857,0.004,0.007,,,,0.0,0.0,0.026,,0.0,0.0,0.001,,,,0.025,0.0,,,,0.052,0.0,,0.01,0.0,0.0,0.0,0.0,2.872,0.138,,
1952,GNB,553921.0,299616960.0,0.0,0.0,0.011,0.007,200.0,2.951,-0.458,-13.441,5.328,9.85,,0.02,0.037,,,,,,,0.0,0.022,10.71,,,,108.616,0.022,,,,,,,,0.272,4.656,2.94,5.308,0.539,0.973,0.46,0.83,0.011,0.02,,,,0.0,0.0,0.023,,0.0,0.0,0.002,,,,0.025,0.0,,,,0.045,0.001,,0.01,0.0,0.0,0.0,0.0,2.579,0.151,,
1953,GNB,557635.0,319656416.0,0.0,0.0,0.007,-0.004,-33.333,2.551,-0.4,-13.557,4.575,7.981,,0.013,0.023,,,,,,,0.0,0.029,13.261,,,,111.159,0.029,,,,,,,,0.273,4.245,2.544,4.562,0.559,1.003,0.442,0.792,0.007,0.013,,,,0.0,0.0,0.019,,0.0,0.0,0.002,,,,0.025,0.0,,,,0.039,0.0,,0.01,0.0,0.0,0.0,0.0,2.367,0.152,,
1954,GNB,560984.0,383462720.0,0.0,0.0,0.007,0.0,0.0,2.29,-0.261,-10.243,4.082,5.971,,0.013,0.019,,,,,,,0.0,0.037,15.551,,,,113.442,0.037,,,,,,,,0.281,4.051,2.282,4.069,0.58,1.034,0.419,0.747,0.007,0.013,,,,0.0,0.0,0.017,,0.0,0.0,0.002,,,,0.025,0.0,,,,0.033,0.0,,0.011,0.0,0.0,0.0,0.0,2.273,0.157,,
1955,GNB,564074.0,368167392.0,0.0,0.0,0.011,0.004,50.0,2.171,-0.119,-5.183,3.849,5.897,,0.019,0.03,,,,,,,0.0,0.048,17.722,,,,115.602,0.048,,,,,,,,0.295,3.902,2.16,3.83,0.601,1.066,0.395,0.7,0.011,0.019,,,,0.0,0.0,0.015,,0.0,0.0,0.002,,,,0.025,0.0,,,,0.03,0.0,,0.011,0.0,0.0,0.0,0.0,2.201,0.166,,
1956,GNB,566981.0,419244608.0,0.0,0.0,0.011,0.0,0.0,1.996,-0.175,-8.067,3.52,4.761,,0.019,0.026,,,,,,,0.0,0.059,19.718,,,,117.587,0.059,,,,,,,,0.303,3.751,1.985,3.501,0.623,1.099,0.37,0.653,0.011,0.019,,,,0.0,0.0,0.013,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.027,0.0,,0.011,0.0,0.0,0.0,0.0,2.126,0.172,,
1957,GNB,569752.0,447214688.0,0.0,0.0,0.011,0.0,0.0,1.863,-0.133,-6.673,3.27,4.165,,0.019,0.025,,,,,,,0.0,0.07,21.581,,,,119.439,0.07,,,,,,,,0.311,3.654,1.852,3.25,0.646,1.133,0.348,0.611,0.011,0.019,,,,0.0,0.0,0.012,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.025,0.0,,0.011,0.0,0.0,0.0,0.0,2.082,0.177,,
1958,GNB,572425.0,461805536.0,0.0,0.0,0.011,0.0,0.0,1.726,-0.137,-7.342,3.015,3.738,,0.019,0.024,,,,,,,0.0,0.081,23.307,,,,121.154,0.081,,,,,,,,0.319,3.522,1.715,2.996,0.669,1.168,0.33,0.576,0.011,0.019,,,,0.0,0.0,0.011,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.024,0.0,,0.011,0.0,0.0,0.0,0.0,2.016,0.183,,
1959,GNB,575036.0,467580992.0,0.0,0.0,0.015,0.004,33.333,1.462,-0.264,-15.273,2.543,3.128,,0.025,0.031,,,,,,,0.0,0.095,24.769,,,,122.602,0.095,,,,,,,,0.334,3.329,1.448,2.518,0.692,1.203,0.318,0.554,0.015,0.025,,,,0.0,0.0,0.009,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.019,0.001,,0.011,0.0,0.0,0.0,0.0,1.914,0.192,,
1960,GNB,577635.0,493345600.0,0.0,0.0,0.018,0.004,25.0,1.121,-0.341,-23.343,1.941,2.272,,0.032,0.037,,,,,,,0.0,0.114,25.89,,,,123.704,0.114,,,,,,,,0.348,3.023,1.103,1.909,0.714,1.236,0.315,0.546,0.018,0.032,,,,0.0,0.0,0.007,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.016,0.001,,0.011,0.0,0.0,0.0,0.0,1.746,0.201,,
1961,GNB,582545.0,529381568.0,0.0,0.0,0.029,0.011,60.0,1.014,-0.108,-9.589,1.74,1.915,,0.05,0.055,,,,,,,0.0,0.143,26.904,,,,124.689,0.143,,,,,,,,0.373,2.933,0.984,1.69,0.723,1.24,0.345,0.593,0.029,0.05,,,,0.0,0.0,0.006,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.014,0.001,,0.011,0.0,0.0,0.0,0.0,1.709,0.217,,
1962,GNB,589480.0,564410176.0,0.0,0.0,0.04,0.011,37.5,1.086,0.072,7.111,1.842,1.923,,0.068,0.071,,,,,,,0.0,0.183,27.99,,,,125.734,0.183,,,,,,,,0.396,2.938,1.045,1.773,0.736,1.248,0.346,0.588,0.04,0.068,,,,0.0,0.0,0.007,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.017,0.001,,0.011,0.0,0.0,0.0,0.0,1.732,0.234,,
1963,GNB,594427.0,590831168.0,0.0,0.0,0.048,0.007,18.182,0.964,-0.121,-11.188,1.622,1.632,,0.08,0.081,,,,,,,0.0,0.231,28.954,,,,126.65,0.231,,,,,,,,0.414,2.806,0.917,1.542,0.741,1.247,0.347,0.584,0.048,0.08,,,,0.0,0.0,0.006,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.015,0.001,,0.011,0.0,0.0,0.0,0.0,1.668,0.246,,
1964,GNB,588549.0,626761664.0,0.0,0.0,0.059,0.011,23.077,1.025,0.061,6.339,1.742,1.636,,0.1,0.094,,,,,,,0.0,0.289,29.979,,,,127.617,0.289,,,,,,,,0.443,2.974,0.967,1.642,0.774,1.315,0.349,0.593,0.059,0.1,,,,0.0,0.001,0.006,,0.0,0.0,0.003,,,,0.025,0.0,,,,0.016,0.001,,0.011,0.0,0.0,0.0,0.0,1.75,0.261,,
1965,GNB,575011.0,662346688.0,0.0,0.0,0.066,0.007,12.5,0.925,-0.1,-9.735,1.609,1.397,,0.115,0.1,,,,,,,0.0,0.355,30.904,,,,128.477,0.355,,,,,,,,0.474,2.934,0.86,1.495,0.74,1.287,0.348,0.605,0.066,0.115,,,,0.0,0.001,0.005,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.015,0.001,,0.011,0.0,0.0,0.0,0.0,1.687,0.273,,
1966,GNB,566915.0,696799296.0,0.0,0.0,0.066,0.0,0.0,2.428,1.503,162.388,4.283,3.485,,0.116,0.095,,,,,,,0.0,0.421,33.333,,,,130.839,0.421,,,,,,,,0.49,4.237,2.362,4.167,0.717,1.264,0.348,0.613,0.066,0.116,,,,0.0,0.001,0.014,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.045,0.001,,0.011,0.0,0.0,0.0,0.0,2.402,0.278,,
1967,GNB,569016.0,740785600.0,0.0,0.0,0.048,-0.018,-27.778,2.07,-0.359,-14.767,3.637,2.794,,0.084,0.064,,,,,,,0.0,0.469,35.402,,,,132.861,0.469,,,,,,,,0.467,3.966,2.022,3.554,0.704,1.237,0.347,0.61,0.048,0.084,,,,0.0,0.0,0.012,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.037,0.001,,0.011,0.0,0.0,0.0,0.0,2.257,0.266,,
1968,GNB,578180.0,776173184.0,0.0,0.0,0.062,0.015,30.769,1.767,-0.303,-14.63,3.056,2.276,,0.108,0.08,,,,,,,0.0,0.531,37.169,,,,134.565,0.531,,,,,,,,0.497,3.536,1.705,2.948,0.702,1.213,0.347,0.6,0.062,0.108,,,,0.0,0.0,0.01,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.032,0.001,,0.011,0.0,0.0,0.0,0.0,2.044,0.288,,
1969,GNB,581626.0,820793408.0,0.0,0.0,0.059,-0.004,-5.882,1.686,-0.081,-4.566,2.899,2.054,,0.101,0.071,,,,,,,0.0,0.59,38.856,,,,136.193,0.59,,,,,,,,0.5,3.479,1.628,2.798,0.709,1.219,0.347,0.597,0.059,0.101,,,,0.0,0.0,0.009,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.028,0.001,,0.011,0.0,0.0,0.0,0.0,2.023,0.291,,
1970,GNB,584408.0,864927872.0,0.0,0.0,0.07,0.011,18.75,1.795,0.109,6.473,3.072,2.076,,0.119,0.08,,,,,,,0.0,0.66,40.651,,,,137.919,0.66,,,,,,,,0.553,3.555,1.726,2.953,0.743,1.271,0.364,0.623,0.07,0.119,,,,0.0,0.0,0.009,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.03,0.001,,0.01,0.0,0.0,0.0,0.0,2.077,0.323,,
1971,GNB,586229.0,830834880.0,0.0,0.0,0.073,0.004,5.263,1.774,-0.022,-1.21,3.025,2.135,,0.125,0.088,,,,,,,0.0,0.733,42.425,,,,139.619,0.733,,,,,,,,0.57,3.542,1.7,2.9,0.746,1.273,0.36,0.613,0.073,0.125,,,,0.0,0.0,0.009,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.033,0.001,,0.01,0.0,0.0,0.0,0.0,2.076,0.334,,
1972,GNB,586632.0,883009728.0,0.0,0.0,0.066,-0.007,-10.0,2.353,0.58,32.675,4.011,2.665,,0.112,0.075,,,,,,,0.0,0.799,44.778,,,,141.906,0.799,,,,,,,,0.571,4.058,2.287,3.899,0.76,1.296,0.361,0.615,0.066,0.112,,,,0.0,0.0,0.011,,0.0,0.0,0.004,,,,0.025,0.001,,,,0.042,0.001,,0.01,0.0,0.0,0.0,0.0,2.381,0.335,,
1973,GNB,592814.0,893538304.0,0.0,0.0,0.11,0.044,66.667,2.678,0.325,13.797,4.517,2.997,,0.185,0.123,,,,,,,0.0,0.909,47.456,,,,144.474,0.909,,,,,,,,0.653,4.444,2.568,4.332,0.806,1.36,0.391,0.66,0.11,0.185,,,,0.0,0.001,0.012,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.049,0.001,,0.01,0.0,0.0,0.0,0.0,2.634,0.387,,
1974,GNB,613345.0,933182720.0,0.0,0.0,0.103,-0.007,-6.667,2.301,-0.377,-14.063,3.752,2.466,,0.167,0.11,,,,,,,0.0,1.011,49.757,,,,146.673,1.011,,,,,,,,0.633,3.853,2.199,3.585,0.774,1.261,0.33,0.538,0.103,0.167,,,,0.0,0.001,0.01,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.043,0.001,,0.01,0.0,0.0,0.0,0.0,2.363,0.388,,
1975,GNB,650970.0,1007079232.0,0.0,0.0,0.114,0.011,10.714,2.203,-0.098,-4.256,3.385,2.188,,0.174,0.113,,,,,,,0.0,1.125,51.96,,,,148.763,1.125,,,,,,,,0.636,3.771,2.09,3.21,0.863,1.325,0.359,0.552,0.114,0.174,,,,0.0,0.001,0.01,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.041,0.001,,0.01,0.0,0.0,0.0,0.0,2.455,0.414,,
1976,GNB,694194.0,1057296192.0,0.0,0.0,0.095,-0.018,-16.129,2.096,-0.107,-4.874,3.019,1.982,,0.137,0.09,,,,,,,0.0,1.22,54.056,,,,150.763,1.22,,,,,,,,0.589,3.571,2.001,2.882,0.922,1.328,0.38,0.547,0.095,0.137,,,,0.0,0.001,0.009,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.039,0.001,,0.01,0.0,0.0,0.0,0.0,2.479,0.409,,
1977,GNB,741796.0,981465280.0,0.0,0.0,0.103,0.007,7.692,2.08,-0.016,-0.755,2.804,2.119,,0.138,0.105,,,,,,,0.0,1.323,56.136,,,,152.741,1.323,,,,,,,,0.584,3.461,1.977,2.666,0.977,1.316,0.434,0.585,0.103,0.138,,,,0.0,0.001,0.009,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.036,0.001,,0.01,0.0,0.0,0.0,0.0,2.567,0.433,,
1978,GNB,791693.0,1110635520.0,0.0,0.0,0.103,0.0,0.0,2.192,0.112,5.369,2.768,1.973,,0.13,0.092,,,,,,,0.0,1.425,58.328,,,,154.83,1.425,,,,,,,,0.56,3.255,2.089,2.639,0.899,1.135,0.392,0.495,0.103,0.13,,,,0.0,0.001,0.009,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.039,0.001,,0.01,0.0,0.0,0.0,0.0,2.577,0.444,,
1979,GNB,819876.0,1132379904.0,0.0,0.0,0.11,0.007,7.143,2.503,0.311,14.205,3.053,2.21,,0.134,0.097,,,,,,,0.0,1.535,60.831,,,,157.223,1.535,,,,,,,,0.567,3.485,2.393,2.919,0.945,1.153,0.421,0.514,0.11,0.134,,,,0.0,0.001,0.01,,0.0,0.0,0.005,,,,0.026,0.001,,,,0.051,0.001,,0.01,0.0,0.0,0.0,0.0,2.858,0.464,,
1980,GNB,829315.0,952269888.0,0.0,0.0,0.147,0.037,33.333,3.206,0.703,28.068,3.865,3.366,8.949,0.177,0.154,0.409,,,,,,0.0,1.682,64.037,,,,160.282,1.682,,430.843,0.376,,,,,0.633,4.131,3.059,3.689,1.051,1.267,0.501,0.604,0.147,0.177,,,0.358,0.0,0.001,0.013,,0.0,0.0,0.005,,,,0.027,0.001,,,,0.062,0.002,,0.01,0.0,0.0,0.0,0.0,3.426,0.525,,
1981,GNB,842437.0,946820992.0,0.0,0.0,0.143,-0.004,-2.5,4.173,0.967,30.162,4.953,4.407,11.68,0.17,0.151,0.4,,,,,,0.0,1.825,68.209,,,,164.312,1.825,,422.803,0.377,,,,,0.628,4.702,4.03,4.783,1.052,1.249,0.455,0.54,0.143,0.17,,,0.357,0.0,0.001,0.017,,0.0,0.0,0.006,,,,0.027,0.001,,,,0.083,0.002,,0.01,0.0,0.0,0.0,0.0,3.961,0.529,,
1982,GNB,855898.0,987040128.0,0.0,0.0,0.143,0.0,0.0,4.321,0.148,3.557,5.048,4.378,12.095,0.167,0.145,0.4,,,,,,0.0,1.968,72.53,,,,168.49,1.968,,416.07,0.362,,,,,0.674,5.068,4.178,4.882,1.226,1.433,0.544,0.636,0.143,0.167,,,0.357,0.0,0.001,0.018,,0.0,0.0,0.006,,,,0.028,0.001,,,,0.092,0.002,,0.01,0.0,0.0,0.0,0.0,4.338,0.577,,
1983,GNB,869597.0,954356096.0,0.0,0.0,0.143,0.0,0.0,6.177,1.856,42.951,7.103,6.472,17.29,0.164,0.15,0.4,,,,,,0.0,2.11,78.707,,,,174.524,2.11,,409.506,0.374,,,,,0.681,6.095,6.034,6.939,1.172,1.347,0.52,0.598,0.143,0.164,,,0.357,0.0,0.001,0.026,,0.0,0.0,0.006,,,,0.028,0.001,,,,0.126,0.002,,0.01,0.0,0.0,0.0,0.0,5.301,0.592,,
1984,GNB,883526.0,1005343808.0,0.0,0.0,0.161,0.018,12.821,5.156,-1.021,-16.528,5.836,5.129,10.795,0.182,0.16,0.338,,,,,,0.0,2.272,83.863,,,,179.519,2.272,,538.969,0.475,,,,,0.69,5.297,4.995,5.653,1.143,1.293,0.509,0.576,0.161,0.182,,,0.478,0.0,0.001,0.02,,0.0,0.0,0.006,,,,0.029,0.001,,,,0.089,0.002,,0.01,0.0,0.0,0.0,0.0,4.68,0.61,,
1985,GNB,897707.0,1048557504.0,0.0,0.0,0.172,0.011,6.818,3.194,-1.962,-38.053,3.558,3.046,5.96,0.192,0.164,0.321,,,,,,0.0,2.444,87.057,,,,182.541,2.444,,595.363,0.511,,,,,0.702,4.01,3.022,3.366,1.049,1.168,0.473,0.527,0.172,0.192,,,0.536,0.0,0.001,0.012,,0.0,0.0,0.007,,,,0.029,0.001,,,,0.057,0.002,,0.01,0.0,0.0,0.0,0.0,3.6,0.63,,
1986,GNB,912128.0,1038959040.0,0.0,0.0,0.183,0.011,6.383,2.563,-0.631,-19.756,2.81,2.467,5.56,0.201,0.176,0.397,,,,,,0.0,2.627,89.62,,,,184.92,2.627,,504.229,0.444,,,,,0.732,3.628,2.38,2.609,1.067,1.169,0.496,0.543,0.183,0.201,,,0.461,0.0,0.001,0.01,,0.0,0.0,0.007,,,,0.029,0.001,,,,0.043,0.002,,0.01,0.0,0.0,0.0,0.0,3.309,0.667,,
1987,GNB,926872.0,1098046464.0,0.0,0.0,0.194,0.011,6.0,2.108,-0.455,-17.757,2.274,1.92,2.65,0.21,0.177,0.244,,,,,,0.0,2.821,91.728,,,,186.834,2.821,,856.821,0.724,,,,,0.743,3.453,1.914,2.065,1.102,1.189,0.518,0.559,0.194,0.21,,,0.795,0.0,0.001,0.008,,0.0,0.0,0.007,,,,0.029,0.001,,,,0.036,0.002,,0.01,0.0,0.0,0.0,0.0,3.2,0.689,,
1988,GNB,942066.0,1173783552.0,0.0,0.0,0.216,0.022,11.321,5.639,3.531,167.521,5.986,4.804,6.165,0.229,0.184,0.236,,,,,,0.0,3.037,97.367,,,,192.257,3.037,,969.887,0.779,,,,,0.748,5.455,5.423,5.756,1.105,1.173,0.486,0.516,0.216,0.229,,,0.915,0.0,0.001,0.021,,0.0,0.0,0.007,,,,0.03,0.001,,,,0.105,0.002,,0.011,0.0,0.0,0.0,0.0,5.139,0.705,,
1989,GNB,957793.0,1223906688.0,0.0,0.0,0.231,0.015,6.78,4.437,-1.202,-21.321,4.632,3.625,4.795,0.241,0.189,0.25,,,,,,0.0,3.268,101.804,,,,196.463,3.268,,965.49,0.756,,,,,0.78,4.965,4.206,4.391,1.191,1.243,0.544,0.568,0.231,0.241,,,0.925,0.0,0.001,0.016,,0.0,0.0,0.007,,,,0.03,0.001,,,,0.085,0.003,,0.011,0.0,0.0,0.0,0.0,4.756,0.747,,
1990,GNB,973681.0,1261819904.0,0.0,0.0,0.172,-0.059,-25.397,2.975,-1.461,-32.941,3.056,2.358,2.63,0.177,0.136,0.152,,,,,,0.0,3.44,104.779,,,,199.266,3.44,,1161.993,0.897,,,,,0.756,4.185,2.803,2.879,1.229,1.262,0.537,0.552,0.172,0.177,,,1.131,0.0,0.001,0.011,,0.0,0.0,0.007,,,,0.031,0.001,,,,0.056,0.002,,0.011,0.0,0.0,0.0,0.0,4.074,0.736,,
1991,GNB,994641.0,1300711296.0,0.0,0.0,0.176,0.004,2.128,2.4,-0.576,-19.347,2.412,1.845,2.121,0.177,0.135,0.155,,,,,,0.0,3.616,107.178,,,,201.489,3.616,,1138.254,0.87,,,,,0.77,3.913,2.224,2.236,1.245,1.251,0.553,0.556,0.176,0.177,,,1.131,0.0,0.001,0.009,,0.0,0.0,0.007,,,,0.031,0.001,,,,0.045,0.002,,0.011,0.0,0.0,0.0,0.0,3.892,0.766,,
1992,GNB,1024365.0,1333901696.0,0.0,0.0,0.18,0.004,2.083,3.93,1.531,63.784,3.837,2.946,3.27,0.175,0.135,0.149,,,,,,0.0,3.796,111.108,,,,205.24,3.796,,1174.847,0.901,,,,,0.738,4.656,3.751,3.661,1.269,1.239,0.546,0.533,0.18,0.175,,,1.202,0.0,0.001,0.014,,0.0,0.0,0.007,,,,0.031,0.001,,,,0.071,0.002,,0.011,0.0,0.0,0.0,0.0,4.769,0.756,,
1993,GNB,1058754.0,1360698880.0,0.0,0.0,0.183,0.004,2.041,3.679,-0.251,-6.381,3.475,2.704,2.794,0.173,0.135,0.139,,,,,,0.0,3.979,114.788,,,,208.736,3.979,,1246.021,0.968,,,,,0.715,4.453,3.496,3.302,1.288,1.216,0.546,0.516,0.183,0.173,,,1.317,0.0,0.001,0.013,,0.0,0.0,0.007,,,,0.031,0.001,,,,0.07,0.002,,0.011,0.0,0.0,0.0,0.0,4.714,0.757,,
1994,GNB,1092038.0,1398135552.0,0.0,0.0,0.183,0.0,0.0,3.068,-0.611,-16.61,2.81,2.194,2.33,0.168,0.131,0.139,,,,,,0.0,4.162,117.856,,0.0,,211.621,4.162,,1208.449,0.942,0.0,0.0,,,0.699,4.263,2.885,2.642,1.305,1.195,0.559,0.512,0.183,0.168,,,1.317,0.0,0.001,0.011,,0.0,0.0,0.008,,0.0,,0.031,0.001,,0.0,,0.049,0.002,,0.011,0.0,0.0,0.0,0.0,4.655,0.764,,
1995,GNB,1119951.0,1448758016.0,0.0,0.0,0.183,0.0,0.0,2.887,-0.182,-5.92,2.577,1.992,2.192,0.164,0.126,0.139,,,,,,0.0,4.346,120.742,,0.0,,214.324,4.346,,1178.589,0.909,0.0,0.0,,,0.701,4.226,2.703,2.414,1.345,1.201,0.569,0.508,0.183,0.164,,,1.317,0.0,0.001,0.01,,0.0,0.0,0.008,,0.0,,0.032,0.001,,0.0,,0.05,0.002,,0.011,0.0,0.0,0.0,0.0,4.733,0.785,,
