year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,,,,0.0,,3.511,,,,,,,,,,,,0.0,,,,,0.0,3.511,,0.0,0.0,0.0,,3.511,0.0,,,0.0,,0.0,,,,,,,,,,3.511,,,0.0,,0.0,0.059,,0.0,0.0,0.002,,0.0,0.0,0.0,,0.013,,0.0,0.0,,0.227,,,,,,,,,,
1951,,,,0.0,,3.891,0.38,10.808,,,,,,,,,,0.0,,,,,0.0,7.402,,0.0,0.0,0.0,,7.402,0.0,,,0.0,,0.0,,,,,,,,,,3.891,,,0.0,,0.0,0.061,,0.0,0.0,0.003,,0.0,0.0,0.0,,0.025,,0.0,0.0,,0.226,,,,,,,,,,
1952,,,,0.0,,4.135,0.244,6.276,,,,,,,,,,0.0,,,,,0.0,11.537,,0.0,0.0,0.0,,11.537,0.0,,,0.0,,0.0,,,,,,,,,,4.135,,,0.0,,0.0,0.064,,0.0,0.0,0.005,,0.0,0.0,0.0,,0.037,,0.0,0.0,,0.228,,,,,,,,,,
1953,,,,0.0,,4.85,0.715,17.296,,,,,,,,,,0.0,,,,,0.0,16.387,,0.0,0.0,0.0,,16.387,0.0,,,0.0,,0.0,,,,,,,,,,4.85,,,0.0,,0.0,0.073,,0.0,0.0,0.007,,0.0,0.0,0.0,,0.049,,0.0,0.0,,0.25,,,,,,,,,,
1954,,,,0.0,,5.733,0.883,18.206,,,,,,,,,,0.0,,,,,0.0,22.121,,0.0,0.0,0.0,,22.121,0.0,,,0.0,,0.0,,,,,,,,,,5.733,,,0.0,,0.0,0.084,,0.0,0.0,0.009,,0.0,0.0,0.0,,0.062,,0.0,0.0,,0.279,,,,,,,,,,
1955,,,,0.0,,6.562,0.829,14.464,,,,,,,,,,0.0,,,,,0.0,28.683,,0.0,0.0,0.0,,28.683,0.0,,,0.0,,0.0,,,,,,,,,,6.562,,,0.0,,0.0,0.088,,0.0,0.0,0.011,,0.0,0.0,0.0,,0.076,,0.0,0.0,,0.286,,,,,,,,,,
1956,,,,0.0,,7.662,1.1,16.755,,,,,,,,,,0.0,,,,,0.0,36.345,,0.0,0.0,0.0,,36.345,0.0,,,0.0,,0.0,,,,,,,,,,7.662,,,0.0,,0.0,0.097,,0.0,0.0,0.013,,0.0,0.0,0.0,,0.09,,0.0,0.0,,0.307,,,,,,,,,,
1957,,,,0.0,,8.424,0.762,9.947,,,,,,,,,,0.0,,,,,0.0,44.769,,0.0,0.0,0.0,,44.769,0.0,,,0.0,,0.0,,,,,,,,,,8.424,,,0.0,,0.0,0.103,,0.0,0.0,0.016,,0.0,0.0,0.0,,0.105,,0.0,0.0,,0.323,,,,,,,,,,
1958,,,,0.0,,9.581,1.156,13.728,,,,,,,,,,0.0,,,,,0.0,54.35,,0.0,0.0,0.0,,54.35,0.0,,,0.0,,0.0,,,,,,,,,,9.581,,,0.0,,0.0,0.114,,0.0,0.0,0.019,,0.0,0.0,0.0,,0.119,,0.0,0.0,,0.352,,,,,,,,,,
1959,,,,0.0,,11.017,1.436,14.99,,,,,,,,,,0.0,,,,,0.0,65.367,,0.0,0.0,0.0,,65.367,0.0,,,0.0,,0.0,,,,,,,,,,11.017,,,0.0,,0.0,0.124,,0.0,0.0,0.022,,0.0,0.0,0.0,,0.135,,0.0,0.0,,0.38,,,,,,,,,,
