year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,KEN,5769190.0,6353788928.0,0.0,0.0,0.909,,,44.36,,,7.689,6.982,,0.158,0.143,,0.117,0.02,,,,0.0,0.909,44.36,0.117,,,944.952,0.791,,,,,,,,0.755,6.238,43.452,7.532,9.065,1.571,6.012,1.042,0.791,0.137,,,,0.0,0.015,0.365,0.003,0.0,0.0,0.007,0.0,,,0.224,0.003,,,,0.7,0.051,,0.114,0.0,0.0,0.0,0.0,35.99,4.357,,
1951,KEN,5893577.0,7729593856.0,0.011,0.002,1.392,0.484,53.216,45.697,1.337,3.014,7.754,5.912,,0.236,0.18,,0.051,0.009,,,,0.011,2.301,90.058,0.169,,,989.258,2.121,,,,,,,,0.839,6.41,44.305,7.518,9.357,1.588,5.976,1.014,1.33,0.226,,,,0.014,0.022,0.353,0.001,0.001,0.001,0.014,0.0,,,0.231,0.007,,,,0.675,0.077,,0.117,0.0,0.0,0.0,0.0,37.781,4.944,,
1952,KEN,6033296.0,6871281152.0,0.015,0.002,1.59,0.198,14.209,46.07,0.372,0.814,7.636,6.705,,0.264,0.231,,0.077,0.013,,,,0.025,3.891,136.127,0.245,,,1033.737,3.62,,,,,,,,0.869,6.376,44.48,7.372,9.657,1.601,5.835,0.967,1.499,0.248,,,,0.018,0.025,0.356,0.002,0.002,0.002,0.02,0.0,,,0.238,0.012,,,,0.687,0.082,,0.119,0.0,0.0,0.001,0.0,38.467,5.244,,
1953,KEN,6183897.0,6706084352.0,0.018,0.003,1.513,-0.077,-4.841,46.566,0.496,1.077,7.53,6.944,,0.245,0.226,,0.037,0.006,,,,0.044,5.404,182.693,0.282,,,1078.79,5.078,,,,,,,,0.852,6.355,45.053,7.285,9.967,1.612,5.614,0.908,1.458,0.236,,,,0.02,0.023,0.352,0.001,0.004,0.002,0.027,0.0,,,0.244,0.015,,,,0.684,0.075,,0.122,0.0,0.0,0.001,0.0,39.301,5.269,,
1954,KEN,6348144.0,7485814272.0,0.036,0.006,1.7,0.187,12.34,48.098,1.533,3.292,7.577,6.425,,0.268,0.227,,0.062,0.01,,,,0.08,7.104,230.791,0.344,,,1125.188,6.679,,,,,,,,0.876,6.231,46.399,7.309,10.291,1.621,5.34,0.841,1.601,0.252,,,,0.037,0.025,0.349,0.002,0.006,0.003,0.033,0.0,,,0.251,0.019,,,,0.665,0.078,,0.125,0.0,0.0,0.001,0.0,39.556,5.561,,
1955,KEN,6529299.0,8046895104.0,0.065,0.01,1.985,0.286,16.799,49.221,1.123,2.335,7.539,6.117,,0.304,0.247,,0.07,0.011,,,,0.145,9.089,280.013,0.414,,,1172.424,8.53,,,,,,,,0.912,6.303,47.236,7.234,10.629,1.628,5.04,0.772,1.85,0.283,,,,0.061,0.027,0.338,0.002,0.011,0.003,0.039,0.0,,,0.257,0.023,,,,0.663,0.081,,0.127,0.0,0.0,0.001,0.0,41.156,5.956,,
1956,KEN,6727685.0,8492809728.0,0.091,0.014,2.22,0.234,11.801,50.118,0.896,1.821,7.449,5.901,,0.33,0.261,,0.121,0.018,,,,0.236,11.309,330.131,0.535,,,1220.322,10.538,,,,,,,,0.936,6.214,47.898,7.12,10.979,1.632,4.74,0.705,2.008,0.298,,,,0.078,0.028,0.331,0.003,0.016,0.004,0.045,0.0,,,0.264,0.026,,,,0.663,0.08,,0.129,0.0,0.0,0.001,0.0,41.804,6.3,,
1957,KEN,6944873.0,8766820352.0,0.102,0.015,2.282,0.062,2.802,52.159,2.041,4.073,7.51,5.95,,0.329,0.26,,0.106,0.015,,,,0.338,13.591,382.289,0.641,,,1270.199,12.611,,,,,,,,0.932,6.167,49.877,7.182,11.341,1.633,4.466,0.643,2.074,0.299,,,,0.083,0.028,0.336,0.002,0.021,0.005,0.051,0.0,,,0.27,0.029,,,,0.681,0.079,,0.132,0.0,0.0,0.001,0.0,42.826,6.472,,
1958,KEN,7174794.0,8876621824.0,0.109,0.015,2.088,-0.194,-8.513,53.179,1.02,1.956,7.412,5.991,,0.291,0.235,,0.103,0.014,,,,0.447,15.678,435.468,0.744,,,1321.291,14.487,,,,,,,,0.89,6.133,51.091,7.121,11.715,1.633,4.246,0.592,1.876,0.261,,,,0.084,0.025,0.341,0.002,0.026,0.005,0.057,0.0,,,0.277,0.032,,,,0.71,0.069,,0.134,0.0,0.0,0.001,0.0,44.0,6.387,,
1959,KEN,7422742.0,9083654144.0,0.157,0.021,2.208,0.121,5.773,54.976,1.797,3.38,7.406,6.052,,0.297,0.243,,0.099,0.013,,,,0.604,17.886,490.445,0.843,,,1374.059,16.44,,,,,,,,0.892,6.058,52.768,7.109,12.106,1.631,4.105,0.553,1.952,0.263,,,,0.108,0.025,0.331,0.002,0.032,0.006,0.063,0.0,,,0.283,0.034,,,,0.681,0.067,,0.136,0.0,0.0,0.001,0.0,44.968,6.622,,
