year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1961,KIR,48347.0,,0.0,0.0,0.007,,,0.007,,,0.152,,,0.152,,,,,,,,0.0,0.007,0.007,,,,0.0,0.007,,,,,,,,0.234,0.331,0.0,0.0,0.007,0.144,0.002,0.036,0.007,0.152,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.016,0.011,,
1962,KIR,49562.0,,0.0,0.0,0.011,0.004,50.0,0.011,0.004,50.0,0.222,,,0.222,,,,,,,,0.0,0.018,0.018,,,,0.0,0.018,,,,,,,,0.305,0.401,0.0,0.0,0.007,0.143,0.002,0.036,0.011,0.222,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.015,,
1963,KIR,50811.0,,0.0,0.0,0.018,0.007,66.667,0.018,0.007,66.667,0.361,,,0.361,,,,,,,,0.0,0.037,0.037,,,,0.0,0.037,,,,,,,,0.445,0.539,0.0,0.0,0.007,0.142,0.002,0.036,0.018,0.361,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.027,0.023,,
1964,KIR,52106.0,,0.0,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.352,,,0.352,,,,,,,,0.0,0.055,0.055,,,,0.0,0.055,,,,,,,,0.438,0.553,0.0,0.0,0.008,0.161,0.002,0.04,0.018,0.352,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.029,0.023,,
1965,KIR,53452.0,,0.0,0.0,0.011,-0.007,-40.0,0.011,-0.007,-40.0,0.206,,,0.206,,,,,,,,0.0,0.066,0.066,,,,0.0,0.066,,,,,,,,0.292,0.405,0.0,0.0,0.008,0.159,0.002,0.04,0.011,0.206,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.022,0.016,,
1966,KIR,54448.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.202,,,0.202,,,,,,,,0.0,0.077,0.077,,,,0.0,0.077,,,,,,,,0.29,0.386,0.0,0.0,0.008,0.146,0.002,0.039,0.011,0.202,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.021,0.016,,
1967,KIR,55016.0,,0.0,0.0,0.022,0.011,100.0,0.022,0.011,100.0,0.4,,,0.4,,,,,,,,0.0,0.099,0.099,,,,0.0,0.099,,,,,,,,0.49,0.586,0.0,0.0,0.008,0.147,0.002,0.039,0.022,0.4,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.032,0.027,,
1968,KIR,55546.0,,0.0,0.0,0.033,0.011,50.0,0.033,0.011,50.0,0.594,,,0.594,,,,,,,,0.0,0.132,0.132,,,,0.0,0.132,,,,,,,,0.686,0.782,0.0,0.0,0.008,0.148,0.002,0.041,0.033,0.594,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.043,0.038,,
1969,KIR,56380.0,,0.0,0.0,0.011,-0.022,-66.667,0.011,-0.022,-66.667,0.195,,,0.195,,,,,,,,0.0,0.143,0.143,,,,0.0,0.143,,,,,,,,0.288,0.382,0.0,0.0,0.008,0.146,0.002,0.041,0.011,0.195,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.022,0.016,,
1970,KIR,57529.0,,0.0,0.0,0.022,0.011,100.0,0.022,0.011,100.0,0.382,,,0.382,,,,,,,,0.0,0.165,0.165,,,,0.0,0.165,,,,,,,,0.475,0.569,0.0,0.0,0.009,0.15,0.002,0.037,0.022,0.382,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.033,0.027,,
