year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1959,MLI,5325648.0,3723623424.0,0.0,0.0,0.048,,,8.205,,,1.541,2.203,,0.009,0.013,,,,,,,0.0,0.048,8.205,,,,449.036,0.048,,,,,,,,0.213,3.163,8.157,1.532,8.501,1.596,4.125,0.775,0.048,0.009,,,,0.0,0.001,0.049,,0.0,0.0,0.001,,,,0.093,0.0,,,,0.105,0.002,,0.067,0.0,0.0,0.0,0.0,16.847,1.132,,
1960,MLI,5402549.0,3825021952.0,0.0,0.0,0.121,0.073,153.846,6.418,-1.787,-21.775,1.188,1.678,,0.022,0.032,,,,,,,0.0,0.169,14.623,,,,455.333,0.169,,,,,,,,0.227,3.388,6.297,1.166,8.652,1.602,4.081,0.755,0.121,0.022,,,,0.0,0.001,0.04,,0.0,0.0,0.002,,,,0.093,0.0,,,,0.094,0.004,,0.067,0.0,0.0,0.0,0.0,18.304,1.228,,
1961,MLI,5482289.0,3851526912.0,0.0,0.0,0.117,-0.004,-3.03,5.406,-1.012,-15.769,0.986,1.404,,0.021,0.03,,,,,,,0.0,0.286,20.029,,,,460.622,0.286,,,,,,,,0.227,3.35,5.289,0.965,7.718,1.408,3.993,0.728,0.117,0.021,,,,0.0,0.001,0.033,,0.0,0.0,0.002,,,,0.092,0.001,,,,0.078,0.004,,0.067,0.0,0.0,0.0,0.0,18.368,1.245,,
1962,MLI,5563922.0,3869142528.0,0.0,0.0,0.139,0.022,18.75,5.074,-0.333,-6.151,0.912,1.311,,0.025,0.036,,,,,,,0.0,0.425,25.103,,,,465.556,0.425,,,,,,,,0.231,3.223,4.934,0.887,8.106,1.457,4.161,0.748,0.139,0.025,,,,0.0,0.001,0.032,,0.0,0.0,0.003,,,,0.092,0.001,,,,0.078,0.004,,0.067,0.0,0.0,0.0,0.0,17.932,1.288,,
1963,MLI,5646608.0,4135129088.0,0.0,0.0,0.176,0.037,26.316,4.279,-0.795,-15.665,0.758,1.035,,0.031,0.043,,,,,,,0.0,0.601,29.381,,,,469.659,0.601,,,,,,,,0.238,3.106,4.103,0.727,8.198,1.452,4.277,0.757,0.176,0.031,,,,0.0,0.002,0.026,,0.0,0.0,0.003,,,,0.092,0.001,,,,0.067,0.005,,0.067,0.0,0.0,0.0,0.0,17.541,1.346,,
1964,MLI,5730130.0,4328651264.0,0.0,0.0,0.176,0.0,0.0,4.165,-0.114,-2.668,0.727,0.962,,0.031,0.041,,,,,,,0.0,0.777,33.546,,,,473.648,0.777,,,,,,,,0.239,3.125,3.989,0.696,8.697,1.518,4.472,0.78,0.176,0.031,,,,0.0,0.002,0.025,,0.0,0.0,0.004,,,,0.092,0.001,,,,0.068,0.004,,0.067,0.0,0.0,0.0,0.0,17.907,1.367,,
1965,MLI,5815484.0,4385209344.0,0.0,0.0,0.198,0.022,12.5,3.578,-0.587,-14.095,0.615,0.816,,0.034,0.045,,,,,,,0.0,0.975,37.124,,,,477.028,0.975,,,,,,,,0.243,3.147,3.38,0.581,9.261,1.593,4.716,0.811,0.198,0.034,,,,0.0,0.002,0.021,,0.0,0.0,0.004,,,,0.091,0.001,,,,0.06,0.004,,0.067,0.0,0.0,0.0,0.0,18.304,1.411,,
1966,MLI,5902207.0,4570413568.0,0.0,0.0,0.191,-0.007,-3.704,3.56,-0.017,-0.483,0.603,0.779,,0.032,0.042,,,,,,,0.0,1.165,40.684,,,,480.398,1.165,,,,,,,,0.242,3.115,3.37,0.571,9.443,1.6,4.789,0.811,0.191,0.032,,,,0.0,0.002,0.021,,0.0,0.0,0.005,,,,0.091,0.002,,,,0.065,0.004,,0.068,0.0,0.0,0.0,0.0,18.385,1.426,,
1967,MLI,5990908.0,4726339072.0,0.0,0.0,0.224,0.033,17.308,2.991,-0.569,-15.977,0.499,0.633,,0.037,0.047,,,,,,,0.0,1.389,43.675,,,,483.166,1.389,,,,,,,,0.247,3.067,2.768,0.462,9.678,1.615,4.895,0.817,0.224,0.037,,,,0.0,0.002,0.017,,0.0,0.0,0.005,,,,0.091,0.002,,,,0.051,0.004,,0.068,0.0,0.0,0.0,0.0,18.373,1.481,,
1968,MLI,6082987.0,4898682368.0,0.0,0.0,0.198,-0.026,-11.475,2.656,-0.336,-11.222,0.437,0.542,,0.033,0.04,,,,,,,0.0,1.587,46.331,,,,485.623,1.587,,,,,,,,0.243,2.965,2.458,0.404,9.571,1.573,4.858,0.799,0.198,0.033,,,,0.0,0.002,0.015,,0.0,0.0,0.005,,,,0.09,0.002,,,,0.046,0.004,,0.068,0.0,0.0,0.0,0.0,18.034,1.479,,
1969,MLI,6177696.0,4876830720.0,0.0,0.0,0.161,-0.037,-18.519,5.364,2.708,101.969,0.868,1.1,,0.026,0.033,,,,,,,0.0,1.748,51.695,,,,490.826,1.748,,,,,,,,0.238,3.279,5.203,0.842,10.134,1.64,5.161,0.835,0.161,0.026,,,,0.0,0.001,0.027,,0.0,0.0,0.005,,,,0.09,0.002,,,,0.089,0.003,,0.068,0.0,0.0,0.0,0.0,20.258,1.467,,
