year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1992,MHL,46405.0,,0.0,0.0,0.077,,,0.077,,,1.658,,,1.658,,,,,,,,0.0,0.077,0.077,,,,0.0,0.077,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.077,1.658,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1993,MHL,47111.0,,0.0,0.0,0.084,0.007,9.524,0.084,0.007,9.524,1.789,,,1.789,,,,,,,,0.0,0.161,0.161,,,,0.0,0.161,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.084,1.789,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1994,MHL,47731.0,,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,1.766,,,1.766,,,,,,,,0.0,0.245,0.245,,0.0,,0.0,0.245,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.084,1.766,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1995,MHL,48283.0,,0.0,0.0,0.088,0.004,4.348,0.088,0.004,4.348,1.821,,,1.821,,,,,,,,0.0,0.333,0.333,,0.0,,0.0,0.333,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.088,1.821,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1996,MHL,48793.0,,0.0,0.0,0.088,0.0,0.0,0.088,0.0,0.0,1.802,,,1.802,,,,,,,,0.0,0.421,0.421,,0.0,,0.0,0.421,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.088,1.802,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1997,MHL,49277.0,,0.0,0.0,0.088,0.0,0.0,0.088,0.0,0.0,1.785,,,1.785,,,,,,,,0.0,0.509,0.509,,0.0,,0.0,0.509,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.088,1.785,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1998,MHL,49732.0,,0.0,0.0,0.092,0.004,4.167,0.092,0.004,4.167,1.842,,,1.842,,,,,,,,0.0,0.601,0.601,,0.0,,0.0,0.601,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.092,1.842,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
1999,MHL,50221.0,,0.0,0.0,0.088,-0.004,-4.0,0.088,-0.004,-4.0,1.751,,,1.751,,,,,,,,0.0,0.689,0.689,,0.0,,0.0,0.689,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.088,1.751,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
2000,MHL,50721.0,,0.0,0.0,0.099,0.011,12.5,0.099,0.011,12.5,1.95,,,1.95,,,,,,,,0.0,0.788,0.788,,0.0,,0.0,0.788,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.099,1.95,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
2001,MHL,51137.0,,0.0,0.0,0.103,0.004,3.704,0.103,0.004,3.704,2.006,,,2.006,,,,,,,,0.0,0.89,0.89,,0.0,,0.0,0.89,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.103,2.006,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
