year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1992,FSM,104822.0,,0.0,0.0,0.136,,,0.136,,,1.293,,,1.293,,,,,,,,0.0,0.136,0.136,,,,0.0,0.136,,0.0,,,,,,1.334,0.751,0.0,0.0,0.004,0.041,0.0,0.0,0.136,1.293,,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.079,0.14,,
1993,FSM,107082.0,,0.0,0.0,0.143,0.007,5.405,0.143,0.007,5.405,1.334,,,1.334,,,,,,,,0.0,0.278,0.278,,,,0.0,0.278,,0.0,,,,,,1.375,0.836,0.0,0.0,0.004,0.041,0.0,0.0,0.143,1.334,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.09,0.147,,
1994,FSM,109090.0,,0.0,0.0,0.154,0.011,7.692,0.154,0.011,7.692,1.411,,,1.411,,,,,,,,0.0,0.432,0.432,,0.0,,0.0,0.432,,0.0,,0.0,0.0,,,1.451,0.945,0.0,0.0,0.004,0.041,0.0,0.0,0.154,1.411,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.103,0.158,,
1995,FSM,110245.0,,0.0,0.0,0.18,0.026,16.667,0.18,0.026,16.667,1.629,,,1.629,,,,,,,,0.0,0.612,0.612,,0.0,,0.0,0.612,,0.0,,0.0,0.0,,,1.669,1.682,0.0,0.0,0.046,0.418,0.012,0.113,0.18,1.629,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.185,0.184,,
1996,FSM,110722.0,,0.0,0.0,0.183,0.004,2.041,0.183,0.004,2.041,1.655,,,1.655,,,,,,,,0.0,0.795,0.795,,0.0,,0.0,0.795,,0.0,,0.0,0.0,,,1.695,1.731,0.0,0.0,0.046,0.417,0.012,0.113,0.183,1.655,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.192,0.188,,
1997,FSM,111086.0,,0.0,0.0,0.194,0.011,6.0,0.194,0.011,6.0,1.748,,,1.748,,,,,,,,0.0,0.989,0.989,,0.0,,0.0,0.989,,0.0,,0.0,0.0,,,1.789,1.844,0.0,0.0,0.046,0.416,0.012,0.112,0.194,1.748,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.205,0.199,,
1998,FSM,111394.0,,0.0,0.0,0.202,0.007,3.774,0.202,0.007,3.774,1.809,,,1.809,,,,,,,,0.0,1.191,1.191,,0.0,,0.0,1.191,,0.0,,0.0,0.0,,,1.85,1.92,0.0,0.0,0.046,0.415,0.012,0.112,0.202,1.809,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.214,0.206,,
1999,FSM,111693.0,,0.0,0.0,0.191,-0.011,-5.455,0.191,-0.011,-5.455,1.706,,,1.706,,,,,,,,0.0,1.381,1.381,,0.0,,0.0,1.381,,0.0,,0.0,0.0,,,1.746,1.835,0.0,0.0,0.046,0.413,0.012,0.112,0.191,1.706,,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.205,0.195,,
2000,FSM,112067.0,,0.0,0.0,0.18,-0.011,-5.769,0.18,-0.011,-5.769,1.602,,0.341,1.602,,0.341,,,,,,0.0,1.561,1.561,,0.0,,0.0,1.561,,4708.033,,0.0,0.0,,,1.642,1.742,0.0,0.0,0.046,0.412,0.012,0.111,0.18,1.602,,,0.526,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.195,0.184,,
2001,FSM,112378.0,,0.0,0.0,0.165,-0.015,-8.163,0.165,-0.015,-8.163,1.467,,0.276,1.467,,0.276,,,,,,0.0,1.726,1.726,,0.0,,0.0,1.726,,5337.553,,0.0,0.0,,,1.507,1.618,0.0,0.0,0.046,0.411,0.012,0.111,0.165,1.467,,,0.598,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.182,0.169,,
