year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,MNG,781691.0,527383008.0,0.0,0.0,0.286,,,10.796,,,13.81,20.47,,0.366,0.542,,0.286,0.366,,,,0.0,0.286,10.796,0.286,,,1253.053,0.0,,,,,,,,0.788,42.372,10.51,13.445,5.757,7.365,5.167,6.61,0.0,0.0,,,,0.0,0.005,0.089,0.007,0.0,0.0,0.002,0.0,,,0.297,0.0,,,,0.169,0.0,,0.264,0.0,0.001,0.001,0.0,33.122,0.616,,
1951,MNG,794329.0,549932992.0,0.0,0.0,0.293,0.007,2.564,12.507,1.712,15.856,15.746,22.743,,0.369,0.533,,0.293,0.369,,,,0.0,0.579,23.303,0.579,,,1265.267,0.0,,,,,,,,0.797,53.876,12.214,15.377,5.921,7.454,5.38,6.773,0.0,0.0,,,,0.0,0.005,0.097,0.007,0.0,0.0,0.004,0.0,,,0.295,0.0,,,,0.186,0.0,,0.263,0.0,0.001,0.001,0.0,42.795,0.633,,
1952,MNG,807094.0,575918976.0,0.0,0.0,0.3,0.007,2.5,14.91,2.403,19.21,18.474,25.889,,0.372,0.522,,0.3,0.372,,,,0.0,0.879,38.213,0.879,,,1279.877,0.0,,,,,,,,0.806,61.088,14.609,18.101,6.095,7.551,5.598,6.936,0.0,0.0,,,,0.0,0.005,0.115,0.007,0.0,0.0,0.006,0.0,,,0.294,0.0,,,,0.226,0.0,,0.263,0.0,0.001,0.001,0.0,49.304,0.651,,
1953,MNG,820278.0,603174016.0,0.0,0.0,0.304,0.004,1.22,16.685,1.775,11.904,20.34,27.662,,0.371,0.504,,0.304,0.371,,,,0.0,1.183,54.897,1.183,,,1296.257,0.0,,,,,,,,0.81,65.543,16.381,19.97,6.276,7.651,5.821,7.096,0.0,0.0,,,,0.0,0.005,0.126,0.007,0.0,0.0,0.008,0.001,,,0.294,0.0,,,,0.249,0.0,,0.263,0.0,0.001,0.001,0.0,53.764,0.665,,
1954,MNG,834024.0,632592000.0,0.0,0.0,0.487,0.183,60.241,18.849,2.165,12.974,22.601,29.797,,0.584,0.77,,0.313,0.375,,,,0.0,1.671,73.747,1.496,,,1314.62,0.175,,,,,,,,1.032,70.469,18.362,22.016,6.465,7.752,6.048,7.251,0.175,0.209,,,,0.0,0.007,0.137,0.008,0.0,0.001,0.011,0.001,,,0.293,0.0,,,,0.263,0.009,,0.263,0.0,0.001,0.001,0.0,58.773,0.861,,
1955,MNG,848686.0,663384000.0,0.0,0.0,0.59,0.103,21.053,22.787,3.937,20.889,26.85,34.349,,0.695,0.889,,0.322,0.38,,,,0.0,2.261,96.534,1.819,,,1336.817,0.442,,,,,,,,1.149,77.466,22.197,26.155,6.661,7.849,6.279,7.398,0.267,0.315,,,,0.0,0.008,0.156,0.007,0.0,0.001,0.013,0.001,,,0.293,0.001,,,,0.312,0.012,,0.264,0.0,0.001,0.001,0.0,65.744,0.975,,
1956,MNG,868487.0,698220032.0,0.0,0.0,0.689,0.099,16.77,30.649,7.862,34.501,35.29,43.895,,0.793,0.987,,0.388,0.447,,,,0.0,2.95,127.182,2.207,,,1366.776,0.742,,,,,,,,1.271,85.379,29.96,34.497,6.882,7.924,6.514,7.5,0.3,0.346,,,,0.0,0.009,0.202,0.008,0.0,0.001,0.017,0.001,,,0.295,0.002,,,,0.415,0.012,,0.265,0.0,0.001,0.001,0.0,74.151,1.104,,
1957,MNG,893240.0,736470016.0,0.0,0.0,0.762,0.073,10.638,35.339,4.691,15.305,39.563,47.985,,0.853,1.035,,0.436,0.488,,,,0.0,3.712,162.522,2.643,,,1401.354,1.069,,,,,,,,1.347,88.913,34.577,38.71,7.111,7.961,6.753,7.56,0.326,0.365,,,,0.0,0.009,0.228,0.009,0.0,0.001,0.022,0.001,,,0.298,0.002,,,,0.472,0.012,,0.267,0.0,0.001,0.001,0.0,79.42,1.203,,
1958,MNG,919297.0,776536000.0,0.0,0.0,1.136,0.374,49.038,44.687,9.347,26.45,48.61,57.546,,1.236,1.463,,0.709,0.772,,,,0.0,4.847,207.209,3.352,,,1444.905,1.495,,,,,,,,1.824,90.277,43.551,47.374,7.427,8.079,6.995,7.609,0.426,0.464,,,,0.0,0.013,0.286,0.015,0.0,0.002,0.027,0.001,,,0.303,0.003,,,,0.606,0.016,,0.269,0.0,0.001,0.001,0.0,82.992,1.676,,
1959,MNG,947419.0,822164992.0,0.0,0.0,1.345,0.209,18.387,43.427,-1.26,-2.82,45.837,52.82,,1.419,1.636,,0.841,0.888,,,,0.0,6.192,250.636,4.194,,,1486.987,1.998,,,,,,,,2.055,81.749,42.082,44.418,7.724,8.153,7.24,7.641,0.503,0.531,,,,0.0,0.015,0.262,0.017,0.0,0.002,0.032,0.002,,,0.306,0.004,,,,0.543,0.017,,0.269,0.0,0.001,0.001,0.0,77.451,1.947,,
