year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1991,NAM,1415689.0,7919428608.0,0.0,0.0,1.044,,,2.78,,,1.964,0.351,0.515,0.738,0.132,0.193,0.04,0.028,1.044,0.738,0.132,0.0,1.044,2.78,0.04,,,168.47,1.004,,3812.525,0.682,,,,,1.051,8.015,1.736,1.226,5.126,3.621,3.235,2.285,1.004,0.709,,,5.397,0.0,0.005,0.01,0.0,0.0,0.0,0.0,0.0,,,0.026,0.0,,,,0.035,0.01,,0.028,0.0,0.0,0.0,0.0,11.347,1.488,0.0,0.0
1992,NAM,1461326.0,8581728256.0,0.0,0.0,1.136,0.092,8.772,5.016,2.236,80.433,3.433,0.585,0.999,0.777,0.132,0.226,0.033,0.023,1.136,0.777,0.132,0.0,2.18,7.796,0.073,,,172.35,2.107,,3435.413,0.585,,,,,1.089,8.852,3.88,2.655,5.037,3.447,3.175,2.173,1.103,0.755,,,5.022,0.0,0.005,0.018,0.0,0.0,0.0,0.001,0.0,,,0.026,0.001,,,,0.074,0.012,,0.028,0.0,0.0,0.0,0.0,12.936,1.591,0.0,0.0
1993,NAM,1508699.0,8429493248.0,0.0,0.0,1.374,0.238,20.968,7.217,2.201,43.873,4.783,0.856,1.143,0.911,0.163,0.218,0.238,0.158,1.374,0.911,0.163,0.0,3.554,15.013,0.311,,,178.193,3.243,,4182.518,0.749,,,,,1.229,9.751,5.843,3.873,4.886,3.239,3.105,2.058,1.136,0.753,,,6.315,0.0,0.006,0.026,0.003,0.0,0.0,0.001,0.0,,,0.027,0.001,,,,0.117,0.012,,0.028,0.0,0.0,0.0,0.0,14.711,1.855,0.0,0.0
1994,NAM,1556315.0,9059011584.0,0.0,0.0,1.557,0.183,13.332,10.123,2.906,40.269,6.504,1.117,1.681,1.001,0.172,0.259,0.264,0.17,1.557,1.001,0.172,0.0,5.111,25.136,0.576,0.0,,186.759,4.535,,3863.084,0.665,0.0,0.0,,,1.317,10.13,8.566,5.504,4.876,3.133,3.092,1.987,1.293,0.831,,,6.02,0.0,0.007,0.035,0.003,0.0,0.001,0.002,0.0,0.0,,0.028,0.001,,0.0,,0.145,0.014,,0.028,0.0,0.0,0.0,0.0,15.766,2.049,-0.0,-0.0
1995,NAM,1602182.0,9444539392.0,0.0,0.0,1.619,0.062,4.001,7.177,-2.946,-29.098,4.48,0.76,0.758,1.011,0.171,0.171,0.044,0.027,1.619,1.011,0.171,0.0,6.731,32.313,0.62,0.0,,192.317,6.111,,5896.206,1.002,0.0,0.0,,,1.328,8.459,5.558,3.469,4.857,3.032,3.074,1.919,1.576,0.983,,,9.466,0.0,0.007,0.025,0.0,0.0,0.001,0.002,0.0,0.0,,0.028,0.002,,0.0,,0.102,0.017,,0.028,0.0,0.0,0.0,0.0,13.553,2.128,0.0,0.0
1996,NAM,1646107.0,9761026048.0,0.0,0.0,1.718,0.099,6.109,5.841,-1.336,-18.614,3.549,0.598,0.636,1.044,0.176,0.187,0.037,0.022,1.718,1.044,0.176,0.0,8.449,38.155,0.656,0.0,,196.44,7.793,,5569.181,0.941,0.0,0.0,,,1.394,8.048,4.123,2.505,4.703,2.857,2.997,1.821,1.682,1.022,,,9.19,0.0,0.007,0.019,0.0,0.0,0.001,0.002,0.0,0.0,,0.029,0.002,,0.0,,0.069,0.017,,0.028,0.0,0.0,0.0,0.0,13.247,2.294,0.0,0.0
1997,NAM,1689275.0,10187928576.0,0.0,0.0,1.817,0.099,5.757,5.127,-0.714,-12.223,3.035,0.503,0.578,1.076,0.178,0.205,0.029,0.017,1.817,1.076,0.178,0.0,10.267,43.282,0.686,0.0,,199.75,9.581,,5242.652,0.871,0.0,0.0,,,1.422,7.747,3.31,1.959,4.617,2.733,2.866,1.696,1.788,1.058,,,8.877,0.0,0.007,0.016,0.0,0.0,0.001,0.003,0.0,0.0,,0.029,0.003,,0.0,,0.045,0.018,,0.028,0.0,0.0,0.0,0.0,13.086,2.403,0.0,0.0
1998,NAM,1732747.0,10539117568.0,0.0,0.0,1.865,0.048,2.628,4.644,-0.483,-9.419,2.68,0.441,0.476,1.076,0.177,0.191,0.029,0.017,1.865,1.076,0.177,0.0,12.132,47.926,0.715,0.0,,202.529,11.417,,5618.035,0.925,0.0,0.0,,,1.422,7.894,2.779,1.604,4.964,2.865,3.133,1.808,1.836,1.059,,,9.753,0.0,0.008,0.015,0.0,0.0,0.001,0.003,0.0,0.0,,0.029,0.003,,0.0,,0.045,0.019,,0.028,0.0,0.0,0.0,0.0,13.678,2.465,-0.0,-0.0
1999,NAM,1776370.0,10909783040.0,0.0,0.0,1.74,-0.125,-6.686,4.117,-0.528,-11.362,2.317,0.377,0.315,0.98,0.16,0.133,0.015,0.008,1.74,0.98,0.16,0.0,13.872,52.043,0.73,0.0,,204.906,13.142,,7343.829,1.197,0.0,0.0,,,1.33,7.655,2.376,1.338,5.018,2.825,3.121,1.757,1.726,0.972,,,13.059,0.0,0.007,0.013,0.0,0.0,0.001,0.003,0.0,0.0,,0.029,0.004,,0.0,,0.04,0.017,,0.028,0.0,0.0,0.0,0.0,13.597,2.363,0.0,0.0
2000,NAM,1818651.0,11306497024.0,0.0,0.0,1.722,-0.018,-1.053,4.074,-0.043,-1.039,2.24,0.36,0.321,0.947,0.152,0.136,0.037,0.02,1.653,0.909,0.146,0.0,15.594,56.117,0.766,0.0,,207.257,14.828,,6971.662,1.122,0.0,0.0,,,1.351,7.994,2.352,1.293,5.583,3.07,3.471,1.909,1.685,0.927,,,12.682,0.0,0.007,0.013,0.0,0.0,0.001,0.003,0.0,0.0,,0.029,0.004,,0.0,,0.044,0.016,,0.028,0.0,0.0,0.0,0.0,14.538,2.457,-0.069,-3.987
