year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,NER,2597816.0,3215464704.0,,,0.028,,,29.788,,,11.467,9.264,,0.011,0.009,,0.005,0.002,,,,,0.028,29.788,0.005,0.0,0.0,520.89,0.023,,,,0.0,0.0,0.0,0.0,0.322,14.418,29.76,11.456,5.018,1.932,3.921,1.509,0.023,0.009,,,,,0.0,0.245,0.0,,0.0,0.005,0.0,0.0,0.0,0.123,0.0,,0.0,0.0,0.479,0.001,,0.114,0.0,0.0,0.0,0.0,37.455,0.836,,
1951,NER,2684752.0,3337460736.0,,,0.024,-0.005,-16.385,31.957,2.169,7.282,11.903,9.575,,0.009,0.007,,0.009,0.004,,,,,0.052,61.746,0.015,0.0,0.0,552.823,0.037,,,,0.0,0.0,0.0,0.0,0.318,14.483,31.934,11.894,5.165,1.924,3.893,1.45,0.014,0.005,,,,,0.0,0.247,0.0,,0.0,0.009,0.0,0.0,0.0,0.129,0.0,,0.0,0.0,0.487,0.001,,0.116,0.0,0.0,0.0,0.0,38.882,0.853,,
1952,NER,2771894.0,3457195776.0,,,0.027,0.003,11.828,33.391,1.434,4.487,12.046,9.658,,0.01,0.008,,0.009,0.003,,,,,0.079,95.137,0.024,0.0,0.0,586.188,0.055,,,,0.0,0.0,0.0,0.0,0.316,14.331,33.365,12.037,5.316,1.918,3.793,1.368,0.017,0.006,,,,,0.0,0.258,0.0,,0.0,0.014,0.0,0.0,0.0,0.135,0.0,,0.0,0.0,0.515,0.001,,0.119,0.0,0.0,0.001,0.0,39.724,0.877,,
1953,NER,2859196.0,3581422848.0,,,0.022,-0.004,-16.92,33.98,0.589,1.763,11.884,9.488,,0.008,0.006,,0.003,0.001,,,,,0.101,129.117,0.027,0.0,0.0,620.146,0.074,,,,0.0,0.0,0.0,0.0,0.313,14.107,33.958,11.877,5.468,1.912,3.638,1.272,0.019,0.007,,,,,0.0,0.257,0.0,,0.0,0.019,0.0,0.0,0.0,0.14,0.0,,0.0,0.0,0.515,0.001,,0.121,0.0,0.0,0.001,0.0,40.335,0.895,,
1954,NER,2946889.0,3717358848.0,,,0.026,0.004,17.821,34.443,0.463,1.363,11.688,9.265,,0.009,0.007,,0.003,0.001,,,,,0.127,163.56,0.03,0.0,0.0,654.563,0.096,,,,0.0,0.0,0.0,0.0,0.313,13.812,34.417,11.679,5.622,1.908,3.448,1.17,0.023,0.008,,,,,0.0,0.25,0.0,,0.0,0.023,0.0,0.0,0.0,0.146,0.0,,0.0,0.0,0.493,0.001,,0.123,0.0,0.0,0.001,0.0,40.703,0.922,,
1955,NER,3035285.0,3851372544.0,,,0.026,-0.0,-0.312,34.646,0.203,0.589,11.414,8.996,,0.009,0.007,,0.002,0.001,,,,,0.153,198.206,0.032,0.0,0.0,689.183,0.121,,,,0.0,0.0,0.0,0.0,0.309,13.482,34.62,11.406,5.769,1.901,3.24,1.067,0.024,0.008,,,,,0.0,0.238,0.0,,0.0,0.028,0.0,0.0,0.0,0.151,0.0,,0.0,0.0,0.486,0.001,,0.124,0.0,0.0,0.001,0.0,40.921,0.937,,
1956,NER,3124755.0,3997831168.0,,,0.03,0.004,15.791,34.806,0.16,0.462,11.139,8.706,,0.01,0.007,,0.002,0.001,,,,,0.183,233.012,0.034,0.0,0.0,723.959,0.149,,,,0.0,0.0,0.0,0.0,0.306,13.108,34.776,11.129,5.917,1.894,3.031,0.97,0.028,0.009,,,,,0.0,0.23,0.0,,0.0,0.032,0.0,0.0,0.0,0.156,0.0,,0.0,0.0,0.482,0.001,,0.126,0.0,0.0,0.001,0.0,40.958,0.956,,
1957,NER,3215846.0,4142630400.0,,,0.031,0.001,2.405,35.174,0.368,1.056,10.938,8.491,,0.01,0.007,,0.0,0.0,,,,,0.213,268.185,0.034,0.0,0.0,759.102,0.179,,,,0.0,0.0,0.0,0.0,0.302,12.813,35.143,10.928,6.068,1.887,2.841,0.883,0.031,0.01,,,,,0.0,0.227,0.0,,0.0,0.036,0.0,0.0,0.0,0.161,0.0,,0.0,0.0,0.48,0.001,,0.127,0.0,0.0,0.001,0.0,41.205,0.972,,
1958,NER,3309227.0,4300686336.0,0.0,0.0,0.026,-0.005,-16.448,35.746,0.572,1.628,10.802,8.312,,0.008,0.006,,,,,,,0.0,0.239,303.931,,,,794.823,0.205,,,,,,,,0.297,12.523,35.72,10.794,6.222,1.88,2.687,0.812,0.026,0.008,,,,0.0,0.0,0.229,,0.0,0.0,0.04,,,,0.166,0.0,,,,0.497,0.001,,0.129,0.0,0.0,0.001,0.0,41.44,0.983,,
1959,NER,3405468.0,4457378304.0,0.0,0.0,0.022,-0.004,-14.286,36.627,0.881,2.464,10.755,8.217,,0.006,0.005,,,,,,,0.0,0.261,340.558,,,,831.427,0.227,,,,,,,,0.292,12.32,36.605,10.749,6.382,1.874,2.588,0.76,0.022,0.006,,,,0.0,0.0,0.221,,0.0,0.0,0.044,,,,0.171,0.0,,,,0.473,0.001,,0.13,0.0,0.0,0.001,0.0,41.957,0.994,,
1960,NER,3505057.0,4746060288.0,0.0,0.0,0.029,0.007,33.333,37.716,1.089,2.974,10.76,7.947,,0.008,0.006,,,,,,,0.0,0.29,378.274,,,,869.114,0.256,,,,,,,,0.29,12.155,37.687,10.752,6.549,1.869,2.56,0.73,0.029,0.008,,,,0.0,0.0,0.234,,0.0,0.0,0.048,,,,0.177,0.0,,,,0.562,0.001,,0.131,0.0,0.0,0.001,0.0,42.604,1.018,,
1961,NER,3608171.0,4946710016.0,0.0,0.0,0.055,0.026,87.5,24.144,-13.572,-35.984,6.692,4.881,,0.015,0.011,,,,,,,0.0,0.345,402.419,,,,893.203,0.311,,,,,,,,0.294,9.634,24.089,6.676,5.892,1.633,2.527,0.7,0.055,0.015,,,,0.0,0.001,0.149,,0.0,0.0,0.05,,,,0.179,0.001,,,,0.353,0.002,,0.131,0.0,0.0,0.001,0.0,34.76,1.059,,
1962,NER,3714521.0,5465926656.0,0.0,0.0,0.066,0.011,20.0,16.828,-7.317,-30.304,4.53,3.079,,0.018,0.012,,,,,,,0.0,0.411,419.246,,,,909.965,0.377,,,,,,,,0.293,8.35,16.762,4.512,6.156,1.657,2.653,0.714,0.066,0.018,,,,0.0,0.001,0.105,,0.0,0.0,0.051,,,,0.18,0.001,,,,0.265,0.002,,0.131,0.0,0.0,0.001,0.0,31.015,1.087,,
1963,NER,3823878.0,6007101952.0,0.0,0.0,0.088,0.022,33.333,12.417,-4.411,-26.21,3.247,2.067,,0.023,0.015,,,,,,,0.0,0.499,431.663,,,,922.294,0.465,,,,,,,,0.294,7.436,12.329,3.224,6.303,1.648,2.709,0.708,0.088,0.023,,,,0.0,0.001,0.076,,0.0,0.0,0.051,,,,0.18,0.001,,,,0.2,0.002,,0.131,0.0,0.0,0.001,0.0,28.434,1.126,,
