year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1905,PRK,5552173.0,,0.0,0.0,0.014,,,-4.181,,,-0.753,,,0.003,,,0.014,0.003,,,,0.0,0.014,-4.181,0.014,0.0,0.0,70.234,0.0,,,,0.0,0.0,0.0,0.0,1.542,2.081,-4.195,-0.756,10.886,1.961,0.368,0.066,0.0,0.0,,,,0.0,0.001,-0.058,0.001,0.0,0.0,-0.002,0.0,,0.0,0.036,0.0,,,0.0,-0.087,0.0,,0.095,0.0,0.0,0.0,0.0,11.557,8.564,,
1909,PRK,5666153.0,,0.0,0.0,0.149,,,-4.949,,,-0.873,,,0.026,,,0.149,0.026,,,,0.0,0.163,-9.13,0.163,0.0,0.0,50.316,0.0,,,,0.0,0.0,0.0,0.0,1.533,2.044,-5.098,-0.9,10.88,1.92,0.391,0.069,0.0,0.0,,,,0.0,0.005,-0.063,0.005,0.0,0.0,-0.003,0.0,,0.0,0.024,0.0,,,0.0,-0.103,0.0,,0.087,0.0,0.0,0.0,0.0,11.581,8.687,,
1910,PRK,5724136.0,,0.0,0.0,0.187,0.038,25.582,4.698,9.647,-194.939,0.821,,,0.033,,,0.187,0.033,,,,0.0,0.351,-4.431,0.351,0.0,0.0,54.827,0.0,,,,0.0,0.0,0.0,0.0,1.524,3.114,4.511,0.788,10.879,1.9,0.397,0.069,0.0,0.0,,,,0.0,0.006,0.06,0.007,0.0,0.0,-0.002,0.001,,0.0,0.025,0.0,,,0.0,0.095,0.0,,0.087,0.0,0.0,0.0,0.0,17.826,8.722,,
1911,PRK,5799549.0,,0.0,0.0,0.222,0.035,18.518,8.083,3.385,72.041,1.394,,,0.038,,,0.222,0.038,,,,0.0,0.573,3.652,0.573,0.0,0.0,62.688,0.0,,,,0.0,0.0,0.0,0.0,1.506,3.432,7.861,1.355,10.894,1.878,0.403,0.069,0.0,0.0,,,,0.0,0.007,0.102,0.008,0.0,0.001,0.001,0.001,,0.0,0.028,0.0,,,0.0,0.163,0.0,,0.088,0.0,0.0,0.0,0.0,19.906,8.732,,
1912,PRK,5892831.0,,0.0,0.0,0.278,0.056,25.0,10.58,2.497,30.888,1.795,,,0.047,,,0.278,0.047,,,,0.0,0.85,14.232,0.85,0.0,0.0,72.991,0.0,,,,0.0,0.0,0.0,0.0,1.488,3.609,10.302,1.748,10.917,1.853,0.409,0.069,0.0,0.0,,,,0.0,0.009,0.133,0.009,0.0,0.001,0.005,0.001,,0.0,0.032,0.0,,,0.0,0.22,0.0,,0.089,0.0,0.0,0.0,0.0,21.266,8.769,,
1913,PRK,6004427.0,5957003264.0,0.0,0.0,0.323,0.045,16.25,12.979,2.399,22.678,2.162,2.179,,0.054,0.054,,0.323,0.054,,,,0.0,1.173,27.211,1.173,0.0,0.0,85.647,0.0,,,,0.0,0.0,0.0,0.0,1.466,3.767,12.656,2.108,10.945,1.823,0.416,0.069,0.0,0.0,,,,0.0,0.009,0.162,0.01,0.0,0.001,0.009,0.002,,0.0,0.037,0.0,,,0.0,0.28,0.0,,0.09,0.0,0.0,0.0,0.0,22.621,8.802,,
1914,PRK,6118105.0,,0.0,0.0,0.462,0.139,43.011,15.148,2.168,16.707,2.476,,,0.075,,,0.462,0.075,,,,0.0,1.635,42.359,1.635,0.0,0.0,100.333,0.0,,,,0.0,0.0,0.0,0.0,1.467,3.916,14.686,2.4,11.018,1.801,0.424,0.069,0.0,0.0,,,,0.0,0.014,0.195,0.016,0.0,0.002,0.013,0.002,,0.0,0.043,0.0,,,0.0,0.32,0.0,,0.092,0.0,0.0,0.0,0.0,23.956,8.973,,
1915,PRK,6233903.0,,0.0,0.0,0.576,0.115,24.812,17.551,2.403,15.866,2.815,,,0.092,,,0.576,0.092,,,,0.0,2.211,59.91,2.211,0.0,0.0,117.308,0.0,,,,0.0,0.0,0.0,0.0,1.462,4.092,16.975,2.723,11.083,1.778,0.431,0.069,0.0,0.0,,,,0.0,0.018,0.228,0.02,0.0,0.003,0.019,0.003,,0.0,0.049,0.0,,,0.0,0.371,0.0,,0.094,0.0,0.0,0.0,0.0,25.512,9.112,,
1916,PRK,6351861.0,,0.0,0.0,0.479,-0.097,-16.867,19.431,1.88,10.713,3.059,,,0.075,,,0.479,0.075,,,,0.0,2.69,79.341,2.69,0.0,0.0,136.26,0.0,,,,0.0,0.0,0.0,0.0,1.425,4.197,18.952,2.984,11.162,1.757,0.439,0.069,0.0,0.0,,,,0.0,0.014,0.246,0.015,0.0,0.003,0.024,0.003,,0.0,0.056,0.0,,,0.0,0.419,0.0,,0.096,0.0,0.0,0.0,0.0,26.66,9.054,,
1918,PRK,6579631.0,,0.0,0.0,0.472,,,22.705,,,3.451,,,0.072,,,0.472,0.072,,,,0.0,3.162,102.046,3.162,0.0,0.0,179.123,0.0,,,,0.0,0.0,0.0,0.0,1.388,4.353,22.233,3.379,11.332,1.722,0.454,0.069,0.0,0.0,,,,0.0,0.013,0.282,0.015,0.0,0.003,0.03,0.003,,0.0,0.071,0.0,,,0.0,0.489,0.0,,0.1,0.0,0.0,0.0,0.0,28.638,9.135,,
