year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1955,PLW,8439.0,,0.0,0.0,0.011,,,0.011,,,1.303,,,1.303,,,,,,,,0.0,0.011,0.011,,,,0.0,0.011,,,,,,,,3.776,3.779,0.0,0.0,0.003,0.297,0.029,3.482,0.011,1.303,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.032,0.032,,
1956,PLW,8614.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.276,,,1.276,,,,,,,,0.0,0.022,0.022,,,,0.0,0.022,,,,,,,,3.788,3.791,0.0,0.0,0.003,0.318,0.03,3.473,0.011,1.276,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.033,0.033,,
1957,PLW,8771.0,,0.0,0.0,0.015,0.004,33.333,0.015,0.004,33.333,1.671,,,1.671,,,,,,,,0.0,0.037,0.037,,,,0.0,0.037,,,,,,,,3.814,3.817,0.0,0.0,0.003,0.346,0.03,3.47,0.015,1.671,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.033,0.033,,
1958,PLW,8924.0,,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.0,1.642,,,1.642,,,,,,,,0.0,0.051,0.051,,,,0.0,0.051,,,,,,,,3.837,3.84,0.0,0.0,0.003,0.371,0.031,3.469,0.015,1.642,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.034,0.034,,
1959,PLW,9125.0,,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.0,1.606,,,1.606,,,,,,,,0.0,0.066,0.066,,,,0.0,0.066,,,,,,,,3.838,3.842,0.0,0.0,0.004,0.393,0.031,3.448,0.015,1.606,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.035,0.035,,
1960,PLW,9348.0,,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.0,1.568,,,1.568,,,,,,,,0.0,0.081,0.081,,,,0.0,0.081,,,,,,,,3.83,3.833,0.0,0.0,0.004,0.415,0.032,3.418,0.015,1.568,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.036,0.036,,
1961,PLW,9581.0,,0.0,0.0,0.051,0.037,250.0,0.051,0.037,250.0,5.354,,,5.354,,,,,,,,0.0,0.132,0.132,,,,0.0,0.132,,,,,,,,3.892,3.895,0.0,0.0,0.005,0.509,0.032,3.386,0.051,5.354,,,,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.037,0.037,,
1962,PLW,9815.0,,0.0,0.0,0.051,0.0,0.0,0.051,0.0,0.0,5.226,,,5.226,,,,,,,,0.0,0.183,0.183,,,,0.0,0.183,,,,,,,,3.888,3.891,0.0,0.0,0.005,0.534,0.033,3.357,0.051,5.226,,,,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.038,0.038,,
1963,PLW,10060.0,,0.0,0.0,0.055,0.004,7.143,0.055,0.004,7.143,5.463,,,5.463,,,,,,,,0.0,0.238,0.238,,,,0.0,0.238,,,,,,,,3.89,3.893,0.0,0.0,0.006,0.566,0.033,3.327,0.055,5.463,,,,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.039,0.039,,
1964,PLW,10312.0,,0.0,0.0,0.059,0.004,6.667,0.059,0.004,6.667,5.685,,,5.685,,,,,,,,0.0,0.297,0.297,,,,0.0,0.297,,,,,,,,3.891,3.895,0.0,0.0,0.006,0.598,0.034,3.296,0.059,5.685,,,,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.04,0.04,,
