year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,PSE,2139067.0,10144809984.0,0.0,0.0,0.861,,,0.799,,,0.373,0.079,,0.403,0.085,,,,,,,0.0,0.861,0.799,,,,2.259,0.861,,,,,,,,,,-0.062,-0.029,,,,,0.861,0.403,,,,0.0,0.004,0.003,,0.0,0.0,0.0,,,,0.0,0.0,,,,-0.001,0.009,,0.0,,0.0,0.0,,,,,
1991,PSE,2228954.0,9454877696.0,0.0,0.0,0.883,0.022,2.553,0.996,0.197,24.697,0.447,0.105,,0.396,0.093,,,,,,,0.0,1.744,1.795,,,,2.372,1.744,,,,,,,,,,0.113,0.051,,,,,0.883,0.396,,,,0.0,0.004,0.004,,0.0,0.0,0.0,,,,0.0,0.001,,,,0.002,0.009,,0.0,,0.0,0.0,,,,,
1992,PSE,2324698.0,11394776064.0,0.0,0.0,0.916,0.033,3.734,0.969,-0.028,-2.777,0.417,0.085,,0.394,0.08,,,,,,,0.0,2.66,2.764,,,,2.425,2.66,,,,,,,,,,0.053,0.023,,,,,0.916,0.394,,,,0.0,0.004,0.003,,0.0,0.0,0.0,,,,0.0,0.001,,,,0.001,0.01,,0.0,,0.0,0.0,,,,,
1993,PSE,2425066.0,12261093376.0,0.0,0.0,0.934,0.018,2.0,0.899,-0.07,-7.184,0.371,0.073,,0.385,0.076,,,,,,,0.0,3.594,3.663,,,,2.39,3.594,,,,,,,,,,-0.035,-0.015,,,,,0.934,0.385,,,,0.0,0.004,0.003,,0.0,0.0,0.0,,,,0.0,0.001,,,,-0.001,0.01,,0.0,,0.0,0.0,,,,,
1994,PSE,2529164.0,13843761152.0,0.0,0.0,0.967,0.033,3.529,0.943,0.044,4.932,0.373,0.068,,0.382,0.07,,,,,,,0.0,4.562,4.606,,0.0,,2.366,4.562,,,,0.0,0.0,,,,,-0.024,-0.009,,,,,0.967,0.382,,,,0.0,0.004,0.003,,0.0,0.001,0.0,,0.0,,0.0,0.001,,0.0,,-0.0,0.01,,0.0,,0.0,0.0,,,,,
1995,PSE,2636554.0,14426653696.0,0.0,0.0,0.945,-0.022,-2.273,0.824,-0.119,-12.624,0.313,0.057,,0.359,0.066,,,,,,,0.0,5.507,5.43,,0.0,,2.244,5.507,,,,0.0,0.0,,,,,-0.121,-0.046,,,,,0.945,0.359,,,,0.0,0.004,0.003,,0.0,0.001,0.0,,0.0,,0.0,0.002,,0.0,,-0.002,0.01,,0.0,,0.0,0.0,,,,,
1996,PSE,2746830.0,14210402304.0,0.0,0.0,1.037,0.092,9.69,0.93,0.106,12.856,0.339,0.065,,0.377,0.073,,,,,,,0.0,6.544,6.36,,0.0,,2.138,6.544,,,,0.0,0.0,,,,,-0.107,-0.039,,,,,1.037,0.377,,,,0.0,0.004,0.003,,0.0,0.001,0.0,,0.0,,0.0,0.002,,0.0,,-0.002,0.011,,0.0,,0.0,0.0,,,,,
1997,PSE,2859582.0,15853595648.0,0.0,0.0,0.865,-0.172,-16.608,0.767,-0.163,-17.525,0.268,0.048,0.282,0.302,0.055,0.318,,,,,,0.0,7.409,7.127,,0.0,,2.04,7.409,,955.936,0.172,0.0,0.0,,,,,-0.098,-0.034,,,,,0.865,0.302,,,2.722,0.0,0.004,0.002,,0.0,0.001,0.0,,0.0,,0.0,0.002,,0.0,,-0.001,0.009,,0.0,,0.0,0.0,,,,,
1998,PSE,2962895.0,17641238528.0,0.0,0.0,1.462,0.597,69.068,1.472,0.705,91.838,0.497,0.083,0.341,0.493,0.083,0.339,,,,,,0.0,8.871,8.599,,0.0,,2.05,8.871,,1461.747,0.245,0.0,0.0,,,,,0.01,0.003,,,,,1.462,0.493,,,4.314,0.0,0.006,0.005,,0.0,0.001,0.001,,0.0,,0.0,0.003,,0.0,,0.0,0.015,,0.0,,0.0,0.0,,,,,
1999,PSE,3056256.0,18589120512.0,0.0,0.0,1.367,-0.095,-6.516,1.402,-0.07,-4.733,0.459,0.075,0.319,0.447,0.074,0.311,,,,,,0.0,10.237,10.001,,0.0,,2.085,10.237,,1442.239,0.236,0.0,0.0,,,,,0.035,0.012,,,,,1.367,0.447,,,4.391,0.0,0.005,0.005,,0.0,0.001,0.001,,0.0,,0.0,0.003,,0.0,,0.001,0.013,,0.0,,0.0,0.0,,,,,
2000,PSE,3151801.0,16535485440.0,0.0,0.0,1.66,0.293,21.448,1.77,0.367,26.211,0.561,0.107,0.307,0.527,0.1,0.288,,,,,,0.0,11.897,11.771,,0.0,,2.195,11.897,,1835.8,0.349,0.0,0.0,,,,,0.11,0.035,,,,,1.66,0.527,,,5.764,0.0,0.007,0.006,,0.0,0.001,0.001,,0.0,,0.0,0.003,,0.0,,0.002,0.016,,0.0,,0.0,0.0,,,,,
2001,PSE,3242287.0,14595986432.0,0.0,0.0,1.348,-0.311,-18.764,1.309,-0.461,-26.046,0.404,0.09,0.167,0.416,0.092,0.172,,,,,,0.0,13.245,13.079,,0.0,,2.155,13.245,,2421.331,0.536,0.0,0.0,,,,,-0.04,-0.012,,,,,1.348,0.416,,,7.821,0.0,0.005,0.004,,0.0,0.001,0.001,,0.0,,0.0,0.004,,0.0,,-0.001,0.013,,0.0,,0.0,0.0,,,,,
2002,PSE,3322369.0,12429343744.0,0.0,0.0,1.154,-0.194,-14.402,0.828,-0.481,-36.767,0.249,0.067,0.114,0.347,0.093,0.159,,,,,,0.0,14.4,13.907,,0.0,,1.829,14.4,,2188.22,0.583,0.0,0.0,,,,,-0.327,-0.098,,,,,1.154,0.347,,,7.242,0.0,0.004,0.003,,0.0,0.001,0.001,,0.0,,0.0,0.004,,0.0,,-0.006,0.011,,0.0,,0.0,0.0,,,,,
2003,PSE,3398072.0,13784762368.0,0.0,0.0,1.279,0.125,10.794,0.948,0.121,14.572,0.279,0.069,0.122,0.376,0.093,0.165,,,,,,0.0,15.678,14.855,,0.0,,1.498,15.678,,2295.478,0.564,0.0,0.0,,,,,-0.331,-0.097,,,,,1.279,0.376,,,7.768,0.0,0.005,0.003,,0.0,0.001,0.001,,0.0,,0.0,0.004,,0.0,,-0.005,0.012,,0.0,,0.0,0.0,,,,,
2004,PSE,3475177.0,14801525760.0,0.0,0.0,2.195,0.916,71.633,1.853,0.905,95.413,0.533,0.125,0.157,0.632,0.148,0.186,,,,,,0.0,17.873,16.708,,0.0,,1.156,17.873,,3414.642,0.798,0.0,0.0,,,,,-0.342,-0.098,,,,,2.195,0.632,,,11.815,0.0,0.008,0.005,,0.0,0.002,0.001,,0.0,,0.0,0.004,,0.0,,-0.006,0.02,,0.0,,0.0,0.0,,,,,
