year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,PNG,1543441.0,,0.0,0.0,0.055,,,-6.016,,,-3.898,,,0.036,,,,,,,,0.0,0.055,-6.016,,,,1254.677,0.055,,,,,,,,0.329,0.134,-6.071,-3.933,0.689,0.446,0.845,0.547,0.055,0.036,,,,0.0,0.001,-0.05,,0.0,0.0,-0.001,,,,0.297,0.0,,,,-0.098,0.004,,0.14,0.0,0.001,0.001,0.0,0.207,0.507,,
1951,PNG,1574927.0,,0.0,0.0,0.062,0.007,13.333,1.481,7.497,-124.625,0.941,,,0.04,,,,,,,,0.0,0.117,-4.534,,,,1256.096,0.117,,,,,,,,0.326,4.934,1.419,0.901,0.687,0.436,0.847,0.537,0.062,0.04,,,,0.0,0.001,0.011,,0.0,0.0,-0.001,,,,0.293,0.0,,,,0.022,0.004,,0.137,0.0,0.001,0.001,0.0,7.77,0.513,,
1952,PNG,1609546.0,,0.0,0.0,0.084,0.022,35.294,-13.303,-14.784,-998.043,-8.265,,,0.052,,,,,,,,0.0,0.202,-17.837,,,,1242.709,0.202,,,,,,,,0.332,-4.297,-13.387,-8.317,0.685,0.425,0.851,0.529,0.084,0.052,,,,0.0,0.001,-0.103,,0.0,0.0,-0.003,,,,0.286,0.001,,,,-0.207,0.005,,0.134,0.0,0.001,0.001,0.0,-6.917,0.534,,
1953,PNG,1650235.0,,0.0,0.0,0.095,0.011,13.043,-0.294,13.009,-97.791,-0.178,,,0.058,,,,,,,,0.0,0.297,-18.131,,,,1242.32,0.297,,,,,,,,0.328,3.821,-0.389,-0.236,0.68,0.412,0.857,0.519,0.095,0.058,,,,0.0,0.001,-0.002,,0.0,0.0,-0.003,,,,0.281,0.001,,,,-0.006,0.005,,0.131,0.0,0.001,0.001,0.0,6.305,0.541,,
1954,PNG,1693505.0,,0.0,0.0,0.095,0.0,0.0,6.94,7.234,-2461.132,4.098,,,0.056,,,,,,,,0.0,0.392,-11.191,,,,1249.165,0.392,,,,,,,,0.316,8.119,6.845,4.042,0.673,0.397,0.865,0.511,0.095,0.056,,,,0.0,0.001,0.05,,0.0,0.0,-0.002,,,,0.278,0.001,,,,0.098,0.005,,0.13,0.0,0.001,0.001,0.0,13.749,0.535,,
1955,PNG,1739221.0,,0.0,0.0,0.128,0.033,34.615,-9.121,-16.061,-231.428,-5.244,,,0.074,,,,,,,,0.0,0.52,-20.312,,,,1239.915,0.52,,,,,,,,0.325,-1.161,-9.249,-5.318,0.669,0.384,0.874,0.502,0.128,0.074,,,,0.0,0.002,-0.063,,0.0,0.0,-0.003,,,,0.272,0.001,,,,-0.13,0.006,,0.126,0.0,0.001,0.001,0.0,-2.019,0.565,,
1956,PNG,1787445.0,,0.0,0.0,0.128,0.0,0.0,-4.067,5.055,-55.416,-2.275,,,0.072,,,,,,,,0.0,0.649,-24.379,,,,1235.72,0.649,,,,,,,,0.313,1.925,-4.195,-2.347,0.661,0.37,0.883,0.494,0.128,0.072,,,,0.0,0.002,-0.027,,0.0,0.0,-0.003,,,,0.267,0.002,,,,-0.058,0.005,,0.123,0.0,0.001,0.001,0.0,3.44,0.559,,
1957,PNG,1837513.0,,0.0,0.0,0.147,0.018,14.286,0.632,4.699,-115.545,0.344,,,0.08,,,,,,,,0.0,0.795,-23.747,,,,1236.206,0.795,,,,,,,,0.312,4.798,0.486,0.264,0.655,0.356,0.893,0.486,0.147,0.08,,,,0.0,0.002,0.004,,0.0,0.0,-0.003,,,,0.263,0.002,,,,0.007,0.006,,0.121,0.0,0.001,0.001,0.0,8.816,0.572,,
1958,PNG,1888969.0,,0.0,0.0,0.147,0.0,0.0,-2.481,-3.113,-492.448,-1.313,,,0.078,,,,,,,,0.0,0.942,-26.227,,,,1233.579,0.942,,,,,,,,0.3,3.507,-2.627,-1.391,0.647,0.343,0.902,0.478,0.147,0.078,,,,0.0,0.002,-0.016,,0.0,0.0,-0.003,,,,0.258,0.002,,,,-0.037,0.005,,0.119,0.0,0.001,0.001,0.0,6.625,0.566,,
1959,PNG,1941506.0,,0.0,0.0,0.161,0.015,10.0,-22.082,-19.601,790.077,-11.373,,,0.083,,,,,,,,0.0,1.103,-48.309,,,,1211.336,1.103,,,,,,,,0.296,-3.982,-22.243,-11.456,0.64,0.33,0.911,0.469,0.161,0.083,,,,0.0,0.002,-0.133,,0.0,0.0,-0.006,,,,0.25,0.002,,,,-0.287,0.006,,0.115,0.0,0.001,0.001,0.0,-7.731,0.575,,
