year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,KNA,47254.0,,,,0.006,,,0.077,,,1.637,,,0.129,,,0.001,0.026,,,,,0.006,0.077,0.001,0.0,0.0,1.93,0.005,,,,0.0,0.0,0.0,0.0,1.538,2.311,0.071,1.508,0.078,1.659,0.004,0.078,0.005,0.103,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.109,0.073,,
1951,KNA,48327.0,,,,0.01,0.004,59.997,0.068,-0.009,-12.123,1.407,,,0.202,,,0.006,0.116,,,,,0.016,0.145,0.007,0.0,0.0,1.989,0.009,,,,0.0,0.0,0.0,0.0,1.524,2.187,0.058,1.205,0.076,1.566,0.004,0.08,0.004,0.087,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.106,0.074,,
1952,KNA,49414.0,,,,0.007,-0.002,-25.003,0.066,-0.002,-2.893,1.336,,,0.148,,,0.001,0.025,,,,,0.023,0.211,0.008,0.0,0.0,2.047,0.015,,,,0.0,0.0,0.0,0.0,1.384,2.037,0.059,1.188,0.073,1.475,0.004,0.082,0.006,0.124,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.101,0.068,,
1953,KNA,50470.0,,,,0.009,0.001,16.662,0.07,0.004,5.789,1.384,,,0.169,,,0.001,0.024,,,,,0.032,0.281,0.009,0.0,0.0,2.109,0.023,,,,0.0,0.0,0.0,0.0,1.32,1.98,0.061,1.215,0.07,1.387,0.004,0.085,0.007,0.145,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.067,,
1954,KNA,51359.0,,,,0.006,-0.002,-28.565,0.07,0.0,0.176,1.362,,,0.119,,,0.0,0.0,,,,,0.038,0.351,0.009,0.0,0.0,2.172,0.029,,,,0.0,0.0,0.0,0.0,1.189,1.86,0.064,1.243,0.067,1.305,0.005,0.089,0.006,0.119,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.096,0.061,,
1955,KNA,52155.0,,,,0.011,0.005,79.99,0.075,0.005,7.819,1.446,,,0.211,,,0.001,0.023,,,,,0.049,0.427,0.01,0.0,0.0,2.237,0.038,,,,0.0,0.0,0.0,0.0,1.205,1.879,0.064,1.236,0.064,1.229,0.005,0.093,0.01,0.187,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.098,0.063,,
1956,KNA,52994.0,,,,0.011,0.0,0.0,0.073,-0.002,-2.865,1.383,,,0.207,,,0.001,0.023,,,,,0.06,0.5,0.012,0.0,0.0,2.299,0.048,,,,0.0,0.0,0.0,0.0,1.127,1.788,0.062,1.175,0.061,1.153,0.005,0.097,0.01,0.184,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.095,0.06,,
1957,KNA,53842.0,,,,0.011,0.0,0.0,0.064,-0.009,-12.5,1.191,,,0.204,,,0.0,0.0,,,,,0.071,0.564,0.012,0.0,0.0,2.352,0.059,,,,0.0,0.0,0.0,0.0,1.053,1.667,0.053,0.987,0.058,1.081,0.005,0.101,0.011,0.204,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.09,0.057,,
1958,KNA,54669.0,,,,0.011,0.0,0.0,0.04,-0.024,-37.657,0.731,,,0.201,,,0.0,0.0,,,,,0.082,0.604,0.012,0.0,0.0,2.381,0.07,,,,0.0,0.0,0.0,0.0,0.986,1.482,0.029,0.53,0.056,1.016,0.006,0.104,0.011,0.201,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.081,0.054,,
1959,KNA,55493.0,,,,0.015,0.004,33.333,0.104,0.064,160.312,1.875,,,0.264,,,0.0,0.0,,,,,0.096,0.708,0.012,0.0,0.0,2.471,0.085,,,,0.0,0.0,0.0,0.0,0.991,1.821,0.089,1.611,0.053,0.955,0.006,0.106,0.015,0.264,,,,,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,0.0,0.0,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.101,0.055,,
1960,KNA,55834.0,,,,0.011,-0.004,-25.0,0.051,-0.053,-50.88,0.915,,,0.197,,,0.0,0.0,,,,,0.107,0.759,0.012,0.0,0.0,2.511,0.096,,,,0.0,0.0,0.0,0.0,0.876,1.501,0.04,0.719,0.051,0.906,0.006,0.109,0.011,0.197,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.084,0.049,,
1961,KNA,55348.0,,,,0.022,0.011,100.0,0.046,-0.005,-10.179,0.829,,,0.397,,,0.0,0.0,,,,,0.129,0.805,0.012,0.0,0.0,2.535,0.118,,,,0.0,0.0,0.0,0.0,1.043,1.543,0.024,0.432,0.049,0.888,0.006,0.115,0.022,0.397,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.085,0.058,,
1962,KNA,54482.0,,,,0.015,-0.007,-33.333,0.031,-0.015,-33.36,0.562,,,0.269,,,0.0,0.0,,,,,0.144,0.836,0.012,0.0,0.0,2.551,0.132,,,,0.0,0.0,0.0,0.0,0.893,1.336,0.016,0.293,0.047,0.86,0.006,0.114,0.015,0.269,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.073,0.049,,
