year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,WSM,88298.0,,0.0,0.0,0.004,,,0.327,,,3.702,,,0.041,,,,,,,,0.0,0.004,0.327,,,,8.122,0.004,,,,,,,,0.276,4.558,0.323,3.66,0.051,0.579,0.013,0.149,0.004,0.041,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.403,0.024,,
1951,WSM,90523.0,,0.0,0.0,0.004,0.0,0.0,0.332,0.005,1.659,3.671,,,0.04,,,,,,,,0.0,0.007,0.659,,,,8.45,0.007,,,,,,,,0.277,4.268,0.329,3.63,0.053,0.582,0.013,0.148,0.004,0.04,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.386,0.025,,
1952,WSM,92723.0,,0.0,0.0,0.007,0.004,100.0,0.341,0.009,2.591,3.677,,,0.079,,,,,,,,0.0,0.015,1.0,,,,8.784,0.015,,,,,,,,0.317,4.184,0.334,3.597,0.054,0.585,0.014,0.148,0.007,0.079,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.388,0.029,,
1953,WSM,94786.0,,0.0,0.0,0.007,0.0,0.0,0.346,0.005,1.537,3.652,,,0.077,,,,,,,,0.0,0.022,1.346,,,,9.123,0.022,,,,,,,,0.316,4.065,0.339,3.574,0.056,0.589,0.014,0.147,0.007,0.077,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.385,0.03,,
1954,WSM,96895.0,,0.0,0.0,0.011,0.004,50.0,0.356,0.01,2.795,3.672,,,0.113,,,,,,,,0.0,0.033,1.702,,,,9.467,0.033,,,,,,,,0.354,4.068,0.345,3.559,0.057,0.592,0.014,0.147,0.011,0.113,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.001,,0.002,0.0,0.0,0.0,0.0,0.394,0.034,,
1955,WSM,99056.0,,0.0,0.0,0.011,0.0,0.0,0.363,0.007,2.039,3.665,,,0.111,,,,,,,,0.0,0.044,2.065,,,,9.819,0.044,,,,,,,,0.353,3.975,0.352,3.554,0.059,0.595,0.015,0.147,0.011,0.111,,,,0.0,0.0,0.002,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.394,0.035,,
1956,WSM,101335.0,,0.0,0.0,0.011,0.0,0.0,0.371,0.008,2.129,3.659,,,0.108,,,,,,,,0.0,0.055,2.436,,,,10.179,0.055,,,,,,,,0.351,3.88,0.36,3.551,0.061,0.598,0.015,0.147,0.011,0.108,,,,0.0,0.0,0.002,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.393,0.036,,
1957,WSM,103906.0,,0.0,0.0,0.015,0.004,33.333,0.384,0.013,3.488,3.693,,,0.141,,,,,,,,0.0,0.07,2.82,,,,10.548,0.07,,,,,,,,0.385,3.856,0.369,3.552,0.062,0.6,0.015,0.146,0.015,0.141,,,,0.0,0.0,0.002,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.001,,0.002,0.0,0.0,0.0,0.0,0.401,0.04,,
1958,WSM,106710.0,,0.0,0.0,0.011,-0.004,-25.0,0.391,0.007,1.786,3.66,,,0.103,,,,,,,,0.0,0.081,3.21,,,,10.928,0.081,,,,,,,,0.347,3.777,0.38,3.557,0.064,0.602,0.016,0.146,0.011,0.103,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.0,,0.002,0.0,0.0,0.0,0.0,0.403,0.037,,
1959,WSM,109575.0,,0.0,0.0,0.015,0.004,33.333,0.399,0.008,2.073,3.638,,,0.134,,,,,,,,0.0,0.095,3.609,,,,11.312,0.095,,,,,,,,0.379,3.796,0.384,3.505,0.066,0.604,0.016,0.145,0.015,0.134,,,,0.0,0.0,0.002,,0.0,0.0,0.0,,,,0.002,0.0,,,,0.005,0.001,,0.002,0.0,0.0,0.0,0.0,0.416,0.042,,
