year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1951,STP,61783.0,76440000.0,0.0,0.0,0.004,,,-0.139,,,-2.244,-1.814,,0.059,0.048,,,,,,,0.0,0.004,-0.139,,,,9.06,0.004,,,,,,,,0.301,0.182,-0.142,-2.303,0.018,0.293,0.006,0.1,0.004,0.059,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.011,0.019,,
1952,STP,62611.0,76320000.0,0.0,0.0,0.004,0.0,0.0,-0.111,0.028,-20.164,-1.768,-1.45,,0.059,0.048,,,,,,,0.0,0.007,-0.249,,,,8.945,0.007,,,,,,,,0.298,0.692,-0.114,-1.826,0.018,0.289,0.006,0.097,0.004,0.059,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.043,0.019,,
1953,STP,63348.0,76320000.0,0.0,0.0,0.004,0.0,0.0,-0.142,-0.031,28.236,-2.241,-1.86,,0.058,0.048,,,,,,,0.0,0.011,-0.391,,,,8.8,0.011,,,,,,,,0.296,0.158,-0.146,-2.299,0.018,0.288,0.006,0.093,0.004,0.058,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.019,,
1954,STP,64004.0,79500000.0,0.0,0.0,0.004,0.0,0.0,-0.204,-0.062,43.908,-3.191,-2.569,,0.057,0.046,,,,,,,0.0,0.015,-0.596,,,,8.592,0.015,,,,,,,,0.295,-0.986,-0.208,-3.249,0.018,0.288,0.006,0.089,0.004,0.057,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.003,0.0,,0.0,0.0,0.0,0.0,0.0,-0.063,0.019,,
1955,STP,64620.0,71460000.0,0.0,0.0,0.004,0.0,0.0,-0.118,0.087,-42.368,-1.822,-1.647,,0.057,0.051,,,,,,,0.0,0.018,-0.713,,,,8.47,0.018,,,,,,,,0.296,0.188,-0.121,-1.878,0.019,0.291,0.005,0.084,0.004,0.057,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.019,,
1956,STP,65242.0,76616000.0,0.0,0.0,0.007,0.004,100.0,-0.126,-0.008,7.003,-1.931,-1.644,,0.112,0.096,,,,,,,0.0,0.026,-0.839,,,,8.337,0.026,,,,,,,,0.36,-0.085,-0.133,-2.043,0.02,0.3,0.005,0.08,0.007,0.112,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,-0.006,0.023,,
1957,STP,65886.0,75945000.0,0.0,0.0,0.011,0.004,50.0,-0.132,-0.006,4.741,-2.003,-1.737,,0.167,0.145,,,,,,,0.0,0.037,-0.971,,,,8.194,0.037,,,,,,,,0.423,-0.124,-0.143,-2.169,0.02,0.311,0.005,0.076,0.011,0.167,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,-0.008,0.028,,
1958,STP,66574.0,84568000.0,0.0,0.0,0.007,-0.004,-33.333,-0.152,-0.02,15.329,-2.286,-1.799,,0.11,0.087,,,,,,,0.0,0.044,-1.123,,,,8.035,0.044,,,,,,,,0.365,-0.101,-0.159,-2.396,0.021,0.312,0.005,0.072,0.007,0.11,,,,0.0,0.0,-0.001,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.002,0.0,,0.0,0.0,0.0,0.0,0.0,-0.007,0.024,,
1959,STP,67307.0,76923000.0,0.0,0.0,0.007,0.0,0.0,-0.318,-0.165,108.741,-4.719,-4.129,,0.109,0.095,,,,,,,0.0,0.051,-1.441,,,,7.71,0.051,,,,,,,,0.367,-0.525,-0.325,-4.828,0.021,0.316,0.005,0.07,0.007,0.109,,,,0.0,0.0,-0.002,,0.0,0.0,-0.0,,,,0.002,0.0,,,,-0.004,0.0,,0.0,0.0,0.0,0.0,0.0,-0.035,0.025,,
1960,STP,68026.0,85176000.0,0.0,0.0,0.011,0.004,50.0,-0.332,-0.015,4.626,-4.885,-3.902,,0.162,0.129,,,,,,,0.0,0.062,-1.773,,,,7.366,0.062,,,,,,,,0.425,-0.459,-0.343,-5.047,0.022,0.323,0.005,0.069,0.011,0.162,,,,0.0,0.0,-0.002,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.005,0.0,,0.0,0.0,0.0,0.0,0.0,-0.031,0.029,,
