year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1949,SEN,2444336.0,,,,0.0,,,16.134,,,6.6,,,0.0,,,0.0,0.0,,,,,0.0,16.134,0.0,0.0,0.0,426.842,0.0,,,,0.0,0.0,0.0,0.0,0.554,6.788,16.134,6.6,3.652,1.494,3.168,1.296,0.0,0.0,,,,,0.0,0.151,0.0,,0.0,0.003,0.0,,0.0,0.103,0.0,,,0.0,0.295,0.0,,0.054,0.0,0.0,0.0,0.0,16.593,1.354,,
1950,SEN,2555376.0,5325849600.0,,,0.362,0.362,,16.105,-0.029,-0.177,6.302,3.024,,0.142,0.068,,0.082,0.032,,,,,0.362,32.239,0.082,0.0,0.0,442.586,0.279,,,,0.0,0.0,0.0,0.0,0.694,6.6,15.744,6.161,3.788,1.482,3.249,1.271,0.279,0.109,,,,,0.006,0.133,0.002,,0.0,0.005,0.0,0.0,0.0,0.105,0.001,,0.0,0.0,0.254,0.018,,0.055,0.0,0.0,0.0,0.0,16.866,1.772,,
1951,SEN,2619645.0,5520459264.0,,,0.302,-0.06,-16.452,14.86,-1.246,-7.735,5.672,2.692,,0.115,0.055,,0.137,0.052,,,,,0.664,47.098,0.219,0.0,0.0,457.143,0.445,,,,0.0,0.0,0.0,0.0,0.661,6.312,14.557,5.557,3.899,1.488,3.226,1.232,0.165,0.063,,,,,0.005,0.115,0.003,,0.0,0.007,0.0,0.0,0.0,0.107,0.002,,0.0,0.0,0.222,0.01,,0.056,0.0,0.0,0.0,0.0,16.535,1.731,,
1952,SEN,2687010.0,5723358208.0,,,0.327,0.024,8.051,14.194,-0.665,-4.478,5.282,2.48,,0.122,0.057,,0.129,0.048,,,,,0.99,61.293,0.348,0.0,0.0,471.011,0.642,,,,0.0,0.0,0.0,0.0,0.66,6.102,13.868,5.161,4.018,1.495,3.144,1.17,0.197,0.073,,,,,0.005,0.11,0.003,,0.0,0.009,0.0,0.0,0.0,0.108,0.002,,0.0,0.0,0.214,0.011,,0.057,0.0,0.0,0.0,0.0,16.395,1.774,,
1953,SEN,2757570.0,5929376256.0,,,0.274,-0.052,-16.022,14.32,0.126,0.89,5.193,2.415,,0.099,0.046,,0.045,0.016,,,,,1.265,75.613,0.393,0.0,0.0,485.057,0.872,,,,0.0,0.0,0.0,0.0,0.632,5.972,14.046,5.094,4.144,1.503,3.018,1.094,0.229,0.083,,,,,0.004,0.108,0.001,,0.001,0.011,0.0,0.0,0.0,0.11,0.003,,0.0,0.0,0.213,0.012,,0.058,0.0,0.0,0.0,0.0,16.468,1.742,,
1954,SEN,2831395.0,6152980992.0,,,0.317,0.043,15.761,14.13,-0.19,-1.326,4.991,2.297,,0.112,0.052,,0.05,0.018,,,,,1.582,89.743,0.443,0.0,0.0,498.87,1.139,,,,0.0,0.0,0.0,0.0,0.638,5.815,13.813,4.878,4.278,1.511,2.861,1.011,0.267,0.094,,,,,0.005,0.103,0.001,,0.001,0.013,0.0,0.0,0.0,0.111,0.003,,0.0,0.0,0.198,0.013,,0.059,0.0,0.0,0.0,0.0,16.466,1.807,,
1955,SEN,2908510.0,6377634304.0,,,0.292,-0.025,-7.925,14.125,-0.006,-0.04,4.856,2.215,,0.1,0.046,,0.021,0.007,,,,,1.874,103.868,0.465,0.0,0.0,512.702,1.41,,,,0.0,0.0,0.0,0.0,0.62,5.657,13.832,4.756,4.418,1.519,2.69,0.925,0.271,0.093,,,,,0.004,0.097,0.0,,0.001,0.014,0.0,0.0,0.0,0.113,0.004,,0.0,0.0,0.194,0.012,,0.06,0.0,0.0,0.0,0.0,16.454,1.804,,
1956,SEN,2988938.0,6612278272.0,,,0.341,0.049,16.802,14.055,-0.07,-0.494,4.702,2.126,,0.114,0.052,,0.028,0.009,,,,,2.216,117.923,0.493,0.0,0.0,526.416,1.723,,,,0.0,0.0,0.0,0.0,0.628,5.513,13.714,4.588,4.566,1.528,2.519,0.843,0.313,0.105,,,,,0.004,0.093,0.001,,0.001,0.016,0.0,0.0,0.0,0.114,0.004,,0.0,0.0,0.19,0.013,,0.061,0.0,0.0,0.0,0.0,16.478,1.876,,
1957,SEN,3072375.0,6860512768.0,,,0.347,0.006,1.641,15.042,0.987,7.024,4.896,2.193,,0.113,0.051,,0.001,0.0,,,,,2.563,132.965,0.494,0.0,0.0,541.111,2.069,,,,0.0,0.0,0.0,0.0,0.621,5.453,14.695,4.783,4.722,1.537,2.363,0.769,0.346,0.113,,,,,0.004,0.097,0.0,,0.001,0.018,0.0,0.0,0.0,0.115,0.005,,0.0,0.0,0.201,0.013,,0.062,0.0,0.0,0.0,0.0,16.755,1.907,,
1958,SEN,3158762.0,7114458112.0,0.073,0.023,0.355,0.008,2.254,14.606,-0.436,-2.901,4.624,2.053,,0.112,0.05,,,,,,,0.073,2.918,147.571,,,,555.362,2.351,,,,,,,,0.615,5.287,14.251,4.512,4.887,1.547,2.237,0.708,0.282,0.089,,,,0.056,0.004,0.094,,0.004,0.001,0.019,,,,0.116,0.005,,,,0.198,0.01,,0.062,0.0,0.0,0.0,0.0,16.701,1.942,,
