year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SLE,1999628.0,1882473984.0,0.0,0.0,0.158,,,28.295,,,14.15,15.031,,0.079,0.084,,0.106,0.053,,,,0.0,0.158,28.295,0.106,,,1543.91,0.051,,,,,,,,0.471,9.589,28.137,14.071,1.515,0.758,0.648,0.324,0.051,0.026,,,,0.0,0.003,0.233,0.003,0.0,0.0,0.004,0.0,,,0.366,0.0,,,,0.453,0.003,,0.117,0.0,0.0,0.0,0.0,19.174,0.941,,
1951,SLE,2023290.0,1992329984.0,0.0,0.0,0.095,-0.062,-39.535,22.021,-6.274,-22.172,10.884,11.053,,0.047,0.048,,0.037,0.018,,,,0.0,0.253,50.316,0.143,,,1565.836,0.11,,,,,,,,0.444,8.071,21.926,10.837,1.546,0.764,0.646,0.319,0.059,0.029,,,,0.0,0.001,0.17,0.001,0.0,0.0,0.008,0.0,,,0.365,0.0,,,,0.334,0.003,,0.117,0.0,0.0,0.0,0.0,16.33,0.898,,
1952,SLE,2047200.0,2052994048.0,0.0,0.0,0.18,0.084,88.462,16.307,-5.714,-25.949,7.965,7.943,,0.088,0.087,,0.11,0.054,,,,0.0,0.432,66.623,0.253,,,1581.963,0.18,,,,,,,,0.49,6.248,16.127,7.878,1.577,0.77,0.634,0.31,0.07,0.034,,,,0.0,0.003,0.126,0.003,0.0,0.0,0.01,0.0,,,0.364,0.001,,,,0.249,0.004,,0.116,0.0,0.0,0.0,0.0,12.791,1.003,,
1953,SLE,2070817.0,2132903936.0,0.0,0.0,0.169,-0.011,-6.122,13.437,-2.87,-17.598,6.489,6.3,,0.081,0.079,,0.088,0.042,,,,0.0,0.601,80.06,0.341,,,1595.231,0.26,,,,,,,,0.489,5.628,13.269,6.407,1.609,0.777,0.614,0.296,0.081,0.039,,,,0.0,0.003,0.101,0.002,0.0,0.0,0.012,0.0,,,0.361,0.001,,,,0.201,0.004,,0.115,0.0,0.0,0.0,0.0,11.654,1.013,,
1954,SLE,2095065.0,2252645888.0,0.0,0.0,0.125,-0.044,-26.087,11.621,-1.816,-13.517,5.547,5.159,,0.059,0.055,,0.043,0.02,,,,0.0,0.725,91.681,0.383,,,1606.728,0.342,,,,,,,,0.472,5.187,11.496,5.487,1.642,0.784,0.589,0.281,0.082,0.039,,,,0.0,0.002,0.084,0.001,0.0,0.0,0.013,0.0,,,0.358,0.001,,,,0.165,0.004,,0.113,0.0,0.0,0.001,0.0,10.867,0.99,,
1955,SLE,2120895.0,2331251968.0,0.0,0.0,0.183,0.059,47.059,10.374,-1.247,-10.73,4.891,4.45,,0.086,0.079,,0.081,0.038,,,,0.0,0.909,102.054,0.464,,,1616.918,0.445,,,,,,,,0.504,4.732,10.191,4.805,1.676,0.79,0.561,0.265,0.103,0.048,,,,0.0,0.002,0.071,0.002,0.0,0.0,0.014,0.0,,,0.355,0.001,,,,0.143,0.004,,0.112,0.0,0.0,0.001,0.0,10.037,1.07,,
1956,SLE,2147977.0,2422479872.0,0.0,0.0,0.18,-0.004,-2.0,9.608,-0.766,-7.386,4.473,3.966,,0.084,0.074,,0.062,0.029,,,,0.0,1.088,111.662,0.526,,,1626.346,0.562,,,,,,,,0.506,4.281,9.428,4.389,1.711,0.797,0.534,0.249,0.117,0.055,,,,0.0,0.002,0.063,0.001,0.0,0.0,0.015,0.0,,,0.351,0.001,,,,0.131,0.005,,0.11,0.0,0.0,0.001,0.0,9.196,1.088,,
1957,SLE,2176255.0,2509528064.0,0.0,0.0,0.388,0.209,116.327,8.958,-0.65,-6.764,4.116,3.569,,0.178,0.155,,0.07,0.032,,,,0.0,1.477,120.62,0.596,,,1634.916,0.881,,,,,,,,0.606,4.166,8.569,3.938,1.747,0.803,0.509,0.234,0.319,0.146,,,,0.0,0.005,0.058,0.001,0.0,0.001,0.016,0.0,,,0.348,0.002,,,,0.117,0.012,,0.109,0.0,0.0,0.001,0.0,9.065,1.319,,
1958,SLE,2204840.0,2581752064.0,0.0,0.0,0.209,-0.18,-46.226,8.213,-0.745,-8.314,3.725,3.181,,0.095,0.081,,0.082,0.037,,,,0.0,1.685,128.833,0.678,,,1642.92,1.007,,,,,,,,0.526,3.792,8.004,3.63,1.781,0.808,0.489,0.222,0.127,0.058,,,,0.0,0.002,0.053,0.002,0.0,0.001,0.017,0.0,,,0.344,0.002,,,,0.111,0.005,,0.107,0.0,0.0,0.001,0.0,8.361,1.16,,
1959,SLE,2235027.0,2732834048.0,0.0,0.0,0.234,0.026,12.281,7.801,-0.411,-5.01,3.491,2.855,,0.105,0.086,,0.043,0.019,,,,0.0,1.92,136.634,0.721,,,1650.487,1.199,,,,,,,,0.54,3.593,7.567,3.386,1.818,0.813,0.477,0.213,0.191,0.086,,,,0.0,0.003,0.047,0.001,0.0,0.001,0.018,0.0,,,0.34,0.002,,,,0.098,0.007,,0.105,0.0,0.0,0.001,0.0,8.029,1.207,,
