year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SSD,2493286.0,,0.0,0.0,0.044,,,9.268,,,3.717,,,0.018,,,0.011,0.004,,,,0.0,0.044,9.268,0.011,0.0,0.0,544.43,0.033,,,,0.0,0.0,0.0,0.0,0.142,9.576,9.224,3.699,0.229,0.092,15.021,6.024,0.033,0.013,,,,0.0,0.001,0.076,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.129,0.0,,0.0,0.0,0.149,0.002,,0.088,0.0,0.0,0.0,0.0,23.876,0.354,,
1951,SSD,2529621.0,,0.0,0.0,0.058,0.014,31.334,10.415,1.147,12.377,4.117,,,0.023,,,0.012,0.005,,,,0.0,0.102,19.683,0.023,0.0,0.0,554.786,0.079,,,,0.0,0.0,0.0,0.0,0.148,9.567,10.357,4.094,0.234,0.092,14.908,5.893,0.046,0.018,,,,0.0,0.001,0.08,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.129,0.0,,0.0,0.0,0.158,0.003,,0.089,0.0,0.0,0.0,0.0,24.201,0.374,,
1952,SSD,2569210.0,,0.0,0.0,0.061,0.003,5.075,10.337,-0.078,-0.745,4.024,,,0.024,,,0.01,0.004,,,,0.0,0.163,30.02,0.033,0.0,0.0,565.063,0.131,,,,0.0,0.0,0.0,0.0,0.146,9.301,10.276,4.0,0.232,0.09,14.516,5.65,0.052,0.02,,,,0.0,0.001,0.08,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.13,0.0,,0.0,0.0,0.159,0.003,,0.09,0.0,0.0,0.0,0.0,23.897,0.376,,
1953,SSD,2611735.0,,0.0,0.0,0.067,0.006,9.662,11.137,0.8,7.739,4.264,,,0.026,,,0.014,0.005,,,,0.0,0.23,41.158,0.046,0.0,0.0,576.133,0.184,,,,0.0,0.0,0.0,0.0,0.146,9.04,11.07,4.239,0.229,0.088,13.916,5.328,0.053,0.02,,,,0.0,0.001,0.084,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.13,0.001,,0.0,0.0,0.168,0.003,,0.09,0.0,0.0,0.0,0.0,23.611,0.381,,
1954,SSD,2657098.0,,0.0,0.0,0.066,-0.001,-1.762,11.886,0.749,6.722,4.473,,,0.025,,,0.005,0.002,,,,0.0,0.296,53.044,0.052,0.0,0.0,587.954,0.244,,,,0.0,0.0,0.0,0.0,0.142,8.728,11.82,4.449,0.225,0.085,13.176,4.959,0.06,0.023,,,,0.0,0.001,0.086,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.131,0.001,,0.0,0.0,0.169,0.003,,0.091,0.0,0.0,0.0,0.0,23.192,0.378,,
1955,SSD,2705088.0,,0.0,0.0,0.075,0.009,13.453,12.242,0.356,2.993,4.526,,,0.028,,,0.01,0.004,,,,0.0,0.371,65.286,0.062,0.0,0.0,600.121,0.309,,,,0.0,0.0,0.0,0.0,0.142,8.356,12.167,4.498,0.222,0.082,12.367,4.572,0.064,0.024,,,,0.0,0.001,0.084,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.132,0.001,,0.0,0.0,0.171,0.003,,0.091,0.0,0.0,0.0,0.0,22.603,0.385,,
1956,SSD,2754597.0,,0.0,0.0,0.072,-0.002,-3.163,12.697,0.455,3.72,4.609,,,0.026,,,0.006,0.002,,,,0.0,0.443,77.983,0.068,0.0,0.0,612.746,0.376,,,,0.0,0.0,0.0,0.0,0.138,7.982,12.625,4.583,0.218,0.079,11.558,4.196,0.067,0.024,,,,0.0,0.001,0.084,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.132,0.001,,0.0,0.0,0.175,0.003,,0.091,0.0,0.0,0.0,0.0,21.987,0.38,,
1957,SSD,2804099.0,,0.0,0.0,0.093,0.021,28.572,12.604,-0.093,-0.734,4.495,,,0.033,,,0.007,0.002,,,,0.0,0.536,90.587,0.074,0.0,0.0,625.257,0.462,,,,0.0,0.0,0.0,0.0,0.142,7.614,12.511,4.462,0.214,0.076,10.82,3.859,0.086,0.031,,,,0.0,0.001,0.081,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.133,0.001,,0.0,0.0,0.171,0.003,,0.091,0.0,0.0,0.0,0.0,21.35,0.399,,
1958,SSD,2848362.0,,0.0,0.0,0.104,0.011,11.746,13.67,1.066,8.456,4.799,,,0.036,,,0.01,0.003,,,,0.0,0.64,104.257,0.084,0.0,0.0,638.823,0.556,,,,0.0,0.0,0.0,0.0,0.143,7.424,13.566,4.763,0.211,0.074,10.221,3.588,0.094,0.033,,,,0.0,0.001,0.088,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.134,0.001,,0.0,0.0,0.189,0.003,,0.09,0.0,0.0,0.0,0.0,21.146,0.408,,
1959,SSD,2888783.0,,0.0,0.0,0.11,0.006,5.966,14.738,1.069,7.818,5.102,,,0.038,,,0.006,0.002,,,,0.0,0.75,118.995,0.091,0.0,0.0,653.451,0.659,,,,0.0,0.0,0.0,0.0,0.143,7.32,14.628,5.064,0.208,0.072,9.832,3.404,0.104,0.036,,,,0.0,0.001,0.089,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.135,0.001,,0.0,0.0,0.189,0.004,,0.09,0.0,0.0,0.0,0.0,21.147,0.413,,
