year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,TZA,7625152.0,5364008448.0,0.0,0.0,0.498,,,113.284,,,14.857,21.119,,0.065,0.093,,0.154,0.02,,,,0.0,0.498,113.284,0.154,,,2293.803,0.344,,,,,,,,0.401,11.892,112.786,14.791,10.343,1.356,10.473,1.373,0.344,0.045,,,,0.0,0.008,0.933,0.004,0.0,0.0,0.017,0.0,,,0.544,0.001,,,,1.817,0.022,,0.252,0.0,0.001,0.001,0.0,90.675,3.055,,
1951,TZA,7812973.0,6036802048.0,0.0,0.0,0.447,-0.051,-10.294,107.364,-5.92,-5.225,13.742,17.785,,0.057,0.074,,0.139,0.018,,,,0.0,0.945,220.648,0.293,,,2400.721,0.652,,,,,,,,0.392,11.617,106.917,13.685,10.721,1.372,10.401,1.331,0.308,0.039,,,,0.0,0.007,0.83,0.003,0.0,0.0,0.033,0.0,,,0.56,0.002,,,,1.63,0.018,,0.257,0.0,0.001,0.001,0.0,90.765,3.061,,
1952,TZA,8009083.0,6158964736.0,0.0,0.0,0.539,0.092,20.492,107.65,0.286,0.266,13.441,17.479,,0.067,0.087,,0.193,0.024,,,,0.0,1.484,328.298,0.486,,,2507.832,0.998,,,,,,,,0.401,11.37,107.111,13.374,11.119,1.388,10.14,1.266,0.346,0.043,,,,0.0,0.008,0.832,0.005,0.0,0.001,0.049,0.0,,,0.576,0.003,,,,1.653,0.019,,0.263,0.0,0.001,0.001,0.0,91.06,3.212,,
1953,TZA,8213118.0,5944960512.0,0.0,0.0,0.528,-0.011,-2.041,112.857,5.207,4.837,13.741,18.984,,0.064,0.089,,0.154,0.019,,,,0.0,2.012,441.155,0.64,,,2620.161,1.372,,,,,,,,0.397,11.354,112.329,13.677,11.538,1.405,9.736,1.185,0.374,0.046,,,,0.0,0.008,0.852,0.004,0.0,0.001,0.064,0.0,,,0.593,0.004,,,,1.705,0.019,,0.268,0.0,0.001,0.001,0.0,93.249,3.264,,
1954,TZA,8424793.0,6427650048.0,0.0,0.0,0.539,0.011,2.083,112.839,-0.017,-0.015,13.394,17.555,,0.064,0.084,,0.143,0.017,,,,0.0,2.55,553.994,0.783,,,2732.462,1.767,,,,,,,,0.396,11.192,112.301,13.33,11.975,1.421,9.237,1.096,0.396,0.047,,,,0.0,0.008,0.819,0.004,0.0,0.001,0.079,0.0,,,0.609,0.005,,,,1.609,0.019,,0.273,0.0,0.001,0.001,0.0,94.294,3.339,,
1955,TZA,8644857.0,6575457280.0,0.0,0.0,0.557,0.018,3.401,112.697,-0.142,-0.126,13.036,17.139,,0.064,0.085,,0.015,0.002,,,,0.0,3.107,666.691,0.797,,,2844.602,2.31,,,,,,,,0.396,10.999,112.14,12.972,12.433,1.438,8.692,1.005,0.542,0.063,,,,0.0,0.007,0.774,0.0,0.0,0.001,0.093,0.0,,,0.624,0.006,,,,1.574,0.024,,0.278,0.0,0.001,0.001,0.0,95.089,3.425,,
1956,TZA,8874778.0,6665398784.0,0.0,0.0,0.66,0.103,18.421,116.263,3.566,3.164,13.1,17.443,,0.074,0.099,,0.022,0.002,,,,0.0,3.767,782.954,0.819,,,2960.205,2.947,,,,,,,,0.405,10.942,115.603,13.026,12.911,1.455,8.146,0.918,0.638,0.072,,,,0.0,0.008,0.768,0.0,0.0,0.001,0.107,0.0,,,0.639,0.007,,,,1.601,0.026,,0.283,0.0,0.001,0.001,0.0,97.104,3.597,,
1957,TZA,9115792.0,6806034944.0,0.0,0.0,0.762,0.103,15.556,118.224,1.961,1.686,12.969,17.37,,0.084,0.112,,0.004,0.0,,,,0.0,4.529,901.178,0.823,,,3077.667,3.706,,,,,,,,0.414,10.894,117.462,12.886,13.41,1.471,7.648,0.839,0.758,0.083,,,,0.0,0.009,0.762,0.0,0.0,0.002,0.121,0.0,,,0.654,0.009,,,,1.604,0.029,,0.287,0.0,0.001,0.001,0.0,99.304,3.771,,
1958,TZA,9367594.0,6875075072.0,0.0,0.0,0.802,0.04,5.288,115.998,-2.226,-1.883,12.383,16.872,,0.086,0.117,,0.004,0.0,,,,0.0,5.331,1017.176,0.827,,,3192.863,4.504,,,,,,,,0.415,10.55,115.196,12.297,13.93,1.487,7.245,0.773,0.799,0.085,,,,0.0,0.01,0.743,0.0,0.0,0.002,0.133,0.0,,,0.669,0.01,,,,1.602,0.029,,0.291,0.0,0.001,0.001,0.0,98.826,3.885,,
1959,TZA,9629268.0,7224730112.0,0.0,0.0,0.689,-0.114,-14.155,116.305,0.307,0.265,12.078,16.098,,0.072,0.095,,0.004,0.0,,,,0.0,6.02,1133.481,0.83,,,3308.479,5.19,,,,,,,,0.399,10.338,115.616,12.007,14.472,1.503,6.985,0.725,0.685,0.071,,,,0.0,0.008,0.701,0.0,0.0,0.002,0.145,0.0,,,0.682,0.011,,,,1.493,0.024,,0.295,0.0,0.001,0.001,0.0,99.552,3.846,,
