year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,WLF,13503.0,,,,0.018,,,,,,,,,1.357,,,,,,,,,0.018,,,,,,0.018,,,,,,,,,,,,,,,,0.018,1.357,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1991,WLF,13654.0,,,,0.018,0.0,0.0,,,,,,,1.342,,,,,,,,,0.037,,,,,,0.037,,,,,,,,,,,,,,,,0.018,1.342,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1992,WLF,13799.0,,,,0.018,0.0,0.0,,,,,,,1.328,,,,,,,,,0.055,,,,,,0.055,,,,,,,,,,,,,,,,0.018,1.328,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1993,WLF,13948.0,,,,0.018,0.0,0.0,,,,,,,1.313,,,,,,,,,0.073,,,,,,0.073,,,,,,,,,,,,,,,,0.018,1.313,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1994,WLF,14084.0,,,,0.018,0.0,0.0,,,,,,,1.301,,,,,,,,,0.092,,,0.0,,,0.092,,,,0.0,0.0,,,,,,,,,,,0.018,1.301,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1995,WLF,14222.0,,,,0.018,0.0,0.0,,,,,,,1.288,,,,,,,,,0.11,,,0.0,,,0.11,,,,0.0,0.0,,,,,,,,,,,0.018,1.288,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1996,WLF,14340.0,,,,0.022,0.004,20.0,,,,,,,1.533,,,,,,,,,0.132,,,0.0,,,0.132,,,,0.0,0.0,,,,,,,,,,,0.022,1.533,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1997,WLF,14438.0,,,,0.022,0.0,0.0,,,,,,,1.523,,,,,,,,,0.154,,,0.0,,,0.154,,,,0.0,0.0,,,,,,,,,,,0.022,1.523,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1998,WLF,14553.0,,,,0.022,0.0,0.0,,,,,,,1.511,,,,,,,,,0.176,,,0.0,,,0.176,,,,0.0,0.0,,,,,,,,,,,0.022,1.511,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1999,WLF,14675.0,,,,0.026,0.004,16.667,,,,,,,1.748,,,,,,,,,0.202,,,0.0,,,0.202,,,,0.0,0.0,,,,,,,,,,,0.026,1.748,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2000,WLF,14803.0,,,,0.026,0.0,0.0,,,,,,,1.733,,,,,,,,,0.227,,,0.0,,,0.227,,,,0.0,0.0,,,,,,,,,,,0.026,1.733,,,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2001,WLF,14931.0,,0.0,0.0,0.026,0.0,0.0,,,,,,,1.718,,,,,,,,0.0,0.253,,,0.0,,,0.253,,,,0.0,0.0,,,,,,,,,,,0.026,1.718,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2002,WLF,15047.0,,0.0,0.0,0.026,0.0,0.0,,,,,,,1.705,,,,,,,,0.0,0.278,,,0.0,,,0.278,,,,0.0,0.0,,,,,,,,,,,0.026,1.705,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2003,WLF,15071.0,,0.0,0.0,0.026,0.0,0.0,,,,,,,1.702,,,,,,,,0.0,0.304,,,0.0,,,0.304,,,,0.0,0.0,,,,,,,,,,,0.026,1.702,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2004,WLF,14916.0,,0.0,0.0,0.026,0.0,0.0,,,,,,,1.719,,,,,,,,0.0,0.33,,,0.0,,,0.33,,,,0.0,0.0,,,,,,,,,,,0.026,1.719,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2005,WLF,14635.0,,0.0,0.0,0.029,0.004,14.286,,,,,,,2.003,,,,,,,,0.0,0.359,,,0.0,,,0.359,,,,0.0,0.0,,,,,,,,,,,0.029,2.003,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2006,WLF,14332.0,,0.0,0.0,0.029,0.0,0.0,,,,,,,2.045,,,,,,,,0.0,0.388,,,0.0,,,0.388,,,,0.0,0.0,,,,,,,,,,,0.029,2.045,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
