year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,ZMB,2321309.0,2690862080.0,0.024,0.01,2.33,,,128.777,,,55.476,47.857,,1.004,0.866,,2.211,0.952,,,,0.024,2.33,128.777,2.211,0.0,0.0,3151.781,0.095,,,,0.0,0.0,0.0,0.0,1.719,32.555,126.446,54.472,4.409,1.899,9.216,3.97,0.095,0.041,,,,0.036,0.039,1.061,0.057,0.003,0.001,0.02,0.001,0.0,0.0,0.747,0.0,,0.0,0.0,2.037,0.006,,0.238,0.0,0.001,0.001,0.0,75.57,3.991,,
1951,ZMB,2393307.0,2864267008.0,0.028,0.012,2.569,0.239,10.267,109.911,-18.865,-14.65,45.924,38.373,,1.074,0.897,,2.393,1.0,,,,0.052,4.9,238.688,4.604,0.0,0.0,3259.122,0.244,,,,0.0,0.0,0.0,0.0,1.788,28.634,107.342,44.851,4.703,1.965,9.159,3.827,0.149,0.062,,,,0.037,0.04,0.849,0.059,0.005,0.002,0.036,0.002,0.0,0.0,0.76,0.001,,0.0,0.0,1.636,0.009,,0.241,0.0,0.001,0.001,0.0,68.53,4.279,,
1952,ZMB,2467262.0,3046080000.0,0.041,0.017,2.89,0.321,12.49,98.16,-11.751,-10.691,39.785,32.225,,1.171,0.949,,2.679,1.086,,,,0.094,7.79,336.848,7.283,0.0,0.0,3354.393,0.414,,,,0.0,0.0,0.0,0.0,1.885,26.275,95.27,38.614,5.013,2.032,8.939,3.623,0.17,0.069,,,,0.051,0.045,0.758,0.066,0.009,0.003,0.05,0.004,0.0,0.0,0.771,0.001,,0.0,0.0,1.471,0.009,,0.244,0.0,0.001,0.001,0.0,64.826,4.65,,
1953,ZMB,2543548.0,3237056000.0,0.054,0.021,3.15,0.26,8.995,94.491,-3.67,-3.738,37.149,29.19,,1.239,0.973,,2.902,1.141,,,,0.147,10.94,431.339,10.185,0.0,0.0,3445.733,0.608,,,,0.0,0.0,0.0,0.0,1.95,25.28,91.341,35.911,5.339,2.099,8.597,3.38,0.194,0.076,,,,0.06,0.047,0.714,0.071,0.013,0.004,0.063,0.005,0.0,0.0,0.78,0.002,,0.0,0.0,1.386,0.01,,0.247,0.0,0.001,0.001,0.0,64.302,4.96,,
1954,ZMB,2622274.0,3446799872.0,0.066,0.025,3.464,0.313,9.951,92.622,-1.869,-1.978,35.321,26.872,,1.321,1.005,,3.182,1.214,,,,0.214,14.404,523.961,13.367,0.0,0.0,3534.891,0.824,,,,0.0,0.0,0.0,0.0,2.031,24.384,89.158,34.0,5.68,2.166,8.174,3.117,0.216,0.082,,,,0.068,0.051,0.673,0.078,0.017,0.006,0.075,0.006,0.0,0.0,0.788,0.002,,0.0,0.0,1.277,0.01,,0.25,0.0,0.001,0.001,0.0,63.941,5.325,,
1955,ZMB,2703549.0,3365337088.0,0.082,0.03,4.085,0.621,17.931,92.681,0.059,0.064,34.281,27.54,,1.511,1.214,,3.759,1.39,,,,0.295,18.489,616.642,17.125,0.0,0.0,3623.487,1.068,,,,0.0,0.0,0.0,0.0,2.219,23.77,88.596,32.77,6.038,2.233,7.71,2.852,0.244,0.09,,,,0.076,0.055,0.636,0.086,0.022,0.007,0.086,0.008,0.0,0.0,0.795,0.003,,0.0,0.0,1.244,0.011,,0.252,0.0,0.001,0.001,0.0,64.262,5.999,,
1956,ZMB,2787417.0,3764480000.0,0.097,0.035,4.453,0.368,9.02,93.175,0.495,0.534,33.427,24.751,,1.598,1.183,,4.047,1.452,,,,0.393,22.942,709.818,21.172,0.0,0.0,3712.209,1.378,,,,0.0,0.0,0.0,0.0,2.304,23.616,88.722,31.829,6.414,2.301,7.247,2.6,0.309,0.111,,,,0.084,0.056,0.615,0.088,0.027,0.008,0.097,0.009,0.0,0.0,0.802,0.003,,0.0,0.0,1.229,0.012,,0.254,0.0,0.001,0.001,0.0,65.827,6.423,,
1957,ZMB,2874074.0,3926832128.0,0.113,0.039,4.584,0.131,2.934,94.476,1.3,1.395,32.872,24.059,,1.595,1.167,,4.152,1.445,,,,0.506,27.526,804.293,25.324,0.0,0.0,3802.101,1.696,,,,0.0,0.0,0.0,0.0,2.3,22.973,89.892,31.277,6.807,2.368,6.824,2.374,0.318,0.111,,,,0.093,0.056,0.609,0.088,0.032,0.01,0.108,0.011,0.0,0.0,0.808,0.004,,0.0,0.0,1.227,0.012,,0.256,0.0,0.001,0.001,0.0,66.026,6.61,,
1958,ZMB,2963873.0,3827278080.0,0.135,0.046,4.095,-0.489,-10.671,94.843,0.367,0.388,32.0,24.781,,1.382,1.07,,3.594,1.213,,,,0.642,31.621,899.136,28.918,0.0,0.0,3892.849,2.061,,,,0.0,0.0,0.0,0.0,2.085,22.225,90.748,30.618,7.22,2.436,6.484,2.188,0.365,0.123,,,,0.104,0.049,0.608,0.075,0.037,0.011,0.118,0.012,0.0,0.0,0.815,0.005,,0.0,0.0,1.262,0.013,,0.258,0.0,0.001,0.001,0.0,65.872,6.18,,
1959,ZMB,3057056.0,4626233856.0,0.1,0.033,4.568,0.473,11.549,99.549,4.706,4.962,32.564,21.518,,1.494,0.987,,4.115,1.346,,,,0.742,36.189,998.685,33.034,0.0,0.0,3987.83,2.414,,,,0.0,0.0,0.0,0.0,2.196,22.443,94.981,31.069,7.654,2.504,6.265,2.049,0.352,0.115,,,,0.069,0.052,0.6,0.083,0.04,0.012,0.128,0.014,0.0,0.0,0.822,0.005,,0.0,0.0,1.227,0.012,,0.259,0.0,0.001,0.001,0.0,68.609,6.714,,
