year,co2,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1850,19.793,0.0,1.1102230246251565e-16,2.7755575615628914e-16,2.7755575615628914e-16,0.7180397287548173,0.9795766234184813,0.0
1851,24.633,0.008789498758381364,0.0,0.0,0.0,0.758687823942984,0.9917575626715736,0.002529140598673374
1852,26.791,0.011804086072577546,0.0,5.551115123125783e-17,0.0,0.7883485131950831,0.9999999999999998,0.004864473246726231
1853,30.162,0.016950844152248512,0.0,5.551115123125783e-17,0.0,0.782790375246037,0.9858561018807201,0.007268033527011886
1854,33.159,0.021130394827942045,0.0,5.551115123125783e-17,0.0,0.7990012172092309,0.9869603788689953,0.009614251041522082
1855,38.161,0.02872779981771184,0.0,5.551115123125783e-17,0.0,0.7937858203153929,0.975257722860819,0.012059972565392707
1856,40.037,0.030313557526971735,0.0,5.551115123125783e-17,0.0,0.80317649477522,0.9735160582140139,0.014184272458269143
1857,41.055,0.03029044395496394,0.0,5.551115123125783e-17,0.0,0.7992235662899295,0.9640482017514898,0.01618271739350452
1858,41.649,0.029508018015995008,0.0,5.551115123125783e-17,0.0,0.8084384963581122,0.9629791930285003,0.018072879652071105
1859,45.32,0.033890766240980696,0.0,5.551115123125783e-17,0.0,0.824211456543441,0.9661554602623299,0.02008841213802276
1860,47.438,0.0353102079206275,0.00032723496273823205,5.551115123125783e-17,0.0,0.7218246602729238,0.9265190110500165,0.02189373578655862
1861,45.679,0.029773442969117825,0.0014638600069000196,5.551115123125783e-17,0.0,0.656761060074831,0.8937965982414153,0.022950810616942596
1862,47.449,0.030495228414575193,0.0020669918708598467,5.551115123125783e-17,0.0,0.6390558225165952,0.8856854337904565,0.024246740050948568
1863,54.81,0.04062694614888074,0.0016947606463918463,5.551115123125783e-17,0.0,0.6208600989612119,0.8766028852816804,0.0259373401178844
1864,58.657,0.0451427154510225,0.0013677068779334167,5.551115123125783e-17,0.0,0.591338783902706,0.8605458775755634,0.027376005232180145
1865,58.822,0.04347481536621617,0.001589910192003663,5.551115123125783e-17,0.0,0.5599019918933837,0.8426689124522917,0.028543659188626225
1866,59.232,0.0417962824826012,0.0022037325184609546,5.551115123125783e-17,0.0,0.5549368914185304,0.8387552769990172,0.02969984095005901
1867,72.866,0.05967452182488964,0.0020399338428123137,5.551115123125783e-17,0.0,0.5384579917045103,0.8280998496876888,0.031812728301770565
1868,82.352,0.0707628705656343,0.002159279839569983,5.551115123125783e-17,0.0,0.5241297802471628,0.8184553463116256,0.0336388008577721
1869,93.696,0.08380197298996733,0.002444055260493072,5.551115123125783e-17,0.0,0.506686231964827,0.80680923579588,0.0356100875047895
1870,98.62,0.08761374867958727,0.002841472489827912,5.551115123125783e-17,0.0,0.7166631550735435,0.8655428262369078,0.0371428481008102
1871,103.021,0.09107729048823687,0.0027393399496340454,5.551115123125783e-17,0.0,0.8023711505119011,0.8886507832907045,0.03932095510470596
1872,126.305,0.11819358806627006,0.0032463186846271586,5.551115123125783e-17,0.0,0.8395254129469791,0.8923094617045786,0.043869105821706056
1873,139.507,0.1302005542227967,0.005057284944638862,5.551115123125783e-17,0.0,0.8805040827442734,0.8996333055011161,0.04847921517538767
1874,134.297,0.12006937955891545,0.005578940416281264,5.551115123125783e-17,0.0,0.908491396881862,0.9022504361994865,0.05235132677828458
1875,135.748,0.12005222244846836,0.004351295763366514,5.551115123125783e-17,0.0,0.9266139947211075,0.9013205035788738,0.05703082008044641
1876,132.82,0.11363518160831648,0.004312641301423392,5.551115123125783e-17,0.0,0.9434503826141678,0.9006001842503135,0.06145286567256519
1877,147.176,0.12581086188942986,0.006314766573306152,5.551115123125783e-17,0.0,0.9605627309611188,0.8998047788175747,0.0669167814691839
1878,143.904,0.11806300012668597,0.007249240788050948,5.551115123125783e-17,0.0,0.9864081490862382,0.9038919441593057,0.0707344804232149
1879,175.469,0.14913078093678656,0.009223402060487995,5.551115123125783e-17,0.0,1.0,0.9013493234295786,0.07637102366071052
1880,198.684,0.1689606802203638,0.0119568236324053,5.551115123125783e-17,0.0,0.8999825211095971,0.8699602676401015,0.08046226707433668
1881,210.193,0.17735493496973898,0.012343671513137866,5.551115123125783e-17,0.0,0.8395343641692676,0.8437678588344524,0.08291264428220341
1882,235.394,0.19945623294224346,0.013309311143977043,0.0003148843104032739,0.0,0.8305452044763744,0.8378828892745455,0.08619712484929914
1883,253.883,0.21787552472170313,0.009818018746432067,0.0007334730769673059,0.0,0.8282124475639896,0.8350395024872937,0.08896557175777803
1884,267.59,0.22678959109028624,0.009741072211105095,0.0022972102935399086,0.0,0.8070898223481935,0.8240210145071889,0.09126661691729321
1885,272.162,0.2253041871780555,0.008545921414626456,0.0070418436204782164,0.0,0.7955734801334182,0.8164882583494122,0.09286474447129095
1886,287.463,0.22961247398156936,0.011049831820904299,0.014248669503340194,0.0,0.7752970017649999,0.8044252154578835,0.0950867598896577
1887,307.381,0.24063137262473105,0.010912306315800369,0.02141495420722561,1.1773492366973226e-05,0.777724263529395,0.8005179376460787,0.09767426910553195
1888,373.875,0.2960876211218194,0.010481126870072077,0.029996331060304637,1.1773492366973226e-05,0.7639084189168179,0.7871366837417886,0.1035496523950154
1889,335.542,0.2553594535899855,0.013254894685959695,0.02146554412468349,1.1773492366973226e-05,0.7458524321927258,0.7770861109095969,0.10221958414658461
1890,401.747,0.30980506770130234,0.01707680561029734,0.020156352594449978,1.1773492366973226e-05,0.7882805433141451,0.7815686870058136,0.11144965723772465
1891,427.425,0.3277855545369452,0.02007760890542054,0.015174142819818937,1.1773492366973226e-05,0.7905506926079467,0.7763347618877079,0.11476844187118113
1892,450.449,0.3462780203552089,0.018281923045281256,0.012964610479273608,1.1773492366973226e-05,0.7773628539375734,0.7652966686568164,0.11798965162749597
1893,454.095,0.3455841198920532,0.017145176887224223,0.012022471509344435,1.1773492366973226e-05,0.7978598828764317,0.7674689725780506,0.119876935002516
1894,425.05,0.3147597120324578,0.01714656636107681,0.010872609381934073,1.1773492366973226e-05,0.7945559622514566,0.76280375163093,0.11949963295385213
