year,total_ghg,co2,temperature_change_from_co2,temperature_change_from_ghg,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1750,4219.061,9.306,0.001,0.002,0.0,0.0,0.0,0.0,0.04152857564224441,1.6653345369377348e-16,8.326672684688674e-16
1751,4219.061,9.407,0.001,0.002,3.8531257785523465e-06,3.3306690738754696e-16,6.938893903907228e-16,1.6653345369377348e-16,0.041528575642244187,0.0,2.7755575615628914e-17
1752,4219.061,9.505,0.001,0.002,7.591802276440962e-06,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1753,4219.061,9.61,0.001,0.002,1.1597527095730253e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1754,4219.061,9.734,0.001,0.002,1.6328097358464522e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1755,4219.061,9.793,0.001,0.002,1.8578933209223436e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1756,4219.061,9.91,0.001,0.002,0.0002323583724736511,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1757,4219.061,10.094,0.001,0.002,0.00023937792834749505,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1758,4219.061,10.216,0.001,0.002,0.00024403219908991636,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1759,4219.061,10.339,0.001,0.002,0.0002487246195924664,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1760,4219.061,10.514,0.001,0.002,0.0002554008276245967,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1761,4219.061,10.748,0.001,0.002,0.00026432787150759696,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1762,4219.061,10.952,0.001,0.002,0.0002721104225850701,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
