year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,,,,,,,,,,,,,PC_coal_1,PC_coal_2,PC_oil_1,PC_oil_2,PC_cement_1,PC_cement_2,PC_gas_1,PC_gas_2,PC_landuse_1,PC_landuse_2,PC_flaring_1,PC_flaring_2,PC_growth_1,PC_growth_2,PC_energy_1,PC_ghg_1,PC_ghg_2,PC_methane_1,PC_no_1
1949,AFG,7356890,,0,0,0.015,,,6.25,,,0.85,,,0.002,,,0.015,0.002,,,,0,0.015,6.25,0.015,,0,519.503,0,,,,,,0,0,0.176,2.486,6.235,0.848,7.899,1.074,2.17,0.295,0,0,,,,0,0,0.059,0,0,0,0.001,0,,0,0.125,0,,,0,0.114,0,,0.128,0,0,0.001,0,18.288,1.297,,,,,,,,,,,,,,,-2.043003386,0.238700906,-2.619552865,0.061447542,-2.413349161,1.922142804,-2.352026971,0.989621744,1.882577762,-1.108471847,-3.31E-16,5.16E-16,3.36E-16,-5.37E-17,-5.44E-16,-2.176309122,0.456465923,-1.720207888,-2.619552865
1950,AFG,7776182,9421400064,0,0,0.084,0.07,475,7.316,1.066,17.059,0.941,0.777,,0.011,0.009,,0.021,0.003,,,,0,0.099,13.566,0.036,,0,526.735,0.063,,,,,,0,0,0.187,2.501,7.232,0.93,8.101,1.042,2.238,0.288,0.063,0.008,,,,0,0.001,0.06,0.001,0,0,0.002,0,,0,0.125,0,,,0,0.117,0.004,,0.128,0,0,0.001,0,19.447,1.453,,,,,,,,,,,,,,,-1.970330704,0.296718952,-2.448206042,0.206142476,-2.413349161,1.922142804,-2.352026971,0.989621744,2.033697728,-1.009015298,-1.50E-15,1.11E-15,4.190721975,-0.878602716,1.53E-16,-2.039846657,0.569678133,-1.580914308,-2.448206042
1951,AFG,7879343,9692279808,0,0,0.092,0.007,8.696,8.264,0.948,12.956,1.049,0.853,,0.012,0.009,,0.026,0.003,,,,0,0.191,21.83,0.061,,0,534.907,0.129,,,,,,0,0,0.187,2.596,8.172,1.037,8.233,1.045,2.3,0.292,0.066,0.008,,,,0,0.001,0.064,0.001,0,0,0.003,0,,0,0.125,0,,,0,0.125,0.004,,0.128,0,0,0.001,0,20.458,1.473,,,,,,,,,,,,,,,-1.967750146,0.296656892,-2.446809828,0.205402956,-2.413349161,1.922142804,-2.352026971,0.989621744,2.219292285,-0.884559498,-6.01E-16,2.09E-15,0.004300501,-0.066387891,1.71E-16,-2.017324409,0.755819426,-1.563101196,-2.446809828
1952,AFG,7987783,10017325056,0,0,0.092,0,0,9.192,0.928,11.232,1.151,0.918,,0.011,0.009,,0.032,0.004,,,,0,0.282,31.022,0.093,,0,544.008,0.189,,,,,,0,0,0.186,2.674,9.101,1.139,8.373,1.048,2.373,0.297,0.06,0.007,,,,0,0.001,0.071,0.001,0,0,0.005,0,,0,0.125,0.001,,,0,0.14,0.003,,0.128,0,0,0.001,0,21.356,1.484,,,,,,,,,,,,,,,-1.951478773,0.311406675,-2.400630672,0.087798719,-2.413349161,1.922142804,-2.352026971,0.989621744,2.423554865,-0.716486355,-7.44E-17,5.81E-16,-0.085548142,-0.060775949,1.71E-16,-1.999676805,0.915243587,-1.543651811,-2.400630672
1953,AFG,8096703,10630519808,0,0,0.106,0.015,16,10.269,1.077,11.711,1.268,0.966,,0.013,0.01,,0.038,0.005,,,,0,0.388,41.291,0.131,,0,554.17,0.257,,,,,,0,0,0.187,2.762,10.162,1.255,8.528,1.053,2.455,0.303,0.068,0.008,,,,0,0.002,0.078,0.001,0,0,0.006,0,,0,0.125,0.001,,,0,0.154,0.004,,0.128,0,0,0.001,0,22.361,1.517,,,,,,,,,,,,,,,-1.935030184,0.325957908,-2.365848379,0.112813734,-2.413349161,1.922142804,-2.352026971,0.989621744,2.64451136,-0.543086747,-7.20E-17,1.18E-15,0.114798119,-0.091197503,1.71E-16,-1.968106027,1.093298034,-1.527258016,-2.365848379
1954,AFG,8207953,10866360320,0,0,0.106,0,0,11.137,0.869,8.459,1.357,1.025,,0.013,0.01,,0.043,0.005,,,,0,0.495,52.428,0.174,,0,565.201,0.321,,,,,,0,0,0.187,2.833,11.031,1.344,8.691,1.059,2.541,0.31,0.064,0.008,,,,0,0.002,0.081,0.001,0,0,0.007,0,,0,0.126,0.001,,,0,0.158,0.003,,0.128,0,0,0.001,0,23.256,1.534,,,,,,,,,,,,,,,-1.931917976,0.325300199,-2.391134546,0.096091514,-2.413349161,1.922142804,-2.352026971,0.989621744,2.801891402,-0.482723093,-3.50E-17,5.65E-16,-0.104932078,-0.075653472,1.71E-16,-1.942038585,1.244863355,-1.512289749,-2.391134546
1955,AFG,8326981,11078185984,0,0,0.154,0.048,44.828,12.247,1.11,9.967,1.471,1.106,,0.018,0.014,,0.062,0.007,,,,0,0.649,64.675,0.236,,0,577.294,0.413,,,,,,0,0,0.196,2.933,12.093,1.452,8.897,1.068,2.627,0.316,0.092,0.011,,,,0,0.002,0.084,0.001,0,0,0.009,0,,0,0.127,0.001,,,0,0.17,0.004,,0.128,0,0,0.001,0,24.423,1.633,,,,,,,,,,,,,,,-1.896855283,0.355937272,-2.337796657,0.141895513,-2.413349161,1.922142804,-2.352026971,0.989621744,3.023973551,-0.36353005,-3.50E-17,5.65E-16,0.408177639,-0.153834775,1.71E-16,-1.861241916,1.445338061,-1.497711916,-2.337796657
1956,AFG,8454302,11581236224,0,0,0.183,0.029,19.048,13.193,0.945,7.718,1.56,1.139,,0.022,0.016,,0.062,0.007,,,,0,0.832,77.868,0.298,,0,590.304,0.534,,,,,,0,0,0.203,3.016,13.009,1.539,9.11,1.078,2.711,0.321,0.121,0.014,,,,0,0.002,0.087,0.001,0,0,0.011,0,,0,0.128,0.001,,,0,0.18,0.005,,0.128,0,0,0.001,0,25.502,1.712,,,,,,,,,,,,,,,-1.895024047,0.353885591,-2.28390973,0.18735354,-2.413349161,1.922142804,-2.352026971,0.989621744,3.199152937,-0.257183429,-3.50E-17,5.65E-16,0.112531483,-0.11621526,1.71E-16,-1.789588218,1.621827654,-1.484764146,-2.28390973
1957,AFG,8588340,11578973184,0,0,0.293,0.11,60,14.253,1.06,8.038,1.66,1.231,,0.034,0.025,,0.077,0.009,,,,0,1.125,92.121,0.375,,0,604.264,0.75,,,,,,0,0,0.228,3.114,13.96,1.625,9.416,1.096,2.787,0.324,0.216,0.025,,,,0,0.004,0.092,0.002,0,0,0.012,0,,0,0.128,0.002,,,0,0.191,0.008,,0.128,0,0,0.001,0,26.746,1.956,,,,,,,,,,,,,,,-1.804265833,0.42631836,-2.029140045,0.255250593,-2.413349161,1.922142804,-2.352026971,0.989621744,3.349771353,-0.085366519,-3.50E-17,5.65E-16,0.583917925,-0.18979178,1.71E-16,-1.612418075,1.818952791,-1.47728911,-2.029140045
1958,AFG,8723412,12238841856,0,0,0.33,0.037,12.5,15.313,1.061,7.441,1.755,1.251,,0.038,0.027,,0.092,0.011,,,,0,1.455,107.434,0.467,,0,619.247,0.988,,,,,,0,0,0.234,3.212,14.984,1.718,9.649,1.106,2.852,0.327,0.238,0.027,,,,0,0.004,0.098,0.002,0,0.001,0.014,0,,0,0.13,0.002,,,0,0.208,0.009,,0.128,0,0,0.001,0,28.019,2.044,,,,,,,,,,,,,,,-1.769790784,0.455350498,-1.982382014,0.288679425,-2.413349161,1.922142804,-2.352026971,0.989621744,3.586894897,0.021943003,-3.50E-17,5.65E-16,0.098069026,-0.109915228,1.71E-16,-1.538893861,2.028496317,-1.460250655,-1.982382014
1959,AFG,8869271,12579874816,0.018,0.002,0.385,0.055,16.621,16.017,0.704,4.597,1.806,1.273,,0.043,0.031,,0.11,0.012,,,,0.018,1.839,123.452,0.577,,0,634.88,1.244,,,,,,0,0,0.242,3.276,15.633,1.763,9.89,1.115,2.902,0.327,0.256,0.029,,,,0.013,0.004,0.096,0.002,0.001,0.001,0.016,0,,0,0.131,0.003,,,0,0.202,0.009,,0.128,0,0,0.001,0,29.052,2.149,,,,,,,,,,,,,,,-1.746794422,0.469355689,-1.882432679,0.215137032,-0.679084083,2.168169058,-2.352026971,0.989621744,3.61697151,0.040478381,-3.50E-17,5.65E-16,0.040752841,-0.12223471,1.71E-16,-1.453554589,2.18129907,-1.438514125,-1.882432679
