year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1933,ALB,1023495.0,,0.0,0.0,0.007,,,1.99,,,1.944,,,0.007,,,0.0,0.0,,,,0.0,0.007,1.99,0.0,,0.0,161.619,0.007,,,,,,0.0,0.0,0.528,2.401,1.982,1.937,1.199,1.171,0.262,0.256,0.007,0.007,,,,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,,0.0,0.049,0.0,,,0.0,0.037,0.001,,0.026,0.0,0.0,0.0,0.0,2.458,0.54,,
1934,ALB,1034040.0,,0.0,0.0,0.007,0.0,0.0,2.017,0.027,1.348,1.95,,,0.007,,,0.0,0.0,,,,0.0,0.015,4.006,0.0,,0.0,163.628,0.015,,,,,,0.0,0.0,0.522,2.357,2.009,1.943,1.205,1.165,0.247,0.239,0.007,0.007,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.001,0.0,,0.0,0.049,0.0,,,0.0,0.038,0.001,,0.026,0.0,0.0,0.0,0.0,2.438,0.54,,
1935,ALB,1044694.0,,0.0,0.0,0.018,0.011,150.0,2.046,0.029,1.463,1.959,,,0.018,,,0.0,0.0,,,,0.0,0.033,6.053,0.0,,0.0,165.656,0.033,,,,,,0.0,0.0,0.53,2.364,2.028,1.941,1.214,1.162,0.23,0.22,0.018,0.018,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.001,0.0,,0.0,0.049,0.0,,,0.0,0.039,0.003,,0.025,0.0,0.0,0.0,0.0,2.47,0.553,,
1936,ALB,1055458.0,,0.004,0.003,0.128,0.11,599.836,2.155,0.109,5.322,2.042,,,0.121,,,0.0,0.0,,,,0.004,0.161,8.208,0.0,,0.0,167.683,0.158,,,,,,0.0,0.0,0.649,2.461,2.027,1.92,1.258,1.192,0.213,0.202,0.125,0.118,,,,0.009,0.003,0.023,0.0,0.001,0.0,0.002,0.0,,0.0,0.049,0.001,,,0.0,0.038,0.017,,0.025,0.0,0.0,0.0,0.0,2.597,0.685,,
1937,ALB,1066333.0,,0.007,0.007,0.297,0.169,131.437,2.315,0.16,7.435,2.171,,,0.278,,,0.0,0.0,,,,0.011,0.458,10.523,0.0,,0.0,169.701,0.447,,,,,,0.0,0.0,0.838,2.63,2.019,1.893,1.32,1.238,0.198,0.185,0.289,0.271,,,,0.018,0.007,0.023,0.0,0.003,0.0,0.002,0.0,,0.0,0.049,0.003,,,0.0,0.038,0.034,,0.025,0.0,0.0,0.0,0.0,2.804,0.894,,
1938,ALB,1077319.0,,0.0,0.0,0.348,0.051,17.307,2.398,0.082,3.552,2.225,,,0.323,,,0.0,0.0,,,,0.011,0.806,12.92,0.0,,0.0,171.751,0.795,,,,,,0.0,0.0,0.891,2.704,2.049,1.902,1.357,1.26,0.185,0.172,0.348,0.323,,,,0.0,0.008,0.025,0.0,0.003,0.0,0.002,0.0,,0.0,0.049,0.005,,,0.0,0.038,0.042,,0.025,0.0,0.0,0.0,0.0,2.913,0.96,,
1939,ALB,1088816.0,,0.0,0.0,0.432,0.084,24.211,2.49,0.092,3.839,2.286,,,0.397,,,0.0,0.0,,,,0.011,1.238,15.41,0.0,,0.0,173.808,1.227,,,,,,0.0,0.0,0.986,2.806,2.057,1.889,1.409,1.294,0.177,0.162,0.432,0.397,,,,0.0,0.01,0.025,0.0,0.002,0.001,0.003,0.0,,0.0,0.048,0.008,,,0.0,0.038,0.051,,0.025,0.0,0.0,0.0,0.0,3.055,1.074,,
1940,ALB,1100833.0,,0.0,0.0,0.692,0.26,60.169,3.274,0.784,31.51,2.974,,,0.629,,,0.0,0.0,,,,0.011,1.931,18.684,0.0,,0.0,176.389,1.92,,,,,,0.0,0.0,1.268,3.453,2.582,2.345,1.493,1.357,0.174,0.158,0.692,0.629,,,,0.0,0.014,0.032,0.0,0.002,0.001,0.003,0.0,,0.0,0.048,0.012,,,0.0,0.047,0.077,,0.025,0.0,0.0,0.0,0.0,3.801,1.395,,
1941,ALB,1113381.0,,0.007,0.007,0.626,-0.066,-9.532,3.463,0.189,5.761,3.11,,,0.563,,,0.0,0.0,,,,0.018,2.557,22.146,0.0,,0.0,179.225,2.539,,,,,,0.0,0.0,1.183,3.527,2.836,2.547,1.509,1.355,0.184,0.166,0.619,0.556,,,,0.017,0.013,0.032,0.0,0.003,0.001,0.004,0.0,,0.0,0.048,0.015,,,0.0,0.049,0.068,,0.025,0.0,0.0,0.0,0.0,3.926,1.317,,
1942,ALB,1126469.0,,0.0,0.0,0.744,0.117,18.725,3.734,0.271,7.84,3.315,,,0.66,,,0.0,0.0,,,,0.018,3.301,25.881,0.0,,0.0,182.216,3.283,,,,,,0.0,0.0,1.303,3.75,2.99,2.655,1.57,1.394,0.211,0.188,0.744,0.66,,,,0.0,0.015,0.035,0.0,0.003,0.002,0.005,0.0,,0.0,0.048,0.018,,,0.0,0.052,0.086,,0.025,0.0,0.0,0.0,0.0,4.224,1.468,,
