year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,AND,52616.0,,0.0,0.0,0.407,,,0.421,,,7.992,,,7.73,,,0.0,0.0,,,,0.0,0.407,0.421,0.0,,,0.489,0.407,,,,,,,,8.778,10.382,0.014,0.263,0.084,1.599,0.051,0.962,0.407,7.73,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.004,,0.0,0.0,0.0,0.0,0.0,0.546,0.462,,
1991,AND,56692.0,,0.0,0.0,0.407,0.0,0.0,0.419,-0.002,-0.444,7.385,,,7.174,,,0.0,0.0,,,,0.0,0.813,0.839,0.0,,,0.501,0.813,,,,,,,,8.282,9.768,0.012,0.211,0.087,1.533,0.057,1.008,0.407,7.174,,,,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.004,,0.0,0.0,0.0,0.0,0.0,0.554,0.47,,
1992,AND,60216.0,,0.0,0.0,0.407,0.0,0.0,0.436,0.017,4.087,7.237,,,6.754,,,0.0,0.0,,,,0.0,1.22,1.275,0.0,,,0.53,1.22,,,,,,,,7.871,9.319,0.029,0.483,0.089,1.473,0.059,0.973,0.407,6.754,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.001,0.004,,0.0,0.0,0.0,0.0,0.0,0.561,0.474,,
1993,AND,63293.0,,0.0,0.0,0.41,0.004,0.901,0.473,0.037,8.56,7.474,,,6.484,,,0.0,0.0,,,,0.0,1.63,1.748,0.0,,,0.593,1.63,,,,,,,,7.554,9.141,0.063,0.99,0.09,1.427,0.059,0.939,0.41,6.484,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0.001,,,,0.001,0.004,,0.0,0.0,0.0,0.0,0.0,0.579,0.478,,
1994,AND,64630.0,,0.0,0.0,0.407,-0.004,-0.893,0.469,-0.004,-0.798,7.261,,,6.293,,,0.0,0.0,,,,0.0,2.037,2.217,0.0,0.0,,0.655,2.037,,,,0.0,0.0,,,7.357,8.966,0.063,0.968,0.092,1.43,0.061,0.946,0.407,6.293,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.004,,0.0,0.0,0.0,0.0,0.0,0.579,0.475,,
1995,AND,63935.0,,0.0,0.0,0.425,0.018,4.505,0.479,0.01,2.108,7.495,,,6.648,,,0.0,0.0,,,,0.0,2.462,2.696,0.0,0.0,,0.71,2.462,,,,0.0,0.0,,,7.787,9.497,0.054,0.847,0.095,1.486,0.066,1.025,0.425,6.648,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.0,0.0,0.0,0.0,0.0,0.607,0.498,,
1996,AND,64008.0,,0.0,0.0,0.454,0.029,6.897,0.495,0.016,3.334,7.736,,,7.098,,,0.0,0.0,,,,0.0,2.917,3.192,0.0,0.0,,0.75,2.917,,,,0.0,0.0,,,8.27,9.883,0.041,0.638,0.097,1.509,0.069,1.07,0.454,7.098,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.0,0.0,0.0,0.0,0.0,0.633,0.529,,
1997,AND,64721.0,,0.0,0.0,0.465,0.011,2.419,0.504,0.009,1.88,7.794,,,7.19,,,0.0,0.0,,,,0.0,3.382,3.696,0.0,0.0,,0.79,3.382,,,,0.0,0.0,,,8.255,9.865,0.039,0.605,0.096,1.484,0.063,0.966,0.465,7.19,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.001,0.0,0.0,0.0,0.0,0.638,0.534,,
1998,AND,65399.0,,0.0,0.0,0.491,0.026,5.512,0.525,0.02,4.017,8.023,,,7.507,,,0.0,0.0,,,,0.0,3.873,4.221,0.0,0.0,,0.823,3.873,,,,0.0,0.0,,,8.392,9.951,0.034,0.516,0.096,1.47,0.051,0.785,0.491,7.507,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.001,0.0,0.0,0.0,0.0,0.651,0.549,,
1999,AND,65732.0,,0.0,0.0,0.513,0.022,4.478,0.544,0.019,3.589,8.269,,,7.804,,,0.0,0.0,,,,0.0,4.386,4.764,0.0,0.0,,0.854,4.386,,,,0.0,0.0,,,8.641,10.186,0.031,0.465,0.096,1.462,0.049,0.742,0.513,7.804,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.001,0.0,0.0,0.0,0.0,0.67,0.568,,
2000,AND,65703.0,,0.0,0.0,0.524,0.011,2.143,0.553,0.009,1.651,8.41,,,7.975,,,0.0,0.0,,,,0.0,4.91,5.317,0.0,0.0,,0.882,4.91,,,,0.0,0.0,,,8.811,10.347,0.029,0.435,0.099,1.5,0.048,0.731,0.524,7.975,,,,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.001,0.0,0.0,0.0,0.0,0.68,0.579,,
2001,AND,65874.0,,0.0,0.0,0.524,0.0,0.0,0.548,-0.004,-0.743,8.325,,,7.954,,,0.0,0.0,,,,0.0,5.434,5.865,0.0,0.0,,0.907,5.434,,,,0.0,0.0,,,8.791,10.338,0.024,0.372,0.1,1.524,0.048,0.733,0.524,7.954,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.001,,0.0,,0.001,0.005,,0.001,0.0,0.0,0.0,0.0,0.681,0.579,,
2002,AND,66528.0,,0.0,0.0,0.531,0.007,1.399,0.553,0.005,0.848,8.314,,,7.986,,,0.0,0.0,,,,0.0,5.965,6.418,0.0,0.0,,0.929,5.965,,,,0.0,0.0,,,8.838,10.364,0.022,0.328,0.103,1.545,0.049,0.738,0.531,7.986,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.002,,0.0,,0.0,0.005,,0.001,0.0,0.0,0.0,0.0,0.689,0.588,,
2003,AND,69507.0,,0.0,0.0,0.535,0.004,0.69,0.554,0.001,0.252,7.977,,,7.696,,,0.0,0.0,,,,0.0,6.5,6.973,0.0,0.0,,0.948,6.5,,,,0.0,0.0,,,8.547,10.026,0.02,0.281,0.105,1.513,0.05,0.717,0.535,7.696,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.002,,0.0,,0.0,0.005,,0.001,0.0,0.0,0.0,0.0,0.697,0.594,,
2004,AND,74342.0,,0.0,0.0,0.561,0.026,4.795,0.574,0.02,3.542,7.723,,,7.541,,,0.0,0.0,,,,0.0,7.061,7.547,0.0,0.0,,0.962,7.061,,,,0.0,0.0,,,8.349,9.724,0.014,0.182,0.108,1.45,0.051,0.689,0.561,7.541,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.002,,0.0,,0.0,0.005,,0.001,0.0,0.0,0.0,0.0,0.723,0.621,,
2005,AND,77436.0,,0.0,0.0,0.575,0.015,2.614,0.588,0.014,2.483,7.598,,,7.429,,,0.0,0.0,,,,0.0,7.636,8.135,0.0,0.0,,0.975,7.636,,,,0.0,0.0,,,8.215,9.542,0.013,0.169,0.11,1.418,0.051,0.659,0.575,7.429,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.002,,0.0,,0.0,0.005,,0.001,0.0,0.0,0.0,0.0,0.739,0.636,,
