year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,AGO,4551869.0,6905244160.0,0.0,0.0,0.187,,,149.001,,,32.734,21.578,,0.041,0.027,,0.06,0.013,,,,0.0,0.187,149.001,0.06,,,2831.53,0.127,,,,,,,,0.554,20.665,148.814,32.693,7.382,1.622,11.043,2.426,0.127,0.028,,,,0.0,0.003,1.228,0.002,0.0,0.0,0.023,0.0,,,0.671,0.0,,,,2.398,0.008,,0.222,0.0,0.001,0.001,0.0,94.062,2.522,,
1951,AGO,4602567.0,7156858368.0,0.0,0.0,0.249,0.062,33.333,158.649,9.647,6.475,34.47,22.167,,0.054,0.035,,0.095,0.021,,,,0.0,0.436,307.65,0.155,,,2989.929,0.281,,,,,,,,0.594,21.948,158.4,34.416,7.858,1.707,10.965,2.382,0.154,0.033,,,,0.0,0.004,1.226,0.002,0.0,0.0,0.046,0.0,,,0.698,0.001,,,,2.415,0.009,,0.23,0.0,0.001,0.001,0.0,101.019,2.733,,
1952,AGO,4651693.0,7427326976.0,0.0,0.0,0.311,0.062,25.0,167.851,9.202,5.8,36.084,22.599,,0.067,0.042,,0.121,0.026,,,,0.0,0.747,475.501,0.276,,,3157.469,0.471,,,,,,,,0.637,22.716,167.54,36.017,8.367,1.799,10.685,2.297,0.191,0.041,,,,0.0,0.005,1.297,0.003,0.0,0.0,0.07,0.0,,,0.726,0.001,,,,2.586,0.01,,0.238,0.0,0.001,0.001,0.0,105.668,2.962,,
1953,AGO,4706358.0,7707442688.0,0.015,0.003,0.275,-0.037,-11.803,169.643,1.792,1.067,36.045,22.01,,0.058,0.036,,0.07,0.015,,,,0.015,1.022,645.144,0.346,,,3326.837,0.662,,,,,,,,0.635,22.428,169.368,35.987,8.786,1.867,10.255,2.179,0.191,0.04,,,,0.016,0.004,1.281,0.002,0.001,0.0,0.094,0.0,,,0.753,0.002,,,,2.57,0.01,,0.246,0.0,0.001,0.001,0.0,105.553,2.99,,
1954,AGO,4766716.0,7494946304.0,0.022,0.005,0.348,0.073,26.657,171.997,2.354,1.388,36.083,22.948,,0.073,0.046,,0.076,0.016,,,,0.036,1.37,817.141,0.422,,,3498.486,0.912,,,,,,,,0.69,22.569,171.649,36.01,9.379,1.968,9.724,2.04,0.25,0.052,,,,0.022,0.005,1.249,0.002,0.003,0.001,0.116,0.0,,,0.78,0.003,,,,2.459,0.012,,0.254,0.0,0.001,0.001,0.0,107.58,3.291,,
1955,AGO,4832774.0,8094498304.0,0.036,0.008,0.414,0.066,18.922,174.552,2.555,1.486,36.118,21.564,,0.086,0.051,,0.084,0.017,,,,0.072,1.784,991.693,0.506,,,3672.624,1.205,,,,,,,,0.728,22.411,174.138,36.033,9.918,2.052,9.142,1.892,0.293,0.061,,,,0.034,0.006,1.198,0.002,0.005,0.001,0.138,0.0,,,0.806,0.003,,,,2.445,0.013,,0.261,0.0,0.001,0.001,0.0,108.308,3.52,,
1956,AGO,4904275.0,7944564736.0,0.044,0.009,0.502,0.088,21.24,173.22,-1.332,-0.763,35.32,21.804,,0.102,0.063,,0.04,0.008,,,,0.116,2.285,1164.913,0.546,,,3845.343,1.623,,,,,,,,0.809,21.863,172.719,35.218,10.661,2.174,8.561,1.746,0.418,0.085,,,,0.037,0.006,1.144,0.001,0.008,0.001,0.159,0.0,,,0.831,0.004,,,,2.392,0.017,,0.268,0.0,0.001,0.001,0.0,107.221,3.969,,
1957,AGO,4980651.0,8703076352.0,0.065,0.013,0.619,0.117,23.339,172.228,-0.992,-0.573,34.579,19.789,,0.124,0.071,,0.081,0.016,,,,0.181,2.904,1337.141,0.627,,,4016.953,2.096,,,,,,,,0.856,21.648,171.609,34.455,11.231,2.255,8.031,1.612,0.473,0.095,,,,0.053,0.008,1.11,0.002,0.011,0.001,0.179,0.0,,,0.854,0.005,,,,2.343,0.018,,0.274,0.0,0.001,0.001,0.0,107.821,4.264,,
1958,AGO,5061138.0,9169780736.0,0.084,0.017,0.593,-0.026,-4.17,172.674,0.446,0.259,34.118,18.831,,0.117,0.065,,0.044,0.009,,,,0.265,3.497,1509.815,0.671,,,4189.034,2.561,,,,,,,,0.844,21.099,172.081,34.0,11.665,2.305,7.602,1.502,0.465,0.092,,,,0.064,0.007,1.106,0.001,0.015,0.001,0.198,0.0,,,0.877,0.006,,,,2.393,0.017,,0.28,0.0,0.001,0.001,0.0,106.783,4.27,,
1959,AGO,5145106.0,9207761920.0,0.076,0.015,0.619,0.026,4.336,172.018,-0.656,-0.38,33.433,18.682,,0.12,0.067,,0.055,0.011,,,,0.341,4.116,1681.833,0.726,,,4360.433,3.048,,,,,,,,0.854,21.218,171.399,33.313,12.175,2.366,7.324,1.423,0.487,0.095,,,,0.053,0.007,1.036,0.001,0.018,0.001,0.216,0.0,,,0.899,0.006,,,,2.213,0.017,,0.285,0.0,0.001,0.001,0.0,109.171,4.394,,
