year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1987,ATA,,,0.0,,0.004,,,,,,,,,,,0.005,,,,,,0.0,0.004,,,,,,0.004,,,,,,,,,,,,,,,,0.004,,,,0.81,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1988,ATA,,,0.0,,0.007,0.004,100.0,,,,,,,,,0.008,,,,,,0.0,0.011,,,,,,0.011,,,,,,,,,,,,,,,,0.007,,,,0.875,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1989,ATA,,,0.0,,0.007,0.0,0.0,,,,,,,,,0.009,,,,,,0.0,0.018,,,,,,0.018,,,,,,,,,,,,,,,,0.007,,,,0.81,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1990,ATA,,,0.0,,0.011,0.004,50.0,,,,,,,,,0.013,,,,,,0.0,0.029,,,,,,0.029,,,,,,,,,,,,,,,,0.011,,,,0.872,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1991,ATA,,,0.0,,0.015,0.004,33.333,,,,,,,,,0.017,,,,,,0.0,0.044,,,,,,0.044,,,,,,,,,,,,,,,,0.015,,,,0.872,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1992,ATA,,,0.0,,0.015,0.0,0.0,,,,,,,,,0.017,,,,,,0.0,0.059,,,,,,0.059,,,,,,,,,,,,,,,,0.015,,,,0.875,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1993,ATA,,,0.0,,0.015,0.0,0.0,,,,,,,,,0.017,,,,,,0.0,0.073,,,,,,0.073,,,,,,,,,,,,,,,,0.015,,,,0.872,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,
1994,ATA,,,0.0,,0.015,0.0,0.0,,,,,,,,,0.017,,,,,,0.0,0.088,,,0.0,,,0.088,,,,0.0,,,,,,,,,,,,0.015,,,,0.872,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1995,ATA,,,0.0,,0.004,-0.011,-75.0,,,,,,,,,0.004,,,,,,0.0,0.092,,,0.0,,,0.092,,,,0.0,,,,,,,,,,,,0.004,,,,0.935,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1996,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.095,,,0.0,,,0.095,,,,0.0,,,,,,,,,,,,0.004,,,,0.937,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1997,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.099,,,0.0,,,0.099,,,,0.0,,,,,,,,,,,,0.004,,,,0.935,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1998,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.103,,,0.0,,,0.103,,,,0.0,,,,,,,,,,,,0.004,,,,0.935,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
1999,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.106,,,0.0,,,0.106,,,,0.0,,,,,,,,,,,,0.004,,,,0.935,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2000,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.11,,,0.0,,,0.11,,,,0.0,,,,,,,,,,,,0.004,,,,0.93,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2001,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.114,,,0.0,,,0.114,,,,0.0,,,,,,,,,,,,0.004,,,,0.955,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2002,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.117,,,0.0,,,0.117,,,,0.0,,,,,,,,,,,,0.004,,,,0.955,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2003,ATA,,,0.0,,0.004,0.0,0.0,,,,,,,,,0.004,,,,,,0.0,0.121,,,0.0,,,0.121,,,,0.0,,,,,,,,,,,,0.004,,,,0.955,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2004,ATA,,,0.0,,0.007,0.004,100.0,,,,,,,,,0.008,,,,,,0.0,0.128,,,0.0,,,0.128,,,,0.0,,,,,,,,,,,,0.007,,,,0.968,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2005,ATA,,,0.0,,0.007,0.0,0.0,,,,,,,,,0.008,,,,,,0.0,0.136,,,0.0,,,0.136,,,,0.0,,,,,,,,,,,,0.007,,,,0.974,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2006,ATA,,,0.0,,0.007,0.0,0.0,,,,,,,,,0.008,,,,,,0.0,0.143,,,0.0,,,0.143,,,,0.0,,,,,,,,,,,,0.007,,,,0.974,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2007,ATA,,,0.0,,0.011,0.004,50.0,,,,,,,,,0.011,,,,,,0.0,0.154,,,0.0,,,0.154,,,,0.0,,,,,,,,,,,,0.011,,,,0.986,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,
2008,ATA,,,0.0,,0.0,-0.011,-100.0,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.049,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2009,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.067,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2010,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.067,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2011,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.067,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2012,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.058,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2013,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.057,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2014,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.057,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2015,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.058,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2016,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.058,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2017,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.055,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2018,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.055,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2019,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.055,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2020,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.046,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2021,ATA,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.049,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2022,ATA,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
2023,ATA,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.154,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,
