year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,BLZ,69085.0,,0.0,0.0,0.018,,,1.572,,,22.758,,,0.265,,,,,,,,0.0,0.018,1.572,,,,113.057,0.018,,,,,,,,2.145,17.937,1.554,22.493,0.157,2.27,0.019,0.277,0.018,0.265,,,,0.0,0.0,0.013,,0.0,0.0,0.0,,,,0.027,0.0,,,,0.025,0.001,,0.009,0.0,0.0,0.0,0.0,1.239,0.148,,
1951,BLZ,71137.0,,0.0,0.0,0.026,0.007,40.0,3.223,1.65,104.973,45.302,,,0.361,,,,,,,,0.0,0.044,4.795,,,,116.254,0.044,,,,,,,,2.244,31.589,3.197,44.941,0.162,2.271,0.02,0.278,0.026,0.361,,,,0.0,0.0,0.025,,0.0,0.0,0.001,,,,0.027,0.0,,,,0.049,0.001,,0.009,0.0,0.0,0.0,0.0,2.247,0.16,,
1952,BLZ,73364.0,,0.0,0.0,0.026,0.0,0.0,3.683,0.461,14.301,50.208,,,0.35,,,,,,,,0.0,0.07,8.478,,,,119.912,0.07,,,,,,,,2.207,29.683,3.658,49.859,0.164,2.241,0.021,0.282,0.026,0.35,,,,0.0,0.0,0.028,,0.0,0.0,0.001,,,,0.028,0.0,,,,0.056,0.001,,0.009,0.0,0.0,0.0,0.0,2.178,0.162,,
1953,BLZ,75529.0,,0.0,0.0,0.029,0.004,14.286,2.715,-0.969,-26.302,35.942,,,0.388,,,,,,,,0.0,0.099,11.193,,,,122.598,0.099,,,,,,,,2.204,22.653,2.685,35.554,0.166,2.194,0.022,0.289,0.029,0.388,,,,0.0,0.0,0.021,,0.0,0.0,0.002,,,,0.028,0.0,,,,0.041,0.002,,0.009,0.0,0.0,0.0,0.0,1.711,0.166,,
1954,BLZ,77691.0,,0.0,0.0,0.029,0.0,0.0,2.848,0.134,4.926,36.663,,,0.377,,,,,,,,0.0,0.128,14.041,,,,125.417,0.128,,,,,,,,2.137,24.741,2.819,36.286,0.166,2.134,0.023,0.297,0.029,0.377,,,,0.0,0.0,0.021,,0.0,0.0,0.002,,,,0.028,0.0,,,,0.04,0.001,,0.009,0.0,0.0,0.0,0.0,1.922,0.166,,
1955,BLZ,79868.0,,0.0,0.0,0.029,0.0,0.0,3.175,0.326,11.454,39.749,,,0.367,,,,,,,,0.0,0.158,17.216,,,,128.562,0.158,,,,,,,,2.061,27.94,3.145,39.382,0.165,2.063,0.024,0.306,0.029,0.367,,,,0.0,0.0,0.022,,0.0,0.0,0.002,,,,0.028,0.0,,,,0.044,0.001,,0.009,0.0,0.0,0.0,0.0,2.231,0.165,,
1956,BLZ,82090.0,,0.0,0.0,0.029,0.0,0.0,3.874,0.699,22.034,47.194,,,0.357,,,,,,,,0.0,0.187,21.09,,,,132.407,0.187,,,,,,,,1.977,28.377,3.845,46.837,0.163,1.985,0.026,0.315,0.029,0.357,,,,0.0,0.0,0.026,,0.0,0.0,0.003,,,,0.029,0.0,,,,0.053,0.001,,0.009,0.0,0.0,0.0,0.0,2.329,0.162,,
1957,BLZ,84356.0,,0.0,0.0,0.029,0.0,0.0,2.322,-1.552,-40.051,27.532,,,0.347,,,,,,,,0.0,0.216,23.413,,,,134.7,0.216,,,,,,,,1.89,20.832,2.293,27.185,0.161,1.903,0.027,0.322,0.029,0.347,,,,0.0,0.0,0.015,,0.0,0.0,0.003,,,,0.029,0.001,,,,0.031,0.001,,0.009,0.0,0.0,0.0,0.0,1.757,0.159,,
1958,BLZ,86673.0,,0.0,0.0,0.04,0.011,37.5,3.299,0.976,42.032,38.059,,,0.465,,,,,,,,0.0,0.256,26.711,,,,137.958,0.256,,,,,,,,1.932,28.466,3.258,37.594,0.158,1.824,0.028,0.328,0.04,0.465,,,,0.0,0.0,0.021,,0.0,0.0,0.004,,,,0.029,0.001,,,,0.045,0.001,,0.009,0.0,0.0,0.0,0.0,2.467,0.167,,
1959,BLZ,89008.0,,0.0,0.0,0.04,0.0,0.0,6.62,3.321,100.674,74.371,,,0.453,,,,,,,,0.0,0.297,33.331,,,,144.538,0.297,,,,,,,,1.843,45.838,6.579,73.918,0.155,1.743,0.029,0.331,0.04,0.453,,,,0.0,0.0,0.04,,0.0,0.0,0.004,,,,0.03,0.001,,,,0.085,0.001,,0.009,0.0,0.0,0.0,0.0,4.08,0.164,,
1960,BLZ,91331.0,,0.0,0.0,0.044,0.004,9.091,3.341,-3.278,-49.523,36.585,,,0.481,,,,,,,,0.0,0.341,36.672,,,,147.835,0.341,,,,,,,,1.796,26.397,3.297,36.104,0.152,1.664,0.03,0.333,0.044,0.481,,,,0.0,0.0,0.021,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.049,0.001,,0.009,0.0,0.0,0.0,0.0,2.411,0.164,,
1961,BLZ,93645.0,,0.0,0.0,0.037,-0.007,-16.667,2.022,-1.32,-39.492,21.59,,,0.391,,,,,,,,0.0,0.377,38.694,,,,149.82,0.377,,,,,,,,1.628,18.479,1.985,21.199,0.149,1.593,0.032,0.339,0.037,0.391,,,,0.0,0.0,0.012,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.029,0.001,,0.009,0.0,0.0,0.0,0.0,1.731,0.152,,
1962,BLZ,96060.0,,0.0,0.0,0.07,0.033,90.0,1.735,-0.287,-14.203,18.058,,,0.725,,,,,,,,0.0,0.447,40.429,,,,151.485,0.447,,,,,,,,1.895,16.576,1.665,17.333,0.147,1.531,0.034,0.35,0.07,0.725,,,,0.0,0.001,0.011,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.026,0.002,,0.009,0.0,0.0,0.0,0.0,1.592,0.182,,
1963,BLZ,98713.0,,0.0,0.0,0.062,-0.007,-10.526,2.08,0.345,19.893,21.068,,,0.631,,,,,,,,0.0,0.509,42.509,,,,153.503,0.509,,,,,,,,1.746,16.383,2.017,20.437,0.149,1.513,0.035,0.354,0.062,0.631,,,,0.0,0.001,0.013,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.033,0.002,,0.009,0.0,0.0,0.0,0.0,1.617,0.172,,
1964,BLZ,101619.0,,0.0,0.0,0.084,0.022,35.294,1.324,-0.756,-36.335,13.03,,,0.829,,,,,,,,0.0,0.594,43.833,,,,154.743,0.594,,,,,,,,1.901,13.876,1.24,12.2,0.155,1.521,0.036,0.358,0.084,0.829,,,,0.0,0.001,0.008,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.021,0.002,,0.009,0.0,0.0,0.0,0.0,1.41,0.193,,
1965,BLZ,104691.0,,0.0,0.0,0.084,0.0,0.0,1.951,0.627,47.345,18.635,,,0.805,,,,,,,,0.0,0.678,45.784,,,,156.609,0.678,,,,,,,,1.843,17.336,1.867,17.83,0.16,1.529,0.039,0.372,0.084,0.805,,,,0.0,0.001,0.012,,0.0,0.0,0.005,,,,0.03,0.001,,,,0.033,0.002,,0.009,0.0,0.0,0.0,0.0,1.815,0.193,,
