year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,BEN,2250475.0,2721419520.0,,,0.138,,,2.284,,,1.015,0.839,,0.061,0.051,,0.026,0.012,,,,,0.138,2.284,0.026,0.0,0.0,-102.861,0.112,,,,0.0,0.0,0.0,0.0,0.432,2.579,2.146,0.954,1.434,0.637,0.873,0.388,0.112,0.05,,,,,0.002,0.019,0.001,,0.0,0.0,0.0,0.0,0.0,-0.024,0.0,,0.0,0.0,0.035,0.007,,0.013,0.0,0.0,0.0,0.0,5.803,0.972,,
1951,BEN,2267310.0,2724089088.0,,,0.115,-0.023,-16.384,2.332,0.048,2.111,1.029,0.856,,0.051,0.042,,0.046,0.02,,,,,0.253,4.617,0.072,0.0,0.0,-100.644,0.181,,,,0.0,0.0,0.0,0.0,0.421,2.647,2.217,0.978,1.443,0.637,0.868,0.383,0.07,0.031,,,,,0.002,0.018,0.001,,0.0,0.001,0.0,0.0,0.0,-0.023,0.001,,0.0,0.0,0.034,0.004,,0.013,0.0,0.0,0.0,0.0,6.002,0.954,,
1952,BEN,2285781.0,2723139072.0,,,0.129,0.014,11.824,2.296,-0.036,-1.549,1.005,0.843,,0.056,0.047,,0.044,0.019,,,,,0.382,6.913,0.116,0.0,0.0,-98.476,0.266,,,,0.0,0.0,0.0,0.0,0.426,2.661,2.167,0.948,1.455,0.636,0.848,0.371,0.085,0.037,,,,,0.002,0.018,0.001,,0.0,0.001,0.0,0.0,0.0,-0.023,0.001,,0.0,0.0,0.033,0.005,,0.014,0.0,0.0,0.0,0.0,6.082,0.973,,
1953,BEN,2306205.0,2649069824.0,,,0.107,-0.022,-16.919,2.585,0.289,12.57,1.121,0.976,,0.046,0.04,,0.014,0.006,,,,,0.489,9.498,0.13,0.0,0.0,-95.998,0.359,,,,0.0,0.0,0.0,0.0,0.416,2.722,2.478,1.074,1.468,0.637,0.816,0.354,0.093,0.04,,,,,0.002,0.02,0.0,,0.0,0.001,0.0,0.0,0.0,-0.022,0.001,,0.0,0.0,0.038,0.005,,0.014,0.0,0.0,0.0,0.0,6.277,0.959,,
1954,BEN,2328786.0,2727746304.0,,,0.126,0.019,17.819,3.086,0.501,19.394,1.325,1.131,,0.054,0.046,,0.016,0.007,,,,,0.615,12.584,0.147,0.0,0.0,-93.038,0.469,,,,0.0,0.0,0.0,0.0,0.424,2.787,2.96,1.271,1.484,0.637,0.776,0.333,0.11,0.047,,,,,0.002,0.022,0.0,,0.0,0.002,0.0,0.0,0.0,-0.021,0.001,,0.0,0.0,0.042,0.005,,0.015,0.0,0.0,0.0,0.0,6.491,0.986,,
1955,BEN,2353653.0,2727958272.0,,,0.126,-0.0,-0.308,3.625,0.538,17.44,1.54,1.329,,0.053,0.046,,0.007,0.003,,,,,0.741,16.209,0.154,0.0,0.0,-89.54,0.587,,,,0.0,0.0,0.0,0.0,0.423,2.898,3.499,1.487,1.502,0.638,0.733,0.311,0.118,0.05,,,,,0.002,0.025,0.0,,0.0,0.002,0.0,0.0,0.0,-0.02,0.002,,0.0,0.0,0.049,0.005,,0.015,0.0,0.0,0.0,0.0,6.821,0.995,,
1956,BEN,2380893.0,2729948416.0,,,0.146,0.02,15.789,4.175,0.55,15.178,1.753,1.529,,0.061,0.053,,0.01,0.004,,,,,0.886,20.383,0.164,0.0,0.0,-85.51,0.723,,,,0.0,0.0,0.0,0.0,0.431,2.964,4.029,1.692,1.521,0.639,0.69,0.29,0.136,0.057,,,,,0.002,0.028,0.0,,0.0,0.003,0.0,0.0,0.0,-0.018,0.002,,0.0,0.0,0.056,0.005,,0.016,0.0,0.0,0.0,0.0,7.056,1.026,,
1957,BEN,2410775.0,2731577856.0,,,0.149,0.004,2.407,4.684,0.509,12.204,1.943,1.715,,0.062,0.055,,0.0,0.0,,,,,1.036,25.068,0.164,0.0,0.0,-80.975,0.872,,,,0.0,0.0,0.0,0.0,0.432,3.059,4.535,1.881,1.543,0.64,0.65,0.27,0.149,0.062,,,,,0.002,0.03,0.0,,0.0,0.003,0.0,0.0,0.0,-0.017,0.002,,0.0,0.0,0.062,0.006,,0.016,0.0,0.0,0.0,0.0,7.375,1.041,,
1958,BEN,2443430.0,2833502208.0,0.0,0.0,0.125,-0.025,-16.449,5.777,1.093,23.326,2.364,2.039,,0.051,0.044,,,,,,,0.0,1.16,30.844,,,,-75.323,0.996,,,,,,,,0.421,3.157,5.652,2.313,1.567,0.641,0.618,0.253,0.125,0.051,,,,0.0,0.001,0.037,,0.0,0.0,0.004,,,,-0.016,0.002,,,,0.079,0.005,,0.016,0.0,0.0,0.0,0.0,7.713,1.028,,
1959,BEN,2478921.0,2941793792.0,0.0,0.0,0.103,-0.022,-17.647,6.093,0.317,5.483,2.458,2.071,,0.041,0.035,,,,,,,0.0,1.263,36.938,,,,-69.332,1.099,,,,,,,,0.411,3.196,5.991,2.417,1.593,0.642,0.598,0.241,0.103,0.041,,,,0.0,0.001,0.037,,0.0,0.0,0.005,,,,-0.014,0.002,,,,0.077,0.004,,0.017,0.0,0.0,0.0,0.0,7.924,1.019,,
