year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1972,BWA,622416.0,842936704.0,0.0,0.0,0.022,,,2.788,,,4.479,3.307,,0.035,0.026,,0.022,0.035,,,,0.0,0.022,2.788,0.022,,,168.635,,,,,,,,,0.366,12.515,2.766,4.444,3.687,5.924,2.397,3.851,,,,,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,,,0.03,,,,,0.051,,,0.034,0.0,0.0,0.0,0.0,7.789,0.228,,
1973,BWA,652418.0,1021847744.0,0.0,0.0,0.051,0.029,133.333,2.676,-0.112,-4.024,4.101,2.618,,0.079,0.05,,0.051,0.079,,,,0.0,0.073,5.463,0.073,,,171.259,,,,,,,,,0.417,12.567,2.624,4.022,3.948,6.052,2.594,3.976,,,,,,0.0,0.0,0.012,0.001,0.0,0.0,0.001,0.0,,,0.03,,,,,0.05,,,0.035,0.0,0.0,0.0,0.0,8.199,0.272,,
1974,BWA,685455.0,1112449408.0,0.0,0.0,0.088,0.037,71.429,2.582,-0.094,-3.498,3.767,2.321,,0.128,0.079,,0.088,0.128,,,,0.0,0.161,8.045,0.161,,,173.753,,,,,,,,,0.477,11.289,2.494,3.639,3.751,5.472,2.33,3.399,,,,,,0.0,0.001,0.012,0.002,0.0,0.0,0.001,0.0,,,0.03,,,,,0.049,,,0.035,0.0,0.0,0.0,0.0,7.738,0.327,,
1975,BWA,720389.0,1206259840.0,0.0,0.0,0.187,0.099,112.5,2.596,0.014,0.528,3.603,2.152,,0.259,0.155,,0.187,0.259,,,,0.0,0.348,10.641,0.348,,,176.162,,,,,,,,,0.627,12.435,2.409,3.344,4.461,6.192,2.87,3.985,,,,,,0.0,0.001,0.012,0.003,0.0,0.0,0.001,0.0,,,0.031,,,,,0.048,,,0.035,0.0,0.0,0.0,0.0,8.958,0.452,,
1976,BWA,758514.0,1335032704.0,0.0,0.0,0.594,0.407,217.647,2.9,0.304,11.714,3.823,2.172,,0.783,0.445,,0.594,0.783,,,,0.0,0.942,13.541,0.942,,,178.468,,,,,,,,,1.229,12.018,2.306,3.04,4.449,5.866,2.677,3.529,,,,,,0.0,0.003,0.013,0.009,0.0,0.0,0.001,0.0,,,0.031,,,,,0.045,,,0.036,0.0,0.0,0.0,0.0,9.116,0.932,,
1977,BWA,799586.0,1476200576.0,0.0,0.0,0.78,0.187,31.481,2.981,0.082,2.817,3.729,2.02,,0.976,0.529,,0.78,0.976,,,,0.0,1.722,16.522,1.722,,,180.669,,,,,,,,,1.449,12.933,2.201,2.753,5.087,6.361,3.13,3.915,,,,,,0.0,0.004,0.012,0.012,0.0,0.0,0.001,0.001,,,0.031,,,,,0.04,,,0.036,0.0,0.0,0.0,0.0,10.341,1.159,,
1978,BWA,849246.0,1648605184.0,0.0,0.0,0.832,0.051,6.573,3.056,0.074,2.491,3.598,1.853,,0.979,0.505,,0.832,0.979,,,,0.0,2.554,19.577,2.554,,,182.893,,,,,,,,,1.448,12.259,2.224,2.619,5.069,5.969,3.178,3.742,,,,,,0.0,0.004,0.012,0.013,0.0,0.0,0.002,0.001,,,0.031,,,,,0.041,,,0.037,0.0,0.0,0.0,0.0,10.411,1.23,,
1979,BWA,901754.0,1883922816.0,0.0,0.0,0.942,0.11,13.216,3.084,0.028,0.914,3.419,1.637,,1.044,0.5,,0.942,1.044,,,,0.0,3.495,22.661,3.495,,,185.035,,,,,,,,,1.523,13.72,2.142,2.375,6.095,6.759,4.107,4.554,,,,,,0.0,0.005,0.013,0.014,0.0,0.001,0.002,0.001,,,0.031,,,,,0.046,,,0.038,0.0,0.0,0.0,0.0,12.372,1.373,,
1980,BWA,937493.0,2114317696.0,0.0,0.0,1.403,0.462,49.041,3.524,0.441,14.29,3.759,1.667,0.815,1.497,0.664,0.325,0.986,1.051,,,,0.0,4.899,26.185,4.481,,0.0,187.155,0.418,,4605.283,2.044,,,0.0,0.0,1.975,12.211,2.121,2.262,5.402,5.762,3.433,3.662,0.418,0.446,,,4.322,0.0,0.007,0.014,0.014,0.0,0.001,0.002,0.001,,0.0,0.031,0.0,,,0.0,0.043,0.005,,0.038,0.0,0.0,0.0,0.0,11.448,1.852,,
1981,BWA,970002.0,2362259200.0,0.0,0.0,1.408,0.004,0.296,3.625,0.101,2.873,3.737,1.535,0.8,1.451,0.596,0.311,1.008,1.039,,,,0.0,6.307,29.811,5.489,,0.0,189.373,0.818,,4611.092,1.918,,,0.0,0.0,2.001,11.029,2.218,2.286,5.031,5.187,3.02,3.113,0.4,0.412,,,4.532,0.0,0.007,0.015,0.014,0.0,0.001,0.002,0.002,,0.0,0.031,0.0,,,0.0,0.046,0.005,,0.038,0.0,0.0,0.0,0.0,10.699,1.941,,
