year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,BFA,4213152.0,3308378368.0,,,0.004,,,10.25,,,2.433,3.098,,0.001,0.001,,0.001,0.0,,,,,0.004,10.25,0.001,0.0,0.0,200.199,0.003,,,,0.0,0.0,0.0,0.0,0.301,2.933,10.246,2.432,3.893,0.924,2.618,0.621,0.003,0.001,,,,,0.0,0.084,0.0,,0.0,0.002,0.0,0.0,0.0,0.047,0.0,,0.0,0.0,0.165,0.0,,0.046,0.0,0.0,0.0,0.0,12.356,1.267,,
1951,BFA,4260391.0,3432109824.0,,,0.003,-0.001,-16.383,9.353,-0.896,-8.744,2.195,2.725,,0.001,0.001,,0.001,0.0,,,,,0.007,19.603,0.002,0.0,0.0,209.549,0.005,,,,0.0,0.0,0.0,0.0,0.303,2.82,9.35,2.195,3.95,0.927,2.602,0.611,0.002,0.0,,,,,0.0,0.072,0.0,,0.0,0.003,0.0,0.0,0.0,0.049,0.0,,0.0,0.0,0.143,0.0,,0.046,0.0,0.0,0.0,0.0,12.015,1.291,,
1952,BFA,4310353.0,3562573312.0,,,0.004,0.0,11.832,8.994,-0.359,-3.84,2.087,2.525,,0.001,0.001,,0.001,0.0,,,,,0.011,28.597,0.003,0.0,0.0,218.539,0.008,,,,0.0,0.0,0.0,0.0,0.306,2.764,8.99,2.086,4.011,0.93,2.539,0.589,0.002,0.001,,,,,0.0,0.069,0.0,,0.0,0.004,0.0,0.0,0.0,0.05,0.0,,0.0,0.0,0.139,0.0,,0.047,0.0,0.0,0.0,0.0,11.913,1.317,,
1953,BFA,4361323.0,3686393344.0,,,0.003,-0.001,-16.913,8.846,-0.148,-1.645,2.028,2.4,,0.001,0.001,,0.0,0.0,,,,,0.014,37.444,0.004,0.0,0.0,227.382,0.011,,,,0.0,0.0,0.0,0.0,0.308,2.736,8.843,2.028,4.075,0.934,2.441,0.56,0.003,0.001,,,,,0.0,0.067,0.0,,0.0,0.005,0.0,0.0,0.0,0.051,0.0,,0.0,0.0,0.134,0.0,,0.048,0.0,0.0,0.0,0.0,11.931,1.344,,
1954,BFA,4413879.0,3826147072.0,,,0.004,0.001,17.815,8.829,-0.018,-0.201,2.0,2.307,,0.001,0.001,,0.0,0.0,,,,,0.018,46.272,0.004,0.0,0.0,236.207,0.014,,,,0.0,0.0,0.0,0.0,0.311,2.706,8.825,1.999,4.142,0.938,2.32,0.526,0.003,0.001,,,,,0.0,0.064,0.0,,0.0,0.007,0.0,0.0,0.0,0.053,0.0,,0.0,0.0,0.126,0.0,,0.048,0.0,0.0,0.0,0.0,11.942,1.373,,
1955,BFA,4469053.0,3963846912.0,,,0.004,-0.0,-0.323,8.973,0.145,1.637,2.008,2.264,,0.001,0.001,,0.0,0.0,,,,,0.022,55.245,0.005,0.0,0.0,245.177,0.017,,,,0.0,0.0,0.0,0.0,0.314,2.68,8.969,2.007,4.213,0.943,2.187,0.489,0.003,0.001,,,,,0.0,0.062,0.0,,0.0,0.008,0.0,0.0,0.0,0.054,0.0,,0.0,0.0,0.126,0.0,,0.048,0.0,0.0,0.0,0.0,11.976,1.402,,
1956,BFA,4526658.0,4118039040.0,,,0.004,0.001,15.792,9.03,0.056,0.63,1.995,2.193,,0.001,0.001,,0.0,0.0,,,,,0.026,64.275,0.005,0.0,0.0,254.202,0.021,,,,0.0,0.0,0.0,0.0,0.317,2.647,9.025,1.994,4.287,0.947,2.054,0.454,0.004,0.001,,,,,0.0,0.06,0.0,,0.0,0.009,0.0,0.0,0.0,0.055,0.0,,0.0,0.0,0.125,0.0,,0.049,0.0,0.0,0.0,0.0,11.981,1.433,,
1957,BFA,4586569.0,4265641472.0,,,0.004,0.0,2.405,9.044,0.014,0.155,1.972,2.12,,0.001,0.001,,0.0,0.0,,,,,0.03,73.318,0.005,0.0,0.0,263.241,0.026,,,,0.0,0.0,0.0,0.0,0.319,2.625,9.039,1.971,4.364,0.952,1.933,0.421,0.004,0.001,,,,,0.0,0.058,0.0,,0.0,0.01,0.0,0.0,0.0,0.056,0.0,,0.0,0.0,0.123,0.0,,0.049,0.0,0.0,0.0,0.0,12.042,1.463,,
1958,BFA,4647288.0,4425451520.0,0.0,0.0,0.004,-0.001,-16.442,9.472,0.429,4.738,2.038,2.14,,0.001,0.001,,,,,,,0.0,0.034,82.79,,,,272.709,0.029,,,,,,,,0.321,2.632,9.468,2.037,4.443,0.956,1.835,0.395,0.004,0.001,,,,0.0,0.0,0.061,,0.0,0.0,0.011,,,,0.057,0.0,,,,0.132,0.0,,0.049,0.0,0.0,0.0,0.0,12.234,1.491,,
1959,BFA,4710848.0,4588183040.0,0.0,0.0,0.007,0.004,100.0,9.318,-0.154,-1.622,1.978,2.031,,0.002,0.002,,,,,,,0.0,0.041,92.109,,,,282.021,0.037,,,,,,,,0.324,2.607,9.311,1.977,4.523,0.96,1.773,0.376,0.007,0.002,,,,0.0,0.0,0.056,,0.0,0.0,0.012,,,,0.058,0.0,,,,0.12,0.0,,0.049,0.0,0.0,0.0,0.0,12.281,1.525,,
