year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,TCD,2525458.0,2125331712.0,,,0.03,,,11.007,,,4.358,5.179,,0.012,0.014,,0.003,0.001,,,,,0.03,11.007,0.003,0.0,,521.081,0.027,,,,0.0,0.0,,,0.307,7.24,10.977,4.347,5.819,2.304,6.104,2.417,0.027,0.011,,,,,0.0,0.091,0.0,,0.0,0.002,0.0,0.0,,0.123,0.0,,0.0,,0.177,0.002,,0.08,0.0,0.0,0.0,0.0,18.285,0.774,,
1951,TCD,2570410.0,2205453056.0,,,0.039,0.01,33.336,10.732,-0.274,-2.492,4.175,4.866,,0.015,0.018,,0.001,0.0,,,,,0.069,21.739,0.004,0.0,,531.774,0.065,,,,0.0,0.0,,,0.312,6.945,10.693,4.16,6.013,2.339,6.06,2.357,0.038,0.015,,,,,0.001,0.083,0.0,,0.0,0.003,0.0,0.0,,0.124,0.0,,0.0,,0.163,0.002,,0.082,0.0,0.0,0.0,0.0,17.85,0.801,,
1952,TCD,2616313.0,2282775040.0,,,0.051,0.012,29.686,11.176,0.443,4.131,4.272,4.896,,0.02,0.022,,0.004,0.002,,,,,0.12,32.915,0.008,0.0,,542.899,0.112,,,,0.0,0.0,,,0.317,6.925,11.124,4.252,6.218,2.377,5.903,2.256,0.047,0.018,,,,,0.001,0.086,0.0,,0.0,0.005,0.0,0.0,,0.125,0.0,,0.0,,0.172,0.003,,0.083,0.0,0.0,0.0,0.0,18.119,0.83,,
1953,TCD,2663778.0,2368064256.0,,,0.043,-0.008,-15.662,10.88,-0.296,-2.647,4.084,4.594,,0.016,0.018,,0.002,0.001,,,,,0.163,43.794,0.01,0.0,,553.735,0.153,,,,0.0,0.0,,,0.315,6.808,10.837,4.068,6.432,2.414,5.662,2.125,0.041,0.016,,,,,0.001,0.082,0.0,,0.0,0.006,0.0,0.0,,0.125,0.0,,0.0,,0.164,0.002,,0.084,0.0,0.0,0.0,0.0,18.134,0.84,,
1954,TCD,2713011.0,2453391360.0,,,0.046,0.002,5.715,11.464,0.584,5.368,4.226,4.673,,0.017,0.019,,0.001,0.0,,,,,0.209,55.258,0.011,0.0,,565.154,0.198,,,,0.0,0.0,,,0.317,6.735,11.418,4.209,6.652,2.452,5.365,1.977,0.045,0.017,,,,,0.001,0.083,0.0,,0.0,0.008,0.0,0.0,,0.126,0.001,,0.0,,0.164,0.002,,0.085,0.0,0.0,0.0,0.0,18.273,0.861,,
1955,TCD,2764251.0,2544367104.0,,,0.045,-0.001,-1.352,11.572,0.108,0.941,4.186,4.548,,0.016,0.018,,0.001,0.0,,,,,0.254,66.83,0.012,0.0,,576.68,0.242,,,,0.0,0.0,,,0.318,6.585,11.527,4.17,6.879,2.489,5.039,1.823,0.044,0.016,,,,,0.001,0.079,0.0,,0.0,0.009,0.0,0.0,,0.127,0.001,,0.0,,0.162,0.002,,0.086,0.0,0.0,0.0,0.0,18.202,0.878,,
1956,TCD,2817660.0,2638402816.0,,,0.059,0.014,30.138,11.897,0.325,2.812,4.222,4.509,,0.021,0.022,,0.0,0.0,,,,,0.313,78.727,0.012,0.0,,588.519,0.301,,,,0.0,0.0,,,0.323,6.479,11.839,4.202,7.111,2.524,4.714,1.673,0.059,0.021,,,,,0.001,0.079,0.0,,0.0,0.011,0.0,0.0,,0.127,0.001,,0.0,,0.164,0.002,,0.086,0.0,0.0,0.0,0.0,18.256,0.91,,
1957,TCD,2873096.0,2735638016.0,,,0.063,0.004,7.368,11.945,0.048,0.406,4.158,4.367,,0.022,0.023,,0.0,0.0,,,,,0.376,90.672,0.012,0.0,,600.401,0.364,,,,0.0,0.0,,,0.325,6.364,11.882,4.136,7.35,2.558,4.417,1.537,0.063,0.022,,,,,0.001,0.077,0.0,,0.0,0.012,0.0,0.0,,0.128,0.001,,0.0,,0.162,0.002,,0.087,0.0,0.0,0.0,0.0,18.285,0.933,,
1958,TCD,2930371.0,2842100480.0,,,0.072,0.009,14.705,12.281,0.335,2.808,4.191,4.321,,0.025,0.025,,0.0,0.0,,,,,0.448,102.953,0.012,0.0,,612.61,0.436,,,,0.0,0.0,,,0.328,6.317,12.209,4.166,7.594,2.592,4.177,1.425,0.072,0.025,,,,,0.001,0.079,0.0,,0.0,0.013,0.0,0.0,,0.128,0.001,,0.0,,0.17,0.003,,0.088,0.0,0.0,0.0,0.0,18.51,0.96,,
1959,TCD,2989327.0,2940409600.0,0.0,0.0,0.062,-0.01,-13.675,12.449,0.168,1.369,4.164,4.234,,0.021,0.021,,,,,,,0.0,0.51,115.402,,,,624.997,0.498,,,,,,,,0.324,6.307,12.387,4.144,7.847,2.625,4.021,1.345,0.062,0.021,,,,0.0,0.001,0.075,,0.0,0.0,0.015,,,,0.129,0.001,,,,0.16,0.002,,0.089,0.0,0.0,0.0,0.0,18.853,0.969,,
1960,TCD,3049842.0,2963203072.0,0.0,0.0,0.055,-0.007,-11.765,12.544,0.095,0.761,4.113,4.233,,0.018,0.019,,,,,,,0.0,0.565,127.946,,,,637.485,0.553,,,,,,,,0.321,6.308,12.489,4.095,8.108,2.659,3.978,1.304,0.055,0.018,,,,0.0,0.001,0.078,,0.0,0.0,0.016,,,,0.13,0.001,,,,0.186,0.002,,0.089,0.0,0.0,0.0,0.0,19.238,0.979,,
