year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1959,COM,194298.0,114381000.0,0.0,0.0,0.011,,,0.105,,,0.539,0.915,,0.057,0.096,,,,,,,0.0,0.011,0.105,,,,7.165,0.011,,,,,,,,0.309,1.235,0.094,0.482,0.169,0.868,0.029,0.15,0.011,0.057,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.24,0.06,,
1960,COM,197710.0,124257000.0,0.0,0.0,0.011,0.0,0.0,0.014,-0.091,-86.59,0.071,0.113,,0.056,0.088,,,,,,,0.0,0.022,0.119,,,,7.168,0.022,,,,,,,,0.307,1.127,0.003,0.015,0.172,0.868,0.029,0.146,0.011,0.056,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.223,0.061,,
1961,COM,201209.0,125477000.0,0.0,0.0,0.011,0.0,0.0,-0.018,-0.032,-230.287,-0.091,-0.146,,0.055,0.088,,,,,,,0.0,0.033,0.1,,,,7.139,0.033,,,,,,,,0.305,1.02,-0.029,-0.145,0.16,0.795,0.03,0.15,0.011,0.055,,,,0.0,0.0,-0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.205,0.061,,
1962,COM,204713.0,137088000.0,0.0,0.0,0.011,0.0,0.0,-0.033,-0.014,77.956,-0.159,-0.237,,0.054,0.08,,,,,,,0.0,0.044,0.068,,,,7.095,0.044,,,,,,,,0.303,0.997,-0.044,-0.213,0.164,0.803,0.032,0.156,0.011,0.054,,,,0.0,0.0,-0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.204,0.062,,
1963,COM,208198.0,165816000.0,0.0,0.0,0.011,0.0,0.0,-0.039,-0.007,20.27,-0.188,-0.236,,0.053,0.066,,,,,,,0.0,0.055,0.029,,,,7.045,0.055,,,,,,,,0.301,1.042,-0.05,-0.241,0.177,0.85,0.034,0.163,0.011,0.053,,,,0.0,0.0,-0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.217,0.063,,
1964,COM,211650.0,178488000.0,0.0,0.0,0.011,0.0,0.0,-0.042,-0.003,7.022,-0.198,-0.235,,0.052,0.062,,,,,,,0.0,0.066,-0.013,,,,6.992,0.066,,,,,,,,0.299,1.052,-0.053,-0.25,0.182,0.861,0.036,0.169,0.011,0.052,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.223,0.063,,
1965,COM,214981.0,179220000.0,0.0,0.0,0.015,0.004,33.333,-0.039,0.003,-7.087,-0.181,-0.217,,0.068,0.082,,,,,,,0.0,0.081,-0.052,,,,6.939,0.081,,,,,,,,0.316,1.144,-0.054,-0.249,0.2,0.93,0.038,0.176,0.015,0.068,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.246,0.068,,
1966,COM,218672.0,198644000.0,0.0,0.0,0.018,0.004,25.0,-0.035,0.004,-11.299,-0.158,-0.174,,0.084,0.092,,,,,,,0.0,0.099,-0.087,,,,6.886,0.099,,,,,,,,0.331,1.202,-0.053,-0.242,0.213,0.972,0.04,0.181,0.018,0.084,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.263,0.072,,
1967,COM,223869.0,206584000.0,0.0,0.0,0.018,0.0,0.0,-0.034,0.001,-2.548,-0.15,-0.163,,0.082,0.089,,,,,,,0.0,0.117,-0.12,,,,6.834,0.117,,,,,,,,0.328,1.141,-0.052,-0.232,0.205,0.917,0.039,0.176,0.018,0.082,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.255,0.073,,
1968,COM,230256.0,206944000.0,0.0,0.0,0.018,0.0,0.0,-0.032,0.001,-3.595,-0.141,-0.157,,0.08,0.089,,,,,,,0.0,0.136,-0.153,,,,6.783,0.136,,,,,,,,0.323,1.059,-0.051,-0.22,0.193,0.839,0.04,0.173,0.018,0.08,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.244,0.074,,
