year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1994,TLS,844502.0,,,,0.0,,,4.529,,,5.363,,,0.0,,,,,,,,,0.0,4.529,,0.0,,286.716,,,,,0.0,0.0,,,0.185,4.853,4.529,5.363,0.615,0.728,0.166,0.197,,,,,,,0.0,0.016,,,0.0,0.0,,0.0,,0.043,,,0.0,,0.077,,,0.009,0.0,0.0,0.0,0.0,4.099,0.156,,
1995,TLS,868152.0,,,,0.0,0.0,,4.108,-0.422,-9.306,4.732,,,0.0,,,,,,,,,0.0,8.637,,0.0,,290.824,,,,,0.0,0.0,,,0.19,4.377,4.108,4.732,0.641,0.739,0.169,0.194,,,,,,,0.0,0.014,,,0.0,0.001,,0.0,,0.043,,,0.0,,0.076,,,0.009,0.0,0.0,0.0,0.0,3.8,0.165,,
1996,TLS,892288.0,,,,0.0,0.0,,3.477,-0.631,-15.353,3.897,,,0.0,,,,,,,,,0.0,12.115,,0.0,,294.301,,,,,0.0,0.0,,,0.187,3.798,3.477,3.897,0.666,0.747,0.173,0.194,,,,,,,0.0,0.011,,,0.0,0.001,,0.0,,0.043,,,0.0,,0.058,,,0.009,0.0,0.0,0.0,0.0,3.389,0.167,,
1997,TLS,917188.0,,,,0.0,0.0,,2.485,-0.993,-28.546,2.709,,,0.0,,,,,,,,,0.0,14.599,,0.0,,296.786,,,,,0.0,0.0,,,0.178,3.045,2.485,2.709,0.656,0.715,0.176,0.192,,,,,,,0.0,0.008,,,0.0,0.001,,0.0,,0.043,,,0.0,,0.034,,,0.009,0.0,0.0,0.0,0.0,2.793,0.163,,
1998,TLS,942538.0,,,,0.061,0.061,,3.219,0.734,29.541,3.415,,,0.064,,,,,,,,,0.061,17.818,,0.061,,299.944,,,,,0.061,0.064,,,0.237,3.176,3.158,3.351,0.678,0.719,0.183,0.194,,,,,,,0.0,0.011,,,0.0,0.001,,0.001,,0.043,,,0.018,,0.051,,,0.009,0.0,0.0,0.0,0.0,2.994,0.223,,
1999,TLS,834698.0,,,,0.153,0.092,152.703,3.25,0.032,0.982,3.894,,,0.183,,,,,,,,,0.214,21.068,,0.214,,303.041,,,,,0.153,0.183,,,0.378,3.757,3.097,3.711,0.588,0.704,0.155,0.185,,,,,,,0.001,0.011,,,0.0,0.001,,0.002,,0.043,,,0.046,,0.052,,,0.009,0.0,0.0,0.0,0.0,3.136,0.315,,
2000,TLS,745095.0,,,,0.22,0.067,43.724,2.809,-0.441,-13.58,3.77,,,0.295,,,,,,,,,0.433,23.877,,0.433,,305.63,,,,,0.22,0.295,,,0.518,4.243,2.589,3.475,0.654,0.878,0.166,0.223,,,,,,,0.001,0.009,,,0.0,0.001,,0.004,,0.043,,,0.063,,0.049,,,0.009,0.0,0.0,0.0,0.0,3.162,0.386,,
2001,TLS,812252.0,,,,0.119,-0.101,-45.946,2.495,-0.313,-11.157,3.072,,,0.146,,,,,,,,,0.552,26.372,,0.552,,308.006,,,,,0.119,0.146,,,0.357,3.995,2.377,2.926,0.831,1.023,0.196,0.241,,,,,,,0.0,0.008,,,0.0,0.001,,0.005,,0.043,,,0.035,,0.05,,,0.009,0.0,0.0,0.0,0.0,3.245,0.29,,
2002,TLS,879170.0,,0.0,0.0,0.262,0.143,120.358,2.364,-0.131,-5.267,2.689,,,0.298,,,,,,,,0.0,0.814,28.736,,0.653,,310.108,0.161,,,,0.101,0.115,,,0.496,4.029,2.102,2.391,0.837,0.952,0.2,0.227,0.161,0.183,,,,0.0,0.001,0.008,,0.0,0.0,0.002,,0.005,,0.043,0.0,,0.031,,0.041,0.002,,0.009,0.0,0.0,0.0,0.0,3.542,0.436,,
2003,TLS,916878.0,,0.0,0.0,0.249,-0.013,-5.098,2.457,0.093,3.939,2.68,,3.515,0.271,,0.355,,,,,,0.0,1.063,31.193,,0.74,,312.317,0.322,,754.4,,0.087,0.095,,,0.47,4.104,2.209,2.409,0.857,0.934,0.19,0.207,0.161,0.176,,,0.699,0.0,0.001,0.007,,0.0,0.0,0.002,,0.006,,0.043,0.0,,0.025,,0.036,0.002,,0.009,0.0,0.0,0.0,0.0,3.763,0.431,,
