year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1911,EGY,11498855.0,,,,0.011,,,1.244,,,0.108,,,0.001,,,0.0,0.0,,,,,0.011,1.244,0.0,,0.0,44.754,0.011,,,,,,0.0,0.0,0.521,0.987,1.233,0.107,9.259,0.805,0.696,0.061,0.011,0.001,,,,,0.0,0.016,0.0,,0.0,0.0,0.0,,0.0,0.02,0.001,,,0.0,0.026,0.007,,0.136,0.0,0.0,0.0,0.0,11.352,5.989,,
1912,EGY,11632963.0,,,,0.084,0.073,666.667,1.306,0.062,4.968,0.112,,,0.007,,,0.0,0.0,,,,,0.095,2.55,0.0,,0.0,45.976,0.095,,,,,,0.0,0.0,0.528,1.002,1.222,0.105,9.381,0.806,0.719,0.062,0.084,0.007,,,,,0.003,0.016,0.0,,0.0,0.001,0.0,,0.0,0.02,0.004,,,0.0,0.026,0.054,,0.136,0.0,0.0,0.0,0.0,11.66,6.147,,
1913,EGY,11763295.0,20329056256.0,,,0.04,-0.044,-52.174,1.244,-0.062,-4.739,0.106,0.061,,0.003,0.002,,0.0,0.0,,,,,0.136,3.794,0.0,,0.0,47.18,0.136,,,,,,0.0,0.0,0.523,1.005,1.204,0.102,9.47,0.805,0.748,0.064,0.04,0.003,,,,,0.001,0.015,0.0,,0.0,0.001,0.0,,0.0,0.02,0.006,,,0.0,0.027,0.022,,0.135,0.0,0.0,0.0,0.0,11.825,6.155,,
1914,EGY,11895084.0,,,,0.308,0.267,663.636,1.491,0.247,19.815,0.125,,,0.026,,,0.0,0.0,,,,,0.443,5.285,0.0,,0.0,48.363,0.443,,,,,,0.0,0.0,0.543,1.033,1.183,0.099,9.543,0.802,0.781,0.066,0.308,0.026,,,,,0.01,0.019,0.0,,0.001,0.002,0.0,,0.0,0.021,0.017,,,0.0,0.026,0.165,,0.135,0.0,0.0,0.0,0.0,12.286,6.458,,
1915,EGY,12028348.0,,,,0.092,-0.216,-70.238,1.252,-0.239,-16.01,0.104,,,0.008,,,0.0,0.0,,,,,0.535,6.537,0.0,,0.0,49.523,0.535,,,,,,0.0,0.0,0.528,1.026,1.16,0.096,9.693,0.806,0.817,0.068,0.092,0.008,,,,,0.003,0.016,0.0,,0.001,0.002,0.0,,0.0,0.021,0.019,,,0.0,0.025,0.046,,0.136,0.0,0.0,0.0,0.0,12.342,6.354,,
1916,EGY,12163101.0,,,,0.18,0.088,96.0,1.317,0.065,5.171,0.108,,,0.015,,,0.0,0.0,,,,,0.714,7.853,0.0,,0.0,50.66,0.714,,,,,,0.0,0.0,0.537,1.043,1.137,0.093,9.823,0.808,0.856,0.07,0.18,0.015,,,,,0.005,0.017,0.0,,0.001,0.002,0.0,,0.0,0.021,0.024,,,0.0,0.025,0.083,,0.136,0.0,0.0,0.0,0.0,12.682,6.534,,
1917,EGY,12299362.0,,,,0.421,0.242,134.694,1.535,0.218,16.577,0.125,,,0.034,,,0.0,0.0,,,,,1.136,9.388,0.0,,0.0,51.774,1.136,,,,,,0.0,0.0,0.562,1.075,1.114,0.091,9.998,0.813,0.895,0.073,0.421,0.034,,,,,0.012,0.019,0.0,,0.001,0.003,0.0,,0.0,0.021,0.035,,,0.0,0.024,0.176,,0.136,0.0,0.0,0.0,0.0,13.222,6.914,,
1918,EGY,12443062.0,,,,0.865,0.443,105.217,1.955,0.42,27.334,0.157,,,0.069,,,0.0,0.0,,,,,2.001,11.343,0.0,,0.0,52.864,2.001,,,,,,0.0,0.0,0.607,1.126,1.09,0.088,10.23,0.822,0.934,0.075,0.865,0.069,,,,,0.025,0.024,0.0,,0.002,0.003,0.0,,0.0,0.021,0.058,,,0.0,0.024,0.353,,0.136,0.0,0.0,0.0,0.0,14.017,7.552,,
1919,EGY,12587076.0,,,,0.689,-0.176,-20.339,1.755,-0.2,-10.226,0.139,,,0.055,,,0.0,0.0,,,,,2.689,13.098,0.0,,0.0,53.93,2.689,,,,,,0.0,0.0,0.587,1.113,1.066,0.085,10.278,0.817,0.972,0.077,0.689,0.055,,,,,0.023,0.023,0.0,,0.003,0.004,0.0,,0.0,0.021,0.072,,,0.0,0.024,0.252,,0.137,0.0,0.0,0.0,0.0,14.005,7.387,,
1920,EGY,12731391.0,,,,0.454,-0.234,-34.043,1.289,-0.465,-26.524,0.101,,,0.036,,,0.0,0.0,,,,,3.144,14.387,0.0,,0.0,54.764,3.144,,,,,,0.0,0.0,0.561,1.088,0.835,0.066,10.309,0.81,1.006,0.079,0.454,0.036,,,,,0.013,0.016,0.0,,0.003,0.004,0.0,,0.0,0.021,0.077,,,0.0,0.018,0.126,,0.137,0.0,0.0,0.0,0.0,13.849,7.146,,
