year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SWZ,271669.0,167539936.0,0.0,0.0,0.004,,,6.408,,,23.588,38.249,,0.013,0.022,,0.004,0.013,,,,0.0,0.004,6.408,0.004,,,149.901,,,,,,,,,,11.151,6.405,23.575,0.634,2.334,0.421,1.551,,,,,,0.0,0.0,0.053,0.0,0.0,0.0,0.001,0.0,,,0.036,,,,,0.103,,,0.01,0.0,0.0,0.0,0.0,3.029,,,
1951,SWZ,278619.0,176744480.0,0.0,0.0,0.004,0.0,0.0,6.153,-0.256,-3.989,22.082,34.811,,0.013,0.021,,0.004,0.013,,,,0.0,0.007,12.561,0.007,,,156.05,,,,,,,,,,10.767,6.149,22.069,0.654,2.346,0.419,1.505,,,,,,0.0,0.0,0.048,0.0,0.0,0.0,0.002,0.0,,,0.036,,,,,0.094,,,0.011,0.0,0.0,0.0,0.0,3.0,,,
1952,SWZ,285636.0,182272608.0,0.0,0.0,0.004,0.0,0.0,6.107,-0.046,-0.742,21.38,33.504,,0.013,0.02,,0.004,0.013,,,,0.0,0.011,18.668,0.011,,,162.153,,,,,,,,,,10.455,6.103,21.367,0.675,2.362,0.41,1.434,,,,,,0.0,0.0,0.047,0.0,0.0,0.0,0.003,0.0,,,0.037,,,,,0.094,,,0.011,0.0,0.0,0.0,0.0,2.986,,,
1953,SWZ,292742.0,189501952.0,0.0,0.0,0.004,0.0,0.0,5.905,-0.202,-3.304,20.172,31.161,,0.013,0.019,,0.004,0.013,,,,0.0,0.015,24.573,0.015,,,168.055,,,,,,,,,,10.06,5.901,20.159,0.697,2.38,0.395,1.348,,,,,,0.0,0.0,0.045,0.0,0.0,0.0,0.004,0.0,,,0.038,,,,,0.09,,,0.011,0.0,0.0,0.0,0.0,2.945,,,
1954,SWZ,299942.0,200069504.0,0.0,0.0,0.004,0.0,0.0,5.986,0.081,1.365,19.956,29.918,,0.012,0.018,,0.004,0.012,,,,0.0,0.018,30.559,0.018,,,174.037,,,,,,,,,,9.985,5.982,19.944,0.72,2.402,0.376,1.254,,,,,,0.0,0.0,0.043,0.0,0.0,0.0,0.004,0.0,,,0.039,,,,,0.086,,,0.011,0.0,0.0,0.0,0.0,2.995,,,
1955,SWZ,307223.0,206422400.0,0.0,0.0,0.004,0.0,0.0,6.057,0.071,1.191,19.716,29.343,,0.012,0.018,,0.004,0.012,,,,0.0,0.022,36.616,0.022,,,180.09,,,,,,,,,,9.83,6.053,19.704,0.746,2.427,0.356,1.158,,,,,,0.0,0.0,0.042,0.0,0.0,0.0,0.005,0.0,,,0.04,,,,,0.085,,,0.011,0.0,0.0,0.0,0.0,3.02,,,
1956,SWZ,314619.0,214622400.0,0.0,0.0,0.004,0.0,0.0,6.253,0.196,3.242,19.876,29.137,,0.012,0.017,,0.004,0.012,,,,0.0,0.026,42.869,0.026,,,186.34,,,,,,,,,,9.768,6.25,19.865,0.772,2.453,0.335,1.066,,,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.006,0.0,,,0.04,,,,,0.087,,,0.012,0.0,0.0,0.0,0.0,3.073,,,
1957,SWZ,322131.0,222837360.0,0.0,0.0,0.004,0.0,0.0,6.143,-0.111,-1.772,19.069,27.565,,0.011,0.016,,0.004,0.011,,,,0.0,0.029,49.012,0.029,,,192.479,,,,,,,,,,9.47,6.139,19.057,0.799,2.481,0.317,0.983,,,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.007,0.0,,,0.041,,,,,0.084,,,0.012,0.0,0.0,0.0,0.0,3.051,,,
1958,SWZ,329769.0,229028512.0,0.0,0.0,0.004,0.0,0.0,6.132,-0.011,-0.177,18.594,26.773,,0.011,0.016,,0.004,0.011,,,,0.0,0.033,55.143,0.033,,,198.607,,,,,,,,,,9.317,6.128,18.583,0.827,2.509,0.302,0.915,,,,,,0.0,0.0,0.039,0.0,0.0,0.0,0.007,0.0,,,0.042,,,,,0.085,,,0.012,0.0,0.0,0.0,0.0,3.072,,,
1959,SWZ,337522.0,242299904.0,0.0,0.0,0.004,0.0,0.0,7.102,0.971,15.828,21.042,29.312,,0.011,0.015,,0.004,0.011,,,,0.0,0.037,62.246,0.037,,,205.705,,,,,,,,,,10.126,7.099,21.031,0.856,2.536,0.292,0.866,,,,,,0.0,0.0,0.043,0.0,0.0,0.0,0.008,0.0,,,0.042,,,,,0.092,,,0.012,0.0,0.0,0.0,0.0,3.418,,,
