year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GRL,23231.0,,0.0,0.0,0.099,,,,,,,,,4.258,,,0.081,3.47,,,,0.0,0.099,,0.081,,,,0.018,,,,,,,,,,,,,,,,0.018,0.789,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.0,,,,,0.001,,0.0,,0.0,0.0,,,,,
1951,GRL,23689.0,,0.0,0.0,0.099,0.0,0.0,,,,,,,4.176,,,0.073,3.093,,,,0.0,0.198,,0.154,,,,0.044,,,,,,,,,,,,,,,,0.026,1.083,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.0,,,,,0.001,,0.0,,0.0,0.0,,,,,
1952,GRL,24193.0,,0.0,0.0,0.106,0.007,7.407,,,,,,,4.392,,,0.081,3.332,,,,0.0,0.304,,0.234,,,,0.07,,,,,,,,,,,,,,,,0.026,1.06,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.0,,,,,0.001,,0.0,,0.0,0.0,,,,,
1953,GRL,24827.0,,0.0,0.0,0.121,0.015,13.793,,,,,,,4.87,,,0.081,3.247,,,,0.0,0.425,,0.315,,,,0.11,,,,,,,,,,,,,,,,0.04,1.623,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.0,,,,,0.002,,0.0,,0.0,0.0,,,,,
1954,GRL,25517.0,,0.0,0.0,0.103,-0.018,-15.152,,,,,,,4.021,,,0.073,2.872,,,,0.0,0.528,,0.388,,,,0.139,,,,,,,,,,,,,,,,0.029,1.149,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.0,,,,,0.001,,0.0,,0.0,0.0,,,,,
1955,GRL,26283.0,,0.0,0.0,0.209,0.106,103.571,,,,,,,7.946,,,0.088,3.346,,,,0.0,0.736,,0.476,,,,0.26,,,,,,,,,,,,,,,,0.121,4.6,,,,0.0,0.003,,0.002,0.0,0.0,,0.0,,,,0.001,,,,,0.005,,0.0,,0.0,0.0,,,,,
1956,GRL,27199.0,,0.0,0.0,0.143,-0.066,-31.579,,,,,,,5.254,,,0.073,2.694,,,,0.0,0.879,,0.55,,,,0.33,,,,,,,,,,,,,,,,0.07,2.56,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.001,,,,,0.003,,0.0,,0.0,0.0,,,,,
1957,GRL,28280.0,,0.0,0.0,0.161,0.018,12.821,,,,,,,5.701,,,0.079,2.787,,,,0.0,1.041,,0.628,,,,0.412,,,,,,,,,,,,,,,,0.082,2.914,,,,0.0,0.002,,0.002,0.0,0.0,,0.0,,,,0.001,,,,,0.003,,0.0,,0.0,0.0,,,,,
1958,GRL,29457.0,,0.0,0.0,0.227,0.066,40.909,,,,,,,7.712,,,0.11,3.732,,,,0.0,1.268,,0.738,,,,0.529,,,,,,,,,,,,,,,,0.117,3.98,,,,0.0,0.003,,0.002,0.0,0.0,,0.0,,,,0.001,,,,,0.004,,0.0,,0.0,0.0,,,,,
1959,GRL,30745.0,,0.0,0.0,0.234,0.007,3.226,,,,,,,7.627,,,0.092,2.979,,,,0.0,1.502,,0.83,,,,0.672,,,,,,,,,,,,,,,,0.143,4.648,,,,0.0,0.003,,0.002,0.0,0.001,,0.0,,,,0.001,,,,,0.005,,0.0,,0.0,0.0,,,,,
1960,GRL,32122.0,,0.0,0.0,0.224,-0.011,-4.688,,,,,,,6.958,,,0.121,3.764,,,,0.0,1.726,,0.951,,,,0.775,,,,,,,,,,,,,,,,0.103,3.194,,,,0.0,0.002,,0.002,0.0,0.001,,0.0,,,,0.002,,,,,0.003,,0.0,,0.0,0.0,,,,,
1961,GRL,33434.0,,0.0,0.0,0.293,0.07,31.148,,,,,,,8.767,,,0.119,3.572,,,,0.0,2.019,,1.07,,,,0.949,,,,,,,,,,,,,,,,0.174,5.195,,,,0.0,0.003,,0.002,0.0,0.001,,0.0,,,,0.002,,,,,0.005,,0.0,,0.0,0.0,,,,,
1962,GRL,34665.0,,0.0,0.0,0.264,-0.029,-10.0,,,,,,,7.61,,,0.108,3.127,,,,0.0,2.283,,1.179,,,,1.104,,,,,,,,,,,,,,,,0.155,4.483,,,,0.0,0.003,,0.002,0.0,0.001,,0.0,,,,0.002,,,,,0.004,,0.0,,0.0,0.0,,,,,
1963,GRL,35923.0,,0.0,0.0,0.33,0.066,25.0,,,,,,,9.18,,,0.143,3.978,,,,0.0,2.612,,1.322,,,,1.291,,,,,,,,,,,,,,,,0.187,5.202,,,,0.0,0.003,,0.003,0.0,0.001,,0.001,,,,0.002,,,,,0.005,,0.0,,0.0,0.0,,,,,
1964,GRL,37225.0,,0.0,0.0,0.315,-0.015,-4.444,,,,,,,8.465,,,0.092,2.461,,,,0.0,2.928,,1.413,,,,1.514,,,,,,,,,,,,,,,,0.224,6.004,,,,0.0,0.003,,0.002,0.0,0.001,,0.001,,,,0.002,,,,,0.005,,0.0,,0.0,0.0,,,,,
1965,GRL,38583.0,,0.0,0.0,0.344,0.029,9.302,,,,,,,8.927,,,0.077,1.994,,,,0.0,3.272,,1.49,,,,1.782,,,,,,,,,,,,,,,,0.267,6.932,,,,0.0,0.003,,0.001,0.0,0.001,,0.001,,,,0.003,,,,,0.006,,0.0,,0.0,0.0,,,,,
1966,GRL,39989.0,,0.0,0.0,0.388,0.044,12.766,,,,,,,9.712,,,0.106,2.657,,,,0.0,3.66,,1.596,,,,2.064,,,,,,,,,,,,,,,,0.282,7.055,,,,0.0,0.003,,0.002,0.0,0.001,,0.001,,,,0.003,,,,,0.006,,0.0,,0.0,0.0,,,,,
1967,GRL,41421.0,,0.0,0.0,0.418,0.029,7.547,,,,,,,10.084,,,0.122,2.945,,,,0.0,4.078,,1.718,,,,2.36,,,,,,,,,,,,,,,,0.296,7.139,,,,0.0,0.003,,0.002,0.0,0.001,,0.001,,,,0.003,,,,,0.006,,0.0,,0.0,0.0,,,,,
1968,GRL,42800.0,,0.0,0.0,0.542,0.125,29.825,,,,,,,12.67,,,0.103,2.397,,,,0.0,4.62,,1.821,,,,2.799,,,,,,,,,,,,,,,,0.44,10.273,,,,0.0,0.004,,0.002,0.0,0.001,,0.001,,,,0.003,,,,,0.008,,0.0,,0.0,0.0,,,,,
1969,GRL,44158.0,,0.0,0.0,0.407,-0.136,-25.0,,,,,,,9.21,,,0.08,1.809,,,,0.0,5.027,,1.901,,,,3.126,,,,,,,,,,,,,,,,0.327,7.401,,,,0.0,0.003,,0.001,0.0,0.001,,0.001,,,,0.003,,,,,0.005,,0.0,,0.0,0.0,,,,,
