year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GIN,3013178.0,1344464640.0,0.0,0.0,0.182,,,72.863,,,24.181,54.195,,0.061,0.136,,0.035,0.011,,,,0.0,0.182,72.863,0.035,0.0,0.0,3192.45,0.148,,,,0.0,0.0,0.0,0.0,0.436,17.78,72.68,24.121,3.044,1.01,2.802,0.93,0.148,0.049,,,,0.0,0.003,0.6,0.001,0.0,0.0,0.011,0.0,0.0,0.0,0.757,0.001,,0.0,0.0,1.171,0.01,,0.259,0.0,0.001,0.001,0.0,53.575,1.315,,
1951,GIN,3061981.0,1422524544.0,0.0,0.0,0.153,-0.03,-16.384,71.39,-1.473,-2.021,23.315,50.186,,0.05,0.107,,0.06,0.02,,,,0.0,0.335,144.253,0.095,0.0,0.0,3263.688,0.24,,,,0.0,0.0,0.0,0.0,0.431,17.311,71.238,23.265,3.155,1.031,2.785,0.91,0.092,0.03,,,,0.0,0.002,0.552,0.001,0.0,0.0,0.022,0.0,0.0,0.0,0.762,0.001,,0.0,0.0,1.086,0.005,,0.259,0.0,0.001,0.001,0.0,53.007,1.321,,
1952,GIN,3111688.0,1465336960.0,0.0,0.0,0.171,0.018,11.824,66.508,-4.882,-6.839,21.374,45.387,,0.055,0.116,,0.058,0.019,,,,0.0,0.505,210.761,0.153,0.0,0.0,3330.025,0.352,,,,0.0,0.0,0.0,0.0,0.442,15.898,66.337,21.319,3.265,1.049,2.72,0.874,0.112,0.036,,,,0.0,0.003,0.514,0.001,0.0,0.0,0.031,0.0,0.0,0.0,0.765,0.001,,0.0,0.0,1.024,0.006,,0.26,0.0,0.001,0.001,0.0,49.471,1.375,,
1953,GIN,3162521.0,1522641408.0,0.0,0.0,0.142,-0.029,-16.918,63.143,-3.364,-5.059,19.966,41.47,,0.045,0.093,,0.019,0.006,,,,0.0,0.647,273.904,0.172,0.0,0.0,3393.027,0.475,,,,0.0,0.0,0.0,0.0,0.437,14.823,63.002,19.921,3.376,1.067,2.618,0.828,0.123,0.039,,,,0.0,0.002,0.477,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.768,0.001,,0.0,0.0,0.956,0.006,,0.259,0.0,0.001,0.001,0.0,46.878,1.384,,
1954,GIN,3214564.0,1611542784.0,0.0,0.0,0.167,0.025,17.818,64.795,1.652,2.616,20.157,40.207,,0.052,0.104,,0.022,0.007,,,,0.0,0.814,338.699,0.194,0.0,0.0,3457.655,0.62,,,,0.0,0.0,0.0,0.0,0.45,15.078,64.628,20.105,3.489,1.085,2.491,0.775,0.145,0.045,,,,0.0,0.002,0.471,0.001,0.0,0.0,0.048,0.0,0.0,0.0,0.771,0.002,,0.0,0.0,0.926,0.007,,0.259,0.0,0.001,0.001,0.0,48.469,1.447,,
1955,GIN,3267862.0,1666553600.0,0.0,0.0,0.166,-0.001,-0.308,60.94,-3.855,-5.95,18.648,36.566,,0.051,0.1,,0.01,0.003,,,,0.0,0.981,399.639,0.204,0.0,0.0,3518.428,0.777,,,,0.0,0.0,0.0,0.0,0.454,13.899,60.773,18.597,3.605,1.103,2.352,0.72,0.157,0.048,,,,0.0,0.002,0.418,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.772,0.002,,0.0,0.0,0.853,0.007,,0.258,0.0,0.001,0.001,0.0,45.421,1.485,,
1956,GIN,3322502.0,1726528128.0,0.0,0.0,0.193,0.026,15.789,63.206,2.267,3.72,19.024,36.609,,0.058,0.112,,0.013,0.004,,,,0.0,1.173,462.845,0.217,0.0,0.0,3581.442,0.957,,,,0.0,0.0,0.0,0.0,0.467,13.717,63.014,18.966,3.725,1.121,2.213,0.666,0.18,0.054,,,,0.0,0.002,0.417,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.774,0.002,,0.0,0.0,0.873,0.007,,0.257,0.0,0.001,0.001,0.0,45.575,1.551,,
1957,GIN,3378658.0,1788549120.0,0.0,0.0,0.197,0.005,2.407,66.845,3.639,5.757,19.785,37.374,,0.058,0.11,,0.001,0.0,,,,0.0,1.371,529.691,0.217,0.0,0.0,3648.09,1.154,,,,0.0,0.0,0.0,0.0,0.472,14.176,66.648,19.726,3.85,1.14,2.087,0.618,0.197,0.058,,,,0.0,0.002,0.431,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.776,0.003,,0.0,0.0,0.91,0.008,,0.256,0.0,0.001,0.001,0.0,47.897,1.596,,
1958,GIN,3436438.0,1841034496.0,0.0,0.0,0.165,-0.032,-16.449,66.935,0.09,0.134,19.478,36.357,,0.048,0.09,,,,,,,0.0,1.535,596.626,,,,3714.861,1.318,,,,,,,,0.467,13.674,66.77,19.43,3.98,1.158,1.985,0.578,0.165,0.048,,,,0.0,0.002,0.429,,0.0,0.001,0.078,,,,0.778,0.003,,,,0.928,0.006,,0.255,0.0,0.001,0.001,0.0,46.99,1.605,,
1959,GIN,3495776.0,1945851776.0,0.0,0.0,0.158,-0.007,-4.444,68.689,1.754,2.62,19.649,35.3,,0.045,0.081,,,,,,,0.0,1.693,665.316,,,,3783.393,1.476,,,,,,,,0.469,13.5,68.532,19.604,4.114,1.177,1.92,0.549,0.158,0.045,,,,0.0,0.002,0.414,,0.0,0.001,0.085,,,,0.78,0.003,,,,0.885,0.005,,0.254,0.0,0.001,0.001,0.0,47.193,1.64,,
