year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GUY,418045.0,,0.0,0.0,0.26,,,8.101,,,19.379,,,0.622,,,0.0,0.0,,,,0.0,0.26,8.101,0.0,,,382.001,0.26,,,,,,,,1.049,22.01,7.841,18.756,1.241,2.97,0.17,0.406,0.26,0.622,,,,0.0,0.004,0.067,0.0,0.0,0.0,0.001,0.0,,,0.091,0.001,,,,0.126,0.017,,0.077,0.0,0.0,0.0,0.0,9.201,0.439,,
1951,GUY,429112.0,,0.0,0.0,0.286,0.026,9.859,11.885,3.783,46.703,27.696,,,0.666,,,0.007,0.017,,,,0.0,0.546,19.986,0.007,,,393.6,0.539,,,,,,,,1.104,29.087,11.599,27.03,1.315,3.065,0.176,0.411,0.278,0.649,,,,0.0,0.004,0.092,0.0,0.0,0.0,0.003,0.0,,,0.092,0.002,,,,0.177,0.016,,0.075,0.0,0.0,0.0,0.0,12.482,0.474,,
1952,GUY,441250.0,,0.0,0.0,0.337,0.051,17.949,17.883,5.999,50.475,40.529,,,0.764,,,0.004,0.008,,,,0.0,0.883,37.869,0.011,,,411.146,0.872,,,,,,,,1.214,41.317,17.546,39.765,1.397,3.166,0.185,0.42,0.333,0.756,,,,0.0,0.005,0.138,0.0,0.0,0.0,0.006,0.0,,,0.095,0.003,,,,0.271,0.018,,0.074,0.0,0.0,0.0,0.0,18.231,0.536,,
1953,GUY,454563.0,,0.0,0.0,0.451,0.114,33.696,16.667,-1.216,-6.802,36.666,,,0.991,,,0.004,0.008,,,,0.0,1.334,54.536,0.015,,,427.362,1.319,,,,,,,,1.454,35.991,16.216,35.674,1.484,3.265,0.197,0.433,0.447,0.983,,,,0.0,0.007,0.126,0.0,0.0,0.001,0.008,0.0,,,0.097,0.004,,,,0.246,0.023,,0.073,0.0,0.0,0.0,0.0,16.36,0.661,,
1954,GUY,468986.0,,0.0,0.0,0.473,0.022,4.878,19.305,2.638,15.826,41.162,,,1.008,,,0.007,0.016,,,,0.0,1.806,73.84,0.022,,,446.194,1.784,,,,,,,,1.483,39.427,18.832,40.154,1.575,3.357,0.21,0.447,0.465,0.992,,,,0.0,0.007,0.14,0.0,0.0,0.001,0.011,0.0,,,0.099,0.005,,,,0.27,0.023,,0.072,0.0,0.0,0.0,0.0,18.491,0.695,,
1955,GUY,484375.0,,0.0,0.0,0.517,0.044,9.302,19.195,-0.11,-0.57,39.627,,,1.067,,,0.004,0.008,,,,0.0,2.323,93.035,0.026,,,464.872,2.297,,,,,,,,1.553,37.638,18.678,38.561,1.667,3.441,0.224,0.461,0.513,1.059,,,,0.0,0.007,0.132,0.0,0.0,0.001,0.013,0.0,,,0.102,0.006,,,,0.262,0.022,,0.071,0.0,0.0,0.0,0.0,18.231,0.752,,
1956,GUY,500584.0,,0.0,0.0,0.55,0.033,6.383,21.814,2.619,13.647,43.577,,,1.098,,,0.0,0.0,,,,0.0,2.873,114.849,0.026,,,486.136,2.847,,,,,,,,1.595,41.938,21.264,42.479,1.76,3.515,0.237,0.474,0.55,1.098,,,,0.0,0.007,0.144,0.0,0.0,0.001,0.016,0.0,,,0.105,0.007,,,,0.295,0.022,,0.071,0.0,0.0,0.0,0.0,20.993,0.798,,
1957,GUY,517511.0,,0.0,0.0,0.535,-0.015,-2.667,20.746,-1.068,-4.896,40.088,,,1.034,,,0.004,0.007,,,,0.0,3.408,135.595,0.029,,,506.347,3.378,,,,,,,,1.54,38.266,20.211,39.054,1.854,3.583,0.251,0.485,0.531,1.027,,,,0.0,0.007,0.134,0.0,0.0,0.001,0.018,0.0,,,0.108,0.008,,,,0.276,0.02,,0.07,0.0,0.0,0.0,0.0,19.803,0.797,,
1958,GUY,535075.0,,0.0,0.0,0.458,-0.077,-14.384,18.931,-1.815,-8.749,35.38,,,0.856,,,0.004,0.007,,,,0.0,3.866,154.526,0.033,,,524.82,3.832,,,,,,,,1.372,32.976,18.473,34.524,1.951,3.646,0.264,0.493,0.454,0.849,,,,0.0,0.005,0.121,0.0,0.0,0.001,0.02,0.0,,,0.11,0.008,,,,0.257,0.017,,0.068,0.0,0.0,0.0,0.0,17.644,0.734,,
1959,GUY,553075.0,,0.0,0.0,0.553,0.095,20.8,27.029,8.098,42.777,48.871,,,1.0,,,0.0,0.0,,,,0.0,4.419,181.555,0.033,,,551.296,4.386,,,,,,,,1.527,48.226,26.476,47.87,2.052,3.711,0.274,0.496,0.553,1.0,,,,0.0,0.006,0.163,0.0,0.0,0.001,0.023,0.0,,,0.114,0.009,,,,0.342,0.019,,0.068,0.0,0.0,0.0,0.0,26.673,0.844,,
