year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1936,ISL,115505.0,,0.0,0.0,0.022,,,2.277,,,19.717,,,0.19,,,0.022,0.19,,,,0.0,0.022,2.277,0.022,,0.0,101.237,0.0,,,,,,0.0,0.0,0.48,17.66,2.255,19.526,0.214,1.849,0.117,1.01,0.0,0.0,,,,0.0,0.001,0.024,0.001,0.0,0.0,0.0,0.0,,0.0,0.029,0.0,,,0.0,0.043,0.0,,0.01,0.0,0.0,0.0,0.0,2.04,0.055,,
1937,ISL,116718.0,,0.0,0.0,0.018,-0.004,-16.667,2.298,0.021,0.923,19.692,,,0.157,,,0.018,0.157,,,,0.0,0.04,4.576,0.04,,0.0,103.517,0.0,,,,,,0.0,0.0,0.446,17.724,2.28,19.535,0.218,1.866,0.118,1.013,0.0,0.0,,,,0.0,0.0,0.023,0.001,0.0,0.0,0.001,0.0,,0.0,0.03,0.0,,,0.0,0.042,0.0,,0.01,0.0,0.0,0.0,0.0,2.069,0.052,,
1940,ISL,120892.0,,0.0,0.0,0.425,,,2.636,,,21.809,,,3.516,,,0.358,2.959,,,,0.0,0.465,7.212,0.398,,0.0,110.36,0.067,,,,,,0.0,0.0,3.801,20.414,2.211,18.293,0.231,1.91,0.121,1.0,0.067,0.557,,,,0.0,0.009,0.025,0.009,0.0,0.0,0.001,0.0,,0.0,0.03,0.0,,,0.0,0.041,0.007,,0.011,0.0,0.0,0.0,0.0,2.468,0.459,,
1941,ISL,122625.0,,0.0,0.0,0.412,-0.013,-3.007,2.597,-0.04,-1.502,21.177,,,3.362,,,0.335,2.733,,,,0.0,0.878,9.809,0.733,,0.0,112.545,0.144,,,,,,0.0,0.0,3.659,20.04,2.185,17.816,0.238,1.942,0.126,1.028,0.077,0.629,,,,0.0,0.008,0.024,0.009,0.0,0.0,0.002,0.0,,0.0,0.03,0.001,,,0.0,0.038,0.008,,0.011,0.0,0.0,0.0,0.0,2.457,0.449,,
1942,ISL,124535.0,,0.0,0.0,0.438,0.025,6.137,2.607,0.01,0.404,20.937,,,3.513,,,0.341,2.735,,,,0.0,1.315,12.417,1.074,,,114.714,0.241,,,,,,,,3.823,20.147,2.17,17.424,0.246,1.972,0.14,1.126,0.097,0.779,,,,0.0,0.009,0.024,0.009,0.0,0.001,0.002,0.001,,,0.03,0.001,,,,0.038,0.011,,0.011,0.0,0.0,0.0,0.0,2.509,0.476,,
1943,ISL,126627.0,,0.0,0.0,0.472,0.034,7.885,2.633,0.026,0.989,20.795,,,3.728,,,0.369,2.916,,,,0.0,1.787,15.05,1.443,,0.0,116.876,0.344,,,,,,0.0,0.0,4.05,20.333,2.161,17.067,0.253,1.999,0.161,1.27,0.103,0.811,,,,0.0,0.009,0.024,0.009,0.0,0.001,0.003,0.001,,0.0,0.031,0.002,,,0.0,0.038,0.011,,0.011,0.0,0.0,0.0,0.0,2.575,0.513,,
1944,ISL,128755.0,,0.0,0.0,0.453,-0.019,-4.025,2.609,-0.025,-0.934,20.26,,,3.519,,,0.353,2.739,,,,0.0,2.24,17.658,1.796,,0.0,119.031,0.445,,,,,,0.0,0.0,3.852,20.108,2.156,16.741,0.261,2.026,0.186,1.445,0.1,0.78,,,,0.0,0.009,0.024,0.009,0.0,0.001,0.003,0.001,,0.0,0.031,0.002,,,0.0,0.038,0.009,,0.011,0.0,0.0,0.0,0.0,2.589,0.496,,
1945,ISL,130918.0,,0.0,0.0,0.432,-0.021,-4.56,2.584,-0.025,-0.939,19.738,,,3.303,,,0.313,2.39,,,,0.0,2.672,20.242,2.109,,0.0,121.183,0.564,,,,,,0.0,0.0,3.653,19.962,2.152,16.435,0.269,2.057,0.214,1.631,0.119,0.912,,,,0.0,0.01,0.026,0.01,0.0,0.001,0.003,0.001,,0.0,0.031,0.003,,,0.0,0.038,0.011,,0.011,0.0,0.0,0.0,0.0,2.613,0.478,,
1946,ISL,133118.0,,0.0,0.0,0.51,0.078,17.928,2.659,0.075,2.912,19.977,,,3.83,,,0.329,2.473,,,,0.0,3.182,22.902,2.438,,0.0,123.332,0.745,,,,,,0.0,0.0,4.199,20.517,2.149,16.147,0.278,2.089,0.241,1.812,0.181,1.357,,,,0.0,0.011,0.026,0.01,0.0,0.002,0.004,0.001,,0.0,0.031,0.003,,,0.0,0.038,0.016,,0.011,0.0,0.0,0.0,0.0,2.731,0.559,,
1947,ISL,135354.0,,0.0,0.0,0.6,0.09,17.619,2.748,0.089,3.341,20.303,,,4.431,,,0.334,2.466,,,,0.0,3.782,25.65,2.772,,0.0,125.481,1.011,,,,,,0.0,0.0,4.82,21.113,2.148,15.873,0.287,2.122,0.267,1.972,0.266,1.964,,,,0.0,0.012,0.025,0.009,0.0,0.002,0.004,0.001,,0.0,0.031,0.004,,,0.0,0.038,0.021,,0.012,0.0,0.0,0.0,0.0,2.858,0.652,,
1948,ISL,137628.0,,0.0,0.0,0.722,0.122,20.348,2.871,0.123,4.461,20.859,,,5.244,,,0.336,2.443,,,,0.0,4.504,28.52,3.108,,0.0,127.63,1.396,,,,,,0.0,0.0,5.655,21.908,2.149,15.614,0.297,2.156,0.289,2.097,0.386,2.802,,,,0.0,0.013,0.026,0.009,0.0,0.002,0.005,0.002,,0.0,0.031,0.006,,,0.0,0.039,0.028,,0.012,0.0,0.0,0.0,0.0,3.015,0.778,,
1949,ISL,140059.0,,0.0,0.0,0.743,0.021,2.922,2.893,0.022,0.772,20.655,,,5.304,,,0.277,1.976,,,,0.0,5.247,31.413,3.384,,0.0,129.78,1.862,,,,,,0.0,0.0,5.738,21.88,2.15,15.351,0.307,2.189,0.304,2.17,0.466,3.328,,,,0.0,0.014,0.027,0.008,0.0,0.002,0.005,0.002,,0.0,0.031,0.007,,,0.0,0.039,0.036,,0.012,0.0,0.0,0.0,0.0,3.064,0.804,,
1950,ISL,142684.0,1214687104.0,0.0,0.0,0.74,-0.003,-0.365,3.341,0.448,15.483,23.414,2.75,,5.187,0.609,,0.231,1.618,,,,0.0,5.987,34.754,3.615,,,132.38,2.372,,,,,,,,5.66,23.81,2.601,18.227,0.319,2.234,0.311,2.179,0.509,3.569,,,,0.0,0.012,0.028,0.006,0.0,0.003,0.005,0.002,,,0.031,0.008,,,,0.042,0.033,,0.012,0.0,0.0,0.0,0.0,3.397,0.808,,
1951,ISL,145431.0,1176480256.0,0.0,0.0,0.645,-0.095,-12.871,3.611,0.27,8.092,24.83,3.069,,4.434,0.548,,0.165,1.134,,,,0.0,6.632,38.365,3.78,,,135.346,2.852,,,,,,,,4.932,24.48,2.966,20.396,0.33,2.266,0.313,2.153,0.48,3.3,,,,0.0,0.01,0.028,0.004,0.0,0.003,0.006,0.002,,,0.032,0.01,,,,0.045,0.028,,0.012,0.0,0.0,0.0,0.0,3.56,0.717,,
1952,ISL,147778.0,1305468672.0,0.0,0.0,0.777,0.132,20.455,4.071,0.46,12.726,27.546,3.118,,5.256,0.595,,0.147,0.992,,,,0.0,7.408,42.436,3.927,,,138.64,3.482,,,,,,,,5.79,26.632,3.294,22.289,0.342,2.317,0.316,2.136,0.63,4.265,,,,0.0,0.012,0.031,0.004,0.0,0.003,0.006,0.002,,,0.032,0.011,,,,0.051,0.035,,0.012,0.0,0.0,0.0,0.0,3.936,0.856,,
