year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,JAM,1407215.0,2928323328.0,0.0,0.0,0.271,,,4.955,,,3.521,1.692,,0.193,0.093,,0.043,0.031,,,,0.0,0.271,4.955,0.043,,,201.57,0.228,,,,,,,,2.131,5.896,4.684,3.329,3.042,2.162,0.226,0.161,0.228,0.162,,,,0.0,0.005,0.041,0.001,0.0,0.0,0.001,0.0,,,0.048,0.001,,,,0.075,0.015,,0.032,0.0,0.0,0.0,0.0,8.297,2.999,,
1951,JAM,1447472.0,3164039424.0,0.0,0.0,0.52,0.249,91.892,4.588,-0.368,-7.419,3.169,1.45,,0.359,0.164,,0.066,0.046,,,,0.0,0.791,9.543,0.109,,,205.638,0.682,,,,,,,,2.421,5.98,4.067,2.81,3.308,2.285,0.234,0.161,0.454,0.314,,,,0.0,0.008,0.035,0.002,0.0,0.0,0.001,0.0,,,0.048,0.002,,,,0.062,0.026,,0.033,0.0,0.0,0.0,0.0,8.656,3.505,,
1952,JAM,1481348.0,3418349824.0,0.036,0.025,0.564,0.044,8.394,4.507,-0.081,-1.756,3.042,1.318,,0.381,0.165,,0.026,0.017,,,,0.036,1.355,14.05,0.135,,,209.581,1.184,,,,,,,,2.533,6.1,3.943,2.662,3.52,2.376,0.244,0.165,0.502,0.339,,,,0.045,0.009,0.035,0.001,0.003,0.001,0.002,0.0,,,0.048,0.004,,,,0.061,0.028,,0.034,0.0,0.0,0.0,0.0,9.036,3.752,,
1953,JAM,1509741.0,3898115328.0,0.051,0.034,0.615,0.051,9.075,4.212,-0.295,-6.543,2.79,1.081,,0.407,0.158,,0.029,0.019,,,,0.087,1.971,18.262,0.164,,,213.178,1.719,,,,,,,,2.615,6.079,3.597,2.382,3.672,2.432,0.257,0.17,0.535,0.354,,,,0.057,0.009,0.032,0.001,0.008,0.001,0.003,0.0,,,0.048,0.005,,,,0.055,0.028,,0.035,0.0,0.0,0.0,0.0,9.178,3.948,,
1954,JAM,1533452.0,4346987008.0,0.047,0.031,0.791,0.176,28.596,4.68,0.468,11.113,3.052,1.077,,0.516,0.182,,0.037,0.024,,,,0.134,2.762,22.942,0.201,,,217.067,2.426,,,,,,,,2.745,6.446,3.889,2.536,3.763,2.454,0.271,0.177,0.707,0.461,,,,0.049,0.012,0.034,0.001,0.011,0.001,0.003,0.0,,,0.048,0.007,,,,0.056,0.034,,0.036,0.0,0.0,0.0,0.0,9.885,4.21,,
1955,JAM,1553715.0,4793952256.0,0.055,0.035,0.985,0.194,24.541,4.683,0.003,0.054,3.014,0.977,,0.634,0.206,,0.04,0.026,,,,0.189,3.747,27.625,0.241,,,220.764,3.317,,,,,,,,2.847,6.41,3.698,2.38,3.788,2.438,0.286,0.184,0.89,0.573,,,,0.051,0.013,0.032,0.001,0.014,0.001,0.004,0.0,,,0.048,0.009,,,,0.052,0.039,,0.037,0.0,0.0,0.0,0.0,9.959,4.424,,
1956,JAM,1571976.0,5271322624.0,0.065,0.042,1.26,0.275,27.885,4.839,0.156,3.331,3.078,0.918,,0.801,0.239,,0.033,0.021,,,,0.254,5.007,32.463,0.274,,,224.343,4.478,,,,,,,,2.962,6.373,3.579,2.277,3.749,2.385,0.301,0.192,1.161,0.739,,,,0.056,0.016,0.032,0.001,0.017,0.002,0.004,0.0,,,0.048,0.011,,,,0.05,0.046,,0.038,0.0,0.0,0.0,0.0,10.019,4.656,,
1957,JAM,1589682.0,6039044096.0,0.073,0.046,1.604,0.344,27.332,5.211,0.373,7.7,3.278,0.863,,1.009,0.266,,0.004,0.002,,,,0.327,6.611,37.675,0.278,,,227.95,6.006,,,,,,,,3.088,6.372,3.607,2.269,3.66,2.303,0.316,0.199,1.528,0.961,,,,0.059,0.02,0.034,0.0,0.021,0.002,0.005,0.0,,,0.048,0.014,,,,0.049,0.059,,0.039,0.0,0.0,0.0,0.0,10.13,4.909,,
1958,JAM,1608269.0,6134627840.0,0.087,0.054,1.355,-0.249,-15.538,4.998,-0.213,-4.093,3.108,0.815,,0.843,0.221,,0.004,0.002,,,,0.414,7.966,42.673,0.282,,,231.593,7.27,,,,,,,,2.803,5.947,3.643,2.265,3.512,2.184,0.33,0.205,1.264,0.786,,,,0.067,0.016,0.032,0.0,0.024,0.003,0.006,0.0,,,0.049,0.016,,,,0.051,0.047,,0.039,0.0,0.0,0.0,0.0,9.564,4.508,,
1959,JAM,1628236.0,6476416000.0,0.098,0.06,1.839,0.484,35.688,5.716,0.718,14.37,3.511,0.883,,1.129,0.284,,0.004,0.002,,,,0.512,9.804,48.389,0.285,,,235.471,9.007,,,,,,,,2.963,6.014,3.878,2.381,3.348,2.056,0.342,0.21,1.737,1.067,,,,0.068,0.021,0.034,0.0,0.027,0.003,0.006,0.0,,,0.049,0.019,,,,0.05,0.06,,0.04,0.0,0.0,0.0,0.0,9.792,4.824,,
