year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,LSO,1809697.0,3205046016.0,0.0,0.0,1.473,,,2.156,,,1.191,0.673,2.45,0.814,0.46,1.674,1.142,0.631,,,,0.0,1.473,2.156,1.142,,,104.057,0.331,,489.147,0.275,,,,,1.231,2.432,0.683,0.377,1.542,0.852,0.648,0.358,0.331,0.183,,,0.88,0.0,0.006,0.008,0.013,0.0,0.0,0.0,0.0,,,0.016,0.0,,,,0.014,0.004,,0.013,0.0,0.0,0.0,0.0,4.401,2.228,,
1991,LSO,1842383.0,3210336512.0,0.0,0.0,1.528,0.055,3.731,2.634,0.478,22.153,1.429,0.82,2.946,0.829,0.476,1.709,1.194,0.648,,,,0.0,3.001,4.79,2.337,,,105.162,0.664,,488.642,0.278,,,,,1.246,2.568,1.106,0.6,1.557,0.845,0.64,0.347,0.333,0.181,,,0.894,0.0,0.007,0.009,0.014,0.0,0.0,0.0,0.001,,,0.016,0.0,,,,0.022,0.003,,0.013,0.0,0.0,0.0,0.0,4.731,2.296,,
1992,LSO,1873281.0,3373566976.0,0.0,0.0,1.587,0.059,3.837,2.347,-0.287,-10.898,1.253,0.696,2.521,0.847,0.47,1.704,1.246,0.665,,,,0.0,4.587,7.136,3.583,,,105.922,1.005,,500.827,0.276,,,,,1.259,2.435,0.76,0.406,1.668,0.89,0.688,0.367,0.341,0.182,,,0.931,0.0,0.007,0.008,0.015,0.0,0.001,0.0,0.001,,,0.016,0.0,,,,0.014,0.004,,0.013,0.0,0.0,0.0,0.0,4.562,2.359,,
1993,LSO,1901801.0,3409484288.0,0.0,0.0,1.634,0.048,3.002,2.073,-0.274,-11.656,1.09,0.608,2.155,0.859,0.479,1.699,1.286,0.676,,,,0.0,6.221,9.209,4.869,,,106.361,1.353,,510.093,0.282,,,,,1.268,2.336,0.439,0.231,1.642,0.863,0.681,0.358,0.348,0.183,,,0.962,0.0,0.007,0.007,0.015,0.0,0.001,0.001,0.001,,,0.016,0.0,,,,0.009,0.004,,0.013,0.0,0.0,0.0,0.0,4.442,2.412,,
1994,LSO,1927709.0,3499928064.0,0.0,0.0,1.674,0.04,2.466,1.954,-0.119,-5.73,1.014,0.558,1.828,0.869,0.478,1.566,1.326,0.688,,,,0.0,7.896,11.163,6.195,0.0,,106.641,1.701,,559.585,0.305,0.0,0.0,,,1.274,2.244,0.28,0.145,1.61,0.835,0.673,0.349,0.348,0.181,,,1.069,0.0,0.007,0.007,0.015,0.0,0.001,0.001,0.001,0.0,,0.016,0.001,,0.0,,0.005,0.004,,0.013,0.0,0.0,0.0,0.0,4.326,2.456,,
1995,LSO,1951442.0,3490315776.0,0.0,0.0,1.707,0.033,1.969,2.098,0.144,7.364,1.075,0.601,1.937,0.875,0.489,1.576,1.352,0.693,,,,0.0,9.603,13.262,7.547,0.0,,107.032,2.056,,560.043,0.31,0.0,0.0,,,1.285,2.27,0.391,0.2,1.579,0.809,0.647,0.332,0.355,0.182,,,1.083,0.0,0.007,0.007,0.015,0.0,0.001,0.001,0.002,0.0,,0.016,0.001,,0.0,,0.007,0.004,,0.013,0.0,0.0,0.0,0.0,4.43,2.508,,
1996,LSO,1972424.0,3610274048.0,0.0,0.0,1.737,0.029,1.717,2.267,0.169,8.031,1.149,0.628,2.068,0.881,0.481,1.584,1.378,0.699,,,,0.0,11.34,15.528,8.925,0.0,,107.562,2.415,,560.712,0.304,0.0,0.0,,,1.289,2.317,0.53,0.269,1.556,0.789,0.655,0.332,0.358,0.182,,,1.096,0.0,0.007,0.007,0.015,0.0,0.001,0.001,0.002,0.0,,0.016,0.001,,0.0,,0.009,0.004,,0.013,0.0,0.0,0.0,0.0,4.571,2.542,,
1997,LSO,1988139.0,3655545088.0,0.0,0.0,1.77,0.033,1.899,2.166,-0.101,-4.458,1.089,0.592,2.01,0.89,0.484,1.643,1.404,0.706,,,,0.0,13.11,17.694,10.33,0.0,,107.958,2.78,,546.07,0.295,0.0,0.0,,,1.297,2.32,0.396,0.199,1.614,0.812,0.678,0.341,0.366,0.184,,,1.077,0.0,0.007,0.007,0.016,0.0,0.001,0.001,0.002,0.0,,0.016,0.001,,0.0,,0.005,0.004,,0.013,0.0,0.0,0.0,0.0,4.613,2.578,,
1998,LSO,1998049.0,3647322624.0,0.0,0.0,1.803,0.033,1.863,2.153,-0.013,-0.589,1.077,0.59,2.297,0.902,0.494,1.924,1.433,0.717,,,,0.0,14.912,19.847,11.762,0.0,,108.308,3.15,,471.963,0.257,0.0,0.0,,,1.312,2.257,0.35,0.175,1.477,0.739,0.609,0.305,0.37,0.185,,,0.937,0.0,0.007,0.007,0.016,0.0,0.001,0.001,0.002,0.0,,0.015,0.001,,0.0,,0.006,0.004,,0.013,0.0,0.0,0.0,0.0,4.51,2.622,,
1999,LSO,2003238.0,3670807296.0,0.0,0.0,1.825,0.022,1.22,2.396,0.244,11.314,1.196,0.653,1.752,0.911,0.497,1.334,1.451,0.724,,,,0.0,16.737,22.243,13.213,0.0,,108.88,3.524,,685.755,0.373,0.0,0.0,,,1.338,2.656,0.572,0.285,1.861,0.929,0.794,0.396,0.374,0.187,,,1.368,0.0,0.007,0.008,0.016,0.0,0.002,0.001,0.003,0.0,,0.015,0.001,,0.0,,0.01,0.004,,0.013,0.0,0.0,0.0,0.0,5.322,2.68,,
2000,LSO,2003918.0,3769602048.0,0.0,0.0,1.85,0.026,1.406,2.185,-0.211,-8.813,1.091,0.58,0.885,0.923,0.491,0.749,1.469,0.733,,,,0.0,18.587,24.429,14.682,0.0,,109.215,3.905,,1235.516,0.655,0.0,0.0,,,1.359,2.687,0.335,0.167,1.815,0.906,0.778,0.388,0.381,0.19,,,2.469,0.0,0.007,0.007,0.016,0.0,0.002,0.001,0.003,0.0,,0.015,0.001,,0.0,,0.006,0.004,,0.013,0.0,0.0,0.0,0.0,5.385,2.723,,
2001,LSO,2000859.0,3838921472.0,0.0,0.0,1.876,0.026,1.386,1.736,-0.449,-20.538,0.868,0.452,0.694,0.938,0.489,0.75,1.491,0.745,,,,0.0,20.463,26.165,16.174,0.0,,109.075,4.29,,1251.148,0.652,0.0,0.0,,,1.377,2.635,-0.139,-0.07,1.803,0.901,0.776,0.388,0.385,0.192,,,2.502,0.0,0.007,0.006,0.016,0.0,0.002,0.001,0.003,0.0,,0.015,0.001,,0.0,,-0.003,0.004,,0.013,0.0,0.0,0.0,0.0,5.273,2.756,,
