year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,MWI,2950300.0,1453365632.0,0.006,0.002,0.235,,,39.341,,,13.335,27.069,,0.08,0.161,,0.184,0.062,,,,0.006,0.235,39.341,0.184,0.0,0.0,571.809,0.044,,,,0.0,0.0,0.0,0.0,0.379,8.193,39.106,13.255,1.225,0.415,0.656,0.222,0.044,0.015,,,,0.009,0.004,0.324,0.005,0.001,0.0,0.006,0.0,0.0,0.0,0.136,0.0,,0.0,0.0,0.63,0.003,,0.048,0.0,0.0,0.0,0.0,24.172,1.118,,
1951,MWI,3002887.0,1516134144.0,0.007,0.002,0.259,0.024,10.268,31.013,-8.328,-21.168,10.328,20.455,,0.086,0.171,,0.187,0.062,,,,0.013,0.493,70.354,0.37,0.0,0.0,602.563,0.109,,,,0.0,0.0,0.0,0.0,0.385,6.863,30.755,10.242,1.247,0.415,0.654,0.218,0.065,0.022,,,,0.009,0.004,0.24,0.005,0.001,0.0,0.011,0.0,0.0,0.0,0.141,0.0,,0.0,0.0,0.469,0.004,,0.049,0.0,0.0,0.0,0.0,20.608,1.157,,
1952,MWI,3059384.0,1575613056.0,0.01,0.003,0.291,0.032,12.485,26.415,-4.598,-14.826,8.634,16.765,,0.095,0.185,,0.207,0.068,,,,0.023,0.784,96.769,0.577,0.0,0.0,628.687,0.183,,,,0.0,0.0,0.0,0.0,0.393,5.994,26.124,8.539,1.27,0.415,0.641,0.21,0.074,0.024,,,,0.013,0.004,0.204,0.005,0.002,0.0,0.014,0.0,0.0,0.0,0.145,0.001,,0.0,0.0,0.403,0.004,,0.05,0.0,0.0,0.0,0.0,18.337,1.204,,
1953,MWI,3119242.0,1643508224.0,0.013,0.004,0.317,0.026,8.992,23.274,-3.141,-11.891,7.461,14.161,,0.102,0.193,,0.221,0.071,,,,0.037,1.101,120.043,0.799,0.0,0.0,651.645,0.266,,,,0.0,0.0,0.0,0.0,0.399,5.42,22.957,7.36,1.293,0.414,0.62,0.199,0.083,0.027,,,,0.015,0.005,0.176,0.005,0.003,0.0,0.017,0.0,0.0,0.0,0.148,0.001,,0.0,0.0,0.348,0.004,,0.051,0.0,0.0,0.0,0.0,16.906,1.245,,
1954,MWI,3181538.0,1714239104.0,0.016,0.005,0.349,0.032,9.949,20.158,-3.116,-13.39,6.336,11.759,,0.11,0.203,,0.241,0.076,,,,0.052,1.45,140.201,1.04,0.0,0.0,671.454,0.358,,,,0.0,0.0,0.0,0.0,0.406,5.038,19.809,6.226,1.316,0.414,0.594,0.187,0.092,0.029,,,,0.016,0.005,0.146,0.006,0.004,0.001,0.02,0.0,0.0,0.0,0.15,0.001,,0.0,0.0,0.284,0.004,,0.051,0.0,0.0,0.0,0.0,16.028,1.292,,
1955,MWI,3246544.0,1741719424.0,0.02,0.006,0.411,0.063,17.93,19.779,-0.379,-1.879,6.092,11.356,,0.127,0.236,,0.287,0.088,,,,0.072,1.861,159.98,1.326,0.0,0.0,690.822,0.462,,,,0.0,0.0,0.0,0.0,0.422,5.048,19.368,5.966,1.341,0.413,0.565,0.174,0.105,0.032,,,,0.018,0.006,0.136,0.007,0.005,0.001,0.022,0.001,0.0,0.0,0.152,0.001,,0.0,0.0,0.272,0.005,,0.052,0.0,0.0,0.0,0.0,16.389,1.369,,
1956,MWI,3315299.0,1887994752.0,0.023,0.007,0.448,0.037,9.019,18.485,-1.294,-6.544,5.576,9.791,,0.135,0.237,,0.298,0.09,,,,0.095,2.309,178.465,1.624,0.0,0.0,708.858,0.59,,,,0.0,0.0,0.0,0.0,0.429,5.006,18.037,5.44,1.366,0.412,0.536,0.162,0.128,0.039,,,,0.02,0.006,0.122,0.006,0.006,0.001,0.024,0.001,0.0,0.0,0.153,0.001,,0.0,0.0,0.25,0.005,,0.053,0.0,0.0,0.0,0.0,16.596,1.423,,
1957,MWI,3387745.0,1964955136.0,0.026,0.008,0.461,0.013,2.931,17.059,-1.425,-7.712,5.036,8.682,,0.136,0.235,,0.304,0.09,,,,0.122,2.771,195.524,1.928,0.0,0.0,725.456,0.721,,,,0.0,0.0,0.0,0.0,0.429,4.699,16.598,4.899,1.393,0.411,0.51,0.151,0.131,0.039,,,,0.022,0.006,0.11,0.006,0.008,0.001,0.026,0.001,0.0,0.0,0.154,0.002,,0.0,0.0,0.227,0.005,,0.053,0.0,0.0,0.0,0.0,15.92,1.452,,
1958,MWI,3463948.0,2036122752.0,0.029,0.008,0.412,-0.049,-10.674,16.975,-0.084,-0.494,4.9,8.337,,0.119,0.202,,0.244,0.07,,,,0.151,3.183,212.499,2.172,0.0,0.0,742.019,0.86,,,,0.0,0.0,0.0,0.0,0.41,4.516,16.563,4.782,1.42,0.41,0.489,0.141,0.139,0.04,,,,0.023,0.005,0.109,0.005,0.009,0.001,0.028,0.001,0.0,0.0,0.155,0.002,,0.0,0.0,0.23,0.005,,0.053,0.0,0.0,0.0,0.0,15.643,1.42,,
1959,MWI,3544167.0,2109653760.0,0.023,0.006,0.46,0.048,11.558,16.655,-0.32,-1.886,4.699,7.895,,0.13,0.218,,0.295,0.083,,,,0.174,3.642,229.154,2.467,0.0,0.0,758.214,1.002,,,,0.0,0.0,0.0,0.0,0.419,4.262,16.195,4.57,1.448,0.408,0.476,0.134,0.142,0.04,,,,0.016,0.005,0.1,0.006,0.009,0.001,0.029,0.001,0.0,0.0,0.156,0.002,,0.0,0.0,0.209,0.005,,0.053,0.0,0.0,0.0,0.0,15.107,1.484,,
