year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1971,MDV,127053.0,,0.0,0.0,0.004,,,0.004,,,0.029,,,0.029,,,,,,,,0.0,0.004,0.004,,,,0.006,0.004,,,,,,,,0.206,0.207,0.0,0.0,0.021,0.164,0.002,0.013,0.004,0.029,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.026,0.026,,
1972,MDV,130979.0,,0.0,0.0,0.004,0.0,0.0,0.004,-0.0,-0.99,0.028,,,0.028,,,,,,,,0.0,0.007,0.007,,,,0.006,0.007,,,,,,,,0.21,0.21,0.0,0.0,0.022,0.169,0.002,0.013,0.004,0.028,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.028,0.028,,
1973,MDV,134971.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.027,,,0.027,,,,,,,,0.0,0.011,0.011,,,,0.006,0.011,,,,,,,,0.217,0.218,0.0,0.0,0.024,0.174,0.002,0.016,0.004,0.027,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.029,0.029,,
1974,MDV,138994.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.026,,,0.026,,,,,,,,0.0,0.015,0.015,,,,0.006,0.015,,,,,,,,0.222,0.223,0.0,0.0,0.025,0.18,0.002,0.016,0.004,0.026,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.031,0.031,,
1975,MDV,143168.0,,0.0,0.0,0.007,0.004,100.0,0.007,0.004,103.0,0.052,,,0.051,,,,,,,,0.0,0.022,0.022,,,,0.006,0.022,,,,,,,,0.252,0.254,0.0,0.001,0.027,0.186,0.002,0.017,0.007,0.051,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.036,0.036,,
1976,MDV,147538.0,,0.0,0.0,0.011,0.004,50.0,0.011,0.004,49.261,0.075,,,0.075,,,,,,,,0.0,0.033,0.033,,,,0.006,0.033,,,,,,,,0.281,0.282,0.0,0.001,0.028,0.191,0.002,0.016,0.011,0.075,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.042,0.041,,
1977,MDV,151942.0,,0.0,0.0,0.015,0.004,33.333,0.015,0.004,33.003,0.097,,,0.096,,,,,,,,0.0,0.048,0.048,,,,0.006,0.048,,,,,,,,0.307,0.308,0.0,0.001,0.03,0.195,0.002,0.016,0.015,0.096,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.047,0.047,,
1978,MDV,156169.0,,0.0,0.0,0.022,0.007,50.0,0.022,0.007,48.883,0.141,,,0.141,,,,,,,,0.0,0.07,0.07,,,,0.006,0.07,,,,,,,,0.357,0.357,0.0,0.0,0.031,0.2,0.003,0.016,0.022,0.141,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.056,0.056,,
1979,MDV,160373.0,,0.0,0.0,0.029,0.007,33.333,0.029,0.007,33.333,0.183,,,0.183,,,,,,,,0.0,0.099,0.099,,,,0.006,0.099,,,,,,,,0.404,0.404,0.0,0.0,0.033,0.205,0.003,0.016,0.029,0.183,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.065,0.065,,
1980,MDV,164843.0,,0.0,0.0,0.044,0.015,50.0,0.044,0.015,50.0,0.267,,0.71,0.267,,0.71,,,,,,0.0,0.143,0.143,,,,0.006,0.143,,375.347,,,,,,0.493,0.493,0.0,0.0,0.035,0.21,0.003,0.017,0.044,0.267,,,0.062,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.081,0.081,,
1981,MDV,169543.0,,0.0,0.0,0.048,0.004,8.333,0.048,0.004,8.333,0.281,,0.772,0.281,,0.772,,,,,,0.0,0.191,0.191,,,,0.006,0.191,,363.783,,,,,,0.514,0.514,0.0,0.0,0.036,0.215,0.003,0.018,0.048,0.281,,,0.062,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.087,0.087,,
1982,MDV,174339.0,,0.0,0.0,0.048,0.0,0.0,0.048,0.0,0.0,0.273,,0.772,0.273,,0.772,,,,,,0.0,0.238,0.239,,,,0.006,0.238,,353.666,,,,,,0.511,0.511,0.0,0.0,0.038,0.22,0.003,0.018,0.048,0.273,,,0.062,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.089,0.089,,
1983,MDV,179141.0,,0.0,0.0,0.051,0.004,7.692,0.051,0.004,7.692,0.286,,0.831,0.286,,0.831,,,,,,0.0,0.289,0.29,,,,0.006,0.289,,344.157,,,,,,0.531,0.531,0.0,0.0,0.04,0.226,0.003,0.019,0.051,0.286,,,0.062,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.095,0.095,,
1984,MDV,184213.0,,0.0,0.0,0.059,0.007,14.286,0.059,0.007,14.286,0.318,,0.237,0.318,,0.237,,,,,,0.0,0.348,0.348,,,,0.006,0.348,,1342.634,,,,,,0.575,0.575,0.0,0.0,0.043,0.232,0.004,0.024,0.059,0.318,,,0.248,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.106,0.106,,
1985,MDV,190182.0,,0.0,0.0,0.066,0.007,12.5,0.066,0.007,12.5,0.347,,0.267,0.347,,0.267,,,,,,0.0,0.414,0.414,,,,0.006,0.414,,1296.757,,,,,,0.609,0.609,0.0,0.0,0.045,0.237,0.005,0.026,0.066,0.347,,,0.247,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.116,0.116,,
1986,MDV,196946.0,,0.0,0.0,0.081,0.015,22.222,0.081,0.015,22.222,0.409,,0.282,0.409,,0.282,,,,,,0.0,0.495,0.495,,,,0.006,0.495,,1450.624,,,,,,0.671,0.671,0.0,0.0,0.047,0.237,0.005,0.025,0.081,0.409,,,0.286,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.132,0.132,,
1987,MDV,203960.0,,0.0,0.0,0.081,0.0,0.0,0.081,0.0,0.0,0.395,,0.282,0.395,,0.282,,,,,,0.0,0.575,0.576,,,,0.006,0.575,,1400.693,,,,,,0.657,0.657,0.0,0.0,0.048,0.237,0.005,0.025,0.081,0.395,,,0.286,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.134,0.134,,
1988,MDV,210899.0,,0.0,0.0,0.095,0.015,18.182,0.095,0.015,18.182,0.452,,0.273,0.452,,0.273,,,,,,0.0,0.671,0.671,,,,0.006,0.671,,1654.0,,,,,,0.717,0.717,0.0,0.0,0.05,0.237,0.006,0.028,0.095,0.452,,,0.349,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.151,0.151,,
1989,MDV,217750.0,,0.0,0.0,0.125,0.029,30.769,0.125,0.029,30.769,0.572,,0.358,0.572,,0.358,,,,,,0.0,0.795,0.795,,,,0.006,0.795,,1598.665,,,,,,0.834,0.834,0.0,0.0,0.052,0.237,0.005,0.024,0.125,0.572,,,0.348,0.0,0.001,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.182,0.182,,
1990,MDV,224772.0,,0.0,0.0,0.172,0.048,38.235,0.172,0.048,38.235,0.766,,0.408,0.766,,0.408,,,,,,0.0,0.967,0.968,,,,0.006,0.967,,1875.427,,,,,,1.026,1.026,0.0,0.0,0.053,0.238,0.005,0.023,0.172,0.766,,,0.422,0.0,0.001,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.231,0.231,,
1991,MDV,231809.0,,0.0,0.0,0.154,-0.018,-10.638,0.154,-0.018,-10.638,0.664,,0.365,0.664,,0.365,,,,,,0.0,1.121,1.122,,,,0.006,1.121,,1817.401,,,,,,0.924,0.924,0.0,0.0,0.055,0.237,0.005,0.024,0.154,0.664,,,0.422,0.0,0.001,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.214,0.214,,
1992,MDV,238559.0,,0.0,0.0,0.231,0.077,50.0,0.231,0.077,50.0,0.968,,0.546,0.968,,0.546,,,,,,0.0,1.352,1.352,,,,0.006,1.352,,1768.552,,,,,,1.229,1.229,0.0,0.0,0.056,0.237,0.006,0.025,0.231,0.968,,,0.423,0.0,0.001,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.003,,0.0,0.0,0.0,0.0,0.0,0.293,0.293,,
1993,MDV,244892.0,,0.0,0.0,0.198,-0.033,-14.286,0.198,-0.033,-14.286,0.808,,0.401,0.808,,0.401,,,,,,0.0,1.55,1.55,,,,0.006,1.55,,2007.348,,,,,,1.071,1.071,0.0,0.0,0.058,0.237,0.006,0.026,0.198,0.808,,,0.494,0.0,0.001,0.001,,0.0,0.0,0.0,,,,0.0,0.001,,,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.262,0.262,,
1994,MDV,250831.0,,0.0,0.0,0.198,0.0,0.0,0.198,0.0,0.0,0.789,,0.2,0.789,,0.2,,,,,,0.0,1.748,1.748,,0.0,,0.006,1.748,,3927.181,,0.0,0.0,,,1.064,1.064,0.0,0.0,0.06,0.241,0.009,0.034,0.198,0.789,,,0.99,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.0,0.001,,0.0,,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.267,0.267,,
