year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1946,PAK,34906631.0,,0.0,0.0,0.634,,,69.979,,,2.005,,,0.018,,,0.634,0.018,,,,0.0,0.634,69.979,0.634,0.0,0.0,903.606,0.0,,,,0.0,0.0,0.0,0.0,0.23,2.11,69.345,1.987,30.148,0.864,5.82,0.167,0.0,0.0,,,,0.0,0.014,0.682,0.02,0.0,0.0,0.012,0.0,,0.0,0.226,0.0,,,0.0,1.228,0.0,,0.337,0.001,0.0,0.001,0.0,73.646,8.039,,
1947,PAK,35549766.0,,0.0,0.0,0.655,0.022,3.415,70.996,1.017,1.453,1.997,,,0.018,,,0.536,0.015,,,,0.0,1.289,140.975,1.169,0.0,0.0,973.947,0.12,,,,0.0,0.0,0.0,0.0,0.216,2.143,70.341,1.979,30.382,0.855,5.93,0.167,0.12,0.003,,,,0.0,0.013,0.657,0.015,0.0,0.001,0.023,0.001,,0.0,0.241,0.001,,,0.0,1.248,0.01,,0.342,0.001,0.0,0.001,0.0,76.168,7.668,,
1948,PAK,36204749.0,,0.156,0.004,0.722,0.067,10.183,76.597,5.601,7.89,2.116,,,0.02,,,0.416,0.011,,,,0.156,2.011,217.573,1.585,0.0,0.0,1049.822,0.27,,,,0.0,0.0,0.0,0.0,0.22,2.138,75.875,2.096,31.253,0.863,6.032,0.167,0.151,0.004,,,,0.301,0.013,0.696,0.011,0.02,0.001,0.035,0.001,,0.0,0.256,0.001,,,0.0,1.367,0.011,,0.347,0.001,0.0,0.001,0.0,77.388,7.975,,
1949,PAK,36919488.0,,0.203,0.006,1.025,0.303,41.9,81.749,5.152,6.725,2.214,,,0.028,,,0.525,0.014,,,,0.359,3.035,299.322,2.11,0.0,0.0,1130.547,0.567,,,,0.0,0.0,0.0,0.0,0.233,2.137,80.724,2.186,32.225,0.873,6.119,0.166,0.297,0.008,,,,0.349,0.02,0.765,0.015,0.043,0.001,0.047,0.001,,0.0,0.272,0.002,,,0.0,1.474,0.023,,0.352,0.001,0.0,0.001,0.0,78.904,8.614,,
1950,PAK,35849257.0,40434438144.0,0.204,0.006,5.355,4.33,422.672,76.775,-4.974,-6.084,2.142,1.899,,0.149,0.132,,3.355,0.094,,,,0.563,8.39,376.097,5.464,0.0,0.0,1201.967,2.363,,,,0.0,0.0,0.0,0.0,0.403,2.231,71.42,1.992,34.375,0.959,6.184,0.173,1.796,0.05,,,,0.305,0.09,0.633,0.086,0.063,0.004,0.058,0.003,0.0,0.0,0.285,0.008,,0.0,0.0,1.151,0.116,,0.357,0.001,0.0,0.001,0.0,79.982,14.451,,
1951,PAK,36581907.0,39130357760.0,0.246,0.007,6.613,1.258,23.486,75.317,-1.458,-1.899,2.059,1.925,,0.181,0.169,,4.328,0.118,,,,0.809,15.003,451.413,9.792,0.0,0.0,1270.671,4.402,,,,0.0,0.0,0.0,0.0,0.444,2.191,68.704,1.878,35.248,0.964,6.241,0.171,2.039,0.056,,,,0.325,0.104,0.582,0.106,0.083,0.006,0.068,0.005,0.0,0.0,0.297,0.015,,0.0,0.0,1.047,0.119,,0.362,0.001,0.0,0.002,0.0,80.166,16.241,,
1952,PAK,37377005.0,39279230976.0,0.261,0.007,6.983,0.371,5.607,75.951,0.634,0.842,2.032,1.934,,0.187,0.178,,4.471,0.12,,,,1.07,21.987,527.364,14.263,0.0,0.0,1339.639,6.654,,,,0.0,0.0,0.0,0.0,0.453,2.143,68.967,1.845,35.942,0.962,6.305,0.169,2.252,0.06,,,,0.323,0.108,0.587,0.111,0.101,0.009,0.078,0.007,0.0,0.0,0.308,0.021,,0.0,0.0,1.065,0.124,,0.366,0.001,0.001,0.002,0.0,80.107,16.916,,
1953,PAK,38229659.0,42977546240.0,0.294,0.008,7.107,0.123,1.767,77.63,1.679,2.211,2.031,1.806,,0.186,0.165,,4.187,0.11,,,,1.364,29.093,604.995,18.449,0.0,0.0,1410.162,9.28,,,,0.0,0.0,0.0,0.0,0.452,2.112,70.524,1.845,36.62,0.958,6.374,0.167,2.626,0.069,,,,0.329,0.107,0.586,0.103,0.119,0.012,0.088,0.009,0.0,0.0,0.319,0.028,,0.0,0.0,1.07,0.136,,0.37,0.001,0.001,0.002,0.0,80.746,17.279,,
1954,PAK,39137074.0,43979272192.0,0.335,0.009,7.218,0.111,1.561,79.882,2.251,2.9,2.041,1.816,,0.184,0.164,,3.868,0.099,,,,1.699,36.311,684.876,22.317,0.0,0.0,1482.826,12.295,,,,0.0,0.0,0.0,0.0,0.451,2.087,72.664,1.857,37.349,0.954,6.447,0.165,3.015,0.077,,,,0.345,0.106,0.58,0.095,0.137,0.014,0.098,0.01,0.0,0.0,0.331,0.035,,0.0,0.0,1.041,0.147,,0.374,0.001,0.001,0.002,0.0,81.674,17.632,,
1955,PAK,40098069.0,44967657472.0,0.34,0.008,7.437,0.219,3.04,82.714,2.832,3.545,2.063,1.839,,0.185,0.165,,3.721,0.093,,,,2.039,43.748,767.59,26.038,0.0,0.062,1558.103,15.61,,,,0.0,0.0,0.062,0.002,0.453,2.069,75.277,1.877,38.175,0.952,6.522,0.163,3.315,0.083,,,,0.316,0.1,0.568,0.085,0.151,0.016,0.107,0.012,0.0,0.001,0.342,0.041,,0.0,0.011,1.057,0.144,,0.377,0.001,0.001,0.002,0.0,82.972,18.145,,
