year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,RWA,2157101.0,2488223744.0,0.0,0.0,0.017,,,5.0,,,2.318,2.01,,0.008,0.007,,0.002,0.001,,,,0.0,0.017,5.0,0.002,0.0,0.0,164.94,0.015,,,,0.0,0.0,0.0,0.0,0.368,2.522,4.983,2.31,1.018,0.472,0.686,0.318,0.015,0.007,,,,0.0,0.0,0.041,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.039,0.0,,0.0,0.0,0.08,0.001,,0.023,0.0,0.0,0.0,0.0,5.44,0.795,,
1951,RWA,2236039.0,2630102272.0,0.0,0.0,0.017,0.0,0.0,4.486,-0.514,-10.274,2.006,1.706,,0.008,0.006,,0.0,0.0,,,,0.0,0.034,9.487,0.002,0.0,0.0,169.41,0.032,,,,0.0,0.0,0.0,0.0,0.385,2.378,4.47,1.999,1.09,0.488,0.686,0.307,0.017,0.008,,,,0.0,0.0,0.035,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.04,0.0,,0.0,0.0,0.068,0.001,,0.023,0.0,0.0,0.0,0.0,5.317,0.862,,
1952,RWA,2316515.0,2714906880.0,0.0,0.0,0.031,0.014,85.719,4.44,-0.046,-1.024,1.917,1.636,,0.014,0.012,,0.002,0.001,,,,0.0,0.065,13.927,0.004,0.0,0.0,173.819,0.061,,,,0.0,0.0,0.0,0.0,0.409,2.306,4.409,1.903,1.167,0.504,0.676,0.292,0.029,0.013,,,,0.0,0.0,0.034,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.04,0.0,,0.0,0.0,0.068,0.002,,0.023,0.0,0.0,0.0,0.0,5.343,0.948,,
1953,RWA,2398365.0,2819364608.0,0.0,0.0,0.029,-0.002,-7.693,4.471,0.03,0.684,1.864,1.586,,0.012,0.01,,0.0,0.0,,,,0.0,0.094,18.398,0.004,0.0,0.0,178.261,0.09,,,,0.0,0.0,0.0,0.0,0.426,2.281,4.442,1.852,1.248,0.521,0.659,0.275,0.029,0.012,,,,0.0,0.0,0.034,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.04,0.0,,0.0,0.0,0.067,0.001,,0.024,0.0,0.0,0.0,0.0,5.471,1.023,,
1954,RWA,2482131.0,2976382208.0,0.0,0.0,0.012,-0.017,-58.332,4.513,0.042,0.939,1.818,1.516,,0.005,0.004,,0.0,0.0,,,,0.0,0.106,22.911,0.004,0.0,0.0,182.762,0.102,,,,0.0,0.0,0.0,0.0,0.439,2.266,4.501,1.813,1.337,0.538,0.637,0.257,0.012,0.005,,,,0.0,0.0,0.033,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.041,0.0,,0.0,0.0,0.064,0.001,,0.024,0.0,0.0,0.0,0.0,5.624,1.089,,
1955,RWA,2568302.0,3070633472.0,0.0,0.0,0.014,0.002,20.002,4.872,0.359,7.957,1.897,1.587,,0.006,0.005,,0.0,0.0,,,,0.0,0.12,27.783,0.004,0.0,0.0,187.619,0.116,,,,0.0,0.0,0.0,0.0,0.46,2.321,4.858,1.891,1.433,0.558,0.613,0.239,0.014,0.006,,,,0.0,0.0,0.033,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.041,0.0,,0.0,0.0,0.068,0.001,,0.024,0.0,0.0,0.0,0.0,5.961,1.181,,
1956,RWA,2656814.0,3188931072.0,0.0,0.0,0.017,0.002,16.661,4.921,0.049,1.004,1.852,1.543,,0.006,0.005,,0.0,0.0,,,,0.0,0.137,32.704,0.004,0.0,0.0,192.523,0.133,,,,0.0,0.0,0.0,0.0,0.482,2.333,4.904,1.846,1.536,0.578,0.589,0.222,0.017,0.006,,,,0.0,0.0,0.032,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.042,0.0,,0.0,0.0,0.068,0.001,,0.025,0.0,0.0,0.0,0.0,6.198,1.281,,
1957,RWA,2747877.0,3310302208.0,0.0,0.0,0.019,0.002,14.287,4.456,-0.464,-9.438,1.622,1.346,,0.007,0.006,,0.0,0.0,,,,0.0,0.157,37.16,0.004,0.0,0.0,196.961,0.152,,,,0.0,0.0,0.0,0.0,0.505,2.264,4.437,1.615,1.648,0.6,0.568,0.207,0.019,0.007,,,,0.0,0.0,0.029,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.042,0.0,,0.0,0.0,0.061,0.001,,0.025,0.0,0.0,0.0,0.0,6.222,1.387,,
1958,RWA,2840135.0,3403126528.0,0.0,0.0,0.019,0.0,0.0,5.249,0.792,17.775,1.848,1.542,,0.007,0.006,,0.0,0.0,,,,0.0,0.176,42.409,0.004,0.0,0.0,202.19,0.171,,,,0.0,0.0,0.0,0.0,0.527,2.261,5.229,1.841,1.766,0.622,0.551,0.194,0.019,0.007,,,,0.0,0.0,0.034,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.042,0.0,,0.0,0.0,0.073,0.001,,0.026,0.0,0.0,0.0,0.0,6.422,1.498,,
1959,RWA,2932400.0,3597853440.0,0.0,0.0,0.075,0.055,287.504,5.67,0.421,8.026,1.933,1.576,,0.025,0.021,,0.002,0.001,,,,0.0,0.25,48.078,0.007,0.0,0.0,207.785,0.244,,,,0.0,0.0,0.0,0.0,0.569,2.248,5.595,1.908,1.889,0.644,0.541,0.184,0.072,0.025,,,,0.0,0.001,0.034,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.043,0.001,,0.0,0.0,0.072,0.002,,0.026,0.0,0.0,0.0,0.0,6.593,1.67,,
1960,RWA,3022299.0,3710928128.0,0.0,0.0,0.07,-0.005,-6.452,4.772,-0.897,-15.827,1.579,1.286,,0.023,0.019,,0.0,0.0,,,,0.0,0.32,52.851,0.007,0.0,0.0,212.488,0.313,,,,0.0,0.0,0.0,0.0,0.591,2.024,4.703,1.556,2.015,0.667,0.54,0.179,0.07,0.023,,,,0.0,0.001,0.03,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.043,0.001,,0.0,0.0,0.07,0.002,,0.026,0.0,0.0,0.0,0.0,6.118,1.786,,
1961,RWA,3106786.0,3554574592.0,0.0,0.0,0.091,0.022,31.035,4.75,-0.022,-0.466,1.529,1.336,,0.029,0.026,,0.005,0.002,,,,0.0,0.412,57.601,0.012,0.0,0.0,217.146,0.4,,,,0.0,0.0,0.0,0.0,0.617,2.068,4.659,1.5,2.126,0.684,0.588,0.189,0.087,0.028,,,,0.0,0.001,0.029,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.044,0.001,,0.0,0.0,0.068,0.003,,0.027,0.0,0.0,0.0,0.0,6.424,1.917,,
1962,RWA,3186019.0,3954409728.0,0.0,0.0,0.084,-0.007,-7.894,5.033,0.283,5.957,1.58,1.273,,0.026,0.021,,,,,,,0.0,0.496,62.634,,,,222.095,0.484,,,,,,,,0.634,2.204,4.949,1.553,2.252,0.707,0.605,0.19,0.084,0.026,,,,0.0,0.001,0.031,,0.0,0.0,0.008,,,,0.044,0.001,,,,0.078,0.002,,0.027,0.0,0.0,0.0,0.0,7.022,2.019,,
1963,RWA,3258904.0,3567064576.0,0.0,0.0,0.084,0.0,0.0,5.097,0.063,1.261,1.564,1.429,,0.026,0.024,,,,,,,0.0,0.58,67.731,,,,227.107,0.569,,,,,,,,0.654,2.297,5.012,1.538,2.398,0.736,0.617,0.189,0.084,0.026,,,,0.0,0.001,0.031,,0.0,0.0,0.008,,,,0.044,0.001,,,,0.081,0.002,,0.027,0.0,0.0,0.0,0.0,7.485,2.131,,
1964,RWA,3334836.0,3120313088.0,0.0,0.0,0.037,-0.048,-56.522,4.788,-0.309,-6.061,1.436,1.534,,0.011,0.012,,,,,,,0.0,0.617,72.518,,,,231.859,0.605,,,,,,,,0.661,2.25,4.751,1.425,2.523,0.757,0.621,0.186,0.037,0.011,,,,0.0,0.0,0.029,,0.0,0.0,0.008,,,,0.045,0.001,,,,0.081,0.001,,0.028,0.0,0.0,0.0,0.0,7.502,2.203,,
1965,RWA,3423215.0,3339726848.0,0.0,0.0,0.048,0.011,30.0,4.607,-0.18,-3.769,1.346,1.38,,0.014,0.014,,,,,,,0.0,0.665,77.126,,,,236.418,0.653,,,,,,,,0.686,2.262,4.56,1.332,2.653,0.775,0.623,0.182,0.048,0.014,,,,0.0,0.0,0.027,,0.0,0.0,0.009,,,,0.045,0.001,,,,0.081,0.001,,0.028,0.0,0.0,0.0,0.0,7.742,2.347,,
1966,RWA,3521626.0,3576485120.0,0.0,0.0,0.044,-0.004,-7.692,4.552,-0.055,-1.192,1.293,1.273,,0.012,0.012,,,,,,,0.0,0.709,81.678,,,0.0,240.926,0.697,,,,,,0.0,0.0,0.707,2.354,4.508,1.28,2.874,0.816,0.665,0.189,0.044,0.012,,,,0.0,0.0,0.027,,0.0,0.0,0.009,,,0.0,0.046,0.001,,,0.0,0.086,0.001,,0.029,0.0,0.0,0.0,0.0,8.289,2.491,,
1967,RWA,3629584.0,3827246592.0,0.0,0.0,0.04,-0.004,-8.333,4.375,-0.178,-3.9,1.205,1.143,,0.011,0.011,,,,,,,0.0,0.749,86.053,,,0.0,245.261,0.737,,,,,,0.0,0.0,0.73,2.452,4.334,1.194,3.111,0.857,0.712,0.196,0.04,0.011,,,,0.0,0.0,0.025,,0.0,0.0,0.009,,,0.0,0.046,0.001,,,0.0,0.08,0.001,,0.029,0.0,0.0,0.0,0.0,8.901,2.651,,
1968,RWA,3744013.0,4094313472.0,0.0,0.0,0.055,0.015,36.364,4.77,0.395,9.024,1.274,1.165,,0.015,0.013,,,,,,,0.0,0.804,90.822,,,0.0,249.975,0.792,,,,,,0.0,0.0,0.759,2.57,4.715,1.259,3.228,0.862,0.683,0.182,0.055,0.015,,,,0.0,0.0,0.026,,0.0,0.0,0.01,,,0.0,0.046,0.001,,,0.0,0.088,0.001,,0.03,0.0,0.0,0.0,0.0,9.621,2.843,,
1969,RWA,3861275.0,4545397248.0,0.0,0.0,0.059,0.004,6.667,4.482,-0.288,-6.031,1.161,0.986,,0.015,0.013,,,,,,,0.0,0.862,95.304,,,0.0,254.399,0.851,,,,,,0.0,0.0,0.786,2.611,4.423,1.146,3.461,0.896,0.716,0.185,0.059,0.015,,,,0.0,0.0,0.023,,0.0,0.0,0.01,,,0.0,0.047,0.001,,,0.0,0.076,0.001,,0.031,0.0,0.0,0.0,0.0,10.083,3.036,,
1970,RWA,3980675.0,5039381504.0,0.0,0.0,0.059,0.0,0.0,6.234,1.752,39.085,1.566,1.237,,0.015,0.012,,,,,,,0.0,0.921,101.538,,,0.0,260.574,0.909,,,,,,0.0,0.0,0.838,2.981,6.175,1.551,3.811,0.957,0.755,0.19,0.059,0.015,,,,0.0,0.0,0.03,,0.0,0.0,0.01,,,0.0,0.047,0.001,,,0.0,0.108,0.001,,0.031,0.0,0.0,0.0,0.0,11.868,3.336,,
