year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1968,SHN,5647.0,,0.0,0.0,0.004,,,,,,,,,0.649,,,0.0,0.0,,,,0.0,0.004,,0.0,,,,0.004,,,,,,,,,,,,,,0.0,0.0,0.004,0.649,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1981,SHN,6466.0,,0.0,0.0,0.007,,,,,,,,,1.133,,0.588,0.0,0.0,,,,0.0,0.011,,0.0,,,,0.011,,1924.651,,,,,,,,,,,,0.0,0.0,0.007,1.133,,,0.012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1982,SHN,6535.0,,0.0,0.0,0.004,-0.004,-50.0,,,,,,,0.561,,0.294,0.0,0.0,,,,0.0,0.015,,0.0,,,,0.015,,1905.522,,,,,,,,,,,,0.0,0.0,0.004,0.561,,,0.012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1983,SHN,6601.0,,0.0,0.0,0.004,0.0,0.0,,,,,,,0.555,,0.294,0.0,0.0,,,,0.0,0.018,,0.0,,,,0.018,,1889.344,,,,,,,,,,,,0.0,0.0,0.004,0.555,,,0.012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1984,SHN,6647.0,,0.0,0.0,0.004,0.0,0.0,,,,,,,0.551,,0.293,0.0,0.0,,,,0.0,0.022,,0.0,,,,0.022,,1882.817,,,,,,,,,,,,0.0,0.0,0.004,0.551,,,0.012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1985,SHN,6678.0,,0.0,0.0,0.004,0.0,0.0,,,,,,,0.549,,0.288,0.0,0.0,,,,0.0,0.026,,0.0,,,,0.026,,1907.771,,,,,,,,,,,,0.0,0.0,0.004,0.549,,,0.013,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1986,SHN,6706.0,,0.0,0.0,0.004,0.0,0.0,,,,,,,0.546,,0.288,0.0,0.0,,,,0.0,0.029,,0.0,,,,0.029,,1898.591,,,,,,,,,,,,0.0,0.0,0.004,0.546,,,0.013,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1987,SHN,6723.0,,0.0,0.0,0.004,0.0,0.0,,,,,,,0.545,,0.141,0.0,0.0,,,,0.0,0.033,,0.0,,,,0.033,,3856.45,,,,,,,,,,,,0.0,0.0,0.004,0.545,,,0.026,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1988,SHN,6710.0,,0.0,0.0,0.007,0.004,100.0,,,,,,,1.092,,0.283,0.0,0.0,,,,0.0,0.04,,0.0,,,,0.04,,3866.719,,,,,,,,,,,,0.0,0.0,0.007,1.092,,,0.026,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1989,SHN,6677.0,,0.0,0.0,0.007,0.0,0.0,,,,,,,1.097,,0.283,0.0,0.0,,,,0.0,0.048,,0.0,,,,0.048,,3883.625,,,,,,,,,,,,0.0,0.0,0.007,1.097,,,0.026,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1990,SHN,6639.0,,0.0,0.0,0.007,0.0,0.0,,,,,,,1.104,,0.283,,,,,,0.0,0.055,,,,,,0.055,,3905.288,,,,,,,,,,,,0.0,0.0,0.007,1.104,,,0.026,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1991,SHN,6601.0,,0.0,0.0,0.007,0.0,0.0,,,,,,,1.11,,0.576,,,,,,0.0,0.062,,,,,,0.062,,1931.429,,,,,,,,,,,,0.0,0.0,0.007,1.11,,,0.013,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1992,SHN,6545.0,,0.0,0.0,0.007,0.0,0.0,,,,,,,1.12,,0.575,,,,,,0.0,0.07,,,,,,0.07,,1946.749,,,,,,,,,,,,0.0,0.0,0.007,1.12,,,0.013,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1993,SHN,6495.0,,0.0,0.0,0.011,0.004,50.0,,,,,,,1.692,,0.863,,,,,,0.0,0.081,,,,,,0.081,,1963.908,,,,,,,,,,,,0.0,0.0,0.011,1.692,,,0.013,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
1994,SHN,6433.0,,0.0,0.0,0.011,0.0,0.0,,,,,,,1.709,,0.863,,,,,,0.0,0.092,,,0.0,,,0.092,,1980.098,,0.0,0.0,,,,,,,,,0.0,0.0,0.011,1.709,,,0.013,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
