year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,LCA,93010.0,97249000.0,0.0,0.0,0.004,,,0.05,,,0.535,0.511,,0.039,0.038,,,,,,,0.0,0.004,0.05,,,,1.438,0.004,,,,,,,,0.386,1.687,0.046,0.495,0.048,0.515,0.006,0.067,0.004,0.039,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.157,0.036,,
1951,LCA,93988.0,101574000.0,0.0,0.0,0.011,0.007,200.0,0.062,0.012,24.908,0.661,0.611,,0.117,0.108,,,,,,,0.0,0.015,0.112,,,,1.489,0.015,,,,,,,,0.472,1.843,0.051,0.544,0.049,0.525,0.006,0.069,0.011,0.117,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.173,0.044,,
1952,LCA,94432.0,105616000.0,0.0,0.0,0.007,-0.004,-33.333,0.061,-0.001,-1.239,0.65,0.581,,0.078,0.069,,,,,,,0.0,0.022,0.173,,,,1.543,0.022,,,,,,,,0.437,1.921,0.054,0.572,0.05,0.533,0.007,0.072,0.007,0.078,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.181,0.041,,
1953,LCA,94348.0,110058000.0,0.0,0.0,0.011,0.004,50.0,0.056,-0.006,-9.2,0.59,0.506,,0.117,0.1,,,,,,,0.0,0.033,0.229,,,,1.588,0.033,,,,,,,,0.481,1.956,0.045,0.474,0.051,0.542,0.007,0.076,0.011,0.117,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.185,0.045,,
1954,LCA,94123.0,114576000.0,0.0,0.0,0.007,-0.004,-33.333,0.051,-0.004,-7.697,0.546,0.449,,0.078,0.064,,,,,,,0.0,0.04,0.28,,,,1.632,0.04,,,,,,,,0.445,1.986,0.044,0.468,0.052,0.548,0.008,0.081,0.007,0.078,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.187,0.042,,
1955,LCA,93821.0,120400000.0,0.0,0.0,0.011,0.004,50.0,0.048,-0.004,-6.842,0.51,0.398,,0.117,0.091,,,,,,,0.0,0.051,0.328,,,,1.669,0.051,,,,,,,,0.486,1.995,0.037,0.393,0.052,0.553,0.008,0.086,0.011,0.117,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.187,0.046,,
1956,LCA,93472.0,124671000.0,0.0,0.0,0.011,0.0,0.0,0.05,0.002,4.055,0.533,0.4,,0.118,0.088,,,,,,,0.0,0.062,0.378,,,,1.708,0.062,,,,,,,,0.486,2.024,0.039,0.416,0.052,0.557,0.009,0.091,0.011,0.118,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.189,0.045,,
1957,LCA,93099.0,130152000.0,0.0,0.0,0.011,0.0,0.0,0.054,0.005,9.044,0.584,0.417,,0.118,0.084,,,,,,,0.0,0.073,0.432,,,,1.751,0.073,,,,,,,,0.486,2.019,0.043,0.466,0.052,0.56,0.009,0.096,0.011,0.118,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.188,0.045,,
1958,LCA,92730.0,135960000.0,0.0,0.0,0.011,0.0,0.0,0.062,0.008,14.565,0.671,0.458,,0.119,0.081,,,,,,,0.0,0.084,0.495,,,,1.802,0.084,,,,,,,,0.486,1.988,0.051,0.553,0.052,0.563,0.009,0.101,0.011,0.119,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.184,0.045,,
1959,LCA,92368.0,142824000.0,0.0,0.0,0.011,0.0,0.0,0.158,0.095,153.208,1.706,1.104,,0.119,0.077,,,,,,,0.0,0.095,0.652,,,,1.949,0.095,,,,,,,,0.486,2.21,0.147,1.587,0.052,0.567,0.01,0.105,0.011,0.119,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.002,0.0,,0.001,0.0,0.0,0.0,0.0,0.204,0.045,,
1960,LCA,92605.0,148808000.0,0.0,0.0,0.015,0.004,33.333,0.071,-0.086,-54.765,0.77,0.479,,0.158,0.098,,,,,,,0.0,0.11,0.723,,,,2.006,0.11,,,,,,,,0.523,1.793,0.057,0.612,0.053,0.568,0.01,0.108,0.015,0.158,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.166,0.048,,
