year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1963,SYC,46098.0,152280000.0,0.0,0.0,0.007,,,0.007,,,0.159,0.048,,0.159,0.048,,,,,,,0.0,0.007,0.007,,,,0.0,0.007,,,,,,,,0.544,0.621,0.0,0.0,0.019,0.408,0.002,0.054,0.007,0.159,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.029,0.025,,
1964,SYC,47163.0,160928000.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.155,0.046,,0.155,0.046,,,,,,,0.0,0.015,0.015,,,,0.0,0.015,,,,,,,,0.555,0.631,0.0,0.0,0.02,0.422,0.003,0.053,0.007,0.155,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.026,,
1965,SYC,48295.0,160848000.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.152,0.046,,0.152,0.046,,,,,,,0.0,0.022,0.022,,,,0.0,0.022,,,,,,,,0.565,0.641,0.0,0.0,0.021,0.437,0.003,0.053,0.007,0.152,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.031,0.027,,
1966,SYC,49475.0,164199008.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.148,0.045,,0.148,0.045,,,,,,,0.0,0.029,0.029,,,,0.0,0.029,,,,,,,,0.575,0.657,0.0,0.0,0.022,0.452,0.003,0.057,0.007,0.148,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.032,0.028,,
1967,SYC,50686.0,163850000.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.145,0.045,,0.145,0.045,,,,,,,0.0,0.037,0.037,,,,0.0,0.037,,,,,,,,0.585,0.666,0.0,0.0,0.024,0.466,0.003,0.056,0.007,0.145,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.034,0.03,,
1968,SYC,51904.0,176970000.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.141,0.041,,0.141,0.041,,,,,,,0.0,0.044,0.044,,,,0.0,0.044,,,,,,,,0.596,0.681,0.0,0.0,0.025,0.48,0.003,0.059,0.007,0.141,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.035,0.031,,
1969,SYC,53104.0,179087008.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.138,0.041,,0.138,0.041,,,,,,,0.0,0.051,0.051,,,,0.0,0.051,,,,,,,,0.607,0.694,0.0,0.0,0.026,0.495,0.003,0.06,0.007,0.138,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.037,0.032,,
1970,SYC,54275.0,190998000.0,0.0,0.0,0.029,0.022,300.0,0.029,0.022,300.0,0.54,0.153,,0.54,0.153,,,,,,,0.0,0.081,0.081,,,,0.0,0.081,,,,,,,,0.972,1.062,0.0,0.0,0.025,0.456,0.004,0.065,0.029,0.54,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.058,0.053,,
1971,SYC,55534.0,223272000.0,0.0,0.0,0.033,0.004,12.5,0.033,0.004,12.5,0.594,0.148,,0.594,0.148,,,,,,,0.0,0.114,0.114,,,,0.0,0.114,,,,,,,,1.075,1.174,0.0,0.0,0.028,0.507,0.004,0.073,0.033,0.594,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.065,0.06,,
1972,SYC,56913.0,236492992.0,0.0,0.0,0.044,0.011,33.333,0.044,0.011,33.333,0.773,0.186,,0.773,0.186,,,,,,,0.0,0.158,0.158,,,,0.0,0.158,,,,,,,,1.271,1.382,0.0,0.0,0.03,0.527,0.005,0.083,0.044,0.773,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.079,0.072,,
