year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SGP,1013320.0,3650941184.0,0.0,0.0,1.914,,,1.926,,,1.901,0.528,,1.889,0.524,,0.758,0.748,,,,0.0,1.914,1.926,0.758,0.0,0.0,15.842,1.156,,,,0.0,0.0,0.0,0.0,2.828,3.068,0.012,0.012,0.377,0.372,0.752,0.742,1.156,1.141,,,,0.0,0.032,0.016,0.02,0.0,0.001,0.0,0.0,0.0,0.0,0.004,0.004,,0.0,0.0,0.0,0.075,,0.005,0.0,0.0,0.0,0.0,3.109,2.865,,
1951,SGP,1068047.0,3597360896.0,0.0,0.0,2.826,0.912,47.642,2.82,0.893,46.378,2.64,0.784,,2.646,0.786,,0.864,0.809,,,,0.0,4.74,4.746,1.621,0.0,0.0,15.836,3.118,,,,0.0,0.0,0.0,0.0,3.654,3.886,-0.006,-0.006,0.445,0.416,0.817,0.765,1.962,1.837,,,,0.0,0.044,0.022,0.021,0.0,0.002,0.001,0.001,0.0,0.0,0.004,0.011,,0.0,0.0,-0.0,0.114,,0.005,0.0,0.0,0.0,0.0,4.151,3.903,,
1952,SGP,1126096.0,2639433984.0,0.0,0.0,3.441,0.616,21.783,3.435,0.615,21.814,3.05,1.301,,3.056,1.304,,0.819,0.728,,,,0.0,8.181,8.181,2.441,0.0,0.0,15.829,5.74,,,,0.0,0.0,0.0,0.0,4.136,4.37,-0.007,-0.006,0.504,0.448,0.903,0.802,2.622,2.328,,,,0.0,0.053,0.027,0.02,0.0,0.003,0.001,0.001,0.0,0.0,0.004,0.018,,0.0,0.0,-0.0,0.144,,0.006,0.0,0.0,0.0,0.0,4.921,4.657,,
1953,SGP,1187530.0,3329889280.0,0.0,0.0,3.482,0.04,1.174,3.485,0.051,1.476,2.935,1.047,,2.932,1.046,,0.66,0.556,,,,0.0,11.663,11.666,3.101,0.0,0.0,15.833,8.562,,,,0.0,0.0,0.0,0.0,4.067,4.309,0.004,0.003,0.539,0.454,1.008,0.849,2.822,2.376,,,,0.0,0.052,0.026,0.016,0.0,0.005,0.002,0.001,0.0,0.0,0.004,0.026,,0.0,0.0,0.0,0.146,,0.006,0.0,0.0,0.0,0.0,5.117,4.83,,
1954,SGP,1252286.0,3996736512.0,0.0,0.0,3.771,0.29,8.317,3.794,0.308,8.841,3.029,0.949,,3.012,0.944,,0.525,0.419,,,,0.0,15.434,15.46,3.625,0.0,0.0,15.855,11.809,,,,0.0,0.0,0.0,0.0,4.217,4.469,0.022,0.018,0.588,0.47,1.129,0.902,3.247,2.593,,,,0.0,0.056,0.028,0.013,0.0,0.006,0.002,0.002,0.0,0.0,0.004,0.033,,0.0,0.0,0.0,0.158,,0.007,0.0,0.0,0.0,0.0,5.596,5.281,,
1955,SGP,1320232.0,3846002944.0,0.0,0.0,4.053,0.282,7.464,4.08,0.286,7.55,3.09,1.061,,3.07,1.054,,0.508,0.385,,,,0.0,19.487,19.54,4.134,0.0,0.0,15.883,15.353,,,,0.0,0.0,0.0,0.0,4.344,4.596,0.027,0.021,0.636,0.482,1.263,0.957,3.544,2.685,,,,0.0,0.054,0.028,0.012,0.0,0.007,0.003,0.002,0.0,0.0,0.003,0.041,,0.0,0.0,0.0,0.154,,0.008,0.0,0.0,0.0,0.0,6.068,5.735,,
1956,SGP,1390956.0,4445355520.0,0.0,0.0,4.096,0.043,1.063,4.038,-0.042,-1.032,2.903,0.908,,2.945,0.921,,0.477,0.343,,,,0.0,23.583,23.578,4.611,0.0,0.0,15.825,18.972,,,,0.0,0.0,0.0,0.0,4.276,4.466,-0.058,-0.042,0.672,0.483,1.407,1.011,3.619,2.602,,,,0.0,0.052,0.027,0.01,0.0,0.009,0.003,0.002,0.0,0.0,0.003,0.047,,0.0,0.0,-0.001,0.145,,0.008,0.0,0.0,0.0,0.0,6.212,5.948,,
1957,SGP,1458281.0,4155599872.0,0.0,0.0,1.729,-2.366,-57.777,1.689,-2.349,-58.18,1.158,0.406,,1.186,0.416,,0.128,0.088,,,,0.0,25.312,25.266,4.739,,,15.784,20.573,,,,,,,,2.443,2.64,-0.041,-0.028,0.513,0.352,1.557,1.068,1.601,1.098,,,,0.0,0.021,0.011,0.003,0.0,0.009,0.003,0.002,,,0.003,0.048,,,,-0.001,0.061,,0.008,0.0,0.0,0.0,0.0,3.85,3.563,,
1958,SGP,1515731.0,4374144000.0,0.0,0.0,2.297,0.568,32.839,2.233,0.544,32.213,1.473,0.51,,1.516,0.525,,0.051,0.034,,,,0.0,27.609,27.499,4.79,,,15.719,22.819,,,,,,,,2.85,3.013,-0.065,-0.043,0.558,0.368,1.711,1.129,2.246,1.482,,,,0.0,0.027,0.014,0.001,0.0,0.01,0.004,0.002,,,0.003,0.05,,,,-0.001,0.083,,0.009,0.0,0.0,0.0,0.0,4.567,4.32,,
1959,SGP,1567757.0,5140940800.0,0.0,0.0,1.799,-0.498,-21.691,1.524,-0.709,-31.743,0.972,0.296,,1.148,0.35,,0.037,0.023,,,,0.0,29.408,29.023,4.827,,,15.444,24.582,,,,,,,,2.543,2.679,-0.275,-0.175,0.577,0.368,1.865,1.19,1.762,1.124,,,,0.0,0.02,0.009,0.001,0.0,0.01,0.004,0.002,,,0.003,0.051,,,,-0.004,0.061,,0.009,0.0,0.0,0.0,0.0,4.2,3.987,,
